,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2020-11-09,490.0,466.5,490.0,463.5,80940.0,37976213.0,4.25,0.09,2919.08,2987.75,2988.88,2910.42,186353431932.75,14370213308631.504
1,2020-11-10,473.0,454.0,473.0,450.4,44870.0,20560595.0,4.25,0.09,2965.92,2998.61,3013.57,2943.43,150181333966.75,14422459844777.184
2,2020-11-11,454.1,478.45,478.45,452.0,37140.0,17283821.5,4.25,0.09,3004.63,3015.03,3031.69,3004.2,156869536674.85,14501405482080.545
3,2020-11-12,485.0,480.45,487.95,472.0,45530.0,21935634.5,4.25,0.09,2997.79,3025.83,3028.52,2988.03,111841039072.1,14553375998523.9
4,2020-11-13,488.0,486.15,489.05,482.2,19310.0,9405824.0,4.25,0.09,3007.16,3025.22,3027.45,2995.17,94141286376.05,14550400178003.95
5,2020-11-16,490.3,475.0,491.0,475.0,28750.0,13879601.5,4.25,0.09,3054.35,3079.74,3081.28,3046.77,113029902298.95,14812647230823.322
6,2020-11-17,475.0,472.2,484.0,471.0,14520.0,6872442.5,4.25,0.09,3081.05,3052.22,3087.19,3027.76,97624569190.3,14680281473824.783
7,2020-11-18,474.65,471.75,476.85,470.0,18020.0,8513992.0,4.25,0.09,3046.02,3080.68,3086.77,3035.57,86678712181.65,14817178731020.752
8,2020-11-19,474.4,472.75,474.9,471.0,8000.0,3784858.0,4.25,0.08,3067.06,3046.49,3071.25,3040.66,80639323609.7,14652748966342.686
9,2020-11-20,487.0,474.0,487.0,469.25,4530.0,2136721.0,4.25,0.08,3050.81,3051.04,3060.91,3035.56,57925104990.4,14674599912213.895
10,2020-11-23,470.0,470.5,479.95,470.0,5480.0,2584959.0,4.25,0.08,3066.64,3047.06,3094.06,3042.61,88626521669.9,14655488609623.094
11,2020-11-24,470.55,471.0,472.4,470.0,5370.0,2525888.5,4.25,0.08,3071.8,3095.84,3098.83,3053.16,99168946827.05,14890097020956.656
12,2020-11-25,470.0,469.8,471.05,468.9,9560.0,4490920.0,4.25,0.08,3111.75,3134.52,3134.71,3089.16,130512774776.55,15076116140372.246
13,2020-11-26,470.0,465.2,470.0,464.5,10940.0,5087236.0,4.25,0.08,3141.43,3138.62,3149.9,3119.46,86304340769.8,15095830689942.246
14,2020-11-27,465.2,470.1,473.95,464.8,8120.0,3822797.0,4.25,0.08,3132.55,3142.68,3150.78,3112.44,91361256012.6,15115371238985.213
15,2020-11-30,470.65,469.2,473.9,466.5,6270.0,2953213.0,4.25,0.09,3130.88,3107.58,3134.79,3093.77,171173455598.35,14946548520857.418
16,2020-12-01,464.05,470.0,472.35,464.0,6970.0,3278646.0,4.25,0.09,3113.06,3147.79,3159.03,3113.06,108250777613.4,15139967065408.986
17,2020-12-02,468.1,467.0,470.1,467.0,3060.0,1434211.0,4.25,0.09,3150.66,3189.61,3189.61,3139.92,94931203596.5,15341070214498.816
18,2020-12-03,464.75,455.6,468.0,455.4,15050.0,6939638.5,4.25,0.09,3185.78,3162.67,3192.98,3141.4,95183766034.25,15211520931926.678
19,2020-12-04,471.8,458.2,472.0,456.55,13220.0,6057851.0,4.25,0.09,3171.44,3184.72,3200.23,3171.44,94492237722.65,15317581497964.482
20,2020-12-07,469.7,457.5,469.7,456.4,11250.0,5178847.5,4.25,0.09,3179.14,3195.08,3208.53,3172.29,87818352454.45,15367389959444.236
21,2020-12-08,465.65,455.0,465.65,455.0,6130.0,2796413.0,4.25,0.09,3184.93,3179.61,3198.1,3150.84,93400466060.05,15293014774134.355
22,2020-12-09,462.65,456.05,462.65,455.5,5760.0,2630323.0,4.25,0.09,3184.24,3211.66,3226.48,3182.54,96153321470.95,15447130182429.713
23,2020-12-10,454.15,455.05,458.75,452.0,9160.0,4168231.5,4.25,0.09,3194.03,3258.31,3258.31,3189.04,103055345054.75,15671530544774.752
24,2020-12-11,458.3,455.6,458.3,449.9,9950.0,4507165.0,4.25,0.09,3257.47,3276.58,3278.24,3248.11,108292271648.55,15759412616641.684
25,2020-12-14,455.7,457.9,461.0,450.6,18530.0,8441106.5,4.25,0.09,3293.0,3254.83,3314.2,3249.36,124668491097.3,15654776725400.525
26,2020-12-15,462.05,466.95,467.15,458.8,5930.0,2747483.5,4.25,0.09,3252.68,3248.11,3284.84,3237.87,92705554026.6,15622482644136.672
27,2020-12-16,468.75,456.0,468.75,455.0,10920.0,5053865.5,4.25,0.09,3259.89,3269.95,3275.68,3242.7,94422806431.25,15727493691136.979
28,2020-12-17,456.0,450.25,458.25,447.0,26940.0,12120481.0,4.25,0.09,3277.67,3282.67,3318.39,3274.45,138325093736.4,15788673394840.352
29,2020-12-18,449.6,451.65,451.7,449.25,3620.0,1631536.0,4.25,0.09,3281.59,3273.75,3283.32,3245.25,125970276758.55,16628110245848.285
30,2020-12-21,450.0,451.4,451.6,448.05,4620.0,2078500.0,4.25,0.09,3246.9,3186.38,3246.9,3170.03,135820501896.45,16184339652133.86
31,2020-12-22,449.25,451.7,452.45,446.55,10100.0,4539879.5,4.25,0.09,3179.69,3236.46,3249.19,3175.51,98871608126.9,16438748822592.262
32,2020-12-23,455.7,451.0,455.7,450.7,2400.0,1086533.5,4.25,0.09,3224.02,3252.1,3255.4,3218.19,65478211681.0,16518158528904.373
33,2020-12-24,451.8,451.0,452.2,447.0,8030.0,3608683.5,4.25,0.09,3253.73,3236.88,3264.6,3230.62,50764614102.85,16440882809305.248
34,2020-12-25,450.0,452.05,453.9,447.6,2710.0,1222409.0,4.25,0.09,3236.38,3246.35,3248.63,3228.74,23654550156.85,16488959267869.49
35,2020-12-28,452.95,451.6,452.95,449.05,4850.0,2190061.0,4.25,0.09,3249.41,3258.95,3267.61,3249.41,52140644341.35,16552950763593.443
36,2020-12-29,457.8,451.55,461.95,447.35,13680.0,6184370.5,4.25,0.09,3269.71,3274.67,3282.23,3264.33,62071933973.8,16632815890405.033
37,2020-12-30,451.6,457.4,460.4,451.6,6930.0,3159239.5,4.25,0.09,3276.04,3289.02,3294.62,3267.39,67248342457.8,16705672838292.13
38,2021-01-04,453.95,460.0,460.0,450.4,14560.0,6650160.0,4.25,0.09,3306.12,3350.51,3350.81,3304.17,66875027248.1,17018019126303.139
39,2021-01-05,461.7,462.25,469.0,452.85,11250.0,5238524.0,4.25,0.09,3327.94,3359.15,3365.32,3301.88,71669719442.85,17061893215819.604
40,2021-01-06,454.2,461.95,468.65,454.2,24920.0,11569240.5,4.25,0.09,3373.37,3371.03,3380.63,3344.43,71458087084.95,17122246076319.117
41,2021-01-08,462.8,465.5,468.05,462.8,4210.0,1962078.0,4.25,0.09,3390.23,3454.82,3474.66,3390.23,132105644616.85,17547804162517.74
42,2021-01-11,465.5,471.85,471.9,464.9,12550.0,5883216.0,4.25,0.09,3455.67,3482.48,3516.9,3436.66,143292474381.8,17688316738936.164
43,2021-01-12,460.3,467.25,474.9,455.1,11060.0,5201827.5,4.25,0.09,3494.6,3471.65,3520.66,3451.87,104216481364.4,17633297804465.598
44,2021-01-13,475.0,464.05,475.0,464.05,4490.0,2096612.0,4.25,0.09,3487.92,3470.26,3504.56,3448.94,99616618242.0,17626266188165.09
45,2021-01-14,465.3,463.7,472.65,462.25,6360.0,2970595.5,4.25,0.09,3461.83,3490.85,3507.71,3439.01,108540789766.35,17730857166885.676
46,2021-01-15,464.75,463.55,466.85,460.7,6560.0,3037875.5,4.25,0.09,3486.02,3450.95,3509.24,3448.54,104977695775.4,17528152332620.562
47,2021-01-18,461.25,465.05,468.1,461.05,5800.0,2699051.0,4.25,0.09,3440.56,3471.92,3475.18,3426.11,92072355104.7,17634666165383.184
48,2021-01-19,470.55,490.9,494.0,459.65,112200.0,54068799.5,4.25,0.09,3479.53,3443.23,3491.93,3439.64,86414655412.55,17488969584733.627
