,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-10,529.6,501.1,529.6,501.1,400.0,0.0,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
1,2014-06-11,506.1,502.0,506.1,502.0,40.0,0.0,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
2,2014-06-16,517.8,517.6,517.8,517.6,30.0,0.0,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
3,2014-06-17,516.0,529.9,545.0,510.0,590.0,0.0,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
4,2014-06-18,541.4,541.7,541.7,541.4,300.0,0.0,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
5,2014-06-19,535.0,528.1,540.0,515.0,700.0,0.0,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
6,2014-06-23,525.1,550.0,555.0,525.0,360.0,0.0,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
7,2014-06-24,530.1,530.2,530.2,530.0,390.0,0.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
8,2014-06-26,513.0,513.0,513.0,513.0,20.0,0.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
9,2014-06-27,513.1,539.7,539.7,510.0,100.0,0.0,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
10,2014-07-02,534.9,533.2,534.9,530.5,80.0,0.0,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
11,2014-07-04,530.0,528.2,559.5,504.0,540.0,0.0,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
12,2014-07-08,510.1,520.9,525.0,510.1,30.0,0.0,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
13,2014-07-15,529.9,530.0,530.0,517.9,210.0,0.0,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
14,2014-07-16,539.7,560.0,569.0,539.7,1850.0,1034101.0,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
15,2014-07-17,560.0,551.0,560.0,550.0,860.0,1510112.0,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
16,2014-07-18,545.6,548.1,548.1,545.5,570.0,787053.0,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
17,2014-07-21,545.0,560.0,560.0,545.0,830.0,0.0,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
18,2014-07-22,560.0,560.0,580.0,560.0,1690.0,966600.0,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
19,2014-07-23,560.0,560.0,560.0,560.0,300.0,1134600.0,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
20,2014-07-24,553.1,553.0,553.1,553.0,150.0,1217553.0,7.5,0.09,1405.58,1408.8,1410.75,1394.04,25372742027.0,6351783470052.68
21,2014-07-25,560.0,560.0,560.0,560.0,100.0,1733921.0,7.5,0.09,1408.19,1388.41,1408.19,1386.14,29628586311.0,6259875281029.59
22,2014-07-29,564.8,565.0,565.0,564.8,530.0,606395.0,8.0,0.09,1361.22,1369.83,1380.29,1356.62,35280719684.0,6176106230122.06
23,2014-07-30,567.4,570.0,570.0,567.4,220.0,0.0,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
