,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-07-08,7040.0,7040.0,7040.0,7040.0,55.0,509290138.2,5.5,0.1,1343.25,1348.88,1351.71,1338.57,15135318287.0,6013292014061.71
1,2013-07-09,7240.0,7240.0,7240.0,7240.0,20.0,398252919.4,5.5,0.1,1349.8,1345.73,1355.14,1342.51,17009375010.0,5999251157133.46
2,2013-07-10,7100.0,7100.0,7100.0,7100.0,1.0,1006547285.8,5.5,0.09,1345.48,1333.71,1349.64,1330.73,17995800679.0,5945645145878.68
3,2013-07-11,7200.0,7175.8,7200.0,7080.0,25.0,959396207.6,5.5,0.09,1333.12,1368.11,1370.07,1332.26,32510267533.0,6099018947194.47
4,2013-07-12,7293.0,7293.0,7293.0,7293.0,20.0,958095703.9,5.5,0.09,1368.11,1398.22,1398.48,1366.54,36828503914.0,6233265737451.09
5,2013-07-17,7400.0,7350.0,7470.0,7290.1,293.0,876376040.1,5.5,0.09,1409.21,1431.8,1432.35,1407.15,35722012697.0,6382943059723.18
6,2013-07-18,7362.0,7350.0,7362.0,7350.0,180.0,610462928.2,5.5,0.09,1431.3,1416.63,1439.6,1408.66,39832504472.0,6315313766702.67
7,2013-07-19,7520.0,7650.1,7650.1,7520.0,192.0,605110491.1,5.5,0.09,1417.47,1421.67,1436.15,1408.9,29610094265.0,6337788617604.29
8,2013-07-22,7800.0,7815.0,7815.0,7780.0,15.0,504630130.3,5.5,0.09,1421.67,1415.52,1429.36,1408.83,21827732138.0,6310356363185.49
9,2013-07-23,7980.0,8100.0,8100.0,7980.0,32.0,1424540208.8,5.5,0.09,1415.48,1417.34,1432.3,1415.48,26448101070.0,6318501986272.09
10,2013-07-24,8050.0,7935.0,8100.0,7935.0,31.0,799785059.6,5.5,0.09,1418.33,1407.41,1419.31,1402.78,26568233042.0,6274216543929.62
11,2013-07-25,8005.0,8020.0,8020.0,8005.0,2.0,433977924.2,5.5,0.09,1408.42,1401.88,1409.56,1396.11,23113129369.0,6249572713109.65
12,2013-07-26,8100.0,8222.0,8250.0,8089.0,374.0,554557406.0,5.5,0.09,1401.94,1403.14,1410.44,1400.7,20498673653.0,0.0
