,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-17,1.752,2.5,2.5,1.752,3000.0,0.0,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
1,2014-08-21,3.0,1.521,3.0,1.521,2000.0,0.0,8.0,0.09,1447.12,1461.75,1469.44,1445.48,28439597629.0,6590528216157.51
2,2014-08-22,2.5,2.6,2.6,2.5,9000.0,0.0,8.0,0.09,1461.79,1446.6,1463.71,1434.09,28861993115.0,6522253115433.8
3,2014-08-25,2.63,2.65,2.65,2.63,7000.0,0.0,8.0,0.09,1446.86,1454.67,1456.72,1446.09,17577741392.0,6558630723741.41
4,2014-10-01,1.63,2.05,2.05,1.62,9000.0,0.0,8.0,0.09,,,,,,
5,2014-10-02,2.35,2.45,2.45,2.35,2000.0,0.0,8.0,0.09,,,,,,
6,2014-10-17,1.61,2.0,2.0,1.6,8000.0,0.0,8.0,0.09,,,,,,
7,2014-11-03,2.5,2.5,2.5,2.5,1000.0,0.0,8.0,0.09,1488.15,1491.19,1495.86,1477.06,17481520523.0,7102462053889.69
8,2014-11-13,2.5,2.5,2.5,2.5,1000.0,0.0,9.5,0.09,1514.19,1492.27,1522.87,1492.27,39369641894.0,7107618216442.59
9,2014-12-16,2.5,2.5,2.5,2.5,2000.0,0.0,17.0,0.12,1424.72,1444.32,1484.06,1309.6,100830509677.0,6695173218130.9
10,2015-01-13,1.62,2.0,2.0,1.62,8000.0,0.0,17.0,0.12,1513.21,1533.09,1543.59,1499.57,33133664935.0,7106620719186.81
11,2015-01-15,2.0,2.0,2.0,2.0,1000.0,0.0,17.0,0.12,1556.96,1563.21,1586.22,1555.36,38679500660.0,7246243668028.74
12,2015-02-06,1.64,1.64,1.64,1.64,3000.0,0.0,15.0,0.11,1696.96,1755.45,1762.39,1696.96,54221952383.0,8137413935492.03
13,2015-02-09,2.3,2.5,2.5,2.3,5000.0,0.0,15.0,0.12,1755.7,1748.55,1830.0,1740.58,63280101174.0,8105398913722.94
14,2015-02-17,2.5,2.5,2.5,2.5,2000.0,0.0,15.0,0.12,1800.92,1793.82,1842.59,1781.8,52881168864.0,8315263404962.52
15,2015-02-18,2.49,2.5,2.5,2.49,17000.0,0.0,15.0,0.12,1795.83,1809.67,1833.14,1795.59,49388542824.0,8388736905011.3
16,2015-03-26,2.41,2.41,2.41,2.41,13000.0,0.0,14.0,0.11,1615.54,1581.84,1633.27,1574.11,36714811490.0,7430371966734.89
17,2015-04-02,2.45,2.45,2.45,2.45,4000.0,0.0,14.0,0.12,1661.9,1679.24,1682.29,1656.23,36856529940.0,7887880551195.88
18,2015-04-06,2.4,2.45,2.5,2.4,22000.0,0.0,14.0,0.13,1681.8,1700.64,1701.24,1679.3,24923955152.0,7988399677752.9
19,2015-04-14,2.5,2.5,2.5,2.5,13000.0,0.0,14.0,0.13,1678.43,1647.39,1678.5,1641.8,35730708154.0,7738298077635.93
20,2015-04-15,2.7,2.99,2.99,2.7,20000.0,0.0,14.0,0.13,1647.29,1677.7,1681.83,1643.11,40037734888.0,7880652147526.14
21,2015-04-17,2.99,2.99,2.99,2.99,2000.0,0.0,14.0,0.13,1686.79,1656.59,1694.08,1656.59,46513599503.0,7781505974673.19
22,2015-04-30,2.5,2.5,2.5,2.5,1000.0,0.0,14.0,0.08,1670.99,1688.34,1692.32,1668.5,30289406992.0,7930643956180.95
23,2015-05-27,1.6,2.0,2.0,1.6,3000.0,0.0,12.5,0.12,1651.73,1660.98,1664.29,1637.42,35786417716.0,7802124299989.31
24,2015-05-28,2.44,2.44,2.44,2.44,1000.0,0.0,12.5,0.12,1660.65,1657.62,1678.64,1656.17,30309010225.0,7786346001005.87
25,2015-06-05,2.2,2.2,2.2,2.2,1000.0,0.0,12.5,0.13,1638.12,1652.07,1652.07,1633.49,27827873364.0,7760242763526.23
26,2015-06-15,2.99,2.99,2.99,2.99,1000.0,0.0,12.5,0.13,1652.29,1657.29,1658.32,1629.81,35364479772.0,7784785850430.17
27,2015-06-19,2.3,2.3,2.3,2.3,1000.0,0.0,11.5,0.13,1660.56,1663.03,1665.71,1655.53,26196350748.0,7792769676792.86
28,2015-08-28,2.01,2.0,2.01,2.0,5000.0,0.0,11.0,0.14,1695.23,1719.16,1723.18,1690.32,39788854447.0,8055795639176.5
29,2015-09-03,2.5,2.5,2.5,2.5,1000.0,0.0,11.0,0.14,1690.83,1710.57,1717.15,1690.83,28714831441.0,8015543629545.18
30,2015-09-16,2.99,2.99,2.99,2.99,1000.0,0.0,11.0,0.14,1716.27,1731.81,1734.05,1716.24,31761743733.0,8076648991196.19
31,2015-09-28,2.99,2.99,2.99,2.99,1000.0,0.0,11.0,0.13,1639.64,1616.36,1643.94,1614.35,24565309868.0,7538221531168.47
32,2015-10-05,3.11,3.11,3.11,3.11,1000.0,0.0,11.0,0.13,1612.71,1652.47,1654.73,1612.71,31964330042.0,7706639057881.12
33,2015-10-14,3.2,3.5,3.5,3.2,3000.0,0.0,11.0,0.13,1720.8,1723.01,1731.57,1704.22,31761495366.0,8035614337229.33
34,2015-10-16,3.51,3.51,3.51,3.51,1000.0,0.0,11.0,0.13,1731.9,1717.0,1746.07,1715.01,36611957731.0,8007568232984.36
35,2015-10-22,3.5,3.5,3.5,3.5,1000.0,0.0,11.0,0.12,1709.93,1712.1,1718.82,1702.65,27704269672.0,7984719839416.43
36,2015-11-02,3.51,3.51,3.51,3.51,1000.0,0.0,11.0,0.12,1710.9,1735.75,1737.18,1701.25,27528642884.0,8095019292843.71
37,2015-11-25,3.51,3.5,3.51,3.5,2000.0,0.0,11.0,0.12,1810.02,1833.53,1837.06,1808.88,36048441250.0,8493975239964.29
38,2015-12-04,3.6,3.6,3.6,3.6,1000.0,0.0,11.0,0.13,1786.55,1755.22,1798.91,1741.6,38557264636.0,8131194740545.14
39,2015-12-15,3.51,3.51,3.51,3.51,1000.0,0.0,11.0,0.15,1708.89,1742.46,1749.52,1708.89,35264056024.0,8072082962283.34
40,2015-12-16,3.56,3.56,3.56,3.56,1000.0,0.0,11.0,0.15,1743.03,1754.71,1759.09,1743.03,27528361110.0,8229136310922.7
41,2015-12-17,3.65,3.65,3.65,3.65,5000.0,0.0,11.0,0.37,1754.74,1780.97,1786.18,1754.74,41887265524.0,8352257087713.71
42,2015-12-24,3.65,3.65,3.65,3.65,10000.0,0.0,11.0,0.36,1747.86,1742.71,1757.5,1738.72,23442337367.0,8172847845164.05
43,2016-01-21,3.7,3.7,3.7,3.7,1000.0,0.0,11.0,0.37,1630.57,1677.19,1684.08,1630.17,43326301552.0,7865575606828.17
44,2016-01-22,3.74,3.74,3.74,3.74,1000.0,0.0,11.0,0.38,1683.75,1717.98,1730.24,1682.89,60488647098.0,8056861861103.85
45,2016-02-10,4.0,4.0,4.0,4.0,1000.0,0.0,11.0,0.38,1722.5,1730.83,1740.72,1710.21,32150971589.0,8117137991709.46
46,2016-02-12,4.02,4.02,4.02,4.02,1000.0,0.0,11.0,0.38,1711.6,1726.04,1733.67,1711.6,29057999447.0,8094647359553.27
47,2016-02-18,4.07,4.07,4.07,4.07,1000.0,0.0,11.0,0.38,1770.3,1807.21,1807.55,1770.3,41792675530.0,8475321928101.4
48,2016-02-25,4.05,4.05,4.05,4.05,1000.0,0.0,11.0,0.37,1802.37,1803.89,1819.19,1777.7,36117737702.0,8459770639290.38
49,2016-02-26,3.86,4.05,4.05,3.86,4000.0,0.0,11.0,0.37,1815.99,1816.73,1831.7,1811.66,42036927929.0,8519970559718.49
