,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-09-02,0.3444,0.33,0.3444,0.3281,8034000.0,2696750.4,5.5,0.07,1364.75,1367.53,1373.73,1364.27,12744074194.0,6096416686856.09
1,2013-09-03,0.3297,0.3296,0.3349,0.3273,3556000.0,1174278.8,5.5,0.09,1366.99,1373.82,1384.18,1366.99,22164253799.0,6124460997187.43
2,2013-09-04,0.3202,0.325,0.331,0.3202,3318000.0,1092174.1,5.5,0.08,1372.98,1375.66,1376.42,1365.21,16929685929.0,6132675228404.21
3,2013-09-05,0.3247,0.324,0.3251,0.3231,6001000.0,1947685.6,5.5,0.08,1375.66,1422.4,1422.4,1373.29,37635586932.0,6341025156353.93
4,2013-09-06,0.324,0.3201,0.324,0.32,3689000.0,1191704.7,5.5,0.08,1421.86,1423.4,1448.75,1418.8,52189115910.0,6345500055740.21
5,2013-09-09,0.3129,0.316,0.3216,0.3129,7914000.0,2503625.2,5.5,0.08,1423.4,1451.54,1455.28,1421.45,45793220661.0,6470954296346.45
6,2013-09-10,0.3155,0.314,0.318,0.313,10274000.0,3240057.0,5.5,0.08,1451.54,1453.57,1464.2,1446.97,48929041065.0,6480000608741.71
7,2013-09-11,0.3174,0.31,0.3267,0.3099,23220000.0,7311990.8,5.5,0.08,1452.52,1454.12,1459.68,1449.58,30684670193.0,6482453521611.17
8,2013-09-12,0.2947,0.3058,0.3128,0.2947,5554000.0,1716777.6,5.5,0.08,1454.21,1450.23,1461.2,1441.58,32739117665.0,6465093271603.79
9,2013-09-13,0.31,0.3,0.31,0.2999,5354000.0,1631799.6,5.5,0.08,1450.66,1440.74,1451.89,1434.74,24692731039.0,6422780705485.45
10,2013-09-16,0.3046,0.3,0.3078,0.2968,7378000.0,2208984.5,5.5,0.08,1441.06,1470.48,1470.65,1438.79,44309429172.0,6555391575249.64
11,2013-09-17,0.2955,0.2875,0.2996,0.2822,14268000.0,4173465.2,5.5,0.08,1470.71,1473.03,1474.02,1461.86,23620116573.0,6916585966907.95
12,2013-09-18,0.2826,0.2789,0.2896,0.2727,15335000.0,4304573.9,5.5,0.08,1472.17,1464.95,1482.59,1462.18,35222582334.0,6878658435503.36
13,2013-09-19,0.2799,0.2697,0.284,0.2674,28839000.0,7930321.9,5.5,0.09,1464.35,1487.19,1501.32,1463.8,53895959163.0,6983113967163.46
14,2013-09-20,0.2699,0.2735,0.275,0.2658,20654000.0,5602012.8,5.5,0.08,1486.49,1476.73,1488.5,1476.07,31552058986.0,6933962169638.04
15,2013-09-23,0.27,0.2689,0.2799,0.268,4491000.0,1212257.1,5.5,0.09,1476.69,1467.62,1478.61,1463.61,26313729744.0,6891218287996.88
16,2013-09-24,0.2683,0.2701,0.272,0.2683,8086000.0,2192182.7,5.5,0.09,1466.41,1464.72,1472.11,1459.21,27919329025.0,6877568322623.03
17,2013-09-25,0.2722,0.272,0.2725,0.2689,4488000.0,1220483.9,5.5,0.08,1464.72,1479.59,1480.33,1459.13,26805611981.0,6947387045039.35
18,2013-09-26,0.2722,0.2706,0.2745,0.2678,5100000.0,1380412.3,5.5,0.08,1479.59,1485.14,1490.02,1475.35,27797509828.0,6973488765178.55
19,2013-09-27,0.2706,0.2694,0.2738,0.267,26216000.0,7082084.8,5.5,0.08,1483.99,1471.89,1486.59,1468.35,27963985931.0,6911259978762.6
20,2013-09-30,0.2693,0.26,0.2693,0.2502,7016000.0,1841352.1,5.5,0.06,1472.23,1462.82,1474.57,1453.65,25872462007.0,6868671368141.78
21,2013-10-01,0.2565,0.259,0.261,0.251,4009000.0,1031885.3,5.5,0.08,1462.82,1471.73,1472.98,1460.09,25307021784.0,6910494683353.84
22,2013-10-02,0.2592,0.258,0.2641,0.258,3349000.0,869587.9,5.5,0.07,1472.45,1454.29,1474.9,1450.52,27495476013.0,6828626046243.09
23,2013-10-03,0.2629,0.2551,0.2629,0.255,3114000.0,808463.7,5.5,0.08,1454.53,1456.49,1466.23,1452.25,25770973324.0,6838929631297.44
