,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-09-02,0.118,0.11774,0.11888,0.11513,6830000.0,799181.5,5.5,0.07,1364.75,1367.53,1373.73,1364.27,12744074194.0,6096416686856.09
1,2013-09-03,0.1165,0.11525,0.1165,0.11518,3370000.0,0.0,5.5,0.09,1366.99,1373.82,1384.18,1366.99,22164253799.0,6124460997187.43
2,2013-09-04,0.11476,0.11402,0.1159,0.11402,1380000.0,0.0,5.5,0.08,1372.98,1375.66,1376.42,1365.21,16929685929.0,6132675228404.21
3,2013-09-05,0.1145,0.1155,0.1155,0.11439,12040000.0,1390494.1,5.5,0.08,1375.66,1422.4,1422.4,1373.29,37635586932.0,6341025156353.93
4,2013-09-06,0.1154,0.115,0.11548,0.11416,1500000.0,0.0,5.5,0.08,1421.86,1423.4,1448.75,1418.8,52189115910.0,6345500055740.21
5,2013-09-09,0.11595,0.115,0.11596,0.115,230000.0,0.0,5.5,0.08,1423.4,1451.54,1455.28,1421.45,45793220661.0,6470954296346.45
6,2013-09-10,0.11596,0.115,0.11597,0.115,4950000.0,573723.0,5.5,0.08,1451.54,1453.57,1464.2,1446.97,48929041065.0,6480000608741.71
7,2013-09-11,0.11594,0.11489,0.11597,0.1137,27420000.0,3151185.8,5.5,0.08,1452.52,1454.12,1459.68,1449.58,30684670193.0,6482453521611.17
8,2013-09-12,0.11403,0.11232,0.11483,0.11112,6880000.0,778880.7,5.5,0.08,1454.21,1450.23,1461.2,1441.58,32739117665.0,6465093271603.79
9,2013-09-13,0.1125,0.11221,0.11253,0.11113,2560000.0,0.0,5.5,0.08,1450.66,1440.74,1451.89,1434.74,24692731039.0,6422780705485.45
10,2013-09-16,0.1114,0.10851,0.1114,0.106,21550000.0,2344587.6,5.5,0.08,1441.06,1470.48,1470.65,1438.79,44309429172.0,6555391575249.64
11,2013-09-17,0.10623,0.105,0.1087,0.103,41740000.0,4426010.1,5.5,0.08,1470.71,1473.03,1474.02,1461.86,23620116573.0,6916585966907.95
12,2013-09-18,0.1059,0.10196,0.10594,0.1006,24020000.0,2466073.0,5.5,0.08,1472.17,1464.95,1482.59,1462.18,35222582334.0,6878658435503.36
13,2013-09-19,0.10297,0.101,0.10406,0.09812,30660000.0,3092833.5,5.5,0.09,1464.35,1487.19,1501.32,1463.8,53895959163.0,6983113967163.46
14,2013-09-20,0.09406,0.097,0.10199,0.09406,28580000.0,2741401.9,5.5,0.08,1486.49,1476.73,1488.5,1476.07,31552058986.0,6933962169638.04
15,2013-09-23,0.09107,0.09449,0.09791,0.09107,19750000.0,1786903.3,5.5,0.09,1476.69,1467.62,1478.61,1463.61,26313729744.0,6891218287996.88
16,2013-09-24,0.09489,0.092,0.09497,0.091,23680000.0,2185417.5,5.5,0.09,1466.41,1464.72,1472.11,1459.21,27919329025.0,6877568322623.03
17,2013-09-25,0.09151,0.0885,0.0998,0.08802,180200000.0,15993989.1,5.5,0.08,1464.72,1479.59,1480.33,1459.13,26805611981.0,6947387045039.35
18,2013-09-26,0.08126,0.086,0.087,0.08126,119340000.0,10025970.8,5.5,0.08,1479.59,1485.14,1490.02,1475.35,27797509828.0,6973488765178.55
19,2013-09-27,0.08156,0.0865,0.08689,0.08156,98370000.0,8183740.6,5.5,0.08,1483.99,1471.89,1486.59,1468.35,27963985931.0,6911259978762.6
20,2013-09-30,0.0855,0.08404,0.0877,0.08301,12530000.0,1067663.4,5.5,0.06,1472.23,1462.82,1474.57,1453.65,25872462007.0,6868671368141.78
21,2013-10-01,0.08352,0.08445,0.08449,0.08112,19050000.0,1575585.4,5.5,0.08,1462.82,1471.73,1472.98,1460.09,25307021784.0,6910494683353.84
22,2013-10-02,0.0845,0.08501,0.08799,0.0836,3180000.0,0.0,5.5,0.07,1472.45,1454.29,1474.9,1450.52,27495476013.0,6828626046243.09
23,2013-10-03,0.08492,0.085,0.08598,0.0849,1420000.0,0.0,5.5,0.08,1454.53,1456.49,1466.23,1452.25,25770973324.0,6838929631297.44
24,2013-10-04,0.0845,0.08479,0.08496,0.08249,6620000.0,549994.5,5.5,0.08,1456.51,1474.21,1474.42,1449.76,26311777713.0,6922161885652.6
25,2013-10-07,0.08339,0.083,0.0846,0.08298,5190000.0,0.0,5.5,0.08,1474.45,1480.2,1481.55,1462.85,26517483690.0,6950268840588.7
26,2013-10-08,0.08206,0.07957,0.08316,0.0793,62010000.0,5000143.9,5.5,0.08,1480.2,1505.14,1505.73,1479.34,42946368599.0,7067391229987.44
27,2013-10-09,0.07879,0.0744,0.08463,0.07402,52840000.0,4109095.2,5.5,0.09,1503.44,1501.01,1511.79,1495.13,35959606572.0,7048006070532.76
28,2013-10-10,0.07539,0.0749,0.07597,0.07272,42100000.0,3123272.9,5.5,0.09,1499.22,1516.73,1523.22,1499.22,38845457572.0,7121807304825.37
29,2013-10-11,0.07441,0.07525,0.07789,0.0742,41400000.0,3113340.6,5.5,0.1,1516.8,1513.03,1524.35,1507.06,31257984815.0,7104400846068.48
30,2013-10-14,0.07501,0.0758,0.07693,0.07471,25360000.0,1916675.7,5.5,0.1,1511.81,1510.2,1511.81,1501.48,22248219088.0,7091121823896.66
31,2013-10-15,0.07597,0.07548,0.07678,0.075,15340000.0,1155894.9,5.5,0.1,1510.2,1531.67,1532.25,1510.01,35595000096.0,7191926210851.79
32,2013-10-16,0.07475,0.07499,0.07549,0.07451,8590000.0,644712.7,5.5,0.11,1530.17,1531.57,1537.08,1522.75,35961721949.0,7191456653973.15
33,2013-10-17,0.07545,0.0769,0.078,0.075,15380000.0,1169457.6,5.5,0.1,1531.57,1512.32,1536.39,1505.89,38147436617.0,7101109946052.53
34,2013-10-18,0.0779,0.07563,0.0793,0.0742,48490000.0,3642395.9,5.5,0.1,1512.32,1533.35,1537.28,1512.32,35209295483.0,7199820321836.26
35,2013-10-21,0.07662,0.076,0.0777,0.0754,33560000.0,2552474.5,5.5,0.09,1535.22,1533.61,1538.75,1526.62,25593174902.0,7201070108808.96
36,2013-10-22,0.07637,0.07791,0.07852,0.07571,75260000.0,5841967.1,5.5,0.08,1535.27,1528.76,1535.99,1523.36,31272221637.0,7178295724980.91
37,2013-10-23,0.077,0.07697,0.07887,0.07697,6850000.0,528190.8,5.5,0.08,1526.4,1507.26,1527.1,1503.88,37342903626.0,7077311832105.28
38,2013-10-24,0.07771,0.07423,0.07801,0.074,41410000.0,3186009.9,5.5,0.08,1506.87,1502.46,1510.38,1497.35,32615092636.0,7054769977064.98
39,2013-10-25,0.07495,0.07476,0.0775,0.074,40380000.0,3044992.1,5.5,0.08,1501.94,1504.48,1507.18,1493.18,37857965642.0,7064253964114.1
40,2013-10-28,0.07482,0.0702,0.07482,0.06999,51650000.0,3696905.4,5.5,0.08,1504.7,1511.51,1520.53,1503.45,28835496578.0,7097282097202.85
41,2013-10-29,0.07088,0.0705,0.07088,0.0686,33360000.0,2309857.2,5.5,0.08,1511.51,1516.17,1521.12,1506.65,30691077070.0,7119174615051.42
42,2013-10-30,0.07,0.07125,0.07228,0.07,11290000.0,806686.1,5.5,0.08,1516.3,1516.0,1527.4,1510.71,33324599770.0,7118359597682.79
43,2013-10-31,0.07004,0.07,0.0725,0.0696,28490000.0,1992968.4,5.5,0.07,1516.0,1510.21,1516.0,1498.39,34268139460.0,7091181752360.55
44,2013-11-01,0.07094,0.06981,0.07094,0.06851,17090000.0,1188141.2,5.5,0.08,1509.58,1515.15,1517.25,1507.58,25849455323.0,7114378906088.12
45,2013-11-05,0.06973,0.0695,0.07032,0.06905,4730000.0,0.0,5.5,0.08,1515.15,1505.94,1521.02,1505.22,25909075265.0,7071135625659.33
46,2013-11-06,0.0699,0.06911,0.07026,0.06911,5420000.0,0.0,5.5,0.08,1507.07,1499.95,1510.42,1498.11,29272939734.0,7043024293219.35
47,2013-11-07,0.06968,0.0695,0.06971,0.0692,4300000.0,0.0,5.5,0.08,1499.95,1509.25,1515.77,1495.98,35131179147.0,7086683449107.27
48,2013-11-08,0.069,0.0689,0.0696,0.06871,20800000.0,1441961.8,5.5,0.08,1508.61,1489.55,1508.61,1486.51,33717266105.0,6994179135254.75
49,2013-11-11,0.06967,0.069,0.06982,0.06869,66960000.0,4621074.7,5.5,0.08,1488.89,1483.46,1496.47,1482.84,24751960100.0,6965589124244.62
50,2013-11-12,0.069,0.06873,0.06946,0.0685,5700000.0,0.0,5.5,0.08,1485.45,1500.41,1500.84,1481.29,36212433120.0,7045144421607.62
51,2013-11-13,0.06833,0.06547,0.06885,0.06414,19930000.0,1335390.4,5.5,0.08,1499.0,1466.82,1499.0,1464.59,45368983051.0,6887445739817.1
52,2013-11-14,0.06455,0.06511,0.06567,0.064,13540000.0,877241.5,5.5,0.09,1466.82,1490.89,1494.74,1466.82,38372492221.0,7000460687710.77
53,2013-11-15,0.06423,0.0628,0.06688,0.062,40760000.0,2582296.1,5.5,0.09,1489.4,1493.79,1503.45,1488.56,36407934415.0,7014098393891.63
54,2013-11-18,0.0637,0.06219,0.065,0.06195,65420000.0,4119878.9,5.5,0.09,1494.53,1510.61,1511.2,1494.53,31536775427.0,7093061218246.51
55,2013-11-19,0.062,0.06089,0.06229,0.0605,34310000.0,2100160.1,5.5,0.09,1510.72,1511.19,1517.64,1505.52,32913517098.0,7095790844839.2
56,2013-11-20,0.06162,0.05877,0.06162,0.05722,41440000.0,2422596.3,5.5,0.09,1511.16,1508.52,1511.16,1495.03,32676820398.0,7083234997056.38
57,2013-11-21,0.05823,0.05888,0.0589,0.05721,34610000.0,2001154.5,5.5,0.09,1506.62,1494.07,1506.62,1489.98,28080499700.0,7015411619838.17
58,2013-11-22,0.058,0.06095,0.06095,0.05769,19650000.0,1174697.3,5.5,0.09,1494.1,1504.1,1506.11,1492.23,29655219213.0,7062492413571.93
59,2013-11-25,0.0618,0.06,0.0618,0.05761,10110000.0,602836.8,5.5,0.09,1504.21,1502.41,1513.33,1501.58,31967064018.0,7054556198056.99
60,2013-11-26,0.06001,0.059,0.06001,0.0577,29410000.0,1750651.3,5.5,0.09,1502.89,1484.37,1503.7,1480.39,48229948205.0,6969845523930.55
61,2013-11-27,0.059,0.05951,0.06041,0.059,6770000.0,0.0,5.5,0.09,1484.6,1475.42,1489.49,1473.23,41550434835.0,6927804014788.67
62,2013-11-28,0.06079,0.06,0.06084,0.05966,20650000.0,1242478.1,5.5,0.09,1475.16,1479.46,1487.5,1475.16,24668741069.0,6946793859819.43
63,2013-11-29,0.06045,0.06074,0.06108,0.05992,17490000.0,1056226.4,5.5,0.07,1480.08,1479.35,1484.02,1467.32,31291760745.0,6946263649103.18
64,2013-12-02,0.06199,0.06079,0.06199,0.06001,3040000.0,0.0,5.5,0.09,1479.32,1473.26,1488.97,1472.55,24196675363.0,6917684865750.2
65,2013-12-03,0.06002,0.0598,0.06006,0.05891,23630000.0,1407288.7,5.5,0.09,1473.56,1448.84,1473.56,1441.36,47456307434.0,6803018523449.25
