,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,0.0198,0.01958,0.0201,0.01935,16670000.0,0.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,0.01935,0.01961,0.01975,0.01935,11460000.0,0.0,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,0.01959,0.01964,0.0202,0.01959,57440000.0,1140996.1,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-16,0.01976,0.01969,0.01995,0.0195,40840000.0,805920.5,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
4,2014-06-17,0.01979,0.01932,0.01998,0.01899,47660000.0,918843.9,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
5,2014-06-18,0.01929,0.019,0.01982,0.0188,59790000.0,1139816.2,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
6,2014-06-19,0.01909,0.01893,0.0191,0.01886,4000000.0,0.0,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
7,2014-06-20,0.01883,0.0186,0.01909,0.0185,18630000.0,0.0,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
8,2014-06-23,0.0186,0.01829,0.01878,0.01823,23260000.0,0.0,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
9,2014-06-24,0.01829,0.01845,0.0186,0.01827,21800000.0,0.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
10,2014-06-25,0.01831,0.0183,0.01891,0.0182,15550000.0,0.0,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
11,2014-06-26,0.01839,0.0182,0.01848,0.01819,19300000.0,0.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
12,2014-06-27,0.01816,0.01857,0.01891,0.01814,20790000.0,0.0,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
13,2014-06-30,0.0185,0.01866,0.01879,0.0185,13680000.0,0.0,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
14,2014-07-01,0.01851,0.01849,0.01869,0.0182,27110000.0,0.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
15,2014-07-02,0.0186,0.0189,0.0191,0.0184,35470000.0,665447.1,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
16,2014-07-03,0.01893,0.01991,0.02021,0.01881,54550000.0,1065665.4,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
