,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,0.03359,0.03301,0.03369,0.03211,12440000.0,0.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,0.03381,0.03379,0.03389,0.03299,20700000.0,694141.2,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,0.03378,0.03451,0.03451,0.0335,27080000.0,921706.6,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-16,0.03559,0.0348,0.03559,0.0336,15120000.0,517675.1,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
4,2014-06-17,0.03546,0.0347,0.03546,0.03391,17480000.0,600558.4,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
5,2014-06-18,0.03412,0.03458,0.03482,0.0341,7120000.0,0.0,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
6,2014-06-19,0.03442,0.03433,0.03486,0.03432,4540000.0,0.0,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
7,2014-06-20,0.03559,0.03483,0.03559,0.03313,5060000.0,0.0,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
8,2014-06-23,0.03402,0.0358,0.0358,0.03401,11920000.0,0.0,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
9,2014-06-24,0.03595,0.0349,0.0362,0.03403,4370000.0,0.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
10,2014-06-25,0.0349,0.0341,0.03613,0.0341,6870000.0,0.0,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
11,2014-06-26,0.03459,0.03488,0.03583,0.03459,3430000.0,0.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
12,2014-06-27,0.03577,0.03591,0.03615,0.03517,2130000.0,0.0,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
13,2014-06-30,0.0359,0.03642,0.03653,0.0352,10500000.0,0.0,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
14,2014-07-01,0.03588,0.03562,0.03636,0.03547,7430000.0,0.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
15,2014-07-02,0.03572,0.03626,0.03631,0.0355,18280000.0,651771.3,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
16,2014-07-03,0.03623,0.03642,0.03642,0.03584,20260000.0,731955.1,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
17,2014-07-04,0.0367,0.03769,0.0387,0.0367,7740000.0,0.0,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
18,2014-07-07,0.0377,0.03841,0.03849,0.03642,35930000.0,1342621.4,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
19,2014-07-08,0.03861,0.03713,0.03861,0.03701,33010000.0,1229417.5,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
20,2014-07-09,0.03746,0.03701,0.03746,0.03538,29630000.0,1093521.8,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
21,2014-07-10,0.03669,0.03698,0.0375,0.0364,8330000.0,0.0,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
22,2014-07-11,0.03759,0.0365,0.03759,0.03641,500000.0,0.0,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
23,2014-07-14,0.03601,0.03634,0.03777,0.03601,11000000.0,0.0,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
24,2014-07-15,0.03769,0.03813,0.03879,0.03673,9410000.0,0.0,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
25,2014-07-16,0.03869,0.03807,0.03931,0.03807,4820000.0,0.0,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
26,2014-07-17,0.03929,0.03735,0.03953,0.03726,14700000.0,568254.2,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
27,2014-07-18,0.03686,0.03803,0.03989,0.03686,22600000.0,875703.7,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
28,2014-07-21,0.03898,0.0396,0.03989,0.0381,10430000.0,0.0,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
29,2014-07-22,0.04047,0.03864,0.04047,0.03752,13330000.0,509695.5,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
30,2014-07-23,0.03956,0.03863,0.03981,0.03752,7100000.0,0.0,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
31,2014-07-24,0.03907,0.03946,0.03953,0.03751,7380000.0,0.0,7.5,0.09,1405.58,1408.8,1410.75,1394.04,25372742027.0,6351783470052.68
32,2014-07-25,0.03976,0.03804,0.03976,0.03804,1280000.0,0.0,7.5,0.09,1408.19,1388.41,1408.19,1386.14,29628586311.0,6259875281029.59
33,2014-07-28,0.03996,0.03797,0.03997,0.0375,13240000.0,504859.9,8.0,0.09,1387.12,1361.94,1387.14,1357.03,30461885017.0,6140507803885.11
34,2014-07-29,0.039,0.03839,0.039,0.03651,9350000.0,0.0,8.0,0.09,1361.22,1369.83,1380.29,1356.62,35280719684.0,6176106230122.06
35,2014-07-30,0.03751,0.03753,0.03845,0.03739,32930000.0,1246212.6,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
36,2014-07-31,0.03871,0.039,0.03939,0.03824,7030000.0,0.0,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
37,2014-08-01,0.03946,0.03939,0.04585,0.0388,28770000.0,1187523.6,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
38,2014-08-04,0.04197,0.0406,0.04476,0.03826,30420000.0,1248873.1,8.0,0.09,1375.73,1378.98,1386.43,1365.01,26195753576.0,6217358216917.08
39,2014-08-05,0.04246,0.04023,0.04246,0.0402,7280000.0,0.0,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
