,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-08-01,1.001,1.001,1.001,1.001,1000.0,31965708.1,5.5,0.08,1376.31,1398.46,1400.15,1375.93,23315082531.0,6234319606068.29
1,2013-08-19,1.0005,1.0005,1.0005,1.0005,1000.0,14172676.5,5.5,0.09,1380.56,1382.32,1384.33,1368.95,17873142853.0,6162344150683.63
2,2013-08-20,1.1148,1.1097,1.1148,0.7811,192000.0,8015046.0,5.5,0.09,1381.98,1377.28,1383.01,1365.22,21690495350.0,6139890201232.44
3,2013-08-21,1.4441,1.4441,1.4441,1.0119,3000.0,6583382.2,5.5,0.08,1376.82,1376.6,1390.29,1368.06,25959244434.0,6136843110725.03
4,2013-08-26,1.135,1.135,1.135,1.135,1000.0,8336436.6,5.5,0.08,1392.42,1387.06,1403.88,1382.6,11910072127.0,6183488794275.27
5,2013-08-28,1.15,1.15,1.15,1.15,1000.0,8433219.1,5.5,0.07,1374.27,1369.64,1375.39,1355.7,27177077921.0,6105859421428.65
6,2013-08-30,1.0918,1.0918,1.0918,1.0918,1000.0,13153312.7,5.5,0.07,1372.02,1364.65,1373.1,1357.93,21743602697.0,6083607084395.46
7,2013-09-02,1.0909,1.0808,1.1185,1.0808,5526000.0,6048011.3,5.5,0.07,1364.75,1367.53,1373.73,1364.27,12744074194.0,6096416686856.09
8,2013-09-03,1.09,1.0936,1.0994,1.0646,10279000.0,11117415.3,5.5,0.09,1366.99,1373.82,1384.18,1366.99,22164253799.0,6124460997187.43
9,2013-09-04,1.0863,1.0844,1.0986,1.0825,6430000.0,7006341.7,5.5,0.08,1372.98,1375.66,1376.42,1365.21,16929685929.0,6132675228404.21
10,2013-09-05,1.093,1.088,1.0931,1.075,14547000.0,15767599.1,5.5,0.08,1375.66,1422.4,1422.4,1373.29,37635586932.0,6341025156353.93
11,2013-09-06,1.089,1.0704,1.09,1.064,15407000.0,16647837.5,5.5,0.08,1421.86,1423.4,1448.75,1418.8,52189115910.0,6345500055740.21
12,2013-09-09,1.083,1.0935,1.0984,1.0773,13983000.0,15259024.3,5.5,0.08,1423.4,1451.54,1455.28,1421.45,45793220661.0,6470954296346.45
13,2013-09-10,1.1035,1.1147,1.12,1.0851,21052000.0,23323336.0,5.5,0.08,1451.54,1453.57,1464.2,1446.97,48929041065.0,6480000608741.71
14,2013-09-11,1.1199,1.1203,1.1349,1.1035,29596000.0,33149129.3,5.5,0.08,1452.52,1454.12,1459.68,1449.58,30684670193.0,6482453521611.17
