,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-08-28,1.15,1.15,1.15,1.15,22000.0,1291480.5,5.5,0.07,1374.27,1369.64,1375.39,1355.7,27177077921.0,6105859421428.65
1,2013-09-02,1.1398,1.1042,1.1398,1.08,3651000.0,4059702.4,5.5,0.07,1364.75,1367.53,1373.73,1364.27,12744074194.0,6096416686856.09
2,2013-09-03,1.11,1.0937,1.1139,1.0813,909000.0,995343.6,5.5,0.09,1366.99,1373.82,1384.18,1366.99,22164253799.0,6124460997187.43
3,2013-09-04,1.095,1.0964,1.107,1.0802,479000.0,527088.7,5.5,0.08,1372.98,1375.66,1376.42,1365.21,16929685929.0,6132675228404.21
4,2013-09-05,1.099,1.129,1.1291,1.0932,1681000.0,1857509.6,5.5,0.08,1375.66,1422.4,1422.4,1373.29,37635586932.0,6341025156353.93
5,2013-09-06,1.1191,1.1152,1.1529,1.1152,477000.0,544228.0,5.5,0.08,1421.86,1423.4,1448.75,1418.8,52189115910.0,6345500055740.21
6,2013-09-09,1.1249,1.143,1.1599,1.1041,1372000.0,1556944.5,5.5,0.08,1423.4,1451.54,1455.28,1421.45,45793220661.0,6470954296346.45
7,2013-09-10,1.1429,1.175,1.199,1.0791,2430000.0,2813979.3,5.5,0.08,1451.54,1453.57,1464.2,1446.97,48929041065.0,6480000608741.71
8,2013-09-11,1.1751,1.1708,1.1771,1.1502,349000.0,0.0,5.5,0.08,1452.52,1454.12,1459.68,1449.58,30684670193.0,6482453521611.17
9,2013-09-12,1.1601,1.1508,1.1709,1.123,1944000.0,2221343.4,5.5,0.08,1454.21,1450.23,1461.2,1441.58,32739117665.0,6465093271603.79
10,2013-09-13,1.1597,1.155,1.1619,1.15,1798000.0,2069601.6,5.5,0.08,1450.66,1440.74,1451.89,1434.74,24692731039.0,6422780705485.45
11,2013-09-16,1.161,1.24,1.24,1.1584,8561000.0,10334808.7,5.5,0.08,1441.06,1470.48,1470.65,1438.79,44309429172.0,6555391575249.64
12,2013-09-17,1.23,1.2005,1.2302,1.2005,717000.0,867409.3,5.5,0.08,1470.71,1473.03,1474.02,1461.86,23620116573.0,6916585966907.95
13,2013-09-18,1.2,1.1698,1.2098,1.1583,1705000.0,2011526.7,5.5,0.08,1472.17,1464.95,1482.59,1462.18,35222582334.0,6878658435503.36
14,2013-09-19,1.171,1.1929,1.2187,1.1603,2634000.0,3134817.6,5.5,0.09,1464.35,1487.19,1501.32,1463.8,53895959163.0,6983113967163.46
15,2013-09-20,1.1999,1.191,1.2009,1.15,33906000.0,40209956.4,5.5,0.08,1486.49,1476.73,1488.5,1476.07,31552058986.0,6933962169638.04
16,2013-09-23,1.1885,1.1781,1.195,1.16,609000.0,720817.3,5.5,0.09,1476.69,1467.62,1478.61,1463.61,26313729744.0,6891218287996.88
17,2013-09-24,1.1838,1.199,1.199,1.178,5152000.0,6130641.9,5.5,0.09,1466.41,1464.72,1472.11,1459.21,27919329025.0,6877568322623.03
18,2013-09-25,1.192,1.2,1.208,1.184,616000.0,737563.1,5.5,0.08,,,,,,
19,2013-09-26,1.2229,1.1979,1.234,1.1789,1445000.0,1731345.8,5.5,0.08,,,,,,
20,2013-09-27,1.1901,1.1809,1.1917,1.1523,1151000.0,1352342.1,5.5,0.08,,,,,,
21,2013-09-30,1.1856,1.1771,1.189,1.1718,16276000.0,19205824.3,5.5,0.06,,,,,,
22,2013-10-01,1.1899,1.1954,1.2099,1.1645,467000.0,556937.3,5.5,0.08,,,,,,
23,2013-10-02,1.1991,1.1807,1.23,1.1701,2467000.0,2971551.9,5.5,0.07,,,,,,
24,2013-10-03,1.1899,1.1791,1.218,1.1741,1145000.0,1360329.5,5.5,0.08,,,,,,
25,2013-10-04,1.1807,1.1903,1.1903,1.166,1698000.0,2008773.5,5.5,0.08,,,,,,
26,2013-10-07,1.185,1.1782,1.1999,1.1782,677000.0,804870.1,5.5,0.08,,,,,,
27,2013-10-08,1.1874,1.1898,1.1985,1.1808,891000.0,1061113.5,5.5,0.08,,,,,,
28,2013-10-09,1.1988,1.191,1.2009,1.182,768000.0,914991.8,5.5,0.09,,,,,,
29,2013-10-10,1.1939,1.2001,1.2011,1.1701,1586000.0,1889818.9,5.5,0.09,,,,,,
30,2013-10-11,1.1812,1.2007,1.2007,1.18,1830000.0,2168351.7,5.5,0.1,,,,,,
31,2013-10-14,1.2009,1.1995,1.2049,1.1852,1381000.0,1656551.4,5.5,0.1,,,,,,
32,2013-10-15,1.2059,1.2015,1.2191,1.1879,1217000.0,1464762.5,5.5,0.1,,,,,,
33,2013-10-16,1.1914,1.277,1.2795,1.1891,3092000.0,3855466.4,5.5,0.11,,,,,,
34,2013-10-17,1.264,1.277,1.277,1.244,1434000.0,1808477.6,5.5,0.1,,,,,,
35,2013-10-18,1.244,1.2881,1.2983,1.244,4476000.0,5743993.6,5.5,0.1,,,,,,
36,2013-10-21,1.2813,1.2604,1.2878,1.26,2237000.0,2849469.3,5.5,0.09,,,,,,
37,2013-10-22,1.2706,1.2731,1.2849,1.2606,2328000.0,2970576.7,5.5,0.08,,,,,,
38,2013-10-23,1.2316,1.2555,1.2732,1.2316,1218000.0,1527839.1,5.5,0.08,,,,,,
39,2013-10-24,1.2541,1.265,1.28,1.2531,1472000.0,1854218.4,5.5,0.08,,,,,,
40,2013-10-25,1.2602,1.271,1.275,1.257,461000.0,586442.3,5.5,0.08,,,,,,
41,2013-10-28,1.2758,1.275,1.3098,1.275,599000.0,770332.8,5.5,0.08,,,,,,
42,2013-10-29,1.2742,1.265,1.2742,1.265,400000.0,507572.1,5.5,0.08,,,,,,
43,2013-10-30,1.2689,1.2689,1.2759,1.256,1961000.0,2469062.9,5.5,0.08,,,,,,
44,2013-10-31,1.424,1.2648,1.424,1.2503,10572000.0,13354960.6,5.5,0.07,,,,,,
45,2013-11-01,1.2748,1.262,1.2798,1.262,203000.0,0.0,5.5,0.08,,,,,,
46,2013-11-05,1.2622,1.2291,1.2622,1.2291,434000.0,540714.5,5.5,0.08,,,,,,
47,2013-11-06,1.239,1.2048,1.2479,1.2034,2207000.0,2696220.5,5.5,0.08,,,,,,
48,2013-11-07,1.2149,1.2202,1.2348,1.2,895000.0,1086917.5,5.5,0.08,,,,,,
49,2013-11-08,1.2202,1.202,1.2202,1.1861,743000.0,892665.4,5.5,0.08,,,,,,
50,2013-11-11,1.194,1.2402,1.25,1.1933,1118000.0,1366765.0,5.5,0.08,,,,,,
51,2013-11-12,1.2495,1.219,1.2495,1.21,816000.0,992938.5,5.5,0.08,,,,,,
52,2013-11-13,1.21,1.1279,1.22,1.1046,4110000.0,4883671.3,5.5,0.08,,,,,,
53,2013-11-14,1.1291,1.2,1.2216,1.1291,7872000.0,9444881.9,5.5,0.09,,,,,,
54,2013-11-15,1.2217,1.23,1.23,1.2,1838000.0,2227022.1,5.5,0.09,,,,,,
55,2013-11-18,1.238,1.242,1.2675,1.2203,917000.0,1139195.4,5.5,0.09,,,,,,
56,2013-11-19,1.2675,1.2514,1.2698,1.22,655000.0,808303.0,5.5,0.09,,,,,,
57,2013-11-20,1.2104,1.2569,1.2569,1.202,584000.0,711001.2,5.5,0.09,,,,,,
58,2013-11-21,1.2751,1.2148,1.2751,1.201,1059000.0,1277919.0,5.5,0.09,,,,,,
59,2013-11-22,1.1054,1.2402,1.25,1.1054,9988000.0,12119182.0,5.5,0.09,,,,,,
60,2013-11-25,1.2839,1.231,1.2839,1.15,1262189000.0,1451755513.9,5.5,0.09,,,,,,
61,2013-11-26,1.4054,1.182,1.4054,1.1742,9382000.0,10547020.1,5.5,0.09,1502.89,1484.37,1503.7,1480.39,48229948205.0,6969845523930.55
62,2013-11-27,1.1992,1.1901,1.248,1.1604,17254000.0,20746757.5,5.5,0.09,1484.6,1475.42,1489.49,1473.23,41550434835.0,6927804014788.67
63,2013-11-28,1.215,1.2,1.24,1.1999,3177000.0,3816685.4,5.5,0.09,1475.16,1479.46,1487.5,1475.16,24668741069.0,6946793859819.43
64,2013-11-29,1.1952,1.1987,1.2182,1.1669,4377000.0,5136866.4,5.5,0.07,1480.08,1479.35,1484.02,1467.32,31291760745.0,6946263649103.18
65,2013-12-02,1.2168,1.1661,1.2267,1.1652,983000.0,1159108.4,5.5,0.09,1479.32,1473.26,1488.97,1472.55,24196675363.0,6917684865750.2
66,2013-12-03,1.1916,1.152,1.1916,1.151,4388000.0,5065349.0,5.5,0.09,1473.56,1448.84,1473.56,1441.36,47456307434.0,6803018523449.25
67,2013-12-04,1.1,1.1554,1.187,1.1,2585000.0,2986639.7,5.5,0.09,1450.22,1439.26,1455.82,1436.32,43484660557.0,6758022220391.5
68,2013-12-05,1.1686,1.165,1.1795,1.16,4949000.0,5763766.5,5.5,0.09,1437.77,1429.25,1447.44,1427.88,41406299250.0,6711012916339.87
69,2013-12-06,1.159,1.2035,1.2258,1.11,1027546000.0,1141316098.2,5.5,0.09,1429.25,1448.67,1451.05,1425.31,38501119521.0,6802220391429.27
70,2013-12-09,1.1897,1.2511,1.27,1.18,24821000.0,30747287.2,5.5,0.09,1448.67,1465.7,1467.2,1444.94,37250903478.0,6882186129056.72
71,2013-12-10,1.2022,1.25,1.2695,1.162,2153809000.0,2503511142.7,5.5,0.09,1465.7,1464.14,1471.29,1459.02,34812026533.0,6874866511027.26
72,2013-12-11,1.25,1.26,1.2697,1.2355,8768000.0,10987896.6,5.5,0.08,1464.14,1464.67,1470.0,1451.0,28795646065.0,6877366183674.53
73,2013-12-12,1.4553,1.27,1.4553,1.2169,10796000.0,13379354.6,5.5,0.09,1465.25,1449.74,1465.25,1444.62,36017750107.0,6807223603878.11
74,2013-12-13,1.2649,1.27,1.275,1.2513,2499000.0,3160640.9,5.5,0.08,1449.74,1452.76,1457.88,1449.21,32285420251.0,6821404463826.86
75,2013-12-16,1.27,1.28,1.29,1.24,7543000.0,9630502.7,5.5,0.09,1452.63,1470.22,1470.62,1445.0,40098483167.0,6903430451647.21
76,2013-12-17,1.2948,1.2903,1.3,1.2801,6676000.0,8667434.1,5.5,0.09,1469.57,1479.39,1483.08,1468.22,35648912988.0,6685012538785.19
77,2013-12-18,1.3385,1.335,1.3485,1.279,16404000.0,21522911.4,5.5,0.09,1480.09,1486.91,1488.27,1478.45,31633527060.0,6719006675908.59
78,2013-12-19,1.3497,1.365,1.3849,1.304,4952000.0,6731442.2,5.5,0.09,1488.21,1497.99,1509.2,1485.48,45080626868.0,6769074641636.64
79,2013-12-20,1.3331,1.3533,1.376,1.333,5624000.0,7696546.1,5.5,0.09,1499.17,1497.23,1502.86,1490.98,36565395553.0,6765643643953.46
80,2013-12-23,1.3946,1.3676,1.3946,1.337,4087000.0,5551832.4,5.5,0.09,1497.31,1507.49,1510.09,1495.22,28684771864.0,6811968678502.1
81,2013-12-24,1.3679,1.3699,1.37,1.3371,2184000.0,2980494.4,5.5,0.08,1506.89,1506.41,1510.9,1500.66,17528642060.0,6807119355340.79
82,2013-12-25,1.36,1.35,1.39,1.329,3251000.0,4432811.0,5.5,0.08,1506.41,1501.12,1510.28,1500.49,12007223777.0,6783195605596.29
83,2013-12-26,1.3356,1.3938,1.395,1.3356,20992000.0,28585269.7,5.5,0.08,1501.1,1501.47,1506.74,1499.17,12027701517.0,6784786482365.16
84,2013-12-27,1.38,1.425,1.4296,1.3521,10656000.0,14884226.7,5.5,0.08,1501.83,1494.83,1504.99,1494.33,16645779757.0,6754782477264.45
85,2013-12-30,1.4248,1.3893,1.48,1.3608,80169000.0,116486516.8,5.5,0.08,1496.27,1504.08,1504.85,1492.08,18692424302.0,6796555430941.05
86,2014-01-06,1.3521,1.393,1.4196,1.313,10273000.0,14146771.4,5.5,0.08,1504.14,1466.15,1504.33,1464.97,16900288729.0,6625173892374.47
87,2014-01-08,1.4088,1.3999,1.4216,1.3521,4362000.0,6060397.9,5.5,0.07,1465.99,1462.67,1470.25,1460.41,16027383642.0,6609448818656.81
88,2014-01-09,1.42,1.394,1.46,1.3704,2921000.0,4063887.0,5.5,0.07,1462.67,1465.14,1470.65,1460.81,20056121954.0,6620605693214.79
89,2014-01-10,1.394,1.38,1.455,1.3765,2779641000.0,4043692440.9,5.5,0.07,1465.74,1469.19,1470.73,1454.75,29274890126.0,6638937730227.75
90,2014-01-13,1.3557,1.3539,1.372,1.342,2783000.0,3782441.7,5.5,0.07,1469.19,1477.56,1482.45,1466.51,29596729994.0,6676748095453.91
91,2014-01-14,1.3423,1.298,1.3505,1.2931,3548000.0,4646721.7,5.5,0.07,1477.59,1469.64,1477.59,1453.85,31230659415.0,6640929567516.84
92,2014-01-15,1.312,1.3022,1.3196,1.2968,2320000.0,3036136.7,5.5,0.07,1469.76,1486.51,1487.83,1469.76,34589305532.0,6717172857420.66
93,2014-01-16,1.318,1.2497,1.321,1.0166,12754000.0,15683149.1,5.5,0.07,1486.37,1480.73,1492.58,1478.45,30825694232.0,6691061771394.78
94,2014-01-17,1.2351,1.28,1.28,1.2062,9551000.0,11961372.4,5.5,0.07,1480.63,1486.88,1495.05,1475.23,31481520592.0,6718875897162.79
95,2014-01-20,1.281,1.29,1.301,1.2803,320000.0,0.0,5.5,0.07,1485.75,1495.36,1498.37,1483.25,23823923486.0,6757186472436.97
96,2014-01-21,1.3,1.32,1.328,1.2902,7333000.0,9550657.8,5.5,0.07,1495.92,1504.68,1507.16,1495.92,32920294237.0,6799284158226.5
97,2014-01-22,1.3089,1.322,1.324,1.303,2614000.0,3446470.2,5.5,0.07,1503.6,1498.73,1505.31,1490.29,42599578316.0,6772398576733.01
