,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,109.52,110.48,113.69,109.0,168720.0,18874584.1,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,111.69,109.63,112.47,108.84,119030.0,13131128.4,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,110.95,108.94,111.22,108.63,103730.0,11391334.6,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-16,108.71,109.58,110.98,107.01,133970.0,14697499.9,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
4,2014-06-17,109.08,108.01,109.71,108.0,9160.0,994325.2,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
5,2014-06-18,108.91,108.8,109.74,108.69,6090.0,662515.2,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
6,2014-06-19,108.2,108.11,109.5,108.04,34210.0,3719509.6,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
7,2014-06-20,108.36,106.99,108.44,105.0,49430.0,5280081.0,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
8,2014-06-23,106.97,106.51,106.97,105.75,27760.0,2951571.3,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
9,2014-06-24,107.1,107.01,107.99,105.87,56180.0,6033811.7,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
10,2014-06-25,106.9,106.7,107.73,106.3,29170.0,3117418.0,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
11,2014-06-26,106.8,106.61,107.39,106.5,23200.0,2481837.8,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
12,2014-06-27,106.63,108.0,108.96,106.62,38690.0,4195158.1,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
13,2014-06-30,108.0,109.38,109.38,107.7,46640.0,5057608.0,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
14,2014-07-01,108.6,108.0,109.95,107.55,66500.0,7229124.7,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
15,2014-07-02,108.99,108.0,109.16,106.99,45490.0,4921808.4,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
16,2014-07-03,107.01,110.32,112.94,107.0,162940.0,18220057.5,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
17,2014-07-04,110.35,113.21,114.49,110.1,120960.0,13641997.9,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
18,2014-07-07,112.92,115.0,115.0,112.91,61200.0,7024928.9,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
19,2014-07-08,115.01,115.3,116.0,114.49,197190.0,22681806.3,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
20,2014-07-09,114.74,116.19,116.4,114.71,62990.0,7308646.9,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
21,2014-07-10,116.6,114.43,118.67,112.0,114440.0,13224898.0,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
22,2014-07-11,114.49,114.47,116.42,112.54,60940.0,6962174.0,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
23,2014-07-14,114.59,113.0,114.7,111.51,108910.0,12362508.0,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
24,2014-07-15,103.95,106.5,110.98,103.95,76220.0,8259047.1,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
25,2014-07-16,107.38,106.77,107.5,105.55,10400.0,1107375.5,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
26,2014-07-17,105.7,105.5,109.5,102.57,58400.0,6235009.7,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
27,2014-07-18,105.08,103.15,105.08,101.01,196890.0,20035242.3,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
28,2014-07-21,102.99,101.25,104.99,101.21,60460.0,6256434.3,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
29,2014-07-22,101.96,102.99,104.49,101.96,60180.0,6242366.7,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
30,2014-07-23,101.51,102.42,103.55,98.14,72350.0,7243590.3,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
31,2014-07-24,102.91,103.74,107.0,102.36,54720.0,5718563.1,7.5,0.09,1405.58,1408.8,1410.75,1394.04,25372742027.0,6351783470052.68
32,2014-07-25,102.63,100.55,103.48,100.53,5450.0,554396.7,7.5,0.09,1408.19,1388.41,1408.19,1386.14,29628586311.0,6259875281029.59
33,2014-07-28,101.31,97.1,101.31,97.1,10340.0,1019578.6,8.0,0.09,1387.12,1361.94,1387.14,1357.03,30461885017.0,6140507803885.11
34,2014-07-29,96.0,96.99,97.85,95.76,156260.0,15109860.6,8.0,0.09,1361.22,1369.83,1380.29,1356.62,35280719684.0,6176106230122.06
35,2014-07-30,96.9,97.31,99.5,96.69,69530.0,6826319.1,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
36,2014-07-31,98.43,97.27,98.46,97.04,5280.0,515558.0,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
37,2014-08-01,97.05,95.0,97.9,93.82,15070.0,1432336.0,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
38,2014-08-04,95.9,94.8,96.7,93.66,17080.0,1620549.4,8.0,0.09,1375.73,1378.98,1386.43,1365.01,26195753576.0,6217358216917.08
39,2014-08-05,94.64,93.02,95.4,93.01,44190.0,4157843.4,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
40,2014-08-06,93.97,90.96,93.97,90.96,139540.0,12806960.6,8.0,0.09,1357.33,1334.66,1362.22,1333.37,44555802086.0,6017513533119.65
41,2014-08-07,90.9,89.91,90.9,87.47,38820.0,3462688.9,8.0,0.09,1333.39,1333.53,1340.84,1306.8,46389687389.0,6012422895099.08
42,2014-08-08,90.6,91.06,93.37,89.5,131820.0,12180054.7,8.0,0.09,1332.26,1348.21,1360.49,1329.1,34479528820.0,6078629580593.59
43,2014-08-11,93.68,92.89,93.68,91.91,21670.0,2011663.0,8.0,0.09,1350.42,1372.45,1379.22,1350.42,31225367926.0,6187929554027.43
44,2014-08-12,93.9,92.26,93.98,91.91,14770.0,1368503.0,8.0,0.09,1372.94,1374.19,1386.2,1368.1,30027011620.0,6195754643005.9
45,2014-08-13,92.0,91.06,93.0,90.8,44720.0,4110695.7,8.0,0.09,1373.64,1398.85,1402.38,1373.27,33763586053.0,6306941447520.57
46,2014-08-14,90.22,91.0,91.79,90.22,25310.0,2305943.9,8.0,0.09,1399.07,1407.53,1412.88,1391.65,32917275901.0,6346061682927.05
47,2014-08-15,90.66,92.0,92.48,90.38,25600.0,2350794.1,8.0,0.09,1407.57,1417.82,1425.76,1400.7,26772144978.0,6392466871442.37
48,2014-08-18,92.59,91.31,92.59,90.82,32680.0,2990144.1,8.0,0.09,1418.05,1425.18,1427.95,1415.35,18156608193.0,6425664882271.03
49,2014-08-19,98.05,94.8,98.05,90.85,336110.0,31062858.0,8.0,0.09,1425.18,1437.6,1441.42,1425.18,25673186641.0,6481651396810.93
50,2014-08-20,94.78,95.86,95.95,94.36,34570.0,3300702.4,8.0,0.09,1437.58,1447.5,1447.5,1432.63,25728795150.0,6526296901006.62
51,2014-08-21,96.26,93.4,97.78,93.37,68940.0,6591596.0,8.0,0.09,1447.12,1461.75,1469.44,1445.48,28439597629.0,6590528216157.51
52,2014-08-22,93.03,93.33,94.45,92.65,55640.0,5206338.0,8.0,0.09,1461.79,1446.6,1463.71,1434.09,28861993115.0,6522253115433.8
53,2014-08-25,93.48,94.35,95.51,93.47,441980.0,41972180.3,8.0,0.09,1446.86,1454.67,1456.72,1446.09,17577741392.0,6558630723741.41
54,2014-08-26,94.71,92.7,94.71,92.6,29330.0,2755199.2,8.0,0.09,1454.47,1443.32,1460.0,1441.42,19706721633.0,6507455779142.91
55,2014-08-27,94.75,92.99,94.75,92.8,73970.0,6864849.4,8.0,0.09,1444.28,1447.91,1454.96,1444.28,19549941365.0,6528156723375.32
56,2014-08-28,93.79,88.96,93.79,88.88,106120.0,9650117.5,8.0,0.09,1447.54,1423.78,1447.76,1414.18,43849484690.0,6419337314027.56
57,2014-08-29,89.43,86.0,89.44,85.71,177750.0,15473131.8,8.0,0.07,1423.56,1400.71,1428.72,1400.44,34660154972.0,6315320939623.29
58,2014-09-01,88.52,85.48,88.84,85.25,79960.0,6874351.3,8.0,0.07,1401.34,1392.4,1419.9,1389.77,34518068575.0,6277859256745.77
59,2014-09-02,85.96,84.2,85.96,83.53,58820.0,4958332.4,8.0,0.09,1392.27,1400.35,1401.68,1386.31,20818865093.0,6313723045613.47
