,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-07-08,96.3,96.7,96.7,96.3,3000.0,62872870.8,5.5,0.1,1343.25,1348.88,1351.71,1338.57,15135318287.0,6013292014061.71
1,2013-07-11,95.1,95.1,95.1,95.1,1236.0,143185371.8,5.5,0.09,1333.12,1368.11,1370.07,1332.26,32510267533.0,6099018947194.47
2,2013-07-16,96.3,96.5,96.5,96.3,900.0,130906565.1,5.5,0.09,1403.43,1410.1,1416.97,1399.84,29526572066.0,6286202239124.43
3,2013-07-17,96.6,97.5,97.5,94.0,321.0,131088168.1,5.5,0.09,1409.21,1431.8,1432.35,1407.15,35722012697.0,6382943059723.18
4,2013-07-19,97.8,97.6,97.8,97.6,5136.0,86785587.1,5.5,0.09,1417.47,1421.67,1436.15,1408.9,29610094265.0,6337788617604.29
5,2013-07-23,120.0,91.0,122.7,91.0,296.0,74485251.0,5.5,0.09,1415.48,1417.34,1432.3,1415.48,26448101070.0,6318501986272.09
6,2013-08-05,98.0,98.0,98.0,98.0,777.0,88918128.0,5.5,0.08,1391.79,1391.75,1400.24,1388.26,15713577296.0,6204414868488.97
7,2013-08-07,94.0,94.5,94.5,94.0,3777.0,72559675.5,5.5,0.09,1364.31,1362.91,1375.09,1356.24,20605845443.0,6075843339058.16
8,2013-08-09,95.1,97.2,97.2,95.1,810.0,264816127.7,5.5,0.08,1360.82,1382.72,1384.93,1359.98,23753024883.0,6164139497388.76
9,2013-08-12,101.7,100.3,101.7,100.3,4600.0,289547511.4,5.5,0.08,1382.74,1388.36,1390.16,1378.93,18511035116.0,6189277251768.98
10,2013-08-13,105.0,105.0,105.0,105.0,3001.0,232825830.9,5.5,0.08,1387.9,1407.86,1409.91,1387.43,25248767872.0,6276208742460.25
11,2013-08-14,103.1,95.0,103.1,95.0,51.0,125867351.1,5.5,0.09,1408.73,1423.87,1425.1,1407.0,23876160396.0,6347592194221.77
12,2013-08-16,102.9,101.1,103.9,101.1,302.0,93359642.2,5.5,0.09,1392.98,1380.31,1396.5,1372.03,23811955700.0,6153425701933.13
13,2013-08-19,102.9,101.8,128.6,99.3,9400.0,34407107.5,5.5,0.09,1380.56,1382.32,1384.33,1368.95,17873142853.0,6162344150683.63
14,2013-08-20,98.0,98.5,98.5,98.0,270.0,89124607.3,5.5,0.09,1381.98,1377.28,1383.01,1365.22,21690495350.0,6139890201232.44
15,2013-08-21,100.7,97.7,100.7,97.1,1749.0,45355959.0,5.5,0.08,1376.82,1376.6,1390.29,1368.06,25959244434.0,6136843110725.03
16,2013-08-22,97.7,101.7,101.7,97.0,1050.0,134986599.1,5.5,0.09,1375.49,1396.65,1398.47,1368.06,26905346310.0,6226232566555.05
17,2013-08-23,100.3,100.3,102.8,100.3,135.0,67851838.5,5.5,0.08,1397.54,1393.21,1401.67,1392.59,19862975165.0,6210897083880.2
