,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-07-08,265.13,265.13,265.13,265.13,100.0,206597534.9,5.5,0.1,1343.25,1348.88,1351.71,1338.57,15135318287.0,6013292014061.71
1,2013-07-10,262.5,261.5,262.5,261.5,650.0,160957188.0,5.5,0.09,1345.48,1333.71,1349.64,1330.73,17995800679.0,5945645145878.68
2,2013-07-12,269.0,270.0,270.0,269.0,450.0,525010858.8,5.5,0.09,1368.11,1398.22,1398.48,1366.54,36828503914.0,6233265737451.09
3,2013-07-15,273.6,271.0,273.6,271.0,400.0,291976990.0,5.5,0.09,1396.38,1403.56,1409.11,1393.4,27485191287.0,6257066435129.66
4,2013-07-17,267.0,273.6,275.0,267.0,450.0,428966938.4,5.5,0.09,1409.21,1431.8,1432.35,1407.15,35722012697.0,6382943059723.18
5,2013-07-19,270.32,270.03,271.53,270.03,450.0,277104496.2,5.5,0.09,1417.47,1421.67,1436.15,1408.9,29610094265.0,6337788617604.29
6,2013-07-22,268.04,274.44,274.99,268.04,700.0,323457477.9,5.5,0.09,1421.67,1415.52,1429.36,1408.83,21827732138.0,6310356363185.49
7,2013-07-25,282.0,283.0,283.0,282.0,5500.0,443670854.8,5.5,0.09,1408.42,1401.88,1409.56,1396.11,23113129369.0,6249572713109.65
8,2013-07-29,283.0,277.01,283.0,277.01,510.0,488799832.3,5.5,0.08,1403.31,1398.3,1410.73,1397.93,16109119204.0,6233582869504.04
9,2013-07-30,278.0,278.6,279.79,278.0,16120.0,390951032.0,5.5,0.09,1398.24,1387.31,1409.21,1386.21,31777795211.0,6184591132308.99
10,2013-07-31,276.0,275.0,279.0,272.1,5930.0,629486882.2,5.5,0.09,1387.31,1375.79,1392.4,1375.38,25695490943.0,6133260944581.56
11,2013-08-01,279.99,282.0,282.0,279.99,1360.0,451416466.4,5.5,0.08,1376.31,1398.46,1400.15,1375.93,23315082531.0,6234319606068.29
12,2013-08-02,281.9,286.49,286.49,281.7,4010.0,279116469.3,5.5,0.09,1398.75,1392.15,1409.61,1383.28,23953578417.0,6206187340627.0
13,2013-08-06,282.12,282.12,282.12,282.12,10.0,337742963.8,5.5,0.09,1391.54,1364.65,1391.54,1363.51,18369408430.0,6083591948826.38
14,2013-08-08,285.0,285.2,285.2,285.0,40.0,255908355.3,5.5,0.09,1364.4,1362.38,1370.81,1353.71,23986978343.0,6073457608533.86
15,2013-08-09,290.4,290.4,290.4,290.4,4000.0,187493886.7,5.5,0.08,1360.82,1382.72,1384.93,1359.98,23753024883.0,6164139497388.76
16,2013-08-14,294.0,295.49,295.49,294.0,400.0,321129865.3,5.5,0.09,1408.73,1423.87,1425.1,1407.0,23876160396.0,6347592194221.77
17,2013-08-16,284.27,285.7,285.7,284.26,880.0,380171837.5,5.5,0.09,1392.98,1380.31,1396.5,1372.03,23811955700.0,6153425701933.13
18,2013-08-19,282.6,289.5,322.0,282.6,1340.0,297144060.1,5.5,0.09,1380.56,1382.32,1384.33,1368.95,17873142853.0,6162344150683.63
