,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,259.5,254.45,262.7,245.11,63820.0,16373111.6,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,255.99,256.0,260.0,251.51,72120.0,18453277.8,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,258.42,258.64,258.83,253.0,80100.0,20511923.3,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-16,259.99,265.0,272.12,253.0,295000.0,78152684.9,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
4,2014-06-17,265.99,263.2,270.0,260.0,57790.0,15192947.0,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
5,2014-06-18,260.77,270.0,285.0,260.61,193370.0,52235828.4,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
6,2014-06-19,274.89,274.6,278.0,269.5,69640.0,19001885.8,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
7,2014-06-20,276.41,273.8,278.0,272.17,146170.0,40159929.9,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
8,2014-06-23,275.09,270.4,275.3,269.3,22690.0,6182145.0,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
9,2014-06-24,263.64,269.99,278.89,263.64,70180.0,18936120.2,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
10,2014-06-25,271.81,268.0,272.96,265.01,49350.0,13273870.9,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
11,2014-06-26,268.62,269.13,270.9,268.19,46950.0,12652574.8,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
12,2014-06-27,270.74,266.84,270.74,266.0,70250.0,18780122.7,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
13,2014-06-30,266.84,269.92,272.46,261.71,87810.0,23184641.6,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
14,2014-07-01,265.01,267.0,268.8,263.03,128320.0,34036622.3,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
15,2014-07-02,264.02,268.98,273.45,264.02,134900.0,36270518.6,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
16,2014-07-03,253.69,255.5,256.36,252.0,221270.0,55840690.7,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
17,2014-07-04,255.33,254.65,257.49,254.65,51400.0,13158319.3,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
18,2014-07-07,255.08,256.74,257.02,253.6,88030.0,22602497.1,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
19,2014-07-08,255.71,256.1,257.0,255.19,63930.0,16385542.0,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
20,2014-07-09,256.0,255.99,256.99,255.0,41580.0,10627685.6,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
21,2014-07-10,256.8,249.21,256.8,248.53,160810.0,40559166.6,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
22,2014-07-11,250.85,245.95,251.39,245.95,61370.0,15271378.8,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
23,2014-07-14,247.5,252.83,253.5,246.01,44150.0,11086532.8,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
24,2014-07-15,252.61,250.54,257.2,248.68,77050.0,19339606.7,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
25,2014-07-16,248.74,252.3,254.2,237.55,31180.0,7739847.8,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
26,2014-07-17,250.0,239.64,253.2,236.5,155810.0,37397063.9,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
27,2014-07-18,238.36,235.15,238.71,232.0,178860.0,41759269.3,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
28,2014-07-21,239.11,232.0,239.11,230.25,144310.0,33508253.5,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
29,2014-07-22,232.2,232.5,235.5,230.71,54020.0,12588456.9,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
30,2014-07-23,230.33,232.22,234.99,230.33,23630.0,5486730.9,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
31,2014-07-24,232.58,232.8,233.8,230.0,23190.0,5358761.5,7.5,0.09,1405.58,1408.8,1410.75,1394.04,25372742027.0,6351783470052.68
32,2014-07-25,232.0,230.25,232.96,228.77,31920.0,7357730.9,7.5,0.09,1408.19,1388.41,1408.19,1386.14,29628586311.0,6259875281029.59
33,2014-07-28,232.99,227.18,232.99,224.99,21620.0,4926404.0,8.0,0.09,1387.12,1361.94,1387.14,1357.03,30461885017.0,6140507803885.11
