,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-19,208.99,208.99,208.99,208.99,10.0,0.0,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
1,2014-07-01,206.0,154.0,231.0,140.0,5920.0,1062261.8,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
2,2014-07-02,152.0,175.5,175.55,148.0,140.0,1083862.4,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
3,2014-07-03,199.97,169.99,199.97,140.0,9460.0,1362534.4,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
4,2014-07-04,172.99,150.0,172.99,140.0,280.0,0.0,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
5,2014-07-07,160.0,161.5,186.22,155.0,380.0,0.0,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
6,2014-07-08,148.0,160.65,160.65,148.0,100.0,0.0,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
7,2014-07-09,160.89,159.98,160.9,152.0,480.0,0.0,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
8,2014-07-10,159.98,159.77,174.95,155.0,270.0,0.0,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
9,2014-07-11,173.73,173.73,173.73,173.73,70.0,0.0,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
10,2014-07-14,178.0,178.0,178.0,178.0,10.0,0.0,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
11,2014-07-17,122.0,179.96,179.96,122.0,20.0,0.0,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
12,2014-07-21,151.5,151.5,151.5,151.5,140.0,0.0,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
13,2014-07-22,151.99,159.7,159.7,151.99,290.0,0.0,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
14,2014-07-23,159.54,159.54,159.54,159.54,50.0,0.0,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
15,2014-07-25,154.53,167.7,167.7,154.53,510.0,0.0,7.5,0.09,1408.19,1388.41,1408.19,1386.14,29628586311.0,6259875281029.59
16,2014-07-30,172.25,172.3,172.3,172.25,210.0,0.0,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
17,2014-07-31,172.3,188.0,188.0,172.3,150.0,0.0,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
18,2014-08-01,184.99,184.99,184.99,184.99,10.0,0.0,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
19,2014-08-04,185.99,185.99,185.99,185.99,390.0,0.0,8.0,0.09,1375.73,1378.98,1386.43,1365.01,26195753576.0,6217358216917.08
20,2014-08-05,187.0,187.0,187.0,187.0,30.0,0.0,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
21,2014-08-06,188.0,188.0,188.0,188.0,10.0,0.0,8.0,0.09,1357.33,1334.66,1362.22,1333.37,44555802086.0,6017513533119.65
22,2014-08-18,197.0,197.0,197.0,197.0,10.0,0.0,8.0,0.09,1418.05,1425.18,1427.95,1415.35,18156608193.0,6425664882271.03
23,2014-08-21,189.0,189.0,189.0,189.0,10.0,0.0,8.0,0.09,1447.12,1461.75,1469.44,1445.48,28439597629.0,6590528216157.51
24,2014-08-26,189.0,189.0,189.0,189.0,130.0,0.0,8.0,0.09,1454.47,1443.32,1460.0,1441.42,19706721633.0,6507455779142.91
25,2014-09-04,149.0,149.0,149.0,149.0,10.0,0.0,8.0,0.09,1449.51,1457.34,1462.03,1439.38,34234449476.0,6570639817053.64
26,2014-09-05,149.85,149.9,149.9,149.85,20.0,0.0,8.0,0.09,1456.0,1474.71,1481.15,1446.95,37451362820.0,6648981302593.65
27,2014-09-08,139.15,139.15,139.85,139.15,260.0,0.0,8.0,0.09,1474.38,1464.76,1478.26,1460.85,26433491805.0,6604117625006.14
28,2014-09-09,159.0,159.0,159.0,159.0,10.0,0.0,8.0,0.09,1465.13,1468.17,1479.64,1465.13,22936789195.0,6619470791030.01
29,2014-09-12,159.05,159.05,159.05,159.05,10.0,0.0,8.0,0.09,1449.4,1458.52,1470.49,1440.23,30540111711.0,6575983608620.8
30,2014-10-06,161.0,145.0,177.0,145.0,100.0,0.0,8.0,0.09,,,,,,
31,2014-10-09,139.0,139.5,140.0,139.0,100.0,0.0,8.0,0.08,,,,,,
32,2014-10-13,142.5,142.5,142.5,139.5,80.0,0.0,8.0,0.09,,,,,,
33,2014-10-20,159.5,139.0,159.5,139.0,370.0,0.0,8.0,0.09,,,,,,
34,2014-10-24,138.0,138.0,138.0,138.0,200.0,0.0,8.0,0.09,,,,,,
35,2014-10-27,138.0,138.0,145.0,137.0,260.0,0.0,8.0,0.09,,,,,,
36,2014-11-05,140.0,136.5,140.0,136.0,120.0,0.0,9.5,0.09,1490.66,1495.26,1496.19,1471.25,35993706175.0,7121819234260.93
37,2014-11-06,140.0,140.0,140.0,140.0,20.0,0.0,9.5,0.09,1495.47,1497.46,1521.14,1490.66,40485840607.0,7132315424108.46
38,2014-11-07,149.0,149.0,149.0,149.0,10.0,0.0,9.5,0.09,1496.51,1497.11,1526.08,1486.37,62435787319.0,7130652967630.07
