,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,10.336,9.5,10.336,9.5,1200.0,0.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-11,10.015,10.015,10.015,10.015,100.0,0.0,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
2,2014-06-16,10.26,10.44,10.44,10.26,300.0,0.0,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
3,2014-06-17,10.0,9.575,10.0,9.575,1000.0,0.0,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
4,2014-06-19,10.0,10.0,10.0,9.999,1100.0,0.0,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
5,2014-06-20,10.298,10.0,10.75,9.522,5400.0,0.0,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
6,2014-06-23,10.0,10.399,10.399,10.0,200.0,0.0,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
7,2014-06-24,10.398,9.81,10.399,9.81,3300.0,0.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
8,2014-06-26,10.57,10.57,10.57,10.57,300.0,0.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
9,2014-07-01,9.756,9.756,9.756,9.756,100.0,0.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
10,2014-07-02,10.499,10.011,13.2,10.0,48800.0,513599.7,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
11,2014-07-03,10.1,9.98,10.1,9.98,4100.0,0.0,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
12,2014-07-04,10.1,10.1,10.1,10.099,3100.0,0.0,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
13,2014-07-07,9.98,9.98,9.98,9.98,2300.0,0.0,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
14,2014-07-09,10.24,10.241,10.241,10.24,1300.0,0.0,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
15,2014-07-18,9.84,9.84,9.84,9.84,100.0,0.0,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
16,2014-07-21,9.834,9.833,9.834,9.833,500.0,0.0,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
17,2014-07-24,9.833,8.581,9.833,8.581,1100.0,0.0,7.5,0.09,1405.58,1408.8,1410.75,1394.04,25372742027.0,6351783470052.68
18,2014-07-25,9.015,9.015,9.015,9.015,100.0,0.0,7.5,0.09,1408.19,1388.41,1408.19,1386.14,29628586311.0,6259875281029.59
19,2014-07-29,9.98,9.98,9.98,9.98,100.0,0.0,8.0,0.09,1361.22,1369.83,1380.29,1356.62,35280719684.0,6176106230122.06
20,2014-07-30,8.734,8.783,9.98,8.721,7500.0,0.0,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
21,2014-08-01,9.494,10.525,10.525,9.494,1000.0,0.0,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
22,2014-08-05,9.5,11.777,11.777,9.5,3500.0,0.0,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
23,2014-08-07,11.707,10.999,11.707,8.878,4300.0,0.0,8.0,0.09,1333.39,1333.53,1340.84,1306.8,46389687389.0,6012422895099.08
24,2014-08-08,10.0,10.001,10.001,10.0,200.0,0.0,8.0,0.09,1332.26,1348.21,1360.49,1329.1,34479528820.0,6078629580593.59
25,2014-08-11,11.5,9.984,11.5,9.983,1300.0,0.0,8.0,0.09,1350.42,1372.45,1379.22,1350.42,31225367926.0,6187929554027.43
26,2014-08-13,9.139,9.6,9.986,8.556,19200.0,0.0,8.0,0.09,1373.64,1398.85,1402.38,1373.27,33763586053.0,6306941447520.57
27,2014-08-15,9.499,9.999,9.999,9.499,12100.0,0.0,8.0,0.09,1407.57,1417.82,1425.76,1400.7,26772144978.0,6392466871442.37
28,2014-08-18,9.511,10.366,10.366,9.51,1100.0,0.0,8.0,0.09,1418.05,1425.18,1427.95,1415.35,18156608193.0,6425664882271.03
29,2014-08-19,9.1,10.695,10.695,8.64,3700.0,0.0,8.0,0.09,1425.18,1437.6,1441.42,1425.18,25673186641.0,6481651396810.93
30,2014-08-20,10.656,9.521,10.656,9.521,200.0,0.0,8.0,0.09,1437.58,1447.5,1447.5,1432.63,25728795150.0,6526296901006.62
31,2014-08-21,10.485,10.485,10.485,10.485,100.0,0.0,8.0,0.09,1447.12,1461.75,1469.44,1445.48,28439597629.0,6590528216157.51
32,2014-08-22,10.657,10.657,10.657,10.657,100.0,0.0,8.0,0.09,1461.79,1446.6,1463.71,1434.09,28861993115.0,6522253115433.8
33,2014-08-26,9.61,11.467,11.467,9.61,3400.0,0.0,8.0,0.09,1454.47,1443.32,1460.0,1441.42,19706721633.0,6507455779142.91
34,2014-09-01,9.601,9.601,9.601,9.601,100.0,0.0,8.0,0.07,1401.34,1392.4,1419.9,1389.77,34518068575.0,6277859256745.77
35,2014-09-04,11.0,10.962,11.0,9.8,300.0,0.0,8.0,0.09,1449.51,1457.34,1462.03,1439.38,34234449476.0,6570639817053.64
36,2014-09-09,9.55,9.7,9.7,9.55,300.0,0.0,8.0,0.09,1465.13,1468.17,1479.64,1465.13,22936789195.0,6619470791030.01
37,2014-09-10,10.799,10.799,10.799,10.799,100.0,0.0,8.0,0.09,1466.99,1468.55,1472.23,1456.21,19594281049.0,6621186609667.49
38,2014-09-12,10.8,10.8,10.8,10.8,100.0,0.0,8.0,0.09,1449.4,1458.52,1470.49,1440.23,30540111711.0,6575983608620.8
39,2014-09-15,9.7,10.886,10.886,9.7,200.0,0.0,8.0,0.09,1457.87,1454.19,1466.43,1441.26,36468665661.0,6556462216365.1
40,2014-09-19,10.0,10.985,10.985,10.0,200.0,0.0,8.0,0.09,1448.19,1431.58,1454.16,1423.44,41661321148.0,6818524090027.49
41,2014-09-22,11.0,11.3,11.3,11.0,300.0,0.0,8.0,0.09,1431.12,1412.83,1436.21,1412.83,24222806047.0,6729253251808.7
42,2014-09-25,9.607,11.0,11.0,9.607,200.0,0.0,8.0,0.09,,,,,,
43,2014-09-26,11.299,9.88,11.299,9.661,900.0,0.0,8.0,0.09,,,,,,
44,2014-09-29,9.701,10.465,10.465,9.701,200.0,0.0,8.0,0.08,,,,,,
45,2014-10-01,10.45,10.5,10.5,10.45,1300.0,0.0,8.0,0.09,,,,,,
46,2014-10-02,9.75,10.4,10.4,9.75,200.0,0.0,8.0,0.09,,,,,,
47,2014-10-03,9.95,9.95,9.95,9.95,400.0,0.0,8.0,0.09,,,,,,
48,2014-10-09,10.0,10.0,10.0,10.0,100.0,0.0,8.0,0.08,,,,,,
49,2014-10-13,9.75,10.45,10.45,9.75,200.0,0.0,8.0,0.09,,,,,,
50,2014-10-14,11.0,11.45,12.3,9.95,500.0,0.0,8.0,0.09,,,,,,
51,2014-10-17,9.8,10.2,10.95,9.7,4900.0,0.0,8.0,0.09,,,,,,
52,2014-10-22,10.75,10.75,10.75,10.75,100.0,0.0,8.0,0.09,,,,,,
53,2014-10-28,9.5,10.1,10.1,9.05,1200.0,0.0,8.0,0.09,,,,,,
54,2014-10-29,10.25,10.25,10.25,10.25,100.0,0.0,8.0,0.09,1415.53,1439.58,1441.98,1411.0,36586717584.0,6856662513241.23
55,2014-10-31,10.2,10.2,10.2,10.15,700.0,0.0,8.0,0.07,1453.89,1488.47,1488.47,1453.89,51863127433.0,7089520800994.4
56,2014-11-03,10.5,10.5,10.5,10.5,100.0,0.0,8.0,0.09,1488.15,1491.19,1495.86,1477.06,17481520523.0,7102462053889.69
57,2014-11-12,9.2,10.2,10.2,9.2,1700.0,0.0,9.5,0.09,1514.85,1513.83,1524.72,1507.45,34100235041.0,7210271305547.86
58,2014-11-13,10.9,10.9,10.9,10.9,200.0,0.0,9.5,0.09,1514.19,1492.27,1522.87,1492.27,39369641894.0,7107618216442.59
59,2014-11-14,10.95,10.55,10.95,10.55,200.0,0.0,9.5,0.09,1491.75,1500.76,1507.93,1481.97,34296102848.0,7148016471313.82
60,2014-11-18,10.8,10.8,10.8,10.8,200.0,0.0,9.5,0.11,1506.78,1519.61,1524.8,1495.09,37626778528.0,7237803241252.88
61,2014-11-19,10.15,10.6,10.6,10.15,200.0,0.0,9.5,0.1,1519.69,1517.97,1524.1,1513.68,31482266937.0,7230003229613.9
62,2014-11-24,10.5,10.5,10.5,10.5,2200.0,0.0,9.5,0.1,1539.95,1529.54,1541.75,1521.83,31750458256.0,7285128652947.91
63,2014-11-25,9.6,9.7,9.7,9.4,7200.0,0.0,9.5,0.1,1529.62,1529.57,1537.65,1516.18,27545836432.0,7285244990377.67
64,2014-11-26,9.3,9.9,9.9,9.05,1000.0,0.0,9.5,0.1,1528.83,1537.43,1537.43,1522.5,30877259958.0,7322717397660.45
65,2014-11-28,9.95,9.95,9.95,9.95,100.0,0.0,9.5,0.08,1531.34,1533.68,1540.07,1518.45,45610410708.0,7304816361041.94
66,2014-12-01,9.9,9.95,9.95,9.9,200.0,0.0,9.5,0.13,1532.89,1578.38,1598.19,1525.35,62166248251.0,7517749945811.61
67,2014-12-02,10.0,9.2,10.0,9.2,5500.0,0.0,9.5,0.12,1578.4,1583.12,1596.96,1555.89,46843420167.0,7540317495902.56
68,2014-12-03,8.7,9.7,9.7,8.65,500.0,0.0,9.5,0.12,1583.62,1606.84,1608.92,1578.93,47389306057.0,7653293169132.22
69,2014-12-05,8.85,9.5,9.5,8.7,600.0,0.0,9.5,0.12,1581.89,1529.2,1586.6,1528.65,44052547228.0,7283478688046.0
70,2014-12-08,9.35,9.9,9.9,9.35,600.0,0.0,9.5,0.12,1529.73,1481.27,1551.66,1476.02,46772419082.0,7055222590397.55
71,2014-12-09,8.5,9.9,9.9,8.1,18200.0,0.0,9.5,0.12,1481.49,1475.22,1490.27,1459.77,43732135318.0,7026377302115.53
72,2014-12-10,8.3,8.55,9.65,8.3,2100.0,0.0,9.5,0.12,1475.93,1486.85,1514.63,1475.93,42337397882.0,7081796065851.96
73,2014-12-12,9.2,9.2,9.3,8.55,4900.0,0.0,10.5,0.12,1453.8,1459.68,1488.4,1413.04,51200831401.0,6952391085611.55
74,2014-12-15,8.85,9.35,9.35,8.35,3900.0,0.0,10.5,0.11,1459.25,1424.99,1483.38,1402.83,68027939909.0,6787127409924.95
75,2014-12-16,8.4,9.25,9.25,8.15,1700.0,0.0,17.0,0.12,1424.72,1444.32,1484.06,1309.6,100830509677.0,6695173218130.9
76,2014-12-18,9.6,12.0,12.0,9.6,24600.0,0.0,17.0,0.13,1417.41,1477.27,1506.13,1417.41,78761569805.0,6847878823692.59
77,2014-12-19,11.7,10.25,11.7,10.05,10900.0,0.0,17.0,0.13,1477.36,1449.13,1488.34,1417.68,44856913714.0,6717440284468.56
78,2014-12-22,10.05,10.85,10.85,10.05,200.0,0.0,17.0,0.13,1452.95,1437.08,1466.34,1421.39,50209370839.0,6661583735341.69
79,2014-12-23,10.05,10.75,10.75,10.0,1300.0,0.0,17.0,0.13,1437.08,1398.2,1446.31,1391.38,42501810335.0,6481362092230.03
80,2014-12-24,11.3,11.2,11.45,8.7,1400.0,0.0,17.0,0.13,1398.2,1401.5,1411.56,1383.61,28015719243.0,6496652700159.9
81,2014-12-25,11.5,11.5,11.5,11.5,200.0,0.0,17.0,0.13,1401.47,1408.54,1410.06,1383.91,23569010203.0,6529289258920.08
82,2014-12-29,9.2,10.55,10.55,9.2,400.0,0.0,17.0,0.13,1417.53,1432.94,1489.75,1409.1,31782008617.0,6642405410265.22
83,2014-12-30,9.15,10.4,10.4,9.05,1100.0,0.0,17.0,0.13,1429.68,1396.61,1430.01,1378.54,26156334473.0,6473977848191.16
84,2015-01-08,11.0,9.55,11.0,9.55,1000.0,0.0,17.0,0.12,1482.12,1547.39,1564.87,1481.93,35505063516.0,7172914288797.3
85,2015-01-12,12.85,11.4,12.85,11.35,1000.0,0.0,17.0,0.12,1515.23,1513.22,1534.74,1503.49,23419055856.0,7014538161692.29
86,2015-01-23,9.35,11.15,11.15,9.3,300.0,0.0,17.0,0.12,1667.99,1671.8,1700.78,1662.11,44311526698.0,7749626061678.21
87,2015-02-13,11.1,11.1,11.15,11.1,1000.0,0.0,15.0,0.12,1802.88,1838.18,1839.71,1802.88,75313894394.0,8520878105106.55
88,2015-02-16,10.6,10.6,12.8,10.6,27600.0,0.0,15.0,0.12,1838.21,1800.59,1848.15,1785.54,36790994748.0,8346635245369.05
89,2015-02-17,9.95,11.5,11.9,9.65,1300.0,0.0,15.0,0.12,1800.92,1793.82,1842.59,1781.8,52881168864.0,8315263404962.52
90,2015-02-18,11.0,10.4,11.0,10.4,1300.0,0.0,15.0,0.12,1795.83,1809.67,1833.14,1795.59,49388542824.0,8388736905011.3
91,2015-02-19,10.0,10.0,10.0,10.0,25000.0,0.0,15.0,0.12,1809.67,1797.87,1819.89,1757.33,47713577864.0,8334054255029.34
92,2015-02-20,11.1,11.1,11.1,11.1,100.0,0.0,15.0,0.12,1797.88,1792.7,1809.24,1780.0,31928247145.0,8310073504191.34
93,2015-02-25,11.0,11.25,11.25,10.0,7400.0,0.0,15.0,0.11,1772.4,1746.23,1773.73,1727.7,34882084448.0,8094632152285.09
94,2015-02-26,11.2,9.8,11.2,9.8,2300.0,0.0,15.0,0.11,1746.79,1760.66,1769.53,1735.27,40878525521.0,8161537848495.47
95,2015-03-02,10.9,9.9,10.9,9.9,300.0,0.0,15.0,0.12,1759.25,1783.34,1789.54,1759.18,28597842943.0,8266656116234.64
96,2015-03-03,10.9,10.05,10.9,10.05,1200.0,0.0,15.0,0.12,1783.44,1807.7,1825.94,1769.58,41033146650.0,8379594412603.44
97,2015-03-04,10.15,9.85,10.85,9.6,6600.0,0.0,15.0,0.11,1807.71,1759.35,1816.23,1756.33,32963701938.0,8155467579648.85
98,2015-03-05,9.7,10.0,10.75,9.6,10300.0,0.0,15.0,0.11,1760.67,1760.55,1792.04,1746.06,42976918874.0,8161056789384.63
99,2015-03-06,10.05,9.7,10.1,9.7,5000.0,0.0,15.0,0.12,1761.29,1728.55,1766.86,1723.09,28339130028.0,8012721518510.74
100,2015-03-11,9.7,10.95,10.95,9.7,1600.0,0.0,15.0,0.11,1665.41,1671.47,1692.31,1655.32,36032409936.0,7748100580259.65
