,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,49.59,49.42,49.74,49.09,1740420.0,85971115.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,49.35,48.6,49.35,47.78,2858080.0,138071962.4,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,48.56,48.33,49.25,48.2,1747920.0,84979937.3,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-16,47.9,48.3,48.94,46.83,5256360.0,253577032.8,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
4,2014-06-17,48.3,48.39,48.89,47.61,2565250.0,123652813.4,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
5,2014-06-18,48.53,49.17,49.5,48.2,2450060.0,119849283.2,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
6,2014-06-19,49.6,48.97,50.3,48.7,2394930.0,118866650.3,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
7,2014-06-20,49.17,47.8,49.17,47.8,1778640.0,85715128.6,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
8,2014-06-23,48.0,46.85,48.32,46.29,2543640.0,119690537.5,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
9,2014-06-24,47.02,47.46,47.6,46.81,2674080.0,125982258.4,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
10,2014-06-25,47.32,45.8,47.32,45.65,2119910.0,98340716.5,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
11,2014-06-26,46.03,45.75,46.2,45.52,1407260.0,64427899.3,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
12,2014-06-27,45.0,47.0,47.0,44.9,2929670.0,134628615.4,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
13,2014-06-30,47.33,47.38,47.67,46.41,2318460.0,109083816.3,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
14,2014-07-01,47.29,47.72,47.9,46.9,1775530.0,84333424.3,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
15,2014-07-02,47.72,48.8,48.99,47.6,3193780.0,154586334.7,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
16,2014-07-03,48.57,49.69,49.87,48.57,3029540.0,149605870.3,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
17,2014-07-04,49.69,49.09,49.96,48.66,2445850.0,120355455.0,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
18,2014-07-07,49.14,50.1,50.3,48.7,2148360.0,106636184.3,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
19,2014-07-08,50.42,49.97,50.92,49.62,2735300.0,137617868.2,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
20,2014-07-09,49.92,49.53,50.45,49.3,1785330.0,88832133.8,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
21,2014-07-10,49.58,48.4,50.0,48.01,3045780.0,148603794.8,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
22,2014-07-11,48.46,48.9,48.98,48.06,1700610.0,82406953.3,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
23,2014-07-14,48.86,48.9,49.42,48.45,1241680.0,60756834.2,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
24,2014-07-15,48.9,49.47,50.13,48.6,2223530.0,110179572.1,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
25,2014-07-16,49.44,49.99,50.7,49.21,2633430.0,131428218.6,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
26,2014-07-17,50.0,49.9,50.0,49.05,2905070.0,143889128.8,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
