,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,2.21,2.26,2.26,2.2001,995000.0,2234452.3,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,2.35,2.216,2.35,2.2001,269000.0,586321.9,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,2.2084,2.2301,2.2447,2.2084,497000.0,1109973.7,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-16,2.2275,2.3299,2.43,2.2001,2702000.0,6334090.0,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
4,2014-06-17,2.3,2.42,2.4296,2.2801,1723000.0,4087074.8,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
5,2014-06-18,2.4,2.36,2.4099,2.3404,901000.0,2134831.1,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
6,2014-06-19,2.3816,2.31,2.3816,2.3055,549000.0,1271411.4,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
7,2014-06-20,2.319,2.15,2.33,2.15,2387000.0,5446262.7,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
8,2014-06-23,2.15,2.2002,2.24,2.1499,1312000.0,2775230.2,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
9,2014-06-24,2.2103,2.2222,2.2497,2.2001,279000.0,618844.7,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
10,2014-06-25,2.2123,2.1857,2.2193,2.1857,230000.0,507664.3,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
11,2014-06-26,2.1979,2.205,2.21,2.1979,277000.0,611656.4,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
12,2014-06-27,2.1998,2.1909,2.2203,2.1909,432000.0,951631.8,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
13,2014-06-30,2.1909,2.2078,2.2078,2.1885,102000.0,0.0,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
14,2014-07-01,2.1952,2.1952,2.1952,2.1952,1000.0,0.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
