,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,746.9,747.0,747.0,746.9,14.0,0.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-19,777.7,852.0,852.0,777.7,30.0,0.0,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
2,2014-06-20,720.1,700.0,720.1,700.0,17.0,0.0,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
3,2014-06-23,701.0,690.0,702.0,690.0,29.0,0.0,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
4,2014-06-24,710.0,750.0,750.1,710.0,78.0,0.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
5,2014-06-25,750.0,854.0,854.0,750.0,370.0,0.0,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
6,2014-06-26,846.0,901.0,901.0,846.0,431.0,0.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
7,2014-07-01,899.9,750.1,899.9,750.1,2.0,682254.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
8,2014-07-02,868.9,750.1,868.9,750.1,4.0,0.0,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
9,2014-07-22,749.9,749.9,749.9,749.9,1.0,0.0,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
10,2014-07-31,789.9,789.9,789.9,789.9,5.0,0.0,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
11,2014-08-01,750.0,750.0,750.0,750.0,2.0,0.0,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
12,2014-08-04,789.9,750.0,800.0,750.0,346.0,0.0,8.0,0.09,1375.73,1378.98,1386.43,1365.01,26195753576.0,6217358216917.08
13,2014-08-05,750.0,800.0,800.0,750.0,12.0,0.0,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
14,2014-08-08,750.0,750.0,750.0,750.0,50.0,0.0,8.0,0.09,1332.26,1348.21,1360.49,1329.1,34479528820.0,6078629580593.59
15,2014-08-11,750.0,780.0,780.0,750.0,108.0,0.0,8.0,0.09,1350.42,1372.45,1379.22,1350.42,31225367926.0,6187929554027.43
16,2014-08-14,750.0,750.0,750.0,750.0,94.0,0.0,8.0,0.09,1399.07,1407.53,1412.88,1391.65,32917275901.0,6346061682927.05
17,2014-08-19,760.0,760.0,760.0,760.0,42.0,0.0,8.0,0.09,1425.18,1437.6,1441.42,1425.18,25673186641.0,6481651396810.93
18,2014-08-20,800.0,773.0,800.0,770.0,285.0,0.0,8.0,0.09,1437.58,1447.5,1447.5,1432.63,25728795150.0,6526296901006.62
19,2014-08-21,770.1,770.1,770.1,770.1,10.0,0.0,8.0,0.09,1447.12,1461.75,1469.44,1445.48,28439597629.0,6590528216157.51
20,2014-08-25,770.0,775.4,775.4,770.0,18.0,0.0,8.0,0.09,1446.86,1454.67,1456.72,1446.09,17577741392.0,6558630723741.41
21,2014-08-26,780.1,780.1,780.1,780.1,1.0,0.0,8.0,0.09,1454.47,1443.32,1460.0,1441.42,19706721633.0,6507455779142.91
22,2014-08-28,770.2,770.0,770.2,770.0,1004.0,773082.7,8.0,0.09,1447.54,1423.78,1447.76,1414.18,43849484690.0,6419337314027.56
23,2014-08-29,770.0,765.0,770.0,765.0,372.0,0.0,8.0,0.07,1423.56,1400.71,1428.72,1400.44,34660154972.0,6315320939623.29
24,2014-09-01,770.0,785.2,866.0,770.0,883.0,712114.0,8.0,0.07,1401.34,1392.4,1419.9,1389.77,34518068575.0,6277859256745.77
25,2014-09-02,849.9,920.0,920.0,849.9,1066.0,949979.1,8.0,0.09,1392.27,1400.35,1401.68,1386.31,20818865093.0,6313723045613.47
26,2014-09-03,900.1,900.0,900.1,900.0,415.0,1323479.2,8.0,0.09,1400.44,1449.29,1452.92,1400.44,56947742576.0,6534374903303.01
27,2014-09-04,899.9,900.0,900.0,899.9,51.0,1369379.1,8.0,0.09,1449.51,1457.34,1462.03,1439.38,34234449476.0,6570639817053.64
28,2014-09-23,950.0,999.9,999.9,950.0,11.0,0.0,8.0,0.09,1413.57,1429.45,1432.37,1413.49,25653683539.0,6808383919755.99
29,2014-10-07,807.0,807.0,807.0,807.0,1.0,0.0,8.0,0.09,,,,,,
30,2014-10-10,825.0,825.0,825.0,825.0,1215.0,0.0,8.0,0.09,,,,,,
31,2014-10-13,825.0,825.0,825.0,825.0,319.0,0.0,8.0,0.09,,,,,,
32,2014-10-20,801.0,801.0,801.0,801.0,40.0,1298397.0,8.0,0.09,,,,,,
33,2014-10-28,825.0,825.0,825.0,825.0,1.0,0.0,8.0,0.09,,,,,,
34,2014-11-05,820.0,820.0,820.0,820.0,4.0,0.0,9.5,0.09,1490.66,1495.26,1496.19,1471.25,35993706175.0,7121819234260.93
35,2014-11-10,820.0,821.0,821.0,819.0,291.0,0.0,9.5,0.09,1498.62,1515.36,1518.73,1498.59,36072189835.0,7217582952688.41
36,2014-11-11,821.0,821.0,821.0,820.0,525.0,0.0,9.5,0.09,1515.08,1514.78,1531.92,1511.53,38459111229.0,7214829498289.61
37,2014-11-12,820.0,821.0,822.0,805.0,477.0,0.0,9.5,0.09,1514.85,1513.83,1524.72,1507.45,34100235041.0,7210271305547.86
