,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,695.4,704.0,704.0,695.4,2.0,0.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,705.0,705.0,705.0,705.0,10.0,0.0,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,702.0,702.0,702.0,702.0,5.0,0.0,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-16,700.0,700.0,700.0,700.0,3.0,0.0,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
4,2014-06-17,700.0,700.0,700.0,700.0,71.0,0.0,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
5,2014-06-19,699.9,699.7,700.0,620.1,22.0,0.0,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
6,2014-06-20,630.1,697.8,697.8,630.0,4.0,0.0,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
7,2014-06-23,699.0,699.0,699.0,699.0,2.0,0.0,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
8,2014-06-24,699.9,703.0,703.0,699.9,224.0,0.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
9,2014-06-25,700.0,711.0,711.0,700.0,513.0,0.0,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
10,2014-06-26,711.0,718.0,718.0,700.0,352.0,0.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
11,2014-06-30,717.2,717.2,717.2,717.2,1.0,0.0,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
12,2014-07-01,716.7,716.7,716.7,660.2,3.0,614244.7,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
13,2014-07-09,707.0,707.0,707.0,707.0,10.0,0.0,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
14,2014-07-10,690.1,690.0,690.1,670.0,9.0,0.0,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
15,2014-07-14,670.0,650.0,670.0,649.9,37.0,0.0,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
16,2014-07-15,645.0,645.0,645.0,645.0,12.0,0.0,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
17,2014-07-17,695.0,695.0,695.0,695.0,10.0,0.0,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
18,2014-07-18,640.0,650.0,650.0,640.0,11.0,0.0,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
19,2014-07-21,620.6,663.2,663.2,616.0,33.0,0.0,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
20,2014-07-25,650.0,650.0,650.0,650.0,10.0,0.0,7.5,0.09,1408.19,1388.41,1408.19,1386.14,29628586311.0,6259875281029.59
21,2014-07-28,600.1,649.5,649.5,600.0,7.0,0.0,8.0,0.09,1387.12,1361.94,1387.14,1357.03,30461885017.0,6140507803885.11
22,2014-08-01,562.6,644.6,644.6,560.2,54.0,0.0,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
23,2014-08-05,639.7,639.7,639.7,639.7,1.0,0.0,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
24,2014-08-07,600.2,580.0,600.2,542.0,199.0,0.0,8.0,0.09,1333.39,1333.53,1340.84,1306.8,46389687389.0,6012422895099.08
25,2014-08-08,585.0,550.0,598.8,542.0,440.0,0.0,8.0,0.09,1332.26,1348.21,1360.49,1329.1,34479528820.0,6078629580593.59
26,2014-08-11,550.0,579.9,579.9,543.1,445.0,0.0,8.0,0.09,1350.42,1372.45,1379.22,1350.42,31225367926.0,6187929554027.43
27,2014-08-12,555.1,594.8,594.8,550.0,61.0,0.0,8.0,0.09,1372.94,1374.19,1386.2,1368.1,30027011620.0,6195754643005.9
28,2014-08-14,570.3,575.0,597.9,550.6,94.0,0.0,8.0,0.09,1399.07,1407.53,1412.88,1391.65,32917275901.0,6346061682927.05
