,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-04-10,317.74,317.74,317.74,317.74,30.0,134144150.32,5.5,0.15,1425.79,1425.5,1432.55,1419.96,28034210901.0,4675796003727.1
1,2013-04-17,310.0,310.0,310.0,310.0,1000.0,271714339.18,5.5,0.15,1353.41,1335.89,1358.61,1328.84,31350713378.0,4381847280135.27
2,2013-05-14,310.0,310.0,310.0,310.0,10.0,390817976.6,5.5,0.11,1414.79,1405.76,1421.14,1398.65,31353415787.0,4611041304733.78
3,2013-05-20,277.72,277.72,277.72,277.72,350.0,158661246.6,5.5,0.1,1401.43,1406.86,1413.42,1399.68,25951733595.0,4614635334378.0
4,2013-05-21,307.0,307.0,307.0,307.0,350.0,143286476.8,5.5,0.09,1406.94,1422.99,1425.79,1399.41,27869967867.0,4667555244479.6
5,2013-05-24,293.0,293.0,293.0,293.0,10.0,384611961.8,5.5,0.09,1397.75,1380.88,1404.88,1376.22,31696921130.0,4529421837130.13
6,2013-06-24,350.0,349.0,365.68,349.0,50.0,1180702982.7,5.5,0.1,1298.41,1290.26,1304.7,1284.9,28204429993.0,5751947097398.97
7,2013-06-25,317.58,323.02,340.0,317.58,40.0,554600957.0,5.5,0.09,1289.76,1297.59,1309.54,1287.93,29343081881.0,5784632363516.32
8,2013-06-26,311.5,311.5,311.5,311.5,10.0,951216545.9,5.5,0.09,1297.59,1320.39,1325.79,1297.49,28203573265.0,5886296584695.96
9,2013-07-15,362.0,365.0,366.0,361.0,270.0,297862682.6,5.5,0.09,,,,,,
10,2013-07-17,368.0,365.0,368.0,365.0,290.0,381451556.2,5.5,0.09,,,,,,
11,2013-07-18,366.0,365.01,366.0,365.01,150.0,343205286.9,5.5,0.09,,,,,,
12,2013-07-22,355.01,355.69,355.69,355.01,100.0,295072307.0,5.5,0.09,,,,,,
13,2013-07-23,360.94,360.94,360.94,360.94,60.0,300060381.3,5.5,0.09,,,,,,
14,2013-08-02,361.0,361.0,361.0,361.0,60.0,217324048.9,5.5,0.09,,,,,,
15,2013-08-07,341.0,341.0,341.0,341.0,40.0,215419657.9,5.5,0.09,,,,,,
16,2013-08-12,348.4,349.0,352.4,347.87,850.0,172295217.03,5.5,0.08,,,,,,
17,2013-08-19,359.0,359.0,359.0,359.0,200.0,381595729.1,5.5,0.09,1380.56,1382.32,1384.33,1368.95,17873142853.0,6162344150683.63
18,2013-08-23,367.0,367.0,367.0,367.0,100.0,315857678.23,5.5,0.08,1397.54,1393.21,1401.67,1392.59,19862975165.0,6210897083880.2
19,2013-08-27,364.77,365.4,365.4,364.77,3060.0,274751203.4,5.5,0.07,1387.21,1374.21,1387.21,1367.56,22824404174.0,6126227462203.77
20,2013-08-29,391.97,365.0,391.97,359.77,350.0,227255270.3,5.5,0.08,1369.64,1371.89,1380.61,1366.79,18947738747.0,6115848552791.44
21,2013-08-30,363.33,361.02,363.33,358.02,200.0,213445571.2,5.5,0.07,1372.02,1364.65,1373.1,1357.93,21743602697.0,6083607084395.46
22,2013-09-02,362.0,362.09,364.0,359.51,298560.0,108237176.3,5.5,0.07,1364.75,1367.53,1373.73,1364.27,12744074194.0,6096416686856.09
23,2013-09-03,363.27,369.33,372.53,362.55,723620.0,266241801.1,5.5,0.09,1366.99,1373.82,1384.18,1366.99,22164253799.0,6124460997187.43
24,2013-09-04,371.18,373.09,373.74,367.57,652040.0,241515307.8,5.5,0.08,1372.98,1375.66,1376.42,1365.21,16929685929.0,6132675228404.21
