,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2020-12-14,68.0,67.9,69.0,66.5,1697230.0,115147001.0,4.25,0.09,3293.0,3254.83,3314.2,3249.36,124668491097.3,15654776725400.525
1,2020-12-15,67.98,67.8,68.51,66.88,312080.0,21178261.9,4.25,0.09,3252.68,3248.11,3284.84,3237.87,92705554026.6,15622482644136.672
2,2020-12-16,68.4,66.87,68.55,66.6,520890.0,35003528.4,4.25,0.09,3259.89,3269.95,3275.68,3242.7,94422806431.25,15727493691136.979
3,2020-12-17,66.9,65.8,67.7,65.5,234120.0,15548566.6,4.25,0.09,3277.67,3282.67,3318.39,3274.45,138325093736.4,15788673394840.352
4,2020-12-18,65.01,65.51,66.49,65.0,84620.0,5550536.8,4.25,0.09,3281.59,3273.75,3283.32,3245.25,125970276758.55,16628110245848.285
5,2020-12-21,65.8,64.5,66.4,64.1,177480.0,11564623.0,4.25,0.09,3246.9,3186.38,3246.9,3170.03,135820501896.45,16184339652133.86
6,2020-12-22,64.36,63.51,65.9,63.48,129830.0,8337086.3,4.25,0.09,3179.69,3236.46,3249.19,3175.51,98871608126.9,16438748822592.262
7,2020-12-23,63.55,64.49,64.9,62.55,75950.0,4885447.1,4.25,0.09,3224.02,3252.1,3255.4,3218.19,65478211681.0,16518158528904.373
8,2020-12-24,64.5,62.75,64.51,61.9,367690.0,23071177.3,4.25,0.09,3253.73,3236.88,3264.6,3230.62,50764614102.85,16440882809305.248
9,2020-12-25,62.51,64.25,64.4,62.51,137800.0,8719531.6,4.25,0.09,3236.38,3246.35,3248.63,3228.74,23654550156.85,16488959267869.49
10,2020-12-28,64.4,62.42,64.4,62.26,354980.0,22277839.5,4.25,0.09,3249.41,3258.95,3267.61,3249.41,52140644341.35,16552950763593.443
11,2020-12-29,62.66,63.39,63.9,62.36,77400.0,4891622.8,4.25,0.09,3269.71,3274.67,3282.23,3264.33,62071933973.8,16632815890405.033
12,2020-12-30,63.12,63.99,64.0,62.47,46530.0,2960387.0,4.25,0.09,3276.04,3289.02,3294.62,3267.39,67248342457.8,16705672838292.13
13,2021-01-04,63.33,64.01,65.23,63.3,80030.0,5143983.2,4.25,0.09,3306.12,3350.51,3350.81,3304.17,66875027248.1,17018019126303.139
14,2021-01-05,64.02,64.93,64.96,63.9,66130.0,4265563.2,4.25,0.09,3327.94,3359.15,3365.32,3301.88,71669719442.85,17061893215819.604
15,2021-01-06,64.96,64.41,66.35,64.0,98320.0,6418248.4,4.25,0.09,3373.37,3371.03,3380.63,3344.43,71458087084.95,17122246076319.117
16,2021-01-08,64.13,64.32,65.0,63.9,63960.0,4135798.4,4.25,0.09,3390.23,3454.82,3474.66,3390.23,132105644616.85,17547804162517.74
17,2021-01-11,65.0,64.88,65.88,62.99,239230.0,15332203.4,4.25,0.09,3455.67,3482.48,3516.9,3436.66,143292474381.8,17688316738936.164
18,2021-01-12,64.4,65.67,66.3,64.4,113320.0,7467477.0,4.25,0.09,3494.6,3471.65,3520.66,3451.87,104216481364.4,17633297804465.598
19,2021-01-13,66.0,65.97,66.6,65.52,51900.0,3432995.7,4.25,0.09,3487.92,3470.26,3504.56,3448.94,99616618242.0,17626266188165.09
20,2021-01-14,66.61,66.77,67.4,65.51,62920.0,4190489.6,4.25,0.09,3461.83,3490.85,3507.71,3439.01,108540789766.35,17730857166885.676
21,2021-01-15,66.26,64.98,67.5,64.87,93320.0,6180007.0,4.25,0.09,3486.02,3450.95,3509.24,3448.54,104977695775.4,17528152332620.562
22,2021-01-18,65.36,65.88,67.5,64.24,92910.0,6144792.6,4.25,0.09,3440.56,3471.92,3475.18,3426.11,92072355104.7,17634666165383.184
23,2021-01-19,65.6,65.4,65.9,65.0,25260.0,1655982.7,4.25,0.09,3479.53,3443.23,3491.93,3439.64,86414655412.55,17488969584733.627
24,2021-01-20,65.64,64.96,65.64,64.5,48960.0,3184526.9,4.25,0.09,3453.54,3466.8,3482.03,3447.81,75753159519.2,17608678531082.484
25,2021-01-21,64.82,64.07,65.46,63.6,100560.0,6472422.7,4.25,0.08,3481.74,3422.67,3489.07,3407.22,114924128365.45,17384532464558.1
26,2021-01-22,64.19,64.49,65.3,63.71,50400.0,3240051.2,4.25,0.08,3404.36,3382.92,3404.36,3362.01,110725951850.1,17182640306287.484
27,2021-01-25,65.15,64.7,65.3,64.08,86850.0,5620052.2,4.25,0.08,3399.28,3397.48,3425.78,3385.74,106658319745.9,17256571325329.543
28,2021-01-26,64.65,64.8,65.39,64.63,41440.0,2696984.4,4.25,0.08,3384.99,3390.76,3408.13,3374.1,80262909286.2,17222476228635.475
29,2021-01-27,65.4,64.64,66.0,64.63,77160.0,5043722.0,4.25,0.08,3398.38,3343.62,3408.64,3333.04,105563451141.95,16983021795853.764
30,2021-01-28,65.89,64.74,66.06,64.63,36070.0,2342896.2,4.25,0.07,3319.16,3342.01,3359.1,3307.42,91833874030.7,16974834957181.193
31,2021-01-29,64.95,65.03,65.78,64.3,40820.0,2648061.2,4.25,0.07,3335.13,3277.08,3337.01,3272.53,112862070786.9,16645067691856.492
32,2021-02-01,65.04,64.98,65.36,64.51,21080.0,1366787.1,4.25,0.08,3287.96,3291.14,3305.91,3268.52,86009081257.05,16716477941478.992
33,2021-02-02,64.68,65.6,65.9,64.68,38260.0,2498290.7,4.25,0.08,3324.24,3360.25,3366.13,3321.7,98441733596.85,17067476302938.854
34,2021-02-03,65.8,65.02,65.99,64.79,33990.0,2212762.2,4.25,0.08,3351.99,3343.46,3376.83,3332.5,79650602206.9,16982192674131.148
35,2021-02-04,65.64,64.25,65.64,63.55,116340.0,7478667.5,4.25,0.08,3356.23,3372.0,3384.48,3351.94,88156146300.1,17127146192940.422
36,2021-02-05,64.86,64.19,65.0,64.0,55250.0,3547995.8,4.25,0.08,3396.97,3392.73,3406.22,3368.58,86654101000.55,17232469191485.635
37,2021-02-08,64.19,63.99,64.95,63.75,83940.0,5389885.9,4.25,0.07,3412.97,3445.9,3448.79,3412.97,79666285042.8,17502502031455.205
38,2021-02-09,63.86,62.99,64.7,62.89,156030.0,9904853.3,4.25,0.08,3461.15,3426.86,3466.51,3424.39,100583840172.2,17405835878122.59
39,2021-02-10,63.96,62.09,63.96,61.92,270170.0,16874636.3,4.25,0.08,3437.76,3399.66,3447.05,3393.98,88964246446.15,17267655855080.582
