,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2020-11-24,2674.5,3033.0,3192.5,2674.5,1751752.0,767567299.5,4.25,0.08,3071.8,3095.84,3098.83,3053.16,99168946827.05,14890097020956.656
1,2020-11-25,3102.0,2954.0,3282.0,2888.0,1285058.0,3471801468.0,4.25,0.08,3111.75,3134.52,3134.71,3089.16,130512774776.55,15076116140372.246
2,2020-11-26,3002.0,2944.0,3002.0,2900.5,194320.0,505866908.0,4.25,0.08,3141.43,3138.62,3149.9,3119.46,86304340769.8,15095830689942.246
3,2020-11-27,2967.5,3025.0,3082.0,2913.0,336314.0,726261886.0,4.25,0.08,3132.55,3142.68,3150.78,3112.44,91361256012.6,15115371238985.213
4,2020-11-30,2999.5,3071.0,3140.0,2967.5,210260.0,420847624.0,4.25,0.09,3130.88,3107.58,3134.79,3093.77,171173455598.35,14946548520857.418
5,2020-12-01,3048.0,3059.5,3097.0,3000.5,150540.0,348835069.0,4.25,0.09,3113.06,3147.79,3159.03,3113.06,108250777613.4,15139967065408.986
6,2020-12-02,3030.0,3184.0,3230.0,3003.0,264443.0,227286084.0,4.25,0.09,3150.66,3189.61,3189.61,3139.92,94931203596.5,15341070214498.816
7,2020-12-03,3120.5,3614.5,3649.0,3085.5,914180.0,1936982214.0,4.25,0.09,3185.78,3162.67,3192.98,3141.4,95183766034.25,15211520931926.678
8,2020-12-04,3566.5,3556.0,3984.0,3428.5,1103055.0,3169622170.5,4.25,0.09,3171.44,3184.72,3200.23,3171.44,94492237722.65,15317581497964.482
9,2020-12-07,3570.0,3422.0,3675.0,3351.5,404941.0,1156951479.5,4.25,0.09,3179.14,3195.08,3208.53,3172.29,87818352454.45,15367389959444.236
10,2020-12-08,3425.0,3471.0,3495.0,3260.0,320213.0,914114656.5,4.25,0.09,3184.93,3179.61,3198.1,3150.84,93400466060.05,15293014774134.355
11,2020-12-09,3549.5,3301.0,3600.0,3300.0,450862.0,852619239.0,4.25,0.09,3184.24,3211.66,3226.48,3182.54,96153321470.95,15447130182429.713
12,2020-12-10,3349.5,3294.0,3380.0,3267.5,230675.0,611428362.0,4.25,0.09,3194.03,3258.31,3258.31,3189.04,103055345054.75,15671530544774.752
13,2020-12-11,3300.0,3164.5,3340.0,3106.0,249633.0,437275176.0,4.25,0.09,3257.47,3276.58,3278.24,3248.11,108292271648.55,15759412616641.684
14,2020-12-14,3195.0,3069.0,3238.0,3012.5,315680.0,675434596.5,4.25,0.09,3293.0,3254.83,3314.2,3249.36,124668491097.3,15654776725400.525
15,2020-12-15,3094.0,3201.0,3208.5,3040.5,186180.0,369172803.5,4.25,0.09,3252.68,3248.11,3284.84,3237.87,92705554026.6,15622482644136.672
16,2020-12-16,3215.0,3357.0,3369.0,3168.0,270373.0,499271228.5,4.25,0.09,3259.89,3269.95,3275.68,3242.7,94422806431.25,15727493691136.979
17,2020-12-17,3339.0,3211.5,3398.5,3181.5,248005.0,644749089.0,4.25,0.09,3277.67,3282.67,3318.39,3274.45,138325093736.4,15788673394840.352
18,2020-12-18,3200.5,3264.5,3296.0,3119.5,275422.0,541784434.5,4.25,0.09,3281.59,3273.75,3283.32,3245.25,125970276758.55,16628110245848.285
19,2020-12-21,3283.0,3264.0,3346.5,3178.0,335810.0,893618194.0,4.25,0.09,3246.9,3186.38,3246.9,3170.03,135820501896.45,16184339652133.86
20,2020-12-22,3263.0,3231.0,3415.0,3209.0,424456.0,912714178.5,4.25,0.09,3179.69,3236.46,3249.19,3175.51,98871608126.9,16438748822592.262
21,2020-12-23,3265.0,3222.0,3270.0,3131.0,318660.0,626545224.0,4.25,0.09,3224.02,3252.1,3255.4,3218.19,65478211681.0,16518158528904.373
22,2020-12-24,3220.0,3149.0,3243.0,3108.0,193821.0,256020103.5,4.25,0.09,3253.73,3236.88,3264.6,3230.62,50764614102.85,16440882809305.248
23,2020-12-25,3152.5,3150.5,3164.0,3130.0,44910.0,114092851.5,4.25,0.09,3236.38,3246.35,3248.63,3228.74,23654550156.85,16488959267869.49
24,2020-12-28,3168.0,3290.0,3290.5,3142.5,276042.0,502707935.5,4.25,0.09,3249.41,3258.95,3267.61,3249.41,52140644341.35,16552950763593.443
25,2020-12-29,3293.0,3232.0,3327.5,3170.0,208916.0,519478990.5,4.25,0.09,3269.71,3274.67,3282.23,3264.33,62071933973.8,16632815890405.033
26,2020-12-30,3241.0,3289.5,3348.0,3202.0,220590.0,554945042.5,4.25,0.09,3276.04,3289.02,3294.62,3267.39,67248342457.8,16705672838292.13
27,2021-01-04,3269.5,3229.5,3278.0,2996.0,363380.0,980074059.5,4.25,0.09,3306.12,3350.51,3350.81,3304.17,66875027248.1,17018019126303.139
28,2021-01-05,3239.0,3348.5,3380.5,3209.5,281386.0,649814318.0,4.25,0.09,3327.94,3359.15,3365.32,3301.88,71669719442.85,17061893215819.604
29,2021-01-06,3345.0,3257.0,3369.5,3220.0,156698.0,261411845.5,4.25,0.09,3373.37,3371.03,3380.63,3344.43,71458087084.95,17122246076319.117
