,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-17,150.2,150.0,150.2,150.0,250.0,0.0,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
1,2014-06-24,150.0,150.0,150.0,150.0,10.0,0.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
2,2014-06-25,125.5,125.5,125.5,125.5,10.0,0.0,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
3,2014-07-01,128.3,128.3,128.3,128.3,10.0,0.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
4,2014-07-03,150.2,179.8,199.9,150.1,80.0,0.0,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
5,2014-07-04,237.9,237.9,237.9,237.9,10.0,0.0,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
6,2014-07-15,274.9,169.3,274.9,150.5,1360.0,0.0,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
7,2014-07-16,162.0,162.0,162.0,162.0,40.0,0.0,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
8,2014-07-22,162.0,162.0,162.0,162.0,10.0,0.0,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
9,2014-07-23,143.0,159.0,159.0,143.0,20.0,0.0,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
10,2014-07-28,131.0,183.0,184.0,131.0,40.0,0.0,8.0,0.09,1387.12,1361.94,1387.14,1357.03,30461885017.0,6140507803885.11
11,2014-07-29,138.8,137.9,138.8,137.9,30.0,0.0,8.0,0.09,1361.22,1369.83,1380.29,1356.62,35280719684.0,6176106230122.06
12,2014-07-31,155.0,155.0,155.0,155.0,10.0,0.0,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
13,2014-08-12,154.9,154.9,154.9,154.9,10.0,0.0,8.0,0.09,1372.94,1374.19,1386.2,1368.1,30027011620.0,6195754643005.9
14,2014-08-15,159.0,160.0,160.0,158.0,80.0,0.0,8.0,0.09,1407.57,1417.82,1425.76,1400.7,26772144978.0,6392466871442.37
15,2014-08-22,160.0,160.0,160.0,160.0,50.0,0.0,8.0,0.09,1461.79,1446.6,1463.71,1434.09,28861993115.0,6522253115433.8
16,2014-08-28,175.9,175.9,175.9,175.9,10.0,0.0,8.0,0.09,1447.54,1423.78,1447.76,1414.18,43849484690.0,6419337314027.56
17,2014-09-01,135.0,169.0,174.0,135.0,60.0,0.0,8.0,0.07,1401.34,1392.4,1419.9,1389.77,34518068575.0,6277859256745.77
18,2014-09-03,137.0,143.3,166.0,137.0,40.0,0.0,8.0,0.09,1400.44,1449.29,1452.92,1400.44,56947742576.0,6534374903303.01
19,2014-09-10,145.0,167.4,167.4,145.0,180.0,0.0,8.0,0.09,1466.99,1468.55,1472.23,1456.21,19594281049.0,6621186609667.49
20,2014-09-12,140.0,138.0,140.0,138.0,30.0,0.0,8.0,0.09,1449.4,1458.52,1470.49,1440.23,30540111711.0,6575983608620.8
21,2014-09-15,138.8,143.0,143.0,138.8,20.0,0.0,8.0,0.09,1457.87,1454.19,1466.43,1441.26,36468665661.0,6556462216365.1
22,2014-09-16,140.0,133.2,144.9,133.2,60.0,0.0,8.0,0.09,1454.13,1477.31,1483.66,1451.21,34534659889.0,7036330612381.47
23,2014-09-17,137.3,134.3,137.3,130.3,60.0,0.0,8.0,0.09,1477.09,1449.37,1477.09,1437.73,43639537600.0,6903283783164.72
24,2014-09-18,153.0,134.2,153.1,134.2,30.0,0.0,8.0,0.09,1449.37,1448.63,1460.13,1443.75,26613627505.0,6899755307298.78
25,2014-09-19,158.0,158.0,158.0,158.0,10.0,0.0,8.0,0.09,1448.19,1431.58,1454.16,1423.44,41661321148.0,6818524090027.49
26,2014-09-24,154.8,175.0,175.0,154.8,980.0,0.0,8.0,0.09,,,,,,
27,2014-09-25,158.0,170.2,175.0,148.0,90.0,0.0,8.0,0.09,,,,,,
28,2014-09-26,160.2,160.2,160.2,160.2,10.0,0.0,8.0,0.09,,,,,,
29,2014-09-29,161.4,161.3,161.4,161.3,20.0,0.0,8.0,0.08,,,,,,
30,2014-10-01,151.5,145.0,151.5,145.0,30.0,0.0,8.0,0.09,,,,,,
31,2014-10-02,144.5,145.0,145.0,144.5,40.0,0.0,8.0,0.09,,,,,,
32,2014-10-22,175.0,175.0,175.0,175.0,10.0,0.0,8.0,0.09,,,,,,
33,2014-10-30,134.0,162.0,162.0,134.0,20.0,0.0,8.0,0.09,1438.8,1452.89,1456.88,1428.36,49073324158.0,6920053939430.49
34,2014-10-31,142.5,142.5,142.5,142.5,10.0,0.0,8.0,0.07,1453.89,1488.47,1488.47,1453.89,51863127433.0,7089520800994.4
35,2014-11-13,140.0,140.0,140.0,139.5,80.0,0.0,9.5,0.09,1514.19,1492.27,1522.87,1492.27,39369641894.0,7107618216442.59
36,2014-11-17,137.5,134.0,137.5,134.0,480.0,0.0,9.5,0.1,1500.69,1507.1,1512.61,1494.81,25778674454.0,7178242599235.5
37,2014-11-25,130.0,130.0,130.0,130.0,10.0,0.0,9.5,0.1,1529.62,1529.57,1537.65,1516.18,27545836432.0,7285244990377.67
38,2014-11-27,158.0,158.0,158.0,158.0,10.0,0.0,9.5,0.1,1537.0,1531.69,1548.17,1528.06,39939357345.0,7295336331196.54
39,2014-12-01,157.0,138.0,157.0,138.0,60.0,0.0,9.5,0.13,1532.89,1578.38,1598.19,1525.35,62166248251.0,7517749945811.61
40,2014-12-09,137.5,135.0,137.5,135.0,20.0,0.0,9.5,0.12,1481.49,1475.22,1490.27,1459.77,43732135318.0,7026377302115.53
41,2014-12-11,133.0,130.0,133.0,130.0,40.0,0.0,9.5,0.12,1486.89,1455.04,1494.07,1442.79,50594982820.0,6930276348649.18
42,2014-12-12,125.5,125.5,125.5,123.5,60.0,0.0,10.5,0.12,1453.8,1459.68,1488.4,1413.04,51200831401.0,6952391085611.55
43,2014-12-16,104.5,105.0,105.0,104.5,40.0,0.0,17.0,0.12,1424.72,1444.32,1484.06,1309.6,100830509677.0,6695173218130.9
44,2014-12-18,136.0,139.0,139.0,136.0,40.0,0.0,17.0,0.13,1417.41,1477.27,1506.13,1417.41,78761569805.0,6847878823692.59
45,2014-12-23,157.5,157.5,157.5,157.5,10.0,0.0,17.0,0.13,1437.08,1398.2,1446.31,1391.38,42501810335.0,6481362092230.03
46,2014-12-29,155.0,155.0,155.0,155.0,10.0,0.0,17.0,0.13,1417.53,1432.94,1489.75,1409.1,31782008617.0,6642405410265.22
47,2014-12-30,117.0,117.0,117.0,117.0,10.0,0.0,17.0,0.13,1429.68,1396.61,1430.01,1378.54,26156334473.0,6473977848191.16
48,2015-02-02,149.5,166.5,168.0,149.5,610.0,0.0,15.0,0.12,1647.74,1625.31,1663.94,1616.27,43204113857.0,7534123046528.33
49,2015-02-03,167.0,225.0,225.5,167.0,380.0,0.0,15.0,0.12,1626.65,1654.36,1667.59,1626.65,36684677691.0,7668789955800.34
50,2015-02-04,236.0,314.0,314.0,236.0,30.0,0.0,15.0,0.11,1655.5,1656.02,1665.09,1643.24,28406694409.0,7676490091070.59
51,2015-02-05,431.0,409.0,431.0,225.5,150.0,0.0,15.0,0.12,1654.97,1696.06,1698.83,1642.51,47193997103.0,7862101858309.86
52,2015-02-06,266.0,245.0,332.5,245.0,1120.0,0.0,15.0,0.11,1696.96,1755.45,1762.39,1696.96,54221952383.0,8137413935492.03
53,2015-02-09,200.0,189.5,245.0,180.0,840.0,0.0,15.0,0.12,1755.7,1748.55,1830.0,1740.58,63280101174.0,8105398913722.94
54,2015-02-10,182.0,185.0,199.0,180.5,150.0,0.0,15.0,0.12,1748.02,1742.35,1774.06,1729.77,32450702270.0,8076689298854.4
55,2015-02-11,183.0,190.0,200.0,181.5,180.0,0.0,15.0,0.12,1744.86,1763.6,1787.77,1744.86,38491876240.0,8175187933284.21
56,2015-02-12,220.0,200.0,265.0,200.0,660.0,0.0,15.0,0.12,1764.24,1802.8,1816.76,1747.85,85319933357.0,8356901880751.53
57,2015-02-16,215.0,215.0,215.0,215.0,10.0,0.0,15.0,0.12,1838.21,1800.59,1848.15,1785.54,36790994748.0,8346635245369.05
58,2015-02-25,190.0,200.0,200.0,168.0,270.0,0.0,15.0,0.11,1772.4,1746.23,1773.73,1727.7,34882084448.0,8094632152285.09
59,2015-03-02,230.0,230.0,230.0,230.0,10.0,0.0,15.0,0.12,1759.25,1783.34,1789.54,1759.18,28597842943.0,8266656116234.64
60,2015-03-04,235.0,234.5,235.0,175.0,30.0,0.0,15.0,0.11,1807.71,1759.35,1816.23,1756.33,32963701938.0,8155467579648.85
61,2015-03-10,190.0,190.0,190.0,190.0,60.0,0.0,15.0,0.12,1726.86,1665.38,1726.86,1663.86,41262700014.0,7719889771457.78
62,2015-03-12,218.0,218.0,230.0,218.0,250.0,0.0,15.0,0.11,1671.71,1664.7,1681.09,1656.35,28247784352.0,7716740491854.74
63,2015-03-13,172.0,172.0,172.0,172.0,10.0,0.0,15.0,0.11,1664.59,1627.88,1669.05,1621.86,34064154241.0,7546062790821.84
64,2015-03-18,168.5,186.5,187.0,151.5,280.0,0.0,14.0,0.11,1611.74,1632.12,1640.27,1611.74,28577123436.0,7666544230537.4
65,2015-03-19,180.0,187.0,187.0,173.0,90.0,0.0,14.0,0.12,1634.77,1607.97,1652.73,1607.25,34622152099.0,7553110632655.87
66,2015-04-14,190.0,161.0,190.0,161.0,20.0,0.0,14.0,0.13,1678.43,1647.39,1678.5,1641.8,35730708154.0,7738298077635.93
67,2015-04-15,161.5,161.5,161.5,161.5,10.0,0.0,14.0,0.13,1647.29,1677.7,1681.83,1643.11,40037734888.0,7880652147526.14
