,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-08-14,623.9,623.9,623.9,623.9,2.0,7621656.3,5.5,0.09,1408.73,1423.87,1425.1,1407.0,23876160396.0,6347592194221.77
1,2013-08-15,621.7,1371.8,1371.8,621.7,30.0,53771263.3,5.5,0.08,1424.17,1391.37,1424.17,1388.81,24982813091.0,6202731244029.29
2,2013-09-02,995.0,929.9,995.0,922.0,4587.0,4259262.1,5.5,0.07,1364.75,1367.53,1373.73,1364.27,12744074194.0,6096416686856.09
3,2013-09-03,929.9,928.0,935.9,918.1,17285.0,16048916.4,5.5,0.09,1366.99,1373.82,1384.18,1366.99,22164253799.0,6124460997187.43
4,2013-09-04,817.6,937.7,944.7,817.6,10996.0,10235579.0,5.5,0.08,1372.98,1375.66,1376.42,1365.21,16929685929.0,6132675228404.21
5,2013-09-05,930.0,946.8,947.0,930.0,4909.0,4557465.7,5.5,0.08,1375.66,1422.4,1422.4,1373.29,37635586932.0,6341025156353.93
6,2013-09-06,944.1,944.9,948.8,930.3,10736.0,10113059.8,5.5,0.08,1421.86,1423.4,1448.75,1418.8,52189115910.0,6345500055740.21
7,2013-09-09,931.0,932.0,955.0,928.0,11373.0,10691408.2,5.5,0.08,1423.4,1451.54,1455.28,1421.45,45793220661.0,6470954296346.45
8,2013-09-10,938.8,951.0,959.9,930.7,7878.0,7462486.9,5.5,0.08,1451.54,1453.57,1464.2,1446.97,48929041065.0,6480000608741.71
9,2013-09-11,954.8,938.5,958.0,930.0,7706.0,7234452.3,5.5,0.08,1452.52,1454.12,1459.68,1449.58,30684670193.0,6482453521611.17
10,2013-09-12,944.7,935.3,944.8,921.5,5304.0,4945941.6,5.5,0.08,1454.21,1450.23,1461.2,1441.58,32739117665.0,6465093271603.79
11,2013-09-13,782.9,949.0,964.7,782.9,8824.0,8374360.5,5.5,0.08,1450.66,1440.74,1451.89,1434.74,24692731039.0,6422780705485.45
12,2013-09-16,944.4,976.9,989.5,938.5,23038.0,22322617.7,5.5,0.08,1441.06,1470.48,1470.65,1438.79,44309429172.0,6555391575249.64
13,2013-09-17,973.1,962.0,981.9,960.9,11383.0,11021389.0,5.5,0.08,1470.71,1473.03,1474.02,1461.86,23620116573.0,6916585966907.95
14,2013-09-18,953.1,955.0,973.0,953.1,8940.0,8660325.4,5.5,0.08,1472.17,1464.95,1482.59,1462.18,35222582334.0,6878658435503.36
15,2013-09-19,977.5,957.9,984.0,952.0,12639.0,12021228.5,5.5,0.09,1464.35,1487.19,1501.32,1463.8,53895959163.0,6983113967163.46
16,2013-09-20,951.0,965.0,980.0,951.0,7945.0,7658675.7,5.5,0.08,1486.49,1476.73,1488.5,1476.07,31552058986.0,6933962169638.04
17,2013-09-23,965.0,944.8,980.0,933.3,4557.0,4349327.6,5.5,0.09,1476.69,1467.62,1478.61,1463.61,26313729744.0,6891218287996.88
18,2013-09-24,941.8,957.5,959.0,940.5,7192.0,6790892.3,5.5,0.09,1466.41,1464.72,1472.11,1459.21,27919329025.0,6877568322623.03
19,2013-09-25,950.2,955.2,959.8,940.4,3863.0,3668375.3,5.5,0.08,,,,,,
20,2013-09-26,957.4,976.3,979.0,948.2,9472.0,9163423.1,5.5,0.08,,,,,,
21,2013-09-27,966.2,976.7,979.6,958.9,17451.0,16923459.2,5.5,0.08,,,,,,
22,2013-09-30,972.9,969.3,978.8,968.8,3953.0,3842550.8,5.5,0.06,,,,,,
23,2013-10-01,967.0,988.9,997.8,966.7,3622.0,3562743.2,5.5,0.08,,,,,,
24,2013-10-02,986.0,966.0,993.6,954.7,9962.0,9739137.0,5.5,0.07,,,,,,
25,2013-10-03,966.7,964.0,978.6,959.8,8087.0,7837593.3,5.5,0.08,,,,,,
26,2013-10-04,969.7,977.6,977.7,960.2,4240.0,4110684.2,5.5,0.08,,,,,,
27,2013-10-07,979.8,967.1,981.8,967.0,2162.0,2103148.5,5.5,0.08,,,,,,
28,2013-10-08,971.5,983.6,1005.7,968.2,26794.0,26478477.3,5.5,0.08,,,,,,
29,2013-10-09,980.4,998.5,1003.0,979.0,3321.0,3310352.1,5.5,0.09,,,,,,
30,2013-10-10,997.1,1023.0,1039.3,997.0,23668.0,24277822.6,5.5,0.09,,,,,,
31,2013-10-11,1029.0,1020.0,1070.0,1000.0,10852.0,11094902.7,5.5,0.1,,,,,,
32,2013-10-14,1015.0,1038.3,1040.8,1015.0,7213.0,7437605.4,5.5,0.1,,,,,,
