,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-09-02,64.8,64.07,65.0,63.52,68460.0,4387292.7,5.5,0.07,1364.75,1367.53,1373.73,1364.27,12744074194.0,6096416686856.09
1,2013-09-03,63.63,63.42,65.3,63.2,25100.0,1591817.8,5.5,0.09,1366.99,1373.82,1384.18,1366.99,22164253799.0,6124460997187.43
2,2013-09-04,63.37,62.69,63.37,62.1,74880.0,4661336.6,5.5,0.08,1372.98,1375.66,1376.42,1365.21,16929685929.0,6132675228404.21
3,2013-09-05,62.94,63.44,63.45,62.5,58120.0,3659954.0,5.5,0.08,1375.66,1422.4,1422.4,1373.29,37635586932.0,6341025156353.93
4,2013-09-06,66.7,62.51,66.7,62.51,50660.0,3111364.0,5.5,0.08,1421.86,1423.4,1448.75,1418.8,52189115910.0,6345500055740.21
5,2013-09-09,62.87,63.16,65.0,62.62,49620.0,3185844.9,5.5,0.08,1423.4,1451.54,1455.28,1421.45,45793220661.0,6470954296346.45
6,2013-09-10,63.98,63.84,65.93,63.09,60670.0,3904038.7,5.5,0.08,1451.54,1453.57,1464.2,1446.97,48929041065.0,6480000608741.71
7,2013-09-11,63.58,63.01,64.08,63.0,54270.0,3442943.0,5.5,0.08,1452.52,1454.12,1459.68,1449.58,30684670193.0,6482453521611.17
8,2013-09-12,63.01,63.71,63.84,62.07,49030.0,3082884.1,5.5,0.08,1454.21,1450.23,1461.2,1441.58,32739117665.0,6465093271603.79
9,2013-09-13,63.8,63.97,64.5,62.54,45670.0,2920154.5,5.5,0.08,1450.66,1440.74,1451.89,1434.74,24692731039.0,6422780705485.45
10,2013-09-16,64.32,64.55,65.83,63.49,287790.0,18616195.3,5.5,0.08,1441.06,1470.48,1470.65,1438.79,44309429172.0,6555391575249.64
11,2013-09-17,64.99,64.09,65.25,63.77,20270.0,1311580.4,5.5,0.08,1470.71,1473.03,1474.02,1461.86,23620116573.0,6916585966907.95
12,2013-09-18,63.67,63.68,64.01,62.68,138740.0,8821571.8,5.5,0.08,1472.17,1464.95,1482.59,1462.18,35222582334.0,6878658435503.36
13,2013-09-19,63.23,63.02,63.8,63.0,202290.0,12848424.8,5.5,0.09,1464.35,1487.19,1501.32,1463.8,53895959163.0,6983113967163.46
14,2013-09-20,63.44,63.17,63.44,62.74,71280.0,4506092.0,5.5,0.08,1486.49,1476.73,1488.5,1476.07,31552058986.0,6933962169638.04
15,2013-09-23,64.98,62.52,64.98,62.23,41270.0,2579925.4,5.5,0.09,1476.69,1467.62,1478.61,1463.61,26313729744.0,6891218287996.88
16,2013-09-24,62.61,62.2,62.98,59.59,120160.0,7420066.3,5.5,0.09,1466.41,1464.72,1472.11,1459.21,27919329025.0,6877568322623.03
17,2013-09-25,62.1,63.3,63.51,61.55,1076960.0,68014197.5,5.5,0.08,,,,,,
18,2013-09-26,63.29,64.27,65.0,63.29,309480.0,19777169.5,5.5,0.08,,,,,,
19,2013-09-27,64.27,64.41,64.47,63.63,179700.0,11540378.8,5.5,0.08,,,,,,
20,2013-09-30,63.96,63.73,64.55,63.57,141040.0,9060321.1,5.5,0.06,,,,,,
21,2013-10-01,63.69,64.15,64.37,63.69,210980.0,13532638.1,5.5,0.08,,,,,,
22,2013-10-02,63.95,63.5,64.33,63.5,84050.0,5371053.2,5.5,0.07,,,,,,
23,2013-10-03,63.1,63.0,64.1,62.99,284220.0,18080495.2,5.5,0.08,,,,,,
24,2013-10-04,63.47,64.0,64.4,63.11,207610.0,13275773.3,5.5,0.08,,,,,,
25,2013-10-07,63.34,63.61,64.92,63.0,218460.0,13934113.8,5.5,0.08,,,,,,
26,2013-10-08,64.08,63.8,64.3,63.41,138170.0,8845677.3,5.5,0.08,,,,,,
27,2013-10-09,63.67,64.3,64.44,63.14,118870.0,7625041.8,5.5,0.09,,,,,,
28,2013-10-10,63.86,63.35,64.44,63.11,93190.0,5954372.5,5.5,0.09,,,,,,
29,2013-10-11,63.35,63.2,63.9,62.57,92360.0,5861356.7,5.5,0.1,,,,,,
30,2013-10-14,63.59,62.99,63.6,62.11,55780.0,3508481.8,5.5,0.1,,,,,,
31,2013-10-15,63.0,63.0,63.3,62.7,130090.0,8194771.6,5.5,0.1,,,,,,
32,2013-10-16,62.88,61.98,63.29,60.8,309550.0,19414584.5,5.5,0.11,,,,,,
33,2013-10-17,62.0,62.04,62.98,61.88,92810.0,5786740.0,5.5,0.1,,,,,,
34,2013-10-18,61.88,62.5,63.5,61.2,163620.0,10248339.3,5.5,0.1,,,,,,
35,2013-10-21,62.72,63.0,63.5,62.25,162920.0,10268797.6,5.5,0.09,,,,,,
36,2013-10-22,63.0,63.5,64.14,62.61,495340.0,31266735.1,5.5,0.08,,,,,,
37,2013-10-23,62.86,63.21,63.95,62.85,302930.0,19285799.1,5.5,0.08,,,,,,
38,2013-10-24,63.1,63.14,63.75,62.4,29650.0,1869758.5,5.5,0.08,,,,,,
39,2013-10-25,63.48,62.47,63.5,62.42,31760.0,2011903.2,5.5,0.08,,,,,,
40,2013-10-28,63.09,63.45,63.97,62.43,71110.0,4499145.7,5.5,0.08,,,,,,
41,2013-10-29,63.12,63.11,63.5,62.09,68000.0,4287360.8,5.5,0.08,,,,,,
42,2013-10-30,63.72,63.34,64.0,62.4,238980.0,15121263.2,5.5,0.08,,,,,,
43,2013-10-31,63.25,63.04,63.49,62.48,32510.0,2049230.8,5.5,0.07,,,,,,
44,2013-11-01,63.28,63.93,63.97,63.02,42020.0,2668152.0,5.5,0.08,,,,,,
45,2013-11-05,63.61,63.0,63.93,62.81,77970.0,4930633.7,5.5,0.08,,,,,,
46,2013-11-06,63.2,62.52,63.51,62.44,149250.0,9408759.3,5.5,0.08,,,,,,
47,2013-11-07,62.4,62.8,63.29,62.16,34860.0,2190841.0,5.5,0.08,,,,,,
48,2013-11-08,62.42,62.55,62.98,62.07,47710.0,2981736.8,5.5,0.08,,,,,,
49,2013-11-11,63.2,62.6,63.24,62.6,37960.0,2385228.5,5.5,0.08,,,,,,
50,2013-11-12,62.7,62.6,62.7,61.83,18910.0,1181664.9,5.5,0.08,,,,,,
51,2013-11-13,62.37,62.02,63.12,61.5,438460.0,27549599.7,5.5,0.08,,,,,,
52,2013-11-14,61.89,62.24,63.53,59.95,597150.0,37347812.7,5.5,0.09,,,,,,
53,2013-11-15,62.05,62.05,62.61,61.92,24280.0,1504889.6,5.5,0.09,,,,,,
54,2013-11-18,61.88,62.55,62.98,61.88,42370.0,2649307.7,5.5,0.09,,,,,,
55,2013-11-19,62.36,61.88,62.85,61.71,106410.0,6591210.3,5.5,0.09,,,,,,
56,2013-11-20,62.12,61.7,62.12,61.4,379420.0,23406643.7,5.5,0.09,,,,,,
57,2013-11-21,61.64,61.71,62.6,60.16,583080.0,36234788.8,5.5,0.09,,,,,,
58,2013-11-22,61.4,63.06,63.45,61.4,96350.0,6037210.7,5.5,0.09,,,,,,
59,2013-11-25,63.72,62.67,63.95,62.15,214540.0,13645964.4,5.5,0.09,,,,,,
60,2013-11-26,63.86,64.0,64.08,62.53,505890.0,32131351.5,5.5,0.09,1502.89,1484.37,1503.7,1480.39,48229948205.0,6969845523930.55
61,2013-11-27,63.84,63.84,64.08,63.28,626630.0,40005340.2,5.5,0.09,1484.6,1475.42,1489.49,1473.23,41550434835.0,6927804014788.67
62,2013-11-28,64.0,64.0,64.51,63.36,426080.0,27182642.1,5.5,0.09,1475.16,1479.46,1487.5,1475.16,24668741069.0,6946793859819.43
63,2013-11-29,64.0,63.9,64.01,62.65,230360.0,14686434.1,5.5,0.07,1480.08,1479.35,1484.02,1467.32,31291760745.0,6946263649103.18
64,2013-12-02,63.75,62.56,64.3,62.23,81140.0,5130761.9,5.5,0.09,1479.32,1473.26,1488.97,1472.55,24196675363.0,6917684865750.2
65,2013-12-03,63.35,60.87,63.35,60.22,220990.0,13544272.1,5.5,0.09,1473.56,1448.84,1473.56,1441.36,47456307434.0,6803018523449.25
66,2013-12-04,60.5,61.1,61.46,59.21,618990.0,37815459.0,5.5,0.09,1450.22,1439.26,1455.82,1436.32,43484660557.0,6758022220391.5
67,2013-12-05,61.5,61.01,62.51,60.51,526740.0,32194608.9,5.5,0.09,1437.77,1429.25,1447.44,1427.88,41406299250.0,6711012916339.87
68,2013-12-06,61.44,61.3,62.1,60.7,230220.0,14079163.0,5.5,0.09,1429.25,1448.67,1451.05,1425.31,38501119521.0,6802220391429.27
69,2013-12-09,61.0,61.3,61.51,60.9,34240.0,2093051.9,5.5,0.09,1448.67,1465.7,1467.2,1444.94,37250903478.0,6882186129056.72
70,2013-12-10,61.68,61.25,61.74,61.0,87270.0,5347064.0,5.5,0.09,1465.7,1464.14,1471.29,1459.02,34812026533.0,6874866511027.26
71,2013-12-11,62.42,61.2,62.42,60.93,329990.0,20217255.7,5.5,0.08,1464.14,1464.67,1470.0,1451.0,28795646065.0,6877366183674.53
72,2013-12-12,61.0,60.99,61.7,60.56,368350.0,22593733.9,5.5,0.09,1465.25,1449.74,1465.25,1444.62,36017750107.0,6807223603878.11
73,2013-12-13,61.0,64.1,64.18,61.0,1012310.0,64368230.5,5.5,0.08,1449.74,1452.76,1457.88,1449.21,32285420251.0,6821404463826.86
74,2013-12-16,64.05,64.25,64.83,63.33,377200.0,24287198.8,5.5,0.09,1452.63,1470.22,1470.62,1445.0,40098483167.0,6903430451647.21
75,2013-12-17,65.2,67.41,67.95,63.9,601640.0,39654981.8,5.5,0.09,1469.57,1479.39,1483.08,1468.22,35648912988.0,6685012538785.19
76,2013-12-18,67.6,70.3,70.45,66.64,1183010.0,82330424.3,5.5,0.09,1480.09,1486.91,1488.27,1478.45,31633527060.0,6719006675908.59
77,2013-12-19,70.85,71.26,72.15,70.0,966770.0,68836247.7,5.5,0.09,1488.21,1497.99,1509.2,1485.48,45080626868.0,6769074641636.64
78,2013-12-20,71.3,70.4,71.31,69.7,219380.0,15478172.9,5.5,0.09,1499.17,1497.23,1502.86,1490.98,36565395553.0,6765643643953.46
79,2013-12-23,70.4,70.9,72.05,70.06,326160.0,23241221.5,5.5,0.09,1497.31,1507.49,1510.09,1495.22,28684771864.0,6811968678502.1
80,2013-12-24,70.88,70.72,71.12,67.69,97770.0,6870599.1,5.5,0.08,1506.89,1506.41,1510.9,1500.66,17528642060.0,6807119355340.79
81,2013-12-25,70.03,70.75,71.77,69.21,264300.0,18556778.7,5.5,0.08,1506.41,1501.12,1510.28,1500.49,12007223777.0,6783195605596.29
82,2013-12-26,70.1,69.81,70.35,69.81,55890.0,3920039.0,5.5,0.08,1501.1,1501.47,1506.74,1499.17,12027701517.0,6784786482365.16
83,2013-12-27,69.69,70.3,70.8,69.51,55500.0,3656815.1,5.5,0.08,1501.83,1494.83,1504.99,1494.33,16645779757.0,6754782477264.45
84,2013-12-30,70.0,70.5,71.5,70.0,201930.0,14294885.6,5.5,0.08,1496.27,1504.08,1504.85,1492.08,18692424302.0,6796555430941.05
85,2014-01-06,70.13,67.7,70.13,67.62,162070.0,11212099.5,5.5,0.08,1504.14,1466.15,1504.33,1464.97,16900288729.0,6625173892374.47
86,2014-01-08,67.73,69.37,69.37,67.1,67700.0,4605943.6,5.5,0.07,1465.99,1462.67,1470.25,1460.41,16027383642.0,6609448818656.81
87,2014-01-09,68.18,68.44,69.32,67.61,89640.0,6113920.1,5.5,0.07,1462.67,1465.14,1470.65,1460.81,20056121954.0,6620605693214.79
88,2014-01-10,67.94,68.61,69.48,67.16,122010.0,8325053.8,5.5,0.07,1465.74,1469.19,1470.73,1454.75,29274890126.0,6638937730227.75
89,2014-01-13,68.5,70.6,71.32,68.06,98960.0,6951269.8,5.5,0.07,1469.19,1477.56,1482.45,1466.51,29596729994.0,6676748095453.91
90,2014-01-14,69.7,72.05,72.45,67.7,122830.0,8640447.5,5.5,0.07,1477.59,1469.64,1477.59,1453.85,31230659415.0,6640929567516.84
91,2014-01-15,70.01,72.5,74.74,69.27,642090.0,47169914.6,5.5,0.07,1469.76,1486.51,1487.83,1469.76,34589305532.0,6717172857420.66
92,2014-01-16,73.59,70.36,73.59,70.07,184480.0,13165448.0,5.5,0.07,1486.37,1480.73,1492.58,1478.45,30825694232.0,6691061771394.78
93,2014-01-17,72.49,69.7,72.49,69.55,90500.0,6335225.9,5.5,0.07,1480.63,1486.88,1495.05,1475.23,31481520592.0,6718875897162.79
94,2014-01-20,69.61,68.89,70.0,68.68,126600.0,8756800.3,5.5,0.07,1485.75,1495.36,1498.37,1483.25,23823923486.0,6757186472436.97
95,2014-01-21,68.94,68.8,69.7,68.05,99080.0,6811912.4,5.5,0.07,1495.92,1504.68,1507.16,1495.92,32920294237.0,6799284158226.5
96,2014-01-22,69.0,67.91,69.73,67.74,87500.0,5972937.3,5.5,0.07,1503.6,1498.73,1505.31,1490.29,42599578316.0,6772398576733.01
97,2014-01-23,67.99,66.88,68.54,66.88,78920.0,5338948.1,5.5,0.07,1498.73,1496.9,1511.7,1495.9,36924425267.0,6764117371006.31
98,2014-01-24,66.1,67.67,67.67,65.15,46690.0,3081532.2,5.5,0.07,1496.9,1494.58,1497.76,1483.66,50458895946.0,6753656897584.12
99,2014-01-27,67.95,65.7,67.95,65.25,96490.0,6351210.4,5.5,0.07,1494.18,1478.23,1495.27,1476.06,46236717540.0,6679778985162.68
100,2014-01-28,65.75,66.24,66.44,65.11,83060.0,5460680.6,5.5,0.07,1477.91,1469.57,1486.09,1467.97,39833254664.0,6640641112572.32
101,2014-01-29,65.45,64.6,67.0,64.51,185420.0,12234704.6,5.5,0.07,1468.35,1462.99,1494.47,1459.87,51738292137.0,6610895814959.34
102,2014-01-30,66.35,64.24,66.35,63.77,251130.0,16226939.3,5.5,0.07,1463.05,1463.2,1473.45,1444.39,52406677076.0,6611867456585.14
103,2014-01-31,64.56,67.0,67.05,63.04,1137370.0,73982995.8,5.5,0.07,1463.6,1454.45,1470.6,1448.36,42264412210.0,6572288145619.16
104,2014-02-03,66.99,65.0,66.99,64.8,333600.0,21739725.3,5.5,0.07,1453.55,1442.84,1463.54,1442.06,32778141805.0,6519832488467.28
105,2014-02-04,64.88,68.5,68.94,64.35,458100.0,30591438.8,5.5,0.07,1442.52,1441.16,1442.62,1426.29,35953638357.0,6512272054606.52
106,2014-02-05,68.5,72.43,72.58,68.31,2557150.0,181600098.1,5.5,0.07,1442.02,1456.0,1460.75,1437.54,32228865284.0,6579331312028.14
107,2014-02-06,71.86,71.55,72.95,70.64,126550.0,9035098.2,5.5,0.07,1456.0,1466.7,1469.18,1454.43,28543620476.0,6627643963674.28
108,2014-02-07,69.95,76.03,76.05,69.95,510440.0,37530735.5,5.5,0.06,1465.18,1478.48,1480.6,1463.96,30965604738.0,6680912015993.77
109,2014-02-10,75.99,76.49,76.79,74.09,952120.0,72336751.1,5.5,0.07,1478.22,1476.28,1485.32,1475.63,23411705634.0,6670964389448.68
110,2014-02-11,76.49,78.3,78.48,75.23,692890.0,53421617.7,5.5,0.06,1475.83,1483.57,1488.95,1473.3,26102602445.0,6703911304195.46
111,2014-02-12,78.5,78.97,79.44,77.05,718500.0,56240960.4,5.5,0.07,1484.42,1496.03,1498.62,1484.42,28049253757.0,6760181248195.49
112,2014-02-13,78.36,79.8,79.96,77.07,587850.0,45983457.0,5.5,0.06,1496.07,1478.62,1498.08,1475.41,28254359873.0,6681522380349.98
113,2014-02-14,79.89,80.52,83.3,79.0,451810.0,36331579.0,5.5,0.06,1478.77,1496.18,1497.94,1478.77,30474527752.0,6760860627364.86
114,2014-02-17,80.74,80.5,81.35,78.87,676260.0,54394200.6,5.5,0.06,1494.38,1507.49,1515.3,1494.32,28079463718.0,6811974669465.99
115,2014-02-18,80.16,80.7,81.51,80.11,133370.0,10765961.4,5.5,0.07,1507.81,1504.24,1518.13,1500.39,29676093042.0,6797294103702.05
116,2014-02-19,81.22,81.5,81.98,79.4,405270.0,32577344.2,5.5,0.07,1504.02,1485.6,1507.97,1482.02,42334867727.0,6713049431458.63
117,2014-02-20,80.09,81.0,81.9,79.32,549720.0,44331559.4,5.5,0.07,1485.48,1480.99,1485.48,1467.52,33694582444.0,6692226645209.17
118,2014-02-21,80.57,81.5,81.5,80.5,345520.0,28106143.3,5.5,0.07,1481.85,1487.64,1492.45,1481.85,23318948666.0,6722299765206.86
119,2014-02-24,81.42,81.3,81.5,80.5,476030.0,38658050.7,5.5,0.07,1487.51,1489.01,1491.78,1480.03,19772900486.0,6728494318967.82
120,2014-02-25,82.02,82.3,82.8,81.62,551250.0,45132647.4,5.5,0.07,1489.59,1478.64,1495.13,1472.43,28414020573.0,6681627919553.17
121,2014-02-26,82.3,81.95,82.5,81.83,486530.0,39883594.4,5.5,0.07,1478.9,1469.51,1486.11,1465.16,35931158697.0,6640375119834.58
122,2014-02-27,81.99,82.8,82.8,80.4,1460910.0,118724968.7,5.5,0.07,1469.93,1448.7,1476.26,1431.6,52734826934.0,6546315754008.96
123,2014-02-28,81.51,82.4,82.95,79.6,434120.0,35230834.0,5.5,0.06,1448.78,1444.71,1456.45,1429.25,49924435497.0,6528292455906.17
124,2014-03-03,79.86,78.0,81.5,74.0,1654130.0,130273517.5,7.0,0.07,1438.02,1288.81,1438.02,1261.76,114796601349.0,5823828463583.0
125,2014-03-04,78.98,79.01,79.2,75.0,312700.0,24081981.5,7.0,0.07,1288.78,1356.54,1365.23,1288.78,93980994812.0,6129884003505.98
126,2014-03-05,78.11,79.01,79.01,76.04,360480.0,28096259.2,7.0,0.08,1356.27,1351.11,1364.25,1330.61,51458666467.0,6105334943233.16
127,2014-03-06,78.63,81.0,81.7,77.0,545330.0,43052568.8,7.0,0.08,1351.5,1337.98,1370.56,1301.96,73730707234.0,6046009340205.84
128,2014-03-07,81.3,80.6,82.1,80.4,117170.0,9488190.7,7.0,0.08,1337.5,1339.36,1359.45,1322.08,49801950288.0,6052243139535.0
129,2014-03-11,80.0,83.86,84.4,79.13,384310.0,31578539.0,7.0,0.08,1338.5,1308.7,1338.5,1304.35,43995018689.0,5913717763875.92
130,2014-03-12,83.83,79.35,86.9,78.88,347580.0,29013065.4,7.0,0.08,1307.08,1274.21,1307.08,1271.74,51965497616.0,5757844999526.41
131,2014-03-13,78.7,78.05,79.88,76.14,280800.0,21620151.3,7.0,0.08,1274.24,1248.56,1285.93,1247.7,57982552741.0,5641928130119.77
132,2014-03-14,76.0,78.0,79.5,71.21,443340.0,33552275.1,7.0,0.08,1248.29,1237.43,1248.29,1182.86,82550968523.0,5591642348039.34
133,2014-03-17,79.73,76.58,82.29,75.7,396030.0,31213622.0,7.0,0.08,1237.52,1283.7,1288.34,1237.52,92131298659.0,5800723220087.94
134,2014-03-18,78.0,77.74,78.9,76.2,150420.0,11559899.0,7.0,0.08,1285.53,1335.86,1340.16,1278.76,71329119457.0,6028588803762.97
135,2014-03-19,77.78,80.5,82.89,76.0,10379170.0,820288297.5,7.0,0.08,1335.84,1319.02,1352.68,1312.5,63037171113.0,5952616641071.3
136,2014-03-20,78.2,81.75,81.99,78.2,193910.0,15688181.8,7.0,0.08,1316.67,1320.5,1325.61,1302.68,42677768542.0,5959265927009.26
137,2014-03-21,77.55,81.88,81.88,77.55,153050.0,12265554.9,7.0,0.08,1320.12,1307.34,1320.12,1270.55,61637716793.0,5899888911310.75
138,2014-03-24,82.0,79.51,82.0,78.63,147130.0,11734180.8,7.0,0.09,1307.34,1297.91,1332.95,1297.76,42746229557.0,5857314786935.03
139,2014-03-25,79.04,79.86,80.99,78.54,135790.0,10828933.1,7.0,0.09,1297.9,1324.44,1332.86,1288.97,52552458215.0,5977065880957.69
140,2014-03-26,78.89,81.5,81.56,78.49,266780.0,21435807.7,7.0,0.08,1324.51,1349.39,1359.88,1324.51,58117795576.0,6089637858620.78
141,2014-03-27,82.43,81.36,82.43,79.82,40550.0,3254461.9,7.0,0.08,1347.83,1331.93,1351.71,1321.19,44862038717.0,6010855369688.88
142,2014-03-28,79.66,81.38,81.49,79.55,51480.0,4168619.9,7.0,0.08,1333.01,1344.12,1353.88,1330.46,38623558833.0,6065875882427.22
143,2014-03-31,81.99,80.84,82.0,80.02,83750.0,6786099.8,7.0,0.06,1344.15,1369.29,1369.29,1343.27,44009638604.0,6179463807710.16
144,2014-04-01,80.8,81.5,83.44,79.97,68970.0,5604513.8,7.0,0.08,1369.32,1375.73,1378.55,1359.58,43677890257.0,6208536027847.57
145,2014-04-02,79.23,82.45,83.88,79.23,46720.0,3855718.1,7.0,0.09,1375.97,1373.33,1379.88,1358.46,40080119279.0,6197668222328.88
146,2014-04-03,83.44,81.01,83.9,80.5,54640.0,4467937.4,7.0,0.08,1373.57,1366.04,1382.08,1360.49,34651168726.0,6164793577709.44
147,2014-04-04,80.39,81.91,82.48,80.39,31250.0,2540460.8,7.0,0.08,1366.43,1382.41,1388.0,1361.61,38443658067.0,6238689295350.17
148,2014-04-07,81.05,81.82,82.75,80.32,186720.0,15274892.2,7.0,0.09,1380.15,1349.79,1380.15,1334.86,56297711554.0,6091442840949.02
149,2014-04-08,81.84,81.5,82.69,80.68,197990.0,16253385.1,7.0,0.08,1349.85,1352.33,1352.45,1334.63,43914354331.0,6102913697350.04
150,2014-04-09,82.26,82.01,83.43,81.75,68330.0,5612344.3,7.0,0.08,1353.18,1348.85,1355.77,1337.98,39501266590.0,6087224444759.78
151,2014-04-10,82.51,86.98,86.99,82.5,369780.0,31094497.7,7.0,0.08,1348.77,1367.71,1367.88,1348.21,41994459771.0,6172313465380.59
152,2014-04-11,75.25,87.99,89.98,75.25,316180.0,27483591.9,7.0,0.09,1367.65,1362.4,1371.12,1346.03,39574923084.0,6148351636277.17
153,2014-04-14,87.09,87.34,87.85,86.0,16510.0,1433384.5,7.0,0.09,1362.04,1344.86,1362.1,1336.98,43507706220.0,6069228590823.25
154,2014-04-15,87.0,83.65,88.0,83.65,61430.0,5198484.1,7.0,0.1,1344.18,1311.01,1347.88,1308.86,41391606206.0,5916441807070.59
155,2014-04-16,84.65,83.07,84.73,82.01,52650.0,4378356.3,7.0,0.09,1310.98,1322.6,1326.2,1300.75,50484601503.0,5968765031280.63
