,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-09-02,389.49,389.95,395.2,382.08,6574.0,2545147.34,5.5,0.07,1364.75,1367.53,1373.73,1364.27,12744074194.0,6096416686856.09
1,2013-09-03,385.6,381.9,385.6,376.79,6430.0,2459794.75,5.5,0.09,1366.99,1373.82,1384.18,1366.99,22164253799.0,6124460997187.43
2,2013-09-04,384.9,392.8,394.88,382.11,7588.0,2955224.85,5.5,0.08,1372.98,1375.66,1376.42,1365.21,16929685929.0,6132675228404.21
3,2013-09-05,387.87,391.4,394.6,387.87,4125.0,1617145.33,5.5,0.08,1375.66,1422.4,1422.4,1373.29,37635586932.0,6341025156353.93
4,2013-09-06,389.0,398.0,402.0,380.01,17584.0,6905506.95,5.5,0.08,1421.86,1423.4,1448.75,1418.8,52189115910.0,6345500055740.21
5,2013-09-09,398.49,399.93,406.94,396.55,302.0,0.0,5.5,0.08,1423.4,1451.54,1455.28,1421.45,45793220661.0,6470954296346.45
6,2013-09-10,397.0,393.57,401.1,388.0,2732.0,1071280.06,5.5,0.08,1451.54,1453.57,1464.2,1446.97,48929041065.0,6480000608741.71
7,2013-09-11,391.34,387.5,394.0,380.0,3321.0,1270972.29,5.5,0.08,1452.52,1454.12,1459.68,1449.58,30684670193.0,6482453521611.17
8,2013-09-12,385.0,383.4,386.99,377.73,5496.0,2105291.22,5.5,0.08,1454.21,1450.23,1461.2,1441.58,32739117665.0,6465093271603.79
9,2013-09-13,381.6,363.0,383.0,362.83,9337.0,3459393.25,5.5,0.08,1450.66,1440.74,1451.89,1434.74,24692731039.0,6422780705485.45
10,2013-09-16,365.0,344.5,368.2,335.17,34934.0,11983749.66,5.5,0.08,1441.06,1470.48,1470.65,1438.79,44309429172.0,6555391575249.64
11,2013-09-17,344.06,340.0,346.97,335.06,44616.0,15271322.7,5.5,0.08,1470.71,1473.03,1474.02,1461.86,23620116573.0,6916585966907.95
12,2013-09-18,337.92,344.18,352.0,336.18,43826.0,15145185.76,5.5,0.08,1472.17,1464.95,1482.59,1462.18,35222582334.0,6878658435503.36
13,2013-09-19,346.85,374.4,395.0,337.5,45666.0,16787758.33,5.5,0.09,1464.35,1487.19,1501.32,1463.8,53895959163.0,6983113967163.46
14,2013-09-20,370.66,348.16,374.0,345.37,25231.0,8947799.55,5.5,0.08,1486.49,1476.73,1488.5,1476.07,31552058986.0,6933962169638.04
15,2013-09-23,345.7,339.58,345.7,332.0,16536.0,5597162.45,5.5,0.09,1476.69,1467.62,1478.61,1463.61,26313729744.0,6891218287996.88
16,2013-09-24,336.92,347.81,357.34,332.6,33691.0,11762206.15,5.5,0.09,1466.41,1464.72,1472.11,1459.21,27919329025.0,6877568322623.03
17,2013-09-25,346.89,344.95,347.51,336.15,23765.0,8116471.41,5.5,0.08,1464.72,1479.59,1480.33,1459.13,26805611981.0,6947387045039.35
18,2013-09-26,342.98,354.3,354.75,342.98,27037.0,9479416.44,5.5,0.08,1479.59,1485.14,1490.02,1475.35,27797509828.0,6973488765178.55
19,2013-09-27,354.99,350.99,357.51,345.3,12086.0,4222173.23,5.5,0.08,1483.99,1471.89,1486.59,1468.35,27963985931.0,6911259978762.6
20,2013-09-30,352.0,344.0,354.0,339.94,21464.0,7385521.5,5.5,0.06,1472.23,1462.82,1474.57,1453.65,25872462007.0,6868671368141.78
21,2013-10-01,298.0,343.5,344.83,298.0,29210.0,10000228.95,5.5,0.08,1462.82,1471.73,1472.98,1460.09,25307021784.0,6910494683353.84
22,2013-10-02,340.8,331.0,340.8,330.0,34976.0,11677715.69,5.5,0.07,1472.45,1454.29,1474.9,1450.52,27495476013.0,6828626046243.09
23,2013-10-03,334.6,323.5,362.37,323.5,32215.0,10646661.06,5.5,0.08,1454.53,1456.49,1466.23,1452.25,25770973324.0,6838929631297.44
24,2013-10-04,326.69,326.0,326.81,317.56,19056.0,6125210.96,5.5,0.08,1456.51,1474.21,1474.42,1449.76,26311777713.0,6922161885652.6
25,2013-10-07,321.45,317.95,327.0,317.59,13414.0,4290823.54,5.5,0.08,1474.45,1480.2,1481.55,1462.85,26517483690.0,6950268840588.7
26,2013-10-08,318.0,320.0,321.0,311.0,26577.0,8391775.45,5.5,0.08,1480.2,1505.14,1505.73,1479.34,42946368599.0,7067391229987.44
27,2013-10-09,316.78,318.0,319.97,311.0,27082.0,8542348.66,5.5,0.09,1503.44,1501.01,1511.79,1495.13,35959606572.0,7048006070532.76
