,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2021-12-17,770.0,994.8,1238.2,700.0,461323.0,417228088.4,7.5,0.08,3725.04,3723.27,3739.59,3696.5,127229717373.7,18411003749381.96
1,2021-12-20,1000.0,980.0,1043.0,960.0,167540.0,168556342.4,8.5,0.08,3657.65,3669.05,3674.71,3629.61,90298936540.65,18142880402699.91
2,2021-12-21,999.4,922.4,1000.0,920.0,65707.0,62052819.6,8.5,0.08,3705.33,3693.02,3713.68,3670.16,82117461532.05,18261431084338.22
3,2021-12-22,945.0,915.0,945.0,828.0,168904.0,147415158.0,8.5,0.08,3715.2,3746.75,3759.67,3699.06,87418363756.15,18527119290565.16
4,2021-12-23,916.0,904.0,944.0,870.2,26867.0,24075582.0,8.5,0.08,3745.52,3704.6,3751.37,3691.04,74775470568.25,18318705110254.77
5,2021-12-24,910.2,896.2,928.8,884.0,18220.0,16387951.8,8.5,0.08,3700.34,3702.72,3703.72,3653.63,44756758749.6,18309366936572.17
6,2021-12-27,917.6,875.8,917.6,870.0,29883.0,26194398.4,8.5,0.08,3711.77,3740.63,3742.12,3709.19,49142530172.25,18496864679239.1
7,2021-12-28,887.0,876.0,898.0,872.0,19887.0,17407099.2,8.5,0.08,3766.5,3777.56,3790.44,3751.0,64031615578.35,18679480078543.668
8,2021-12-29,876.0,859.4,889.6,851.0,17153.0,14760329.8,8.5,0.08,3756.54,3741.07,3770.09,3727.35,60359168519.7,18499033329888.457
9,2021-12-30,865.0,840.0,868.8,835.2,30692.0,25951755.2,8.5,0.08,3753.92,3787.26,3789.61,3740.93,61497152069.0,18727411862063.33
10,2022-01-03,862.8,849.4,868.8,845.0,21000.0,17883791.6,8.5,0.08,3825.3,3852.5,3866.15,3823.5,52472868137.9,19050000386308.637
11,2022-01-04,859.2,844.0,859.4,837.2,24930.0,21029879.0,8.5,0.08,3880.2,3873.49,3892.33,3846.81,62624414462.0,19153798451398.637
12,2022-01-05,848.2,838.0,848.2,835.2,11910.0,9999754.8,8.5,0.08,3857.9,3815.05,3875.25,3805.06,59842279698.45,18864822163313.258
13,2022-01-06,840.0,830.0,844.6,820.0,14241.0,11895072.2,8.5,0.08,3758.68,3753.29,3784.17,3720.17,83469097491.95,18559424880874.74
14,2022-01-10,840.0,784.0,847.0,772.0,84506.0,66555233.0,8.5,0.08,3798.43,3738.68,3806.84,3726.73,85302196824.3,18487190627063.824
15,2022-01-11,783.8,779.6,795.0,770.0,31182.0,24281570.6,8.5,0.08,3764.56,3785.29,3800.91,3751.45,81053376709.85,18717680108245.777
16,2022-01-12,784.8,800.0,803.0,769.6,38671.0,30400888.8,8.5,0.08,3797.31,3829.95,3841.72,3783.92,100865330719.7,18938495939185.15
17,2022-01-13,805.0,775.4,809.0,775.0,21211.0,16762897.0,8.5,0.08,3814.98,3674.73,3818.97,3664.48,178770807642.9,18170960657063.582
18,2022-01-14,800.0,788.8,810.6,770.0,22570.0,17723397.4,8.5,0.08,3703.9,3596.98,3723.62,3512.03,253410592849.3,17786510970653.58
19,2022-01-17,804.6,781.8,809.8,770.0,14199.0,11092333.2,8.5,0.08,3633.01,3560.35,3651.36,3501.94,156354454242.75,17605381085684.953
20,2022-01-18,799.8,743.0,799.8,730.0,19211.0,14448074.8,8.5,0.08,3527.77,3328.94,3534.56,3297.12,302733934140.55,16461095067551.904
21,2022-01-19,742.6,754.8,777.0,735.4,13733.0,10322129.8,8.5,0.08,3290.31,3436.82,3500.27,3256.6,257223110460.45,16994531502920.621
22,2022-01-20,762.4,757.0,779.8,745.0,8355.0,6311669.0,8.5,0.08,3519.02,3516.02,3533.61,3403.74,191687148184.9,17386203721894.97
23,2022-01-21,757.0,731.4,757.0,730.0,8274.0,6090587.6,8.5,0.08,3420.12,3439.25,3503.84,3407.27,180588337458.0,17006575540684.14
24,2022-01-24,743.0,643.0,765.6,605.0,71634.0,46514740.0,8.5,0.08,3426.19,3235.28,3426.47,3158.46,262889650990.6,15997967950133.695
25,2022-01-25,660.8,616.0,686.4,603.8,36933.0,22975533.0,8.5,0.08,3316.98,3258.74,3330.9,3229.45,157537334538.2,16113969875965.834
26,2022-01-26,625.0,618.0,635.0,611.0,28440.0,17566565.4,8.5,0.08,3341.71,3357.66,3412.15,3276.06,160814042402.85,16603125470284.545
