,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-24,9000.0,9000.0,9000.0,9000.0,1.0,0.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
1,2014-07-02,8000.1,8000.1,8000.1,8000.1,1.0,0.0,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
2,2014-07-08,9000.0,9000.0,9000.0,9000.0,1.0,0.0,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
3,2014-10-22,9500.0,9500.0,9500.0,9500.0,1.0,0.0,8.0,0.09,,,,,,
4,2014-10-28,9500.0,10000.0,10000.0,9500.0,6.0,0.0,8.0,0.09,,,,,,
5,2014-10-30,9500.0,9500.0,9500.0,9500.0,2.0,0.0,8.0,0.09,1438.8,1452.89,1456.88,1428.36,49073324158.0,6920053939430.49
6,2014-11-05,9500.0,9500.0,9500.0,9500.0,2.0,0.0,9.5,0.09,1490.66,1495.26,1496.19,1471.25,35993706175.0,7121819234260.93
7,2014-11-13,9500.0,9500.0,9500.0,9500.0,2.0,0.0,9.5,0.09,1514.19,1492.27,1522.87,1492.27,39369641894.0,7107618216442.59
8,2014-11-24,10500.0,10500.0,10500.0,10500.0,1.0,0.0,9.5,0.1,1539.95,1529.54,1541.75,1521.83,31750458256.0,7285128652947.91
9,2014-12-08,9500.0,9500.0,9500.0,9500.0,2.0,0.0,9.5,0.12,1529.73,1481.27,1551.66,1476.02,46772419082.0,7055222590397.55
10,2014-12-09,9000.0,9000.0,9000.0,9000.0,1.0,0.0,9.5,0.12,1481.49,1475.22,1490.27,1459.77,43732135318.0,7026377302115.53
11,2015-01-23,9000.0,9000.0,9000.0,9000.0,2.0,0.0,17.0,0.12,1667.99,1671.8,1700.78,1662.11,44311526698.0,7749626061678.21
12,2015-02-26,8000.0,8000.0,8000.0,8000.0,2.0,0.0,15.0,0.11,1746.79,1760.66,1769.53,1735.27,40878525521.0,8161537848495.47
13,2015-02-27,7500.0,7500.0,7500.0,7500.0,1.0,0.0,15.0,0.06,1760.67,1758.97,1769.22,1740.91,34816153558.0,8153719801978.58
14,2015-04-29,7500.0,7500.0,7500.0,7500.0,1.0,0.0,14.0,0.13,1677.89,1670.99,1694.28,1666.52,26159937335.0,7849120167986.69
15,2015-05-14,7010.0,7000.0,7010.0,7000.0,2.0,0.0,12.5,0.13,1682.26,1677.57,1694.79,1672.2,28121728762.0,7880030756614.34
16,2015-06-17,6310.0,6310.0,6310.0,6310.0,1.0,0.0,11.5,0.14,1668.84,1664.66,1678.91,1661.75,24988440340.0,7800414780965.41
17,2015-07-16,5710.0,5710.0,5710.0,5710.0,1.0,0.0,11.5,0.14,1640.81,1652.59,1652.97,1636.99,20173536045.0,7743857713656.6
18,2015-07-22,6200.0,6000.0,6200.0,6000.0,5.0,0.0,11.5,0.13,1634.89,1635.63,1635.63,1620.47,26862692731.0,7664372322742.18
19,2015-07-23,6480.0,6480.0,6480.0,6480.0,1.0,0.0,11.5,0.13,1634.79,1616.14,1634.9,1614.97,23062741161.0,7573030629579.71
20,2015-07-24,6270.0,5840.0,6270.0,5840.0,8.0,0.0,11.5,0.13,1615.69,1595.61,1622.3,1593.07,28837860037.0,7476856405917.96
21,2015-07-30,5710.0,5660.0,5710.0,5660.0,3.0,0.0,11.5,0.14,1622.69,1636.72,1638.51,1620.24,26758851204.0,7669464014693.77
22,2015-07-31,5250.0,5240.0,5250.0,5240.0,3.0,0.0,11.5,0.08,1636.72,1669.0,1669.0,1630.18,38825213612.0,7820730096263.97
23,2015-08-04,5230.0,5000.0,5230.0,5000.0,7.0,0.0,11.0,0.14,1663.31,1674.46,1676.58,1659.16,28420615882.0,7846332436974.8
24,2015-08-07,5000.0,5000.0,5000.0,5000.0,2.0,0.0,11.0,0.14,1676.75,1690.44,1695.39,1676.75,23675267619.0,7921202680069.36
25,2015-08-11,4600.0,4600.0,4600.0,4600.0,5.0,0.0,11.0,0.15,1702.02,1697.87,1721.32,1694.61,31498785759.0,7956022347423.78
26,2015-09-14,5470.0,5470.0,5470.0,5470.0,1.0,0.0,11.0,0.14,1717.6,1729.75,1740.22,1716.12,23254616054.0,8105426603482.68
27,2015-09-15,5500.0,5500.0,5500.0,5500.0,2.0,0.0,11.0,0.14,1729.91,1716.26,1731.49,1708.46,22870828140.0,8042189708875.5
28,2015-09-21,5880.0,5990.0,5990.0,5880.0,3.0,0.0,11.0,0.14,1710.87,1699.72,1719.18,1697.3,24417883513.0,7926971842837.68
29,2015-10-14,5100.0,5300.0,5300.0,5100.0,2.0,0.0,11.0,0.13,1720.8,1723.01,1731.57,1704.22,31761495366.0,8035614337229.33
30,2015-10-15,5100.0,5010.0,5100.0,5010.0,2.0,0.0,11.0,0.13,1722.84,1731.91,1746.67,1722.68,35430022350.0,8077093041555.15
31,2015-10-22,5500.0,5750.0,6380.0,5500.0,4.0,0.0,11.0,0.12,1709.93,1712.1,1718.82,1702.65,27704269672.0,7984719839416.43
32,2015-10-23,5150.0,5800.0,5800.0,5150.0,7.0,0.0,11.0,0.12,1713.65,1725.45,1734.98,1710.36,37253440247.0,8046990938049.88
33,2015-10-30,6430.0,6850.0,6850.0,6430.0,3.0,0.0,11.0,0.07,1708.51,1711.53,1723.04,1699.25,26566212454.0,7982043648945.05
34,2015-11-02,5550.0,5250.0,5550.0,5160.0,4.0,0.0,11.0,0.12,1710.9,1735.75,1737.18,1701.25,27528642884.0,8095019292843.71
35,2015-11-03,5160.0,5050.0,5280.0,5000.0,17.0,0.0,11.0,0.12,1735.76,1763.6,1766.85,1734.22,38616091650.0,8224913376843.05
36,2015-11-05,5050.0,5000.0,5180.0,5000.0,6.0,0.0,11.0,0.12,1764.94,1766.28,1784.42,1762.01,39011014458.0,8237402685015.98
37,2015-11-10,5000.0,5000.0,5000.0,5000.0,3.0,0.0,11.0,0.12,1751.45,1746.94,1754.61,1734.34,24785834899.0,8147218004866.98
38,2015-11-11,5180.0,6100.0,6990.0,5180.0,73.0,0.0,11.0,0.12,1747.02,1740.56,1756.09,1733.61,27352629549.0,8117453574798.54
39,2015-11-12,7930.0,5600.0,7930.0,5120.0,81.0,0.0,11.0,0.12,1739.29,1739.96,1750.71,1732.5,28871426903.0,8114637933037.61
40,2015-11-13,5500.0,5350.0,5500.0,5010.0,45.0,0.0,11.0,0.12,1739.84,1728.17,1744.12,1723.42,30416876242.0,8059674582954.51
41,2015-11-16,5290.0,5000.0,5550.0,5000.0,33.0,0.0,11.0,0.13,1728.12,1739.8,1751.67,1726.31,30250393068.0,8113922642293.49
42,2015-11-17,5070.0,5090.0,5090.0,5070.0,2.0,0.0,11.0,0.13,1740.98,1787.23,1792.88,1740.82,51356679699.0,8335115813909.51
43,2015-11-18,5100.0,5010.0,5100.0,5010.0,16.0,0.0,11.0,0.12,1787.11,1810.48,1820.38,1785.1,44452288316.0,8443540996368.9
44,2015-11-19,4800.0,4980.0,4980.0,4800.0,4.0,0.0,11.0,0.12,1811.89,1811.2,1842.14,1805.41,54358055063.0,8390517131365.69
45,2015-11-20,4850.0,4850.0,4850.0,4820.0,9.0,0.0,11.0,0.12,1810.03,1826.72,1831.77,1797.93,34544521129.0,8462433507702.36
46,2015-11-24,4680.0,4620.0,4680.0,4620.0,4.0,0.0,11.0,0.12,1868.08,1810.05,1873.53,1798.73,54471301838.0,8385204013246.88
