,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-06,1559.2,1574.1,1574.2,1450.5,73.0,0.0,7.5,0.09,1470.73,1484.94,1486.59,1457.67,38599777176.0,6701382403709.4
1,2014-06-09,1460.5,1600.0,1645.0,1460.5,298.0,0.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
2,2014-06-10,1612.5,1529.8,1635.0,1475.9,136.0,0.0,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
3,2014-06-11,1565.0,1530.0,1565.0,1475.0,336.0,504190.0,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
4,2014-06-16,1523.0,1500.0,1533.0,1500.0,560.0,852249.4,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
5,2014-06-17,1439.9,1444.9,1470.0,1439.9,713.0,1027410.9,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
6,2014-06-18,1410.0,1395.0,1439.9,1380.1,968.0,1360003.7,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
7,2014-06-19,1390.0,1380.0,1395.0,1375.7,105.0,0.0,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
8,2014-06-20,1370.0,1382.5,1443.0,1370.0,1258.0,1762469.7,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
9,2014-06-23,1385.0,1345.0,1390.0,1344.0,795.0,1085650.1,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
10,2014-06-24,1335.0,1359.9,1376.5,1330.0,344.0,0.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
11,2014-06-25,1370.0,1380.0,1380.0,1370.0,221.0,0.0,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
12,2014-06-26,1374.9,1377.0,1377.0,1361.0,175.0,0.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
13,2014-06-27,1389.9,1386.6,1390.0,1370.0,29.0,0.0,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
14,2014-06-30,1397.9,1370.0,1397.9,1345.3,1064.0,1457734.1,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
15,2014-07-01,1399.4,1375.2,1400.0,1375.2,64.0,0.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
16,2014-07-02,1375.2,1393.9,1394.6,1370.9,8.0,0.0,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
17,2014-07-03,1372.1,1375.0,1399.9,1371.1,68.0,0.0,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
18,2014-07-04,1410.0,1439.4,1445.0,1380.6,984.0,1397854.4,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
19,2014-07-07,1425.2,1430.0,1450.0,1423.2,93.0,0.0,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
20,2014-07-08,1403.0,1380.0,1443.9,1370.0,255.0,0.0,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
21,2014-07-09,1359.9,1364.6,1378.0,1350.5,443.0,602580.5,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
22,2014-07-10,1391.8,1383.0,1397.0,1360.0,203.0,0.0,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
23,2014-07-11,1382.1,1404.4,1404.4,1380.1,108.0,0.0,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
24,2014-07-14,1415.0,1431.2,1460.0,1415.0,1856.0,2656963.8,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
25,2014-07-15,1475.0,1510.0,1547.4,1451.3,2093.0,3139739.8,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
26,2014-07-16,1510.0,1523.0,1540.4,1499.4,70.0,0.0,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
27,2014-07-17,1548.0,1531.2,1580.0,1500.0,567.0,873231.8,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
28,2014-07-18,1450.0,1439.8,1499.9,1360.6,1305.0,1830602.1,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
29,2014-07-21,1415.0,1399.9,1420.0,1388.4,140.0,0.0,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
30,2014-07-22,1449.0,1370.0,1449.0,1300.1,1334.0,1792511.2,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
31,2014-07-23,1387.0,1382.0,1399.6,1382.0,190.0,0.0,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
32,2014-07-24,1307.8,1383.0,1383.0,1307.8,230.0,0.0,7.5,0.09,1405.58,1408.8,1410.75,1394.04,25372742027.0,6351783470052.68
33,2014-07-25,1398.8,1330.0,1398.8,1315.0,892.0,1178307.5,7.5,0.09,1408.19,1388.41,1408.19,1386.14,29628586311.0,6259875281029.59
34,2014-07-28,1330.8,1315.0,1345.0,1313.1,292.0,0.0,8.0,0.09,1387.12,1361.94,1387.14,1357.03,30461885017.0,6140507803885.11
35,2014-07-29,1320.0,1348.4,1367.0,1320.0,531.0,717107.8,8.0,0.09,1361.22,1369.83,1380.29,1356.62,35280719684.0,6176106230122.06
36,2014-07-30,1329.1,1381.9,1381.9,1329.1,111.0,869774.5,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
37,2014-07-31,1399.9,1360.0,1419.0,1337.0,73.0,0.0,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
38,2014-08-01,1321.3,1310.0,1349.9,1205.1,83.0,0.0,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
39,2014-08-04,1300.1,1348.7,1348.9,1300.1,9.0,0.0,8.0,0.09,1375.73,1378.98,1386.43,1365.01,26195753576.0,6217358216917.08
40,2014-08-05,1295.6,1390.5,1395.3,1295.6,460.0,625524.3,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
41,2014-08-06,1392.2,1399.9,1414.9,1182.0,467.0,631282.1,8.0,0.09,1357.33,1334.66,1362.22,1333.37,44555802086.0,6017513533119.65
42,2014-08-07,1400.0,1420.0,1420.0,1325.0,1050.0,1438584.1,8.0,0.09,1333.39,1333.53,1340.84,1306.8,46389687389.0,6012422895099.08
43,2014-08-08,1325.0,1323.9,1384.9,1275.0,1340.0,1745182.3,8.0,0.09,1332.26,1348.21,1360.49,1329.1,34479528820.0,6078629580593.59
44,2014-08-11,1280.0,1320.0,1396.0,1280.0,736.0,970591.8,8.0,0.09,1350.42,1372.45,1379.22,1350.42,31225367926.0,6187929554027.43
