,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,21.35,20.98,21.75,20.91,1838580.0,39210576.4,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,20.99,20.93,21.2,20.71,834270.0,17439260.1,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,20.94,20.83,21.17,20.61,1105020.0,23021238.7,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-16,20.1,20.41,20.7,20.04,1518880.0,30938406.0,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
4,2014-06-17,20.32,20.15,20.85,20.1,1653990.0,33861520.1,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
5,2014-06-18,20.22,20.45,20.61,20.18,837000.0,17133394.1,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
6,2014-06-19,20.66,20.3,21.29,20.28,2637120.0,54803752.0,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
7,2014-06-20,20.4,20.1,20.56,20.02,1370390.0,27804622.4,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
8,2014-06-23,20.11,19.93,20.37,19.7,2015530.0,40085223.4,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
9,2014-06-24,20.0,20.16,20.38,19.97,2412110.0,48713257.4,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
10,2014-06-25,20.02,19.7,20.2,19.5,1571540.0,31118957.2,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
11,2014-06-26,19.8,19.65,20.0,19.63,1325680.0,26127013.5,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
12,2014-06-27,19.7,19.7,19.97,19.6,1185980.0,23414519.4,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
13,2014-06-30,19.79,19.62,19.85,19.6,768510.0,15141502.9,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
14,2014-07-01,19.7,19.4,19.72,19.26,1617900.0,31580308.2,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
15,2014-07-02,19.5,19.0,19.52,18.89,4338200.0,82943462.5,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
16,2014-07-03,19.42,19.02,19.42,19.0,1566260.0,29966109.4,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
17,2014-07-04,19.13,19.8,20.58,19.05,6675640.0,133183510.4,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
18,2014-07-07,19.8,20.13,20.42,19.71,2420580.0,48433046.6,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
19,2014-07-08,20.0,19.78,20.33,19.74,2005690.0,40050958.4,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
20,2014-07-09,19.58,19.45,19.95,19.41,1374580.0,26959125.2,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
21,2014-07-10,19.5,19.1,19.62,18.77,2499310.0,47847564.4,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
22,2014-07-11,19.59,18.93,19.59,18.75,1650750.0,31105635.6,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
23,2014-07-14,19.8,19.03,19.8,18.92,1230590.0,23018967.9,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
24,2014-07-15,19.05,19.3,19.6,18.92,1734590.0,33382630.7,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
25,2014-07-16,19.35,19.2,19.56,19.11,1309710.0,25247744.0,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
26,2014-07-17,19.08,18.92,19.08,18.66,1433880.0,27034149.2,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
27,2014-07-18,18.71,19.91,20.15,18.1,4068410.0,77945763.0,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
28,2014-07-21,20.97,18.63,20.97,18.4,3864630.0,74130303.8,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
29,2014-07-22,18.73,18.74,19.03,18.53,2356960.0,43812435.1,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
30,2014-07-23,18.76,18.35,18.86,18.15,2780430.0,51211222.8,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
31,2014-07-24,18.13,18.96,19.17,17.85,3610790.0,66565766.5,7.5,0.09,1405.58,1408.8,1410.75,1394.04,25372742027.0,6351783470052.68
32,2014-07-25,18.8,18.44,19.07,18.36,1525920.0,28449610.2,7.5,0.09,1408.19,1388.41,1408.19,1386.14,29628586311.0,6259875281029.59
33,2014-07-28,18.17,17.87,18.26,17.57,2264620.0,40368662.6,8.0,0.09,1387.12,1361.94,1387.14,1357.03,30461885017.0,6140507803885.11
