,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-12-11,166.0,166.0,166.0,166.0,65000.0,0.0,9.5,0.12,1486.89,1455.04,1494.07,1442.79,50594982820.0,6930276348649.18
1,2015-07-22,154.0,154.0,154.0,154.0,64000.0,0.0,11.5,0.13,1634.89,1635.63,1635.63,1620.47,26862692731.0,7664372322742.18
2,2015-12-15,164.0,164.0,164.0,164.0,60970.0,0.0,11.0,0.15,1708.89,1742.46,1749.52,1708.89,35264056024.0,8072082962283.34
3,2016-04-13,160.0,156.0,160.0,156.0,1000.0,0.0,11.0,0.37,1903.47,1932.8,1944.32,1903.47,50376841555.0,9078374443772.78
4,2016-04-20,160.0,157.0,160.0,157.0,2030.0,0.0,11.0,0.37,1923.94,1960.18,1961.6,1922.41,56601954574.0,9206997834040.38
5,2019-12-12,250.0,270.0,270.0,250.0,10040.0,2612350.0,6.5,1.55,2966.24,2982.86,2996.82,2965.1,76267420499.6,11716056153300.0
6,2019-12-13,275.0,375.0,375.0,275.0,19890.0,7202050.0,6.5,1.55,2990.92,2996.63,3000.1,2984.92,58151037394.6,11770139278000.0
7,2019-12-16,410.0,520.0,520.0,410.0,1860.0,935000.0,6.25,1.56,3001.42,3006.16,3012.21,2994.44,48141089732.4,11807580826300.0
8,2019-12-17,570.0,570.0,570.0,570.0,800.0,0.0,6.25,1.55,3012.49,3013.29,3019.95,3005.61,52427814010.7,11835593661800.0
9,2019-12-18,625.0,500.0,625.0,440.0,9140.0,4938450.0,6.25,1.55,3011.37,3023.92,3023.92,3004.27,60333709715.5,11877340262500.0
10,2019-12-19,505.0,475.0,545.0,450.0,4560.0,2233650.0,6.25,1.55,3012.29,3008.39,3027.88,2998.05,67070380927.8,11816343249700.0
11,2019-12-20,450.0,415.0,490.0,335.0,11610.0,4700950.0,6.25,1.55,3015.64,3015.93,3021.05,3004.21,63707969117.2,11676205646100.0
12,2019-12-23,435.0,365.0,435.0,350.0,4640.0,1730500.0,6.25,1.55,3009.89,3033.81,3033.81,3009.07,45691999313.6,11745436421000.0
13,2019-12-24,365.0,400.0,400.0,340.0,8220.0,3148300.0,6.25,1.55,3035.86,3030.59,3039.92,3025.92,33010395704.1,11732957078600.0
14,2019-12-25,430.0,390.0,435.0,380.0,4360.0,1764900.0,6.25,1.55,3032.41,3030.84,3036.81,3024.89,18412033286.1,11733938775500.0
15,2019-12-26,400.0,380.0,425.0,370.0,3180.0,1284900.0,6.25,1.55,3025.58,3031.67,3034.63,3021.62,23000825028.1,11737141461200.0
16,2019-12-27,400.0,460.0,520.0,400.0,14320.0,6748250.0,6.25,1.55,3029.12,3050.47,3054.03,3029.12,37019368139.8,11809947494800.0
17,2019-12-30,465.0,415.0,495.0,410.0,12000.0,5304300.0,6.25,1.55,3051.41,3045.87,3060.2,3042.34,37177853871.2,11792145283100.0
18,2020-01-03,430.0,425.0,440.0,405.0,3570.0,1500850.0,6.25,1.55,3059.2,3076.37,3086.09,3057.36,44508670839.0,11910192239900.0
19,2020-01-06,420.0,390.0,465.0,370.0,8940.0,3676400.0,6.25,1.55,3075.55,3078.87,3079.42,3059.47,39130289766.8,11919907235700.0
20,2020-01-08,395.0,395.0,410.0,385.0,2830.0,1123700.0,6.25,1.55,3076.63,3110.06,3112.01,3071.88,53007480525.4,12040644588500.0
21,2020-01-09,395.0,395.0,400.0,385.0,1100.0,0.0,6.25,1.55,3105.21,3118.08,3124.6,3094.85,58694873429.2,12071691067400.0
22,2020-01-10,395.0,395.0,400.0,390.0,740.0,0.0,6.25,1.54,3117.24,3123.66,3130.92,3101.21,44984451737.4,12093282493200.0
23,2020-01-13,395.0,385.0,395.0,380.0,1120.0,0.0,6.25,1.54,3124.96,3151.69,3151.69,3117.03,53874666810.4,12201812571300.0
24,2020-01-14,385.0,380.0,390.0,380.0,740.0,0.0,6.25,1.54,3155.63,3129.77,3166.07,3126.0,75868217158.2,12116942817000.0
25,2020-01-15,380.0,380.0,395.0,375.0,2000.0,764000.0,6.25,1.54,3128.38,3132.63,3148.29,3106.41,76126625593.4,12128031386300.0
