,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2021-10-21,125.0,118.0,149.56,116.15,4863470.0,581308641.4,6.75,0.08,4276.94,4218.63,4282.46,4214.82,86146897591.6,21190973829312.11
1,2021-10-22,118.49,115.0,118.8,111.9,2982260.0,344303186.9,6.75,0.08,4218.5,4196.96,4246.22,4196.96,79672241102.45,21082111350238.543
2,2021-10-25,114.99,116.0,118.03,112.04,1776080.0,207447085.1,7.5,0.08,4216.43,4254.98,4254.98,4184.74,95094363569.85,21373581206074.82
3,2021-10-26,115.96,113.0,117.55,111.81,1787510.0,203233672.2,7.5,0.08,4254.59,4235.87,4259.83,4233.8,92917300435.35,21277573325232.477
4,2021-10-27,114.88,112.96,114.88,108.8,1206110.0,134743167.3,7.5,0.08,4216.76,4229.53,4234.99,4190.68,87039677948.1,21245747834658.098
5,2021-10-28,110.6,110.0,112.7,109.15,842130.0,93097555.5,7.5,0.08,4210.78,4189.66,4220.23,4157.39,130558928227.25,21045441117016.883
6,2021-10-29,110.8,112.0,117.0,109.0,812270.0,91887987.9,7.5,0.07,4186.35,4150.0,4186.7,4116.29,107240377794.55,20846257069378.82
7,2021-11-01,114.99,114.0,116.42,110.0,418830.0,47891110.8,7.5,0.08,4155.24,4221.49,4224.51,4155.24,83349959944.2,21205332555225.25
8,2021-11-02,113.98,112.5,117.48,112.05,861540.0,98432967.6,7.5,0.08,4235.89,4207.53,4245.32,4196.75,78744971742.75,21135228409656.117
9,2021-11-03,112.9,113.0,115.0,111.5,349540.0,39313374.1,7.5,0.08,4192.14,4184.87,4192.14,4158.17,64727756021.55,21021384783450.332
10,2021-11-05,113.68,115.0,116.88,111.6,882120.0,100554683.4,7.5,0.08,4179.03,4174.76,4181.87,4159.92,68811060903.35,20970633479680.527
11,2021-11-08,118.78,113.15,118.78,113.1,631830.0,72043403.4,7.5,0.08,4203.65,4218.27,4220.88,4188.59,79943228299.05,21189193573037.26
12,2021-11-09,113.04,112.0,115.0,111.8,869720.0,98064253.9,7.5,0.08,4207.59,4187.33,4225.82,4181.75,82287369220.1,21033746267223.266
13,2021-11-10,112.97,113.0,113.44,109.01,1199120.0,132742610.5,7.5,0.08,4192.62,4172.47,4196.22,4151.6,79836368997.35,20959106072887.477
14,2021-11-11,113.0,115.0,115.0,111.54,529340.0,60133705.6,7.5,0.08,4141.62,4189.35,4189.35,4126.52,104116091466.5,21043894981976.47
15,2021-11-12,114.61,115.0,115.99,110.55,912870.0,103266115.4,7.5,0.08,4181.7,4121.66,4181.7,4089.32,202860107485.05,20703873795964.996
16,2021-11-15,115.0,116.0,116.0,112.33,963950.0,110791889.9,7.5,0.08,4121.5,4135.14,4162.02,4111.04,123023535416.9,20771584676785.91
17,2021-11-16,116.0,116.0,116.65,113.65,876910.0,101015435.7,7.5,0.08,4147.69,4120.02,4158.31,4094.15,116677791063.4,20695666998590.926
18,2021-11-17,114.02,116.0,116.0,113.43,1259900.0,144277157.2,7.5,0.08,4120.23,4149.02,4149.02,4101.96,93395386782.45,20841338245132.87
19,2021-11-18,116.2,114.17,116.2,113.8,680600.0,78119052.2,7.5,0.08,4120.81,4093.85,4150.57,4082.17,108256843364.7,20564202609994.473
20,2021-11-19,114.42,119.0,119.0,113.4,4463790.0,521152498.9,7.5,0.08,4121.74,4016.47,4127.0,4000.26,151877521547.5,20175490567033.184
21,2021-11-22,119.4,113.51,120.64,112.07,545560.0,62208454.5,7.5,0.08,4008.13,3872.77,4017.02,3872.77,202719304083.35,19453676252643.8
22,2021-11-23,113.6,114.32,114.74,111.69,606550.0,68534958.3,7.5,0.08,3832.33,3960.33,3974.76,3776.61,203663613102.15,19893503329634.793
23,2021-11-24,114.32,111.5,116.82,111.5,217340.0,24803290.2,7.5,0.08,4001.89,3950.56,4021.25,3913.39,134549985501.15,19844440127165.414
24,2021-11-25,113.22,113.35,114.43,111.5,341140.0,38624654.3,7.5,0.08,3964.25,3947.82,3990.95,3932.55,73912725789.35,19830652976763.18
25,2021-11-26,112.75,106.2,115.76,101.7,1167950.0,126213006.3,7.5,0.08,3852.99,3810.98,3876.13,3810.75,144744409541.75,19143272989741.89
