,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-12-26,4.225,4.325,4.325,4.2,1270028000.0,5404182725.0,5.5,0.08,1501.1,1501.47,1506.74,1499.17,12027701517.0,6784786482365.16
1,2013-12-27,4.31,4.65,4.65,4.31,141123000.0,633628510.0,5.5,0.08,1501.83,1494.83,1504.99,1494.33,16645779757.0,6754782477264.45
2,2014-01-08,4.305,4.305,4.5,4.305,29000.0,6037721900.0,5.5,0.07,1465.99,1462.67,1470.25,1460.41,16027383642.0,6609448818656.81
3,2014-01-17,4.4125,4.4125,4.4125,4.4125,1000.0,0.0,5.5,0.07,1480.63,1486.88,1495.05,1475.23,31481520592.0,6718875897162.79
4,2014-02-14,4.392,4.392,4.392,4.392,35000000.0,0.0,5.5,0.06,1478.77,1496.18,1497.94,1478.77,30474527752.0,6760860627364.86
5,2014-02-17,4.3925,4.3932,4.3935,4.3925,102000000.0,448084000.0,5.5,0.06,1494.38,1507.49,1515.3,1494.32,28079463718.0,6811974669465.99
6,2014-02-19,4.39,4.3915,4.393,4.39,64000000.0,281056000.0,5.5,0.07,1504.02,1485.6,1507.97,1482.02,42334867727.0,6713049431458.63
7,2014-02-20,4.395,4.42,4.43,4.395,71025000.0,313930312.5,5.5,0.07,1485.48,1480.99,1485.48,1467.52,33694582444.0,6692226645209.17
8,2014-02-21,4.42,4.5225,4.5225,4.415,65026000.0,287742585.0,5.5,0.07,1481.85,1487.64,1492.45,1481.85,23318948666.0,6722299765206.86
9,2014-02-24,4.6325,4.6325,4.6325,4.6325,25000.0,287858397.5,5.5,0.07,1487.51,1489.01,1491.78,1480.03,19772900486.0,6728494318967.82
10,2014-02-25,4.6325,4.431,4.6325,4.4285,50050000.0,221778875.0,5.5,0.07,1489.59,1478.64,1495.13,1472.43,28414020573.0,6681627919553.17
11,2014-02-26,4.5225,4.424,4.5225,4.421,85023000.0,376142085.5,5.5,0.07,1478.9,1469.51,1486.11,1465.16,35931158697.0,6640375119834.58
12,2014-03-03,4.431,4.2,4.431,4.2,67001000.0,296255700.0,7.0,0.07,1438.02,1288.81,1438.02,1261.76,114796601349.0,5823828463583.0
13,2014-03-04,4.422,4.4447,4.4447,4.422,68000000.0,597994700.0,7.0,0.07,1288.78,1356.54,1365.23,1288.78,93980994812.0,6129884003505.98
14,2014-03-05,4.4566,4.457,4.457,4.4566,67000000.0,600344600.0,7.0,0.08,1356.27,1351.11,1364.25,1330.61,51458666467.0,6105334943233.16
15,2014-03-06,4.4572,4.4582,4.4584,4.4572,65000000.0,289783000.0,7.0,0.08,1351.5,1337.98,1370.56,1301.96,73730707234.0,6046009340205.84
16,2014-03-07,4.4591,4.4585,4.4595,4.4585,66000000.0,584097800.0,7.0,0.08,1337.5,1339.36,1359.45,1322.08,49801950288.0,6052243139535.0
17,2014-03-11,4.4564,4.4555,4.4565,4.4555,65000000.0,583952200.0,7.0,0.08,1338.5,1308.7,1338.5,1304.35,43995018689.0,5913717763875.92
18,2014-03-12,4.457,4.4565,4.457,4.4565,60000000.0,557033400.0,7.0,0.08,1307.08,1274.21,1307.08,1271.74,51965497616.0,5757844999526.41
19,2014-03-13,4.4125,4.4563,4.4565,4.4125,65002000.0,557070825.0,7.0,0.08,1274.24,1248.56,1285.93,1247.7,57982552741.0,5641928130119.77
20,2014-03-14,4.4715,4.3965,4.4715,4.396,68001000.0,298966471.5,7.0,0.08,1248.29,1237.43,1248.29,1182.86,82550968523.0,5591642348039.34
21,2014-03-17,4.3965,4.3962,4.3965,4.3959,61000000.0,567134671.5,7.0,0.08,1237.52,1283.7,1288.34,1237.52,92131298659.0,5800723220087.94
22,2014-03-18,4.3954,4.3956,4.396,4.3952,60000000.0,263736000.0,7.0,0.08,1285.53,1335.86,1340.16,1278.76,71329119457.0,6028588803762.97
23,2014-03-19,4.395,4.3951,4.3952,4.395,65000000.0,285681500.0,7.0,0.08,1335.84,1319.02,1352.68,1312.5,63037171113.0,5952616641071.3
24,2014-03-20,4.3955,4.3962,4.3965,4.3955,67000000.0,294545400.0,7.0,0.08,1316.67,1320.5,1325.61,1302.68,42677768542.0,5959265927009.26
25,2014-03-21,4.3986,4.392,4.3986,4.392,65000000.0,580434700.0,7.0,0.08,1320.12,1307.34,1320.12,1270.55,61637716793.0,5899888911310.75
26,2014-03-24,4.3725,4.408,4.408,4.3725,60199000.0,264817156.5,7.0,0.09,1307.34,1297.91,1332.95,1297.76,42746229557.0,5857314786935.03
27,2014-03-25,4.4715,4.4715,4.4715,4.4715,8000.0,264852928.5,7.0,0.09,1297.9,1324.44,1332.86,1288.97,52552458215.0,5977065880957.69
28,2014-04-02,4.4025,4.4025,4.4025,4.4025,8000.0,845322848.5,7.0,0.09,,,,,,
