,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2016-11-25,605.0,558.0,605.0,550.1,31394.0,17609488.2,10.0,0.41,2101.47,2098.15,2106.6,2088.4,30965318360.0,9917965307203.23
1,2016-11-28,550.0,551.9,559.8,547.1,31113.0,17132165.8,10.0,0.41,2098.33,2094.65,2104.34,2086.36,27396639204.0,9901419322805.43
2,2016-11-29,550.0,550.2,553.6,549.2,26708.0,14717258.6,10.0,0.41,2092.13,2086.84,2098.0,2082.71,32499526774.0,9864517190765.9
3,2016-11-30,550.7,556.0,556.0,550.4,36222.0,20051860.1,10.0,0.31,2087.81,2104.91,2116.38,2085.84,58334436769.0,9949913563883.47
4,2016-12-01,555.7,557.3,557.5,555.0,11613.0,6463479.3,10.0,0.41,2110.69,2121.87,2128.7,2110.69,40906963718.0,10030101016420.21
5,2016-12-02,556.0,558.0,558.0,551.0,40807.0,22589512.2,10.0,0.41,2121.12,2128.99,2137.82,2114.91,33619258981.0,10063735796782.88
6,2016-12-05,558.0,559.5,559.5,552.0,29074.0,16110349.9,10.0,0.41,2126.93,2158.33,2163.39,2126.93,36015612471.0,10202468338887.61
7,2016-12-06,558.6,555.1,559.5,553.6,11696.0,6508018.6,10.0,0.41,2159.25,2152.35,2177.94,2151.07,38483809392.0,10174205066056.76
8,2016-12-07,559.9,554.5,559.9,551.0,19093.0,10583390.3,10.0,0.41,2154.02,2160.51,2165.21,2148.54,28719314262.0,10212752531813.04
9,2016-12-08,553.7,552.0,556.2,550.0,28042.0,15496150.3,10.0,0.41,2168.4,2207.02,2207.02,2167.93,56852647164.0,10432617397037.17
10,2016-12-09,550.5,551.0,552.7,550.4,20905.0,11533128.8,10.0,0.41,2211.29,2208.53,2220.01,2197.49,46516225982.0,10439740980151.13
11,2016-12-12,552.0,553.0,554.5,551.9,18069.0,10005629.6,10.0,0.41,2219.13,2226.89,2242.17,2210.06,69318246274.0,10526552610141.68
12,2016-12-13,553.9,552.4,554.8,552.4,16810.0,9306344.2,10.0,0.41,2225.74,2247.02,2247.02,2215.7,49010822627.0,10621664155401.07
13,2016-12-14,554.6,555.0,555.0,554.0,33772.0,18730504.9,10.0,0.41,2248.22,2229.05,2258.1,2215.11,43639101604.0,10536738358128.51
14,2016-12-15,554.8,555.0,555.6,554.4,38211.0,21206743.1,10.0,0.66,2217.16,2237.23,2240.14,2202.35,61391210785.0,10575401825608.29
15,2016-12-16,556.2,555.2,557.0,554.9,32730.0,18189608.7,10.0,0.66,2239.08,2231.41,2251.23,2229.3,46994667402.0,10458806427262.66
16,2016-12-19,559.7,556.8,559.7,555.5,31808.0,17714032.9,10.0,0.66,2233.99,2215.69,2235.12,2215.69,27257034576.0,10385096882299.31
17,2016-12-20,557.7,559.7,559.7,556.7,38388.0,21408087.2,10.0,0.66,2215.31,2226.36,2233.84,2207.39,28490616452.0,10435100612316.09
18,2016-12-21,556.0,559.8,560.3,556.0,41957.0,23473252.4,10.0,0.66,2227.31,2212.33,2237.6,2210.73,40851561669.0,10369336864089.85
19,2016-12-22,555.1,559.9,560.3,555.1,41377.0,23160684.1,10.0,0.66,2203.8,2174.64,2203.8,2172.37,37392540000.0,10192682412267.71
20,2016-12-23,555.0,558.8,559.5,555.0,39713.0,22198935.0,10.0,0.66,2173.62,2173.18,2188.99,2159.51,26343178496.0,10185871028953.37
21,2016-12-26,557.0,559.4,559.8,557.0,37733.0,21099222.5,10.0,0.66,2172.86,2177.86,2186.02,2172.26,12076042590.0,10207803125137.81
22,2016-12-27,559.6,559.5,560.8,557.7,39964.0,22354595.7,10.0,0.66,2173.8,2189.43,2190.91,2173.8,14891010028.0,10262003248028.33
23,2016-12-28,559.0,559.6,560.8,559.0,28147.0,15751801.9,10.0,0.66,2191.17,2182.98,2201.21,2182.98,23747491439.0,10231810034068.17
24,2016-12-29,559.7,559.6,560.0,559.2,24045.0,13458600.1,10.0,0.66,2182.3,2206.33,2210.49,2169.43,26111105459.0,10341222990332.98
25,2016-12-30,558.8,558.6,559.6,558.2,24936.0,13939250.3,10.0,0.55,2206.04,2232.72,2232.72,2206.04,25270883590.0,10464909157872.31
26,2017-01-03,561.0,559.2,561.0,559.0,6557.0,3667682.0,10.0,0.66,2231.52,2285.43,2293.99,2231.52,35361476775.0,10711996571649.61
27,2017-01-04,559.5,559.9,560.0,559.0,18855.0,10545423.7,10.0,0.66,2284.61,2263.9,2284.61,2251.75,25110003543.0,10611049025711.58
28,2017-01-05,560.0,559.9,560.0,559.4,15488.0,8666637.2,10.0,0.66,2265.72,2220.35,2270.94,2213.45,27415124274.0,10406965926564.65
29,2017-01-06,559.5,559.1,559.7,559.1,16940.0,9476779.9,10.0,0.66,2221.36,2213.93,2230.41,2195.44,20165327203.0,10376841998872.33
30,2017-01-09,559.3,559.3,559.5,558.8,37448.0,20942801.2,10.0,0.66,2217.74,2211.25,2227.88,2201.6,22482015752.0,10364291615280.53
31,2017-01-10,559.3,559.3,559.9,558.5,36056.0,20164876.6,10.0,0.66,2209.53,2237.49,2237.88,2205.87,36020856703.0,10487278014234.64
32,2017-01-11,559.3,559.3,559.5,558.9,40027.0,22380367.6,10.0,0.66,2233.62,2218.61,2239.87,2211.16,36461564415.0,10398800785603.2
33,2017-01-12,559.8,559.6,559.8,559.3,44018.0,24628623.0,10.0,0.66,2224.02,2212.0,2228.55,2205.55,38818422221.0,10367821794161.53
34,2017-01-13,559.4,559.4,559.9,559.3,38190.0,21364075.2,10.0,0.66,2214.24,2195.19,2217.47,2173.39,42466050989.0,10289027265093.13
35,2017-01-16,559.3,559.4,559.6,559.2,45042.0,25195736.2,10.0,0.66,2195.67,2189.07,2202.39,2180.78,23936262365.0,10260352949899.85
36,2017-01-17,559.2,559.6,560.0,555.8,36113.0,20206278.8,10.0,0.66,2189.95,2178.73,2195.36,2167.88,28139377671.0,10211846928539.56
37,2017-01-18,559.3,559.3,559.6,559.3,37764.0,21127820.8,10.0,0.66,2180.64,2170.09,2190.0,2165.32,30577942830.0,10171367795085.65
38,2017-01-19,559.4,559.6,559.6,559.3,37207.0,20816779.9,10.0,0.66,2171.45,2162.25,2178.22,2151.43,37111133409.0,10134638269503.66
39,2017-01-20,559.3,559.5,559.7,559.3,36332.0,20326730.4,10.0,0.66,2162.71,2159.96,2165.88,2147.19,31573243736.0,10123873663093.35
40,2017-01-23,559.9,559.4,559.9,559.1,36099.0,20199896.3,10.0,0.66,2160.13,2146.09,2160.13,2136.35,26168520190.0,10058868189312.43
