,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-10,0.8333,0.8333,0.8333,0.8333,1000.0,0.0,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
1,2014-06-11,0.7301,0.737,0.737,0.7301,5000.0,0.0,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
2,2014-06-16,0.8299,0.7809,1.0342,0.7601,2578000.0,2470246.8,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
3,2014-06-17,0.7609,0.7607,0.7609,0.7607,5000.0,2474050.9,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
4,2014-06-18,0.7939,0.77,0.7939,0.77,6000.0,0.0,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
5,2014-06-19,0.8,0.8,0.8,0.8,5000.0,0.0,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
6,2014-06-24,0.733,0.7301,0.733,0.7301,24000.0,0.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
7,2014-06-25,0.78,0.84,0.84,0.73,21000.0,0.0,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
8,2014-06-27,0.7561,0.77,0.777,0.7555,45000.0,0.0,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
9,2014-07-01,0.8296,0.756,0.9999,0.756,27000.0,0.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
10,2014-07-02,0.92,0.7641,0.9777,0.7641,29000.0,0.0,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
11,2014-07-08,0.94,0.97,0.97,0.94,10000.0,0.0,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
12,2014-07-10,0.8245,0.8245,0.8245,0.8245,1000.0,0.0,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
13,2014-07-15,0.7876,0.787,0.7876,0.787,4000.0,0.0,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
14,2014-07-16,0.9,0.784,0.9,0.78,11000.0,0.0,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
15,2014-07-17,0.7713,0.75,0.7713,0.75,45000.0,0.0,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
16,2014-07-31,0.732,0.7302,0.732,0.7302,3000.0,0.0,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
17,2014-08-01,0.731,0.85,0.9,0.731,40000.0,0.0,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
18,2014-08-04,0.9499,0.8059,1.07,0.8059,63000.0,0.0,8.0,0.09,1375.73,1378.98,1386.43,1365.01,26195753576.0,6217358216917.08
19,2014-08-05,0.8013,1.0,1.0,0.8005,16000.0,0.0,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
20,2014-08-11,0.899,0.9595,0.9595,0.823,202000.0,0.0,8.0,0.09,1350.42,1372.45,1379.22,1350.42,31225367926.0,6187929554027.43
21,2014-08-14,0.87,1.01,1.01,0.87,145000.0,0.0,8.0,0.09,1399.07,1407.53,1412.88,1391.65,32917275901.0,6346061682927.05
22,2014-08-19,0.808,0.9999,0.9999,0.808,3000.0,0.0,8.0,0.09,1425.18,1437.6,1441.42,1425.18,25673186641.0,6481651396810.93
23,2014-08-27,0.8109,0.8109,0.8109,0.8109,1000.0,0.0,8.0,0.09,1444.28,1447.91,1454.96,1444.28,19549941365.0,6528156723375.32
24,2014-08-28,0.811,0.835,0.9978,0.8,40000.0,0.0,8.0,0.09,1447.54,1423.78,1447.76,1414.18,43849484690.0,6419337314027.56
25,2014-09-01,0.8215,0.8215,0.8215,0.8215,1000.0,0.0,8.0,0.07,1401.34,1392.4,1419.9,1389.77,34518068575.0,6277859256745.77
26,2014-09-03,0.98,0.994,0.994,0.98,7000.0,0.0,8.0,0.09,1400.44,1449.29,1452.92,1400.44,56947742576.0,6534374903303.01
27,2014-09-10,0.8465,0.8465,0.8465,0.8465,1000.0,0.0,8.0,0.09,1466.99,1468.55,1472.23,1456.21,19594281049.0,6621186609667.49
28,2014-09-11,0.828,0.8279,0.828,0.8279,4000.0,0.0,8.0,0.09,1469.4,1449.63,1479.05,1449.1,30806370159.0,6535893707699.45
29,2014-09-12,0.9984,0.9984,0.9984,0.9984,1000.0,0.0,8.0,0.09,1449.4,1458.52,1470.49,1440.23,30540111711.0,6575983608620.8
30,2014-09-15,0.8315,0.8315,0.8315,0.8315,1000.0,0.0,8.0,0.09,1457.87,1454.19,1466.43,1441.26,36468665661.0,6556462216365.1
31,2014-09-18,0.9848,0.9848,0.9848,0.9848,1000.0,0.0,8.0,0.09,1449.37,1448.63,1460.13,1443.75,26613627505.0,6899755307298.78
32,2014-09-24,0.9875,0.9875,0.9875,0.9875,10000.0,0.0,8.0,0.09,,,,,,
33,2014-09-29,0.805,0.94,0.94,0.805,11000.0,0.0,8.0,0.08,,,,,,
34,2014-10-14,0.824,0.814,0.824,0.814,20000.0,0.0,8.0,0.09,,,,,,
35,2014-10-17,0.807,0.807,0.807,0.807,3000.0,0.0,8.0,0.09,,,,,,
36,2014-10-20,0.9,0.9,0.9,0.9,20000.0,0.0,8.0,0.09,,,,,,
37,2014-10-21,0.9,0.9,0.9,0.9,120000.0,0.0,8.0,0.09,,,,,,
38,2014-10-22,0.95,0.95,0.955,0.949,35000.0,0.0,8.0,0.09,,,,,,
39,2014-10-23,1.0,1.0,1.0,1.0,21000.0,0.0,8.0,0.09,,,,,,
40,2014-10-24,0.97,0.97,0.97,0.97,272000.0,0.0,8.0,0.09,,,,,,
41,2014-10-28,0.97,0.97,0.97,0.97,1000.0,0.0,8.0,0.09,,,,,,
42,2014-10-30,0.98,0.98,0.98,0.98,8000.0,0.0,8.0,0.09,1438.8,1452.89,1456.88,1428.36,49073324158.0,6920053939430.49
43,2014-10-31,0.97,0.97,0.97,0.97,15000.0,0.0,8.0,0.07,1453.89,1488.47,1488.47,1453.89,51863127433.0,7089520800994.4
44,2014-11-03,1.007,1.007,1.007,1.007,1000.0,0.0,8.0,0.09,1488.15,1491.19,1495.86,1477.06,17481520523.0,7102462053889.69
45,2014-11-07,0.975,1.033,1.033,0.975,60000.0,0.0,9.5,0.09,1496.51,1497.11,1526.08,1486.37,62435787319.0,7130652967630.07
46,2014-11-10,1.1,1.2,1.35,1.0,104000.0,0.0,9.5,0.09,1498.62,1515.36,1518.73,1498.59,36072189835.0,7217582952688.41
47,2014-11-11,1.181,1.2,1.2,1.18,304000.0,0.0,9.5,0.09,1515.08,1514.78,1531.92,1511.53,38459111229.0,7214829498289.61
48,2014-11-12,1.234,1.28,1.28,1.234,18000.0,0.0,9.5,0.09,1514.85,1513.83,1524.72,1507.45,34100235041.0,7210271305547.86
49,2014-11-13,1.281,1.35,1.35,1.28,13000.0,0.0,9.5,0.09,1514.19,1492.27,1522.87,1492.27,39369641894.0,7107618216442.59
50,2014-11-14,1.35,1.35,1.35,1.35,26000.0,0.0,9.5,0.09,1491.75,1500.76,1507.93,1481.97,34296102848.0,7148016471313.82
51,2014-11-17,1.039,1.039,1.039,1.039,1000.0,0.0,9.5,0.1,1500.69,1507.1,1512.61,1494.81,25778674454.0,7178242599235.5
52,2014-11-18,1.15,1.19,1.19,1.15,3325000.0,4031967.0,9.5,0.11,1506.78,1519.61,1524.8,1495.09,37626778528.0,7237803241252.88
53,2014-11-19,1.18,1.399,1.399,1.18,75000.0,4055606.0,9.5,0.1,1519.69,1517.97,1524.1,1513.68,31482266937.0,7230003229613.9
