,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,238.08,240.36,241.79,237.02,6373420.0,1526694211.9,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,246.48,242.8,246.48,239.65,5042580.0,1218177488.9,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,242.41,249.66,249.66,242.12,12959310.0,3185686908.1,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-16,249.01,253.3,254.87,245.67,19174760.0,4815351737.1,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
4,2014-06-17,253.25,251.59,257.3,250.1,7504200.0,1894829635.8,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
5,2014-06-18,251.52,250.87,252.58,249.23,7890720.0,1981546709.3,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
6,2014-06-19,253.0,249.89,254.23,249.24,8963490.0,2251929726.9,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
7,2014-06-20,250.65,250.11,251.84,248.07,6944910.0,1736392933.4,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
8,2014-06-23,250.28,252.3,253.3,250.0,4943100.0,1241800517.4,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
9,2014-06-24,253.05,257.81,258.3,252.7,6899670.0,1760210596.7,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
10,2014-06-25,256.36,250.0,257.69,248.74,6756610.0,1703898459.9,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
11,2014-06-26,251.25,249.24,252.44,248.5,4648100.0,1159341445.7,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
12,2014-06-27,249.9,249.49,251.24,247.11,4764260.0,1186805884.5,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
13,2014-06-30,249.67,249.3,250.11,246.35,3782240.0,936107567.7,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
14,2014-07-01,248.95,250.16,250.35,247.17,2410840.0,599544541.7,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
15,2014-07-02,250.52,255.19,255.29,249.72,6029760.0,1527292245.7,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
