,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-07-02,11221.0,11221.0,11221.0,11221.0,1.0,0.0,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
1,2014-07-04,11230.0,11200.0,11230.0,11200.0,11.0,0.0,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
2,2014-08-05,12501.0,12500.0,12501.0,12500.0,11.0,0.0,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
3,2014-08-28,13989.0,13989.0,13989.0,13989.0,1.0,0.0,8.0,0.09,1447.54,1423.78,1447.76,1414.18,43849484690.0,6419337314027.56
4,2014-08-29,13200.0,13200.0,13200.0,13200.0,19.0,0.0,8.0,0.07,1423.56,1400.71,1428.72,1400.44,34660154972.0,6315320939623.29
5,2014-09-01,13200.0,13300.0,13300.0,13200.0,2.0,0.0,8.0,0.07,1401.34,1392.4,1419.9,1389.77,34518068575.0,6277859256745.77
6,2014-09-04,12500.0,12500.0,12500.0,12500.0,1.0,0.0,8.0,0.09,1449.51,1457.34,1462.03,1439.38,34234449476.0,6570639817053.64
7,2014-09-08,12500.0,12500.0,12500.0,12500.0,1.0,0.0,8.0,0.09,1474.38,1464.76,1478.26,1460.85,26433491805.0,6604117625006.14
8,2014-09-26,12500.0,12500.0,12500.0,12500.0,10.0,0.0,8.0,0.09,,,,,,
9,2014-10-01,12500.0,12500.0,12500.0,12500.0,1.0,0.0,8.0,0.09,,,,,,
10,2014-11-05,12500.0,12500.0,12500.0,12500.0,2.0,0.0,9.5,0.09,1490.66,1495.26,1496.19,1471.25,35993706175.0,7121819234260.93
11,2014-11-10,13750.0,13800.0,13800.0,13750.0,5.0,0.0,9.5,0.09,1498.62,1515.36,1518.73,1498.59,36072189835.0,7217582952688.41
12,2014-11-11,13000.0,12500.0,13650.0,12500.0,12.0,0.0,9.5,0.09,1515.08,1514.78,1531.92,1511.53,38459111229.0,7214829498289.61
13,2014-11-13,13000.0,13600.0,13600.0,13000.0,5.0,0.0,9.5,0.09,1514.19,1492.27,1522.87,1492.27,39369641894.0,7107618216442.59
14,2014-12-04,10650.0,13600.0,13600.0,10650.0,4.0,0.0,9.5,0.12,1606.75,1582.08,1623.02,1577.7,59378086980.0,7535377974526.13
15,2014-12-05,11250.0,13000.0,13000.0,11250.0,3.0,0.0,9.5,0.12,1581.89,1529.2,1586.6,1528.65,44052547228.0,7283478688046.0
16,2014-12-08,11300.0,12900.0,12900.0,11300.0,2.0,0.0,9.5,0.12,1529.73,1481.27,1551.66,1476.02,46772419082.0,7055222590397.55
17,2014-12-11,11400.0,11500.0,11500.0,11400.0,3.0,0.0,9.5,0.12,1486.89,1455.04,1494.07,1442.79,50594982820.0,6930276348649.18
18,2014-12-12,12500.0,12500.0,12500.0,12500.0,1.0,0.0,10.5,0.12,1453.8,1459.68,1488.4,1413.04,51200831401.0,6952391085611.55
19,2014-12-22,9400.0,9950.0,11400.0,8850.0,24.0,0.0,17.0,0.13,1452.95,1437.08,1466.34,1421.39,50209370839.0,6661583735341.69
