,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-07-09,105.0,103.0,105.0,103.0,1800.0,295684919.7,5.5,0.1,1349.8,1345.73,1355.14,1342.51,17009375010.0,5999251157133.46
1,2013-07-10,113.6,102.0,113.6,102.0,1200.0,377164509.1,5.5,0.09,1345.48,1333.71,1349.64,1330.73,17995800679.0,5945645145878.68
2,2013-07-11,103.08,103.17,103.17,103.08,60.0,305608058.9,5.5,0.09,1333.12,1368.11,1370.07,1332.26,32510267533.0,6099018947194.47
3,2013-07-12,103.38,107.5,107.5,103.38,1400.0,860648875.4,5.5,0.09,1368.11,1398.22,1398.48,1366.54,36828503914.0,6233265737451.09
4,2013-07-15,110.0,109.8,110.0,109.8,400.0,590867019.3,5.5,0.09,1396.38,1403.56,1409.11,1393.4,27485191287.0,6257066435129.66
5,2013-07-16,112.26,112.98,112.98,111.52,2810.0,1026573543.5,5.5,0.09,1403.43,1410.1,1416.97,1399.84,29526572066.0,6286202239124.43
6,2013-07-17,114.3,115.05,115.05,114.3,1600.0,839045342.6,5.5,0.09,1409.21,1431.8,1432.35,1407.15,35722012697.0,6382943059723.18
7,2013-07-18,115.6,115.6,115.6,115.6,100.0,567185878.3,5.5,0.09,1431.3,1416.63,1439.6,1408.66,39832504472.0,6315313766702.67
8,2013-07-24,117.08,117.08,117.08,117.08,180.0,462613338.1,5.5,0.09,1418.33,1407.41,1419.31,1402.78,26568233042.0,6274216543929.62
9,2013-07-25,117.32,116.07,117.32,116.07,280.0,389306650.7,5.5,0.09,1408.42,1401.88,1409.56,1396.11,23113129369.0,6249572713109.65
10,2013-07-31,132.97,112.01,132.97,112.01,2000.0,472594189.3,5.5,0.09,1387.31,1375.79,1392.4,1375.38,25695490943.0,6133260944581.56
11,2013-08-01,112.0,113.17,113.17,112.0,4500.0,515269080.1,5.5,0.08,1376.31,1398.46,1400.15,1375.93,23315082531.0,6234319606068.29
12,2013-08-07,106.74,111.58,111.75,106.74,5680.0,320992547.0,5.5,0.09,1364.31,1362.91,1375.09,1356.24,20605845443.0,6075843339058.16
13,2013-08-12,130.16,113.6,130.16,113.6,6160.0,98537570.2,5.5,0.08,1382.74,1388.36,1390.16,1378.93,18511035116.0,6189277251768.98
14,2013-08-16,112.0,109.56,120.52,109.56,16060.0,942074636.72,5.5,0.09,1392.98,1380.31,1396.5,1372.03,23811955700.0,6153425701933.13
15,2013-08-19,110.81,112.73,121.0,107.25,7550.0,381727384.8,5.5,0.09,1380.56,1382.32,1384.33,1368.95,17873142853.0,6162344150683.63
16,2013-08-20,117.99,112.61,117.99,112.61,1980.0,262638985.8,5.5,0.09,1381.98,1377.28,1383.01,1365.22,21690495350.0,6139890201232.44
17,2013-08-21,112.38,114.0,115.21,112.37,2160.0,349782772.8,5.5,0.08,1376.82,1376.6,1390.29,1368.06,25959244434.0,6136843110725.03
18,2013-08-22,115.49,115.0,117.0,113.75,7050.0,285958731.6,5.5,0.09,1375.49,1396.65,1398.47,1368.06,26905346310.0,6226232566555.05
19,2013-08-23,114.15,114.21,119.0,113.34,2200.0,182229268.76,5.5,0.08,1397.54,1393.21,1401.67,1392.59,19862975165.0,6210897083880.2
20,2013-08-26,116.7,113.64,116.7,113.64,430.0,192658098.1,5.5,0.08,1392.42,1387.06,1403.88,1382.6,11910072127.0,6183488794275.27
21,2013-08-27,112.01,110.0,112.01,110.0,14800.0,420318883.0,5.5,0.07,1387.21,1374.21,1387.21,1367.56,22824404174.0,6126227462203.77
22,2013-08-28,110.51,108.72,110.51,107.66,7130.0,410075465.8,5.5,0.07,1374.27,1369.64,1375.39,1355.7,27177077921.0,6105859421428.65
23,2013-08-29,110.27,107.6,110.27,107.57,6930.0,260830871.0,5.5,0.08,1369.64,1371.89,1380.61,1366.79,18947738747.0,6115848552791.44
24,2013-08-30,107.0,101.01,107.9,101.01,73640.0,612738473.1,5.5,0.07,1372.02,1364.65,1373.1,1357.93,21743602697.0,6083607084395.46
25,2013-09-02,101.98,99.02,103.28,97.5,4954080.0,493853753.6,5.5,0.07,1364.75,1367.53,1373.73,1364.27,12744074194.0,6096416686856.09
26,2013-09-03,99.49,102.09,102.86,99.07,5477600.0,556280530.5,5.5,0.09,1366.99,1373.82,1384.18,1366.99,22164253799.0,6124460997187.43
27,2013-09-04,102.3,101.2,103.9,99.15,4313800.0,436794301.3,5.5,0.08,1372.98,1375.66,1376.42,1365.21,16929685929.0,6132675228404.21
28,2013-09-05,101.55,103.0,103.3,100.05,5078780.0,516017893.8,5.5,0.08,1375.66,1422.4,1422.4,1373.29,37635586932.0,6341025156353.93
29,2013-09-06,103.05,100.79,104.9,100.31,5505020.0,564455033.4,5.5,0.08,1421.86,1423.4,1448.75,1418.8,52189115910.0,6345500055740.21
30,2013-09-09,101.0,104.44,104.9,100.78,7365430.0,764344566.2,5.5,0.08,1423.4,1451.54,1455.28,1421.45,45793220661.0,6470954296346.45
31,2013-09-10,105.0,107.22,109.6,104.92,7569540.0,815828896.6,5.5,0.08,1451.54,1453.57,1464.2,1446.97,48929041065.0,6480000608741.71
32,2013-09-11,107.5,108.08,109.25,106.8,4826890.0,520809858.0,5.5,0.08,1452.52,1454.12,1459.68,1449.58,30684670193.0,6482453521611.17
33,2013-09-12,108.61,105.0,110.9,104.49,9494810.0,1027435492.5,5.5,0.08,1454.21,1450.23,1461.2,1441.58,32739117665.0,6465093271603.79
34,2013-09-13,104.52,104.84,106.9,104.03,4912740.0,517502858.8,5.5,0.08,1450.66,1440.74,1451.89,1434.74,24692731039.0,6422780705485.45
35,2013-09-16,105.5,107.26,107.43,105.41,4508500.0,481318478.1,5.5,0.08,1441.06,1470.48,1470.65,1438.79,44309429172.0,6555391575249.64
36,2013-09-17,106.77,107.47,107.89,106.21,2164600.0,231592997.99,5.5,0.08,1470.71,1473.03,1474.02,1461.86,23620116573.0,6916585966907.95
37,2013-09-18,107.28,106.5,107.6,105.59,2607580.0,278561117.2,5.5,0.08,1472.17,1464.95,1482.59,1462.18,35222582334.0,6878658435503.36
38,2013-09-19,108.0,105.0,108.9,103.31,7021790.0,743948172.3,5.5,0.09,1464.35,1487.19,1501.32,1463.8,53895959163.0,6983113967163.46
39,2013-09-20,104.45,101.6,105.83,101.4,7413720.0,763690803.4,5.5,0.08,1486.49,1476.73,1488.5,1476.07,31552058986.0,6933962169638.04
40,2013-09-23,101.63,101.6,102.95,101.01,3998340.0,407938115.1,5.5,0.09,1476.69,1467.62,1478.61,1463.61,26313729744.0,6891218287996.88
41,2013-09-24,101.38,102.2,102.5,101.12,3102560.0,315868872.04,5.5,0.09,1466.41,1464.72,1472.11,1459.21,27919329025.0,6877568322623.03
42,2013-09-25,102.19,102.58,103.44,101.94,3940270.0,404749799.4,5.5,0.08,,,,,,
43,2013-09-26,103.31,103.8,104.3,102.77,4743840.0,491868290.2,5.5,0.08,,,,,,
44,2013-09-27,104.0,103.5,104.28,103.01,2487120.0,257067977.2,5.5,0.08,,,,,,
