,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-24,0.29005,0.3,0.3,0.29005,90000.0,0.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
1,2014-06-25,0.31995,0.34,0.41,0.3,4280000.0,1534706.9,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
2,2014-06-26,0.4,0.45,0.45,0.4,280000.0,1658316.9,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
3,2014-07-01,0.3,0.32001,0.38999,0.3,40000.0,1671916.9,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
4,2014-07-14,0.332,0.34,0.34,0.332,30000.0,0.0,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
5,2014-07-16,0.33201,0.33201,0.33201,0.33201,110000.0,0.0,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
6,2014-07-17,0.332,0.332,0.332,0.332,20000.0,0.0,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
7,2014-07-22,0.3879,0.38791,0.38791,0.3879,20000.0,0.0,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
8,2014-07-30,0.33,0.33,0.33,0.33,10000.0,0.0,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
9,2014-08-04,0.34001,0.34001,0.34001,0.34001,10000.0,0.0,8.0,0.09,1375.73,1378.98,1386.43,1365.01,26195753576.0,6217358216917.08
10,2014-08-14,0.33,0.33,0.33,0.33,10000.0,0.0,8.0,0.09,1399.07,1407.53,1412.88,1391.65,32917275901.0,6346061682927.05
11,2014-08-15,0.33,0.33,0.33,0.33,600000.0,0.0,8.0,0.09,1407.57,1417.82,1425.76,1400.7,26772144978.0,6392466871442.37
12,2014-08-25,0.35,0.35,0.35,0.35,10000.0,0.0,8.0,0.09,1446.86,1454.67,1456.72,1446.09,17577741392.0,6558630723741.41
13,2014-08-28,0.27,0.3,0.30001,0.262,140000.0,0.0,8.0,0.09,1447.54,1423.78,1447.76,1414.18,43849484690.0,6419337314027.56
14,2014-08-29,0.314,0.314,0.314,0.314,20000.0,0.0,8.0,0.07,1423.56,1400.71,1428.72,1400.44,34660154972.0,6315320939623.29
15,2014-09-01,0.30001,0.30002,0.30002,0.30001,120000.0,0.0,8.0,0.07,1401.34,1392.4,1419.9,1389.77,34518068575.0,6277859256745.77
16,2014-09-02,0.34591,0.346,0.346,0.34591,30000.0,0.0,8.0,0.09,1392.27,1400.35,1401.68,1386.31,20818865093.0,6313723045613.47
17,2014-09-04,0.38,0.35084,0.398,0.35084,640000.0,0.0,8.0,0.09,1449.51,1457.34,1462.03,1439.38,34234449476.0,6570639817053.64
18,2014-09-08,0.32999,0.33,0.33002,0.32999,360000.0,0.0,8.0,0.09,1474.38,1464.76,1478.26,1460.85,26433491805.0,6604117625006.14
19,2014-09-10,0.39999,0.39999,0.39999,0.39999,10000.0,0.0,8.0,0.09,1466.99,1468.55,1472.23,1456.21,19594281049.0,6621186609667.49
20,2014-09-16,0.34001,0.34001,0.34001,0.34001,10000.0,0.0,8.0,0.09,1454.13,1477.31,1483.66,1451.21,34534659889.0,7036330612381.47
21,2014-09-17,0.34001,0.34019,0.34019,0.34001,330000.0,0.0,8.0,0.09,1477.09,1449.37,1477.09,1437.73,43639537600.0,6903283783164.72
22,2014-09-19,0.39997,0.39997,0.39997,0.39997,10000.0,0.0,8.0,0.09,1448.19,1431.58,1454.16,1423.44,41661321148.0,6818524090027.49
23,2014-09-24,0.32513,0.33901,0.35231,0.32511,40000.0,0.0,8.0,0.09,,,,,,
24,2014-10-17,0.316,0.316,0.316,0.316,20000.0,0.0,8.0,0.09,,,,,,
25,2014-10-28,0.33,0.33,0.332,0.316,1020000.0,0.0,8.0,0.09,,,,,,
26,2014-10-30,0.33,0.33,0.331,0.33,890000.0,0.0,8.0,0.09,1438.8,1452.89,1456.88,1428.36,49073324158.0,6920053939430.49
27,2014-11-03,0.325,0.26,0.325,0.26,20000.0,0.0,8.0,0.09,1488.15,1491.19,1495.86,1477.06,17481520523.0,7102462053889.69
28,2014-11-12,0.32,0.32,0.32,0.32,100000.0,0.0,9.5,0.09,1514.85,1513.83,1524.72,1507.45,34100235041.0,7210271305547.86
29,2014-11-13,0.335,0.335,0.335,0.335,10000.0,0.0,9.5,0.09,1514.19,1492.27,1522.87,1492.27,39369641894.0,7107618216442.59
30,2014-11-17,0.32,0.32,0.32,0.32,70000.0,0.0,9.5,0.1,1500.69,1507.1,1512.61,1494.81,25778674454.0,7178242599235.5
31,2014-11-21,0.335,0.335,0.335,0.335,10000.0,0.0,9.5,0.1,1530.46,1538.93,1541.52,1515.01,36353481324.0,7329822620329.37
32,2014-11-25,0.35,0.35,0.35,0.35,210000.0,0.0,9.5,0.1,1529.62,1529.57,1537.65,1516.18,27545836432.0,7285244990377.67
33,2014-11-26,0.379,0.314,0.379,0.314,150000.0,0.0,9.5,0.1,1528.83,1537.43,1537.43,1522.5,30877259958.0,7322717397660.45
34,2014-12-01,0.32,0.32,0.32,0.32,10000.0,0.0,9.5,0.13,1532.89,1578.38,1598.19,1525.35,62166248251.0,7517749945811.61
35,2014-12-04,0.331,0.331,0.331,0.331,100000.0,0.0,9.5,0.12,1606.75,1582.08,1623.02,1577.7,59378086980.0,7535377974526.13
36,2014-12-08,0.377,0.33,0.39,0.33,60000.0,0.0,9.5,0.12,1529.73,1481.27,1551.66,1476.02,46772419082.0,7055222590397.55
37,2014-12-12,0.361,0.37,0.37,0.361,190000.0,0.0,10.5,0.12,1453.8,1459.68,1488.4,1413.04,51200831401.0,6952391085611.55
38,2014-12-15,0.262,0.262,0.262,0.262,10000.0,0.0,10.5,0.11,1459.25,1424.99,1483.38,1402.83,68027939909.0,6787127409924.95
39,2014-12-16,0.34,0.299,0.34,0.259,40000.0,0.0,17.0,0.12,1424.72,1444.32,1484.06,1309.6,100830509677.0,6695173218130.9
40,2014-12-18,0.32,0.326,0.418,0.301,1780000.0,672240.0,17.0,0.13,1417.41,1477.27,1506.13,1417.41,78761569805.0,6847878823692.59
41,2014-12-19,0.339,0.33,0.42,0.33,790000.0,0.0,17.0,0.13,1477.36,1449.13,1488.34,1417.68,44856913714.0,6717440284468.56
