,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,0.2,0.2,0.2,0.191,120000.0,0.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,0.19003,0.2,0.2,0.19003,80000.0,0.0,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,0.1979,0.2,0.2,0.1979,200000.0,0.0,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-16,0.20199,0.19788,0.20199,0.19788,20000.0,0.0,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
4,2014-06-18,0.2,0.19801,0.2,0.19801,310000.0,0.0,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
5,2014-06-19,0.19801,0.19,0.20151,0.19,810000.0,0.0,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
6,2014-06-20,0.19018,0.19,0.19018,0.19,150000.0,0.0,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
7,2014-06-23,0.19973,0.19,0.19973,0.19,40000.0,0.0,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
8,2014-06-24,0.19001,0.2,0.21,0.19001,1030000.0,0.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
9,2014-06-25,0.20298,0.219,0.22,0.2,1310000.0,0.0,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
10,2014-06-26,0.21995,0.215,0.22,0.215,90000.0,0.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
11,2014-06-27,0.215,0.215,0.215,0.215,20000.0,0.0,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
12,2014-06-30,0.214,0.215,0.215,0.21,440000.0,0.0,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
13,2014-07-01,0.21497,0.215,0.22688,0.20002,560000.0,0.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
14,2014-07-02,0.21998,0.22,0.22,0.20717,160000.0,0.0,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
15,2014-07-03,0.21207,0.2121,0.221,0.21207,280000.0,0.0,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
16,2014-07-04,0.22099,0.222,0.224,0.215,380000.0,0.0,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
17,2014-07-07,0.21154,0.21501,0.21502,0.21154,210000.0,0.0,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
18,2014-07-08,0.215,0.22442,0.22442,0.21105,620000.0,0.0,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
19,2014-07-09,0.21606,0.22442,0.22442,0.21606,320000.0,0.0,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
20,2014-07-10,0.21699,0.22446,0.22446,0.21699,370000.0,0.0,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
21,2014-07-15,0.219,0.21498,0.219,0.20504,230000.0,0.0,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
22,2014-07-16,0.22399,0.216,0.22399,0.216,130000.0,0.0,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
23,2014-07-17,0.22,0.21555,0.22,0.21555,20000.0,0.0,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
24,2014-07-18,0.21503,0.20999,0.21503,0.20999,240000.0,0.0,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
25,2014-07-23,0.20106,0.20105,0.20106,0.20105,620000.0,0.0,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
26,2014-07-25,0.21947,0.209,0.22,0.209,730000.0,0.0,7.5,0.09,1408.19,1388.41,1408.19,1386.14,29628586311.0,6259875281029.59
