,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-10,1.9,1.9,1.9,1.9,1000.0,0.0,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
1,2014-06-19,1.764,1.764,1.764,1.764,1000.0,0.0,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
2,2014-07-07,1.58,1.763,1.763,1.58,17000.0,0.0,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
3,2014-07-08,1.763,1.646,1.79,1.6,35000.0,0.0,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
4,2014-07-10,1.71,1.71,1.71,1.71,1000.0,0.0,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
5,2014-07-15,1.71,1.71,1.71,1.71,1000.0,0.0,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
6,2014-07-18,1.699,1.7,1.7,1.699,8000.0,0.0,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
7,2014-07-23,1.608,1.6,1.7,1.565,17000.0,0.0,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
8,2014-07-25,1.719,1.72,1.72,1.719,7000.0,0.0,7.5,0.09,1408.19,1388.41,1408.19,1386.14,29628586311.0,6259875281029.59
9,2014-07-28,1.908,1.908,1.908,1.908,3000.0,0.0,8.0,0.09,1387.12,1361.94,1387.14,1357.03,30461885017.0,6140507803885.11
10,2014-07-29,1.7,1.7,1.7,1.7,10000.0,0.0,8.0,0.09,1361.22,1369.83,1380.29,1356.62,35280719684.0,6176106230122.06
11,2014-07-31,1.602,1.602,1.602,1.602,1000.0,0.0,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
12,2014-08-06,1.6,1.6,1.6,1.6,10000.0,0.0,8.0,0.09,1357.33,1334.66,1362.22,1333.37,44555802086.0,6017513533119.65
13,2014-08-08,1.564,1.563,1.564,1.563,26000.0,0.0,8.0,0.09,1332.26,1348.21,1360.49,1329.1,34479528820.0,6078629580593.59
14,2014-08-11,1.55,1.68,1.68,1.55,29000.0,0.0,8.0,0.09,1350.42,1372.45,1379.22,1350.42,31225367926.0,6187929554027.43
15,2014-08-14,1.55,1.5,1.555,1.5,15000.0,0.0,8.0,0.09,1399.07,1407.53,1412.88,1391.65,32917275901.0,6346061682927.05
16,2014-08-15,1.55,1.55,1.55,1.55,1000.0,0.0,8.0,0.09,1407.57,1417.82,1425.76,1400.7,26772144978.0,6392466871442.37
17,2014-08-22,1.6,1.6,1.6,1.6,1000.0,0.0,8.0,0.09,1461.79,1446.6,1463.71,1434.09,28861993115.0,6522253115433.8
18,2014-09-01,1.649,1.649,1.649,1.649,1000.0,0.0,8.0,0.07,1401.34,1392.4,1419.9,1389.77,34518068575.0,6277859256745.77
19,2014-09-08,1.502,1.5,1.502,1.5,12000.0,0.0,8.0,0.09,1474.38,1464.76,1478.26,1460.85,26433491805.0,6604117625006.14
20,2014-09-09,1.599,1.599,1.599,1.599,9000.0,0.0,8.0,0.09,1465.13,1468.17,1479.64,1465.13,22936789195.0,6619470791030.01
21,2014-09-12,1.599,1.599,1.599,1.599,1000.0,0.0,8.0,0.09,1449.4,1458.52,1470.49,1440.23,30540111711.0,6575983608620.8
22,2014-09-18,1.502,1.55,1.55,1.5,15000.0,0.0,8.0,0.09,1449.37,1448.63,1460.13,1443.75,26613627505.0,6899755307298.78
23,2014-09-19,1.597,1.597,1.597,1.597,1000.0,0.0,8.0,0.09,1448.19,1431.58,1454.16,1423.44,41661321148.0,6818524090027.49
24,2014-10-06,1.5,1.5,1.5,1.5,1000.0,0.0,8.0,0.09,,,,,,
25,2014-10-10,1.45,1.4,1.45,1.4,12000.0,0.0,8.0,0.09,,,,,,
26,2014-10-13,1.39,1.36,1.39,1.36,4000.0,0.0,8.0,0.09,,,,,,
27,2014-10-16,1.26,1.35,1.35,1.26,1601000.0,2063730.0,8.0,0.09,,,,,,
28,2014-10-27,1.31,1.31,1.31,1.31,1000.0,0.0,8.0,0.09,,,,,,
29,2014-10-29,1.54,1.55,1.55,1.54,5000.0,0.0,8.0,0.09,1415.53,1439.58,1441.98,1411.0,36586717584.0,6856662513241.23
30,2014-11-05,1.55,1.55,1.55,1.55,6000.0,0.0,9.5,0.09,1490.66,1495.26,1496.19,1471.25,35993706175.0,7121819234260.93
31,2014-11-12,1.5,1.58,1.58,1.5,2000.0,0.0,9.5,0.09,1514.85,1513.83,1524.72,1507.45,34100235041.0,7210271305547.86
32,2014-11-13,1.59,1.59,1.59,1.59,1000.0,0.0,9.5,0.09,1514.19,1492.27,1522.87,1492.27,39369641894.0,7107618216442.59
33,2014-11-18,1.41,1.4,1.41,1.4,10000.0,0.0,9.5,0.11,1506.78,1519.61,1524.8,1495.09,37626778528.0,7237803241252.88
34,2014-11-19,1.58,1.58,1.58,1.57,16000.0,0.0,9.5,0.1,1519.69,1517.97,1524.1,1513.68,31482266937.0,7230003229613.9
35,2014-11-24,1.41,1.6,1.6,1.4,3000.0,0.0,9.5,0.1,1539.95,1529.54,1541.75,1521.83,31750458256.0,7285128652947.91
36,2014-11-25,1.47,1.58,1.58,1.45,7000.0,0.0,9.5,0.1,1529.62,1529.57,1537.65,1516.18,27545836432.0,7285244990377.67
37,2014-11-26,1.63,1.65,1.65,1.63,18000.0,0.0,9.5,0.1,1528.83,1537.43,1537.43,1522.5,30877259958.0,7322717397660.45
38,2014-11-27,1.5,1.68,1.68,1.5,32000.0,0.0,9.5,0.1,1537.0,1531.69,1548.17,1528.06,39939357345.0,7295336331196.54
39,2014-12-08,1.51,1.5,1.51,1.5,11000.0,0.0,9.5,0.12,1529.73,1481.27,1551.66,1476.02,46772419082.0,7055222590397.55
