,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,0.25,0.25,0.25,0.25,2470000.0,1070213.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-11,0.25,0.25,0.25,0.25,1970000.0,1110000.0,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
2,2014-06-16,0.2302,0.2302,0.2302,0.2302,10000.0,1112302.0,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
3,2014-06-17,0.24,0.25,0.25,0.24,910000.0,713802.0,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
4,2014-06-19,0.25,0.25,0.25,0.25,1730000.0,651500.0,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
5,2014-06-23,0.25,0.25,0.25,0.25,470000.0,769000.0,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
6,2014-06-25,0.25,0.25,0.25,0.25,650000.0,1426302.0,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
7,2014-06-26,0.25,0.2671,0.2671,0.25,2010000.0,1928973.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
8,2014-07-01,0.2659,0.2659,0.2659,0.2659,110000.0,694420.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
9,2014-07-02,0.266,0.27,0.27,0.266,4530000.0,1222465.0,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
10,2014-07-07,0.2701,0.27,0.2701,0.27,30000.0,1259815.0,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
11,2014-07-11,0.2501,0.25,0.2501,0.25,90000.0,1282316.0,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
12,2014-07-14,0.2563,0.2563,0.2563,0.2563,1000000.0,1538616.0,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
13,2014-07-16,0.238,0.2501,0.2501,0.238,20000.0,0.0,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
14,2014-07-18,0.25,0.25,0.27,0.2499,2670000.0,668701.0,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
15,2014-07-21,0.25,0.25,0.25,0.2499,800000.0,0.0,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
16,2014-07-22,0.255,0.24,0.255,0.24,20000.0,0.0,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
17,2014-07-23,0.245,0.245,0.245,0.245,20000.0,0.0,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
18,2014-07-24,0.25,0.25,0.25,0.25,680000.0,1048550.0,7.5,0.09,1405.58,1408.8,1410.75,1394.04,25372742027.0,6351783470052.68
19,2014-07-25,0.24,0.249,0.249,0.24,680000.0,0.0,7.5,0.09,1408.19,1388.41,1408.19,1386.14,29628586311.0,6259875281029.59
20,2014-07-30,0.258,0.25,0.26,0.25,1210000.0,645845.0,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
21,2014-07-31,0.2501,0.2501,0.2501,0.2501,10000.0,0.0,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
22,2014-08-07,0.25,0.25,0.25,0.25,200000.0,528346.0,8.0,0.09,1333.39,1333.53,1340.84,1306.8,46389687389.0,6012422895099.08
23,2014-08-11,0.2311,0.2501,0.2501,0.2311,20000.0,0.0,8.0,0.09,1350.42,1372.45,1379.22,1350.42,31225367926.0,6187929554027.43
24,2014-08-14,0.25,0.25,0.25,0.25,20000.0,0.0,8.0,0.09,1399.07,1407.53,1412.88,1391.65,32917275901.0,6346061682927.05
25,2014-08-21,0.25,0.25,0.25,0.2499,1570000.0,0.0,8.0,0.09,1447.12,1461.75,1469.44,1445.48,28439597629.0,6590528216157.51
26,2014-08-25,0.2402,0.2401,0.2402,0.2401,30000.0,0.0,8.0,0.09,1446.86,1454.67,1456.72,1446.09,17577741392.0,6558630723741.41
27,2014-08-27,0.27,0.27,0.27,0.27,2160000.0,590404.0,8.0,0.09,1444.28,1447.91,1454.96,1444.28,19549941365.0,6528156723375.32
28,2014-08-28,0.27,0.27,0.27,0.27,370000.0,683100.0,8.0,0.09,1447.54,1423.78,1447.76,1414.18,43849484690.0,6419337314027.56
29,2014-09-08,0.2556,0.2555,0.2556,0.2555,150000.0,721428.0,8.0,0.09,1474.38,1464.76,1478.26,1460.85,26433491805.0,6604117625006.14
30,2014-09-09,0.2551,0.255,0.2551,0.255,420000.0,828529.0,8.0,0.09,1465.13,1468.17,1479.64,1465.13,22936789195.0,6619470791030.01
31,2014-09-10,0.2649,0.265,0.265,0.2649,110000.0,0.0,8.0,0.09,1466.99,1468.55,1472.23,1456.21,19594281049.0,6621186609667.49
32,2014-09-11,0.2601,0.2601,0.2601,0.2601,10000.0,0.0,8.0,0.09,1469.4,1449.63,1479.05,1449.1,30806370159.0,6535893707699.45
33,2014-09-12,0.2749,0.2739,0.2749,0.2739,400000.0,0.0,8.0,0.09,1449.4,1458.52,1470.49,1440.23,30540111711.0,6575983608620.8
34,2014-09-19,0.285,0.285,0.285,0.285,10000.0,0.0,8.0,0.09,1448.19,1431.58,1454.16,1423.44,41661321148.0,6818524090027.49
35,2014-09-23,0.2556,0.25,0.2556,0.25,40000.0,0.0,8.0,0.09,1413.57,1429.45,1432.37,1413.49,25653683539.0,6808383919755.99
36,2014-09-24,0.26,0.26,0.26,0.26,10000.0,0.0,8.0,0.09,,,,,,
37,2014-10-02,0.25,0.26,0.26,0.223,60000.0,0.0,8.0,0.09,,,,,,
