,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-03-25,96.0,98.79,101.14,96.0,593680.0,8572433621.95,5.5,0.15,1441.26,1428.46,1458.58,1425.78,29212972358.0,4685485402225.87
1,2013-03-26,98.58,97.2,99.31,97.08,1283550.0,12218468579.3,5.5,0.14,1427.99,1417.0,1432.41,1412.41,35279244171.0,4647902216604.81
2,2013-03-27,97.9,96.75,98.0,95.39,1261950.0,12519812986.55,5.5,0.12,1416.78,1425.0,1426.68,1407.22,33964026675.0,4674146849765.3
3,2013-03-28,96.38,98.59,98.66,95.72,1971410.0,12572809760.42,5.5,0.13,1424.56,1434.18,1434.38,1414.96,37964361070.0,4704265598220.23
4,2013-03-29,98.6,98.76,99.09,98.32,782000.0,2611473832.5,5.5,0.09,1434.88,1438.57,1440.1,1432.8,10120213882.0,4718644324106.3
5,2013-04-01,98.37,98.07,99.43,97.55,2279650.0,4378601077.8,5.5,0.16,1438.84,1428.47,1442.7,1427.83,12718423398.0,4685543843610.84
6,2013-04-02,98.12,98.93,99.45,98.04,3555020.0,8787806487.92,5.5,0.15,1428.29,1430.3,1435.12,1424.9,23890774042.0,4691516343146.72
7,2013-04-03,98.9,99.59,99.71,98.69,3757240.0,7151650596.89,5.5,0.14,1430.3,1427.94,1433.81,1422.48,26439439095.0,4683804410061.0
8,2013-04-04,98.86,99.91,101.13,98.5,5172930.0,10618284258.32,5.5,0.14,1427.42,1426.87,1440.62,1416.75,36268432074.0,4680280285907.06
9,2013-04-05,99.88,99.38,100.84,98.4,5229210.0,7522684156.69,5.5,0.15,1426.61,1416.69,1430.55,1410.47,31492181208.0,4646893178186.05
10,2013-04-08,99.97,100.43,100.78,99.83,5080400.0,6168250329.99,5.5,0.15,1417.28,1408.55,1430.58,1406.67,25323378471.0,4620198596859.02
11,2013-04-09,101.24,102.53,102.62,100.7,6539720.0,7694198810.39,5.5,0.15,1408.81,1425.49,1427.29,1408.81,25693833642.0,4675762002101.02
12,2013-04-10,102.79,100.56,102.79,99.81,6477440.0,8527429869.46,5.5,0.15,1425.79,1425.5,1432.55,1419.96,28034210901.0,4675796003727.1
13,2013-04-11,100.78,100.31,100.79,99.45,9738330.0,7794297916.8,5.5,0.15,1425.19,1401.73,1428.84,1397.82,29775114562.0,4597805773999.32
14,2013-04-12,99.67,98.34,100.14,98.2,8770130.0,7484292279.9,5.5,0.15,1400.92,1385.84,1401.46,1380.57,26881547102.0,4545695451169.55
15,2013-04-15,97.68,95.48,97.69,95.05,9476270.0,10120630121.93,5.5,0.15,1385.62,1359.69,1387.94,1351.83,36136942147.0,4459925087360.65
16,2013-04-16,94.73,95.92,96.88,94.73,8746220.0,8509297216.7,5.5,0.15,1358.23,1352.37,1366.45,1349.93,28185620093.0,4435921503797.14
17,2013-04-17,96.62,94.58,96.62,93.72,12318170.0,8597481540.84,5.5,0.15,1353.41,1335.89,1358.61,1328.84,31350713378.0,4381847280135.27
18,2013-04-18,94.7,95.35,96.49,94.26,11438210.0,8284601685.66,5.5,0.15,1335.91,1335.21,1350.67,1333.73,28941395839.0,4379628468399.73
19,2013-04-19,96.3,96.22,96.86,95.67,10456040.0,7355352377.91,5.5,0.15,1335.57,1338.43,1346.39,1330.02,23559778621.0,4390171862238.04
20,2013-04-22,97.21,95.1,97.95,94.79,8487550.0,7136228425.74,5.5,0.15,1338.67,1336.84,1354.84,1324.58,28348752264.0,4384960938021.55
21,2013-04-23,94.44,96.46,96.5,94.05,9918070.0,8040752545.71,5.5,0.14,1337.22,1339.91,1342.79,1320.73,27073966007.0,4395044557880.13
22,2013-04-24,97.14,97.89,98.75,96.51,10809260.0,9970136235.53,5.5,0.13,1339.51,1377.01,1378.03,1337.53,37947228082.0,4516740039325.29
23,2013-04-25,98.17,96.11,99.35,93.0,17508370.0,10832325462.37,5.5,0.13,1377.33,1372.2,1386.31,1368.05,39433254295.0,4500971108026.07
24,2013-04-26,95.87,95.6,96.94,95.01,12505810.0,7126742251.29,5.5,0.13,1372.5,1372.04,1375.73,1358.28,30084465483.0,4500422037921.16
25,2013-04-29,95.69,94.83,96.8,94.7,9543700.0,4853103015.77,5.5,0.13,1373.57,1362.57,1380.1,1360.54,21513847452.0,4469376040033.6
26,2013-04-30,94.8,99.3,99.3,94.65,9242730.0,9899158153.78,5.5,0.14,1363.38,1385.88,1389.76,1360.58,38266511047.0,4545828711284.87
27,2013-05-02,98.75,100.84,101.29,98.75,8247370.0,5795760977.33,5.5,0.15,1385.88,1376.56,1386.69,1369.52,18339627176.0,4515257192062.81
28,2013-05-03,101.64,102.92,103.0,100.33,6583590.0,6086270119.55,5.5,0.14,1377.45,1408.03,1408.05,1377.14,20213565417.0,4618487179724.43
29,2013-05-06,103.29,102.28,103.29,102.03,5184770.0,5839631225.56,5.5,0.14,1408.03,1413.43,1417.99,1406.2,20362452085.0,4636195729319.12
30,2013-05-07,102.14,105.14,105.66,101.68,7598890.0,11742432001.5,5.5,0.12,1413.02,1430.18,1431.06,1407.95,33425365199.0,4691141710155.37
31,2013-05-08,105.37,105.81,105.83,104.23,7983670.0,7176875357.94,5.5,0.12,1430.12,1432.94,1436.07,1421.41,23893555999.0,4700175522894.17
32,2013-05-10,105.26,103.78,105.86,103.59,7276960.0,4151496062.52,5.5,0.12,1431.31,1426.25,1446.34,1421.53,14910307256.0,4678255643889.34
33,2013-05-13,103.55,103.34,103.86,101.95,8107650.0,9500326540.94,5.5,0.12,1426.25,1416.5,1427.03,1409.34,30681153085.0,4646270498701.45
34,2013-05-14,103.79,103.84,104.78,102.86,13107770.0,7571906401.34,5.5,0.11,1414.79,1405.76,1421.14,1398.65,31353415787.0,4611041304733.78
35,2013-05-15,104.33,103.22,104.39,102.4,8940580.0,7435781835.46,5.5,0.12,1405.65,1391.98,1409.65,1384.97,27987573687.0,4565844803354.76
36,2013-05-16,103.27,102.45,103.91,102.35,4241390.0,6120794961.24,5.5,0.11,1392.54,1373.65,1395.17,1373.1,26998112102.0,4505703596584.12
37,2013-05-17,101.9,105.17,105.28,101.8,5862860.0,8376462856.84,5.5,0.1,1373.53,1401.79,1405.32,1372.57,27213515506.0,4598007527975.08
38,2013-05-20,105.66,106.49,107.13,105.23,5986790.0,8751868375.5,5.5,0.1,1401.43,1406.86,1413.42,1399.68,25951733595.0,4614635334378.0
39,2013-05-21,106.21,108.9,109.42,105.89,7682260.0,9189119981.3,5.5,0.09,1406.94,1422.99,1425.79,1399.41,27869967867.0,4667555244479.6
40,2013-05-22,109.18,110.73,111.42,108.93,12471940.0,13158466238.3,5.5,0.08,1423.11,1448.42,1453.69,1422.4,37591516826.0,4750964980081.49
41,2013-05-23,108.6,105.61,108.6,105.61,10928200.0,11229646604.09,5.5,0.08,1448.56,1396.91,1449.62,1393.12,36241575776.0,4582003845175.88
42,2013-05-24,106.25,102.97,106.57,102.47,17144980.0,13118296657.79,5.5,0.09,1397.75,1380.88,1404.88,1376.22,31696921130.0,4529421837130.13
43,2013-05-27,103.62,102.86,103.83,102.15,9630270.0,5892465323.53,5.5,0.09,1380.92,1378.29,1389.96,1373.2,14169413565.0,4520931622214.97
44,2013-05-28,103.5,104.0,104.97,103.41,8500810.0,7867977736.66,5.5,0.09,1378.25,1397.72,1404.42,1378.07,27002142678.0,4584679850654.7
45,2013-05-29,103.29,99.9,103.42,99.9,13256870.0,9913766974.85,5.5,0.08,1397.54,1361.43,1397.54,1360.89,32223300702.0,0.0
46,2013-05-30,99.67,99.98,100.92,98.83,16543730.0,9626263278.37,5.5,0.08,1361.16,1361.26,1373.37,1355.4,33563610773.0,4465077369014.84
47,2013-05-31,100.55,99.0,100.61,97.75,17383700.0,10302661602.1,5.5,0.09,1362.0,1350.17,1372.24,1340.39,47514816042.0,4428703540822.76
48,2013-06-03,97.85,98.8,100.68,96.79,16609480.0,11783541733.33,5.5,0.1,1350.17,1337.4,1353.47,1324.54,40199050663.0,4386806827362.3
49,2013-06-04,100.0,98.71,101.52,98.71,7214140.0,8708722605.21,5.5,0.11,1337.52,1341.62,1358.05,1337.44,28995190214.0,4400660417108.83
50,2013-06-05,98.32,97.5,99.28,97.3,11474200.0,9053682100.02,5.5,0.09,1341.33,1326.78,1343.45,1321.06,30496581828.0,4351972311207.56
51,2013-06-06,97.29,96.91,98.17,96.26,9679300.0,7334839451.16,5.5,0.1,1326.73,1316.92,1328.84,1314.38,27857223161.0,4319637329093.02
52,2013-06-07,97.96,98.92,99.52,96.95,12679660.0,9100032270.21,5.5,0.09,1316.32,1343.9,1347.81,1315.42,27700113458.0,4408114505272.53
53,2013-06-10,99.73,97.9,100.63,97.3,10230620.0,7821700228.63,5.5,0.09,1343.9,1335.25,1357.18,1328.38,25736753050.0,4379747789222.68
54,2013-06-11,97.16,94.7,98.43,94.06,15916610.0,10802341148.99,5.5,0.09,1335.25,1301.31,1340.78,1298.25,33748561044.0,4268443912383.96
55,2013-06-13,93.52,91.85,93.52,90.47,17814630.0,12610458488.2,5.5,0.09,1302.52,1281.89,1302.94,1271.39,34376478090.0,4204746657708.92
56,2013-06-14,92.92,93.64,94.0,91.41,12751180.0,9379865295.02,5.5,0.1,1282.46,1299.61,1306.61,1279.55,28625423933.0,4262863349594.26
57,2013-06-17,94.2,95.74,95.85,93.92,12357410.0,8837700904.48,5.5,0.11,1300.02,1325.27,1328.66,1298.56,31888008801.0,4347010323985.11
58,2013-06-18,95.45,96.36,96.87,95.12,9357570.0,7077791465.26,5.5,0.12,1325.09,1335.14,1342.28,1319.73,23181701876.0,5952042695777.8
59,2013-06-19,96.32,94.63,96.55,94.11,8536010.0,6839137618.29,5.5,0.1,1334.66,1323.57,1340.26,1316.88,21646322615.0,5900442856803.62
60,2013-06-20,92.99,91.56,93.0,91.16,12178180.0,10609359936.86,5.5,0.1,1323.55,1297.01,1325.64,1293.18,31211103805.0,5782075464627.57
61,2013-06-21,90.68,91.24,93.28,90.68,12067320.0,8496539337.18,5.5,0.1,1297.01,1298.89,1316.0,1290.47,32467210411.0,5790423296933.42
62,2013-06-24,90.94,88.66,91.73,88.56,10446770.0,9252249923.85,5.5,0.1,1298.41,1290.26,1304.7,1284.9,28204429993.0,5751947097398.97
63,2013-06-25,89.25,89.74,90.69,89.16,8425930.0,8730321152.11,5.5,0.09,1289.76,1297.59,1309.54,1287.93,29343081881.0,5784632363516.32
64,2013-06-26,89.9,92.67,92.71,89.36,8379260.0,9454461298.13,5.5,0.09,1297.59,1320.39,1325.79,1297.49,28203573265.0,5886296584695.96
65,2013-06-27,92.98,93.2,93.74,91.9,9403380.0,8017112140.23,5.5,0.09,1320.39,1313.23,1325.71,1305.03,26383311529.0,5854370417482.6
66,2013-06-28,93.62,93.5,94.62,92.32,9615000.0,8542970990.03,5.5,0.07,1314.68,1330.46,1330.81,1311.08,29386953242.0,5931183143836.51
67,2013-07-01,93.74,95.4,95.67,93.11,7557200.0,7001354263.69,5.5,0.1,,,,,,
68,2013-07-02,95.4,94.59,95.75,94.09,5917590.0,5819912778.32,5.5,0.1,,,,,,
69,2013-07-03,93.69,93.18,93.98,92.69,6582450.0,5803327789.79,5.5,0.1,,,,,,
70,2013-07-04,93.59,94.0,94.6,92.4,7533240.0,6201185518.77,5.5,0.1,,,,,,
71,2013-07-05,94.15,93.3,94.95,92.65,10199020.0,7479340678.83,5.5,0.1,,,,,,
72,2013-07-08,92.78,93.0,93.41,91.89,6539950.0,5602772853.89,5.5,0.1,,,,,,
73,2013-07-09,93.2,92.41,93.46,92.06,5403870.0,5015662368.12,5.5,0.1,,,,,,
74,2013-07-10,92.35,91.03,92.73,90.76,7726190.0,5474419946.98,5.5,0.09,,,,,,
75,2013-07-11,92.38,95.55,95.55,92.38,10015130.0,11494759804.51,5.5,0.09,,,,,,
76,2013-07-12,96.0,98.4,98.99,95.2,12641780.0,12893546172.39,5.5,0.09,,,,,,
77,2013-07-15,98.58,99.87,100.39,98.43,13124880.0,11839484397.08,5.5,0.09,,,,,,
78,2013-07-16,99.95,99.35,101.34,99.14,10637740.0,10132610792.52,5.5,0.09,,,,,,
79,2013-07-17,99.42,101.11,101.31,98.79,7595970.0,7951535956.89,5.5,0.09,,,,,,
80,2013-07-18,101.2,98.47,101.74,97.87,16686810.0,11325813610.83,5.5,0.09,,,,,,
81,2013-07-19,97.77,99.9,101.3,97.77,18103710.0,10167604199.96,5.5,0.09,,,,,,
82,2013-07-22,100.67,97.82,100.67,97.82,12091270.0,8418696002.23,5.5,0.09,,,,,,
83,2013-07-23,98.46,96.97,99.05,96.76,9312920.0,8294675897.9,5.5,0.09,,,,,,
84,2013-07-24,96.9,96.16,97.5,95.72,18586270.0,11300958110.27,5.5,0.09,,,,,,
85,2013-07-25,96.32,95.78,96.91,95.57,12669090.0,9453147555.58,5.5,0.09,,,,,,
86,2013-07-26,96.5,94.76,96.7,94.74,7874710.0,8403980403.24,5.5,0.09,,,,,,
87,2013-07-29,94.78,94.17,95.57,94.15,7598660.0,5080528021.05,5.5,0.08,,,,,,
88,2013-07-30,94.53,94.13,95.02,93.74,6955980.0,6120679053.74,5.5,0.09,,,,,,
89,2013-07-31,94.26,95.3,95.54,93.73,10145400.0,7052675623.05,5.5,0.09,,,,,,
90,2013-08-01,95.54,96.95,96.97,95.54,7567370.0,6173926130.15,5.5,0.08,,,,,,
91,2013-08-02,97.49,96.98,97.88,95.72,9822160.0,7141559659.3,5.5,0.09,,,,,,
92,2013-08-05,97.1,96.25,97.49,96.0,5124110.0,4367486357.66,5.5,0.08,,,,,,
93,2013-08-06,95.71,94.72,96.16,94.69,7514500.0,4604304818.51,5.5,0.09,,,,,,
94,2013-08-07,94.36,94.48,95.29,94.1,8209740.0,5821027253.18,5.5,0.09,,,,,,
95,2013-08-08,95.0,94.09,95.15,93.32,9466140.0,5923967057.43,5.5,0.09,,,,,,
96,2013-08-09,94.48,95.7,95.74,93.95,9079150.0,6528186667.65,5.5,0.08,,,,,,
97,2013-08-12,95.8,96.22,96.4,94.78,8553960.0,5652811660.83,5.5,0.08,,,,,,
98,2013-08-13,95.93,97.4,97.93,95.93,9427240.0,7378258850.05,5.5,0.08,,,,,,
99,2013-08-14,97.65,98.07,98.24,97.22,10053300.0,6398052632.83,5.5,0.09,,,,,,
100,2013-08-15,97.6,95.31,97.88,95.31,20310500.0,8310376008.38,5.5,0.08,1424.17,1391.37,1424.17,1388.81,24982813091.0,6202731244029.29
101,2013-08-16,95.59,93.8,95.73,93.56,12709740.0,8529192911.93,5.5,0.09,1392.98,1380.31,1396.5,1372.03,23811955700.0,6153425701933.13
102,2013-08-19,93.71,93.66,94.45,93.24,13349120.0,7374133996.6,5.5,0.09,1380.56,1382.32,1384.33,1368.95,17873142853.0,6162344150683.63
103,2013-08-20,92.94,91.74,92.94,91.49,13056740.0,9168265108.45,5.5,0.09,1381.98,1377.28,1383.01,1365.22,21690495350.0,6139890201232.44
104,2013-08-21,91.6,90.52,92.6,89.89,16134210.0,10852472215.01,5.5,0.08,1376.82,1376.6,1390.29,1368.06,25959244434.0,6136843110725.03
105,2013-08-22,90.25,92.28,92.56,90.0,16084620.0,9543806980.73,5.5,0.09,1375.49,1396.65,1398.47,1368.06,26905346310.0,6226232566555.05
106,2013-08-23,92.3,91.9,92.83,91.65,10351540.0,6216337508.43,5.5,0.08,1397.54,1393.21,1401.67,1392.59,19862975165.0,6210897083880.2
107,2013-08-26,93.88,91.25,93.88,90.83,7768500.0,4269357711.93,5.5,0.08,1392.42,1387.06,1403.88,1382.6,11910072127.0,6183488794275.27
108,2013-08-27,90.49,90.16,90.95,89.67,9475660.0,7648285278.67,5.5,0.07,1387.21,1374.21,1387.21,1367.56,22824404174.0,6126227462203.77
109,2013-08-28,89.72,89.4,90.39,88.63,16377380.0,9448310495.05,5.5,0.07,1374.27,1369.64,1375.39,1355.7,27177077921.0,6105859421428.65
110,2013-08-29,89.48,89.68,90.67,89.33,12086030.0,6644154349.3,5.5,0.08,1369.64,1371.89,1380.61,1366.79,18947738747.0,6115848552791.44
111,2013-08-30,90.1,88.15,90.1,87.67,13959510.0,7227900217.27,5.5,0.07,1372.02,1364.65,1373.1,1357.93,21743602697.0,6083607084395.46
112,2013-09-02,88.96,89.48,90.04,88.53,46206200.0,4143056171.9,5.5,0.07,1364.75,1367.53,1373.73,1364.27,12744074194.0,6096416686856.09
113,2013-09-03,89.99,90.45,91.12,89.61,87953920.0,7959418014.27,5.5,0.09,1366.99,1373.82,1384.18,1366.99,22164253799.0,6124460997187.43
114,2013-09-04,90.09,90.33,90.57,89.4,52920680.0,4742825681.53,5.5,0.08,1372.98,1375.66,1376.42,1365.21,16929685929.0,6132675228404.21
115,2013-09-05,90.8,92.78,93.18,90.21,113375290.0,10386043687.15,5.5,0.08,1375.66,1422.4,1422.4,1373.29,37635586932.0,6341025156353.93
116,2013-09-06,92.73,92.47,95.0,91.77,167514290.0,15627219561.93,5.5,0.08,1421.86,1423.4,1448.75,1418.8,52189115910.0,6345500055740.21
117,2013-09-09,93.01,94.81,95.06,93.01,127372070.0,11998343677.76,5.5,0.08,1423.4,1451.54,1455.28,1421.45,45793220661.0,6470954296346.45
118,2013-09-10,95.49,96.55,96.92,94.88,118417470.0,11363205003.49,5.5,0.08,1451.54,1453.57,1464.2,1446.97,48929041065.0,6480000608741.71
119,2013-09-11,96.45,95.5,96.73,95.25,68867470.0,6605022211.87,5.5,0.08,1452.52,1454.12,1459.68,1449.58,30684670193.0,6482453521611.17
120,2013-09-12,95.98,95.53,96.14,94.24,80569980.0,7655988060.34,5.5,0.08,1454.21,1450.23,1461.2,1441.58,32739117665.0,6465093271603.79
121,2013-09-13,95.0,95.82,95.89,94.64,57993190.0,5514807036.11,5.5,0.08,1450.66,1440.74,1451.89,1434.74,24692731039.0,6422780705485.45
122,2013-09-16,96.76,98.97,99.04,96.71,112092070.0,11145880884.84,5.5,0.08,1441.06,1470.48,1470.65,1438.79,44309429172.0,6555391575249.64
123,2013-09-17,98.38,99.6,99.6,97.89,69417120.0,6863460146.87,5.5,0.08,1470.71,1473.03,1474.02,1461.86,23620116573.0,6916585966907.95
124,2013-09-18,99.6,99.79,100.63,99.03,109579560.0,10983015412.13,5.5,0.08,1472.17,1464.95,1482.59,1462.18,35222582334.0,6878658435503.36
125,2013-09-19,102.5,102.33,103.63,101.89,160727340.0,16497466560.11,5.5,0.09,1464.35,1487.19,1501.32,1463.8,53895959163.0,6983113967163.46
126,2013-09-20,101.63,102.36,102.61,101.37,80174540.0,8180968915.14,5.5,0.08,1486.49,1476.73,1488.5,1476.07,31552058986.0,6933962169638.04
127,2013-09-23,102.12,101.82,102.43,101.3,79846990.0,8139422530.57,5.5,0.09,1476.69,1467.62,1478.61,1463.61,26313729744.0,6891218287996.88
128,2013-09-24,101.3,100.5,101.56,100.37,81642090.0,8239611659.13,5.5,0.09,1466.41,1464.72,1472.11,1459.21,27919329025.0,6877568322623.03
129,2013-09-25,100.31,101.95,102.19,100.1,76053110.0,7703236659.23,5.5,0.08,1464.72,1479.59,1480.33,1459.13,26805611981.0,6947387045039.35
