,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-03-25,75.02,73.35,75.05,73.21,120300.0,1223179711.78,5.5,0.15,1441.26,1428.46,1458.58,1425.78,29212972358.0,4685485402225.87
1,2013-03-26,72.64,72.3,74.06,71.34,209100.0,1228822882.29,5.5,0.14,1427.99,1417.0,1432.41,1412.41,35279244171.0,4647902216604.81
2,2013-03-27,73.04,72.28,73.04,71.85,76900.0,923108161.15,5.5,0.12,1416.78,1425.0,1426.68,1407.22,33964026675.0,4674146849765.3
3,2013-03-28,72.9,75.12,75.16,72.73,211700.0,1927474730.66,5.5,0.13,1424.56,1434.18,1434.38,1414.96,37964361070.0,4704265598220.23
4,2013-03-29,75.28,75.11,75.28,74.97,91800.0,476107059.32,5.5,0.09,1434.88,1438.57,1440.1,1432.8,10120213882.0,4718644324106.3
5,2013-04-01,74.9,75.04,75.85,74.63,208200.0,643364966.47,5.5,0.16,1438.84,1428.47,1442.7,1427.83,12718423398.0,4685543843610.84
6,2013-04-02,74.87,74.62,75.44,74.2,300500.0,986642044.73,5.5,0.15,1428.29,1430.3,1435.12,1424.9,23890774042.0,4691516343146.72
7,2013-04-03,75.09,74.64,75.11,74.64,211800.0,567498209.7,5.5,0.14,1430.3,1427.94,1433.81,1422.48,26439439095.0,4683804410061.0
8,2013-04-04,74.3,74.87,75.81,72.36,836800.0,1209829323.06,5.5,0.14,1427.42,1426.87,1440.62,1416.75,36268432074.0,4680280285907.06
9,2013-04-05,74.89,73.57,74.89,73.21,696800.0,1274036835.06,5.5,0.15,1426.61,1416.69,1430.55,1410.47,31492181208.0,4646893178186.05
10,2013-04-08,73.99,72.7,74.29,72.01,216600.0,1521624471.52,5.5,0.15,1417.28,1408.55,1430.58,1406.67,25323378471.0,4620198596859.02
11,2013-04-09,73.0,73.58,73.77,72.48,812400.0,1550777655.08,5.5,0.15,1408.81,1425.49,1427.29,1408.81,25693833642.0,4675762002101.02
12,2013-04-10,72.0,71.42,73.0,71.1,617100.0,1026993114.29,5.5,0.15,1425.79,1425.5,1432.55,1419.96,28034210901.0,4675796003727.1
13,2013-04-11,71.52,69.32,71.71,69.32,751600.0,1380037629.86,5.5,0.15,1425.19,1401.73,1428.84,1397.82,29775114562.0,4597805773999.32
14,2013-04-12,69.29,69.47,69.88,68.32,314200.0,1577416310.99,5.5,0.15,1400.92,1385.84,1401.46,1380.57,26881547102.0,4545695451169.55
15,2013-04-15,68.47,67.77,68.49,66.54,648600.0,1210632574.55,5.5,0.15,1385.62,1359.69,1387.94,1351.83,36136942147.0,4459925087360.65
16,2013-04-16,67.08,67.59,68.18,67.0,450700.0,730224920.51,5.5,0.15,1358.23,1352.37,1366.45,1349.93,28185620093.0,4435921503797.14
17,2013-04-17,68.12,67.67,68.63,67.48,339500.0,1082989932.31,5.5,0.15,1353.41,1335.89,1358.61,1328.84,31350713378.0,4381847280135.27
18,2013-04-18,67.93,68.39,69.72,67.55,781400.0,1652531214.44,5.5,0.15,1335.91,1335.21,1350.67,1333.73,28941395839.0,4379628468399.73
19,2013-04-19,69.27,70.3,70.3,68.82,434800.0,1004373915.63,5.5,0.15,1335.57,1338.43,1346.39,1330.02,23559778621.0,4390171862238.04
