,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2018-01-03,773.5,780.0,781.5,762.0,32640.0,25194450.0,7.75,1.42,2111.24,2152.97,2152.97,2111.24,21076095059.7,9492304557100.0
1,2018-01-04,785.0,789.0,790.0,770.0,31870.0,24988725.0,7.75,1.42,2153.87,2197.6,2197.6,2153.87,36531245623.2,9689074992110.0
2,2018-01-05,800.0,776.5,820.0,776.0,29620.0,23379865.0,7.75,1.42,2196.69,2207.41,2207.41,2188.35,25985573299.5,9732313882890.0
3,2018-01-09,762.0,770.0,783.5,762.0,151360.0,117135760.0,7.75,1.42,2211.4,2225.39,2242.87,2211.4,44389501692.9,9811559695860.0
4,2018-01-10,773.0,780.0,780.0,765.5,75160.0,58188075.0,7.75,1.42,2227.33,2232.27,2233.63,2213.77,40081917520.9,9841904816640.0
5,2018-01-11,765.0,770.5,783.5,765.0,45180.0,35203570.0,7.75,1.42,2232.19,2246.45,2246.82,2221.61,35875188920.1,9904433763070.0
6,2018-01-12,782.5,779.0,782.5,770.0,46660.0,36311600.0,7.75,1.42,2245.7,2262.38,2262.38,2234.42,38133037880.2,9974645577030.0
7,2018-01-15,755.0,779.5,784.5,746.0,45720.0,35610120.0,7.75,1.42,2268.01,2261.53,2280.17,2259.66,28506021421.1,9970934336360.0
8,2018-01-16,780.0,778.0,780.0,772.0,46180.0,35917365.0,7.75,1.42,2262.09,2257.89,2265.64,2232.92,34181194406.0,9954885342360.0
9,2018-01-17,752.0,761.5,785.5,649.5,46850.0,35415920.0,7.75,1.42,2250.71,2277.89,2277.89,2231.7,41081164885.9,10043050307400.0
10,2018-01-18,763.5,765.0,765.0,751.0,53480.0,40875810.0,7.75,1.42,2279.34,2297.47,2299.64,2279.34,50772584530.2,10129354929100.0
11,2018-01-19,767.0,767.0,773.0,767.0,45560.0,35048815.0,7.75,1.42,2298.07,2286.33,2306.79,2273.24,40066007461.0,10080241959200.0
12,2018-01-22,769.0,749.5,770.0,749.5,45720.0,35152350.0,7.75,1.42,2286.04,2308.61,2308.61,2285.32,32826159274.2,10178470693400.0
13,2018-01-23,769.5,769.0,770.0,767.0,46270.0,35568105.0,7.75,1.42,2311.99,2298.95,2315.77,2281.52,40634954873.7,10135908144200.0
14,2018-01-24,765.5,764.0,765.5,753.0,46060.0,35159255.0,7.75,1.42,2297.69,2306.99,2306.99,2283.2,33738711190.3,10171330748200.0
15,2018-01-25,769.0,750.0,770.0,750.0,46810.0,35845530.0,7.75,1.42,2311.56,2320.03,2328.48,2307.62,52938287627.6,10228860458700.0
16,2018-01-26,753.0,735.0,754.0,735.0,48120.0,35857125.0,7.75,1.42,2317.15,2295.26,2317.15,2281.71,42865841196.4,10119611727300.0
17,2018-01-29,725.5,722.0,739.5,720.0,41230.0,30090325.0,7.75,1.42,2295.34,2284.27,2303.49,2280.92,43934120261.7,10071161374900.0
18,2018-01-30,724.0,754.0,754.0,724.0,48770.0,36217645.0,7.75,1.42,2276.37,2280.36,2301.98,2264.16,47971484476.2,10053920864200.0
19,2018-01-31,759.0,751.0,760.0,751.0,65220.0,49519760.0,7.75,1.34,2278.83,2289.99,2295.88,2266.95,47458773372.4,10096411750100.0
20,2018-02-01,758.5,758.0,759.5,757.5,46150.0,35021025.0,7.75,1.42,2292.22,2302.57,2313.21,2288.31,47093257987.8,10151849888300.0
21,2018-02-02,757.5,762.0,762.0,757.5,46960.0,35686335.0,7.75,1.42,2303.06,2281.84,2309.6,2272.84,45939793518.3,10060481816500.0
22,2018-02-05,763.0,759.0,763.0,739.5,46590.0,35299910.0,7.75,1.42,2272.67,2276.85,2281.97,2255.43,38890404182.8,10038464546100.0
23,2018-02-06,759.0,760.0,760.0,748.0,46890.0,35598380.0,7.75,1.42,2233.31,2238.24,2258.79,2222.85,64462131911.6,9868226092710.0
24,2018-02-07,759.0,775.0,775.0,748.0,46350.0,35186150.0,7.75,1.42,2247.99,2254.64,2267.35,2247.99,40989154734.5,9940527339730.0
25,2018-02-08,758.5,759.0,759.5,755.5,46600.0,35358410.0,7.75,1.42,2248.98,2227.24,2259.4,2227.24,39966166240.7,9819720941340.0
26,2018-02-09,760.5,749.5,762.5,740.0,46420.0,35321045.0,7.75,1.42,2209.67,2197.12,2217.89,2181.96,56590762463.5,9686925855800.0
