,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2021-11-01,570.0,512.9,570.0,456.0,79258.0,40548692.94,7.5,0.08,4155.24,4221.49,4224.51,4155.24,83349959944.2,21205332555225.25
1,2021-11-02,521.0,522.0,523.0,472.01,113233.0,57997914.2,7.5,0.08,4235.89,4207.53,4245.32,4196.75,78744971742.75,21135228409656.117
2,2021-11-03,527.0,511.6,529.72,509.0,60287.0,31060090.81,7.5,0.08,4192.14,4184.87,4192.14,4158.17,64727756021.55,21021384783450.332
3,2021-11-05,511.62,507.0,520.4,498.0,64760.0,33012992.52,7.5,0.08,4179.03,4174.76,4181.87,4159.92,68811060903.35,20970633479680.527
4,2021-11-08,507.0,512.32,519.5,502.0,59602.0,30548448.42,7.5,0.08,4203.65,4218.27,4220.88,4188.59,79943228299.05,21189193573037.26
5,2021-11-09,508.51,508.28,519.6,508.01,33548.0,17104474.23,7.5,0.08,4207.59,4187.33,4225.82,4181.75,82287369220.1,21033746267223.266
6,2021-11-10,504.05,502.4,510.5,501.1,56130.0,28349428.98,7.5,0.08,4192.62,4172.47,4196.22,4151.6,79836368997.35,20959106072887.477
7,2021-11-11,503.55,504.26,508.0,487.1,78304.0,39200906.0,7.5,0.08,4141.62,4189.35,4189.35,4126.52,104116091466.5,21043894981976.47
8,2021-11-12,505.65,512.97,514.16,491.0,52498.0,26737024.17,7.5,0.08,4181.7,4121.66,4181.7,4089.32,202860107485.05,20703873795964.996
9,2021-11-15,513.85,507.0,514.3,503.1,28708.0,14631400.29,7.5,0.08,4121.5,4135.14,4162.02,4111.04,123023535416.9,20771584676785.91
10,2021-11-16,513.7,509.11,513.99,505.0,38658.0,19734356.94,7.5,0.08,4147.69,4120.02,4158.31,4094.15,116677791063.4,20695666998590.926
11,2021-11-17,505.5,501.27,511.16,500.0,27335.0,13791704.92,7.5,0.08,4120.23,4149.02,4149.02,4101.96,93395386782.45,20841338245132.87
12,2021-11-18,501.27,497.2,506.0,492.85,37456.0,18780591.67,7.5,0.08,4120.81,4093.85,4150.57,4082.17,108256843364.7,20564202609994.473
13,2021-11-19,497.2,493.99,504.0,485.0,53822.0,26628060.64,7.5,0.08,4121.74,4016.47,4127.0,4000.26,151877521547.5,20175490567033.184
14,2021-11-22,493.99,485.54,495.0,460.8,131209.0,64217353.1,7.5,0.08,4008.13,3872.77,4017.02,3872.77,202719304083.35,19453676252643.8
15,2021-11-23,498.5,486.66,498.5,471.0,46908.0,22806748.39,7.5,0.08,3832.33,3960.33,3974.76,3776.61,203663613102.15,19893503329634.793
16,2021-11-24,492.9,487.51,494.5,478.15,28132.0,13697145.45,7.5,0.08,4001.89,3950.56,4021.25,3913.39,134549985501.15,19844440127165.414
17,2021-11-25,481.01,483.2,499.99,474.6,18889.0,9144929.67,7.5,0.08,3964.25,3947.82,3990.95,3932.55,73912725789.35,19830652976763.18
18,2021-11-26,495.0,472.22,495.0,431.66,88896.0,40756934.23,7.5,0.08,3852.99,3810.98,3876.13,3810.75,144744409541.75,19143272989741.89
19,2021-11-29,473.0,480.0,480.0,460.0,62617.0,29461415.91,7.5,0.08,3872.19,3879.54,3928.52,3846.12,130890429846.7,19487662774355.957
20,2021-11-30,480.0,477.98,490.0,453.16,66528.0,31251934.06,7.5,0.07,3828.25,3890.59,3902.72,3827.55,199778277587.25,19543160338135.03
21,2021-12-01,455.0,480.0,511.65,455.0,86812.0,42042423.6,7.5,0.08,3907.17,3959.29,3962.22,3900.16,119719006789.15,19888252673389.297
22,2021-12-02,480.0,485.0,495.0,467.79,180829.0,87372173.98,7.5,0.08,3940.09,3947.54,3972.85,3914.43,109953629846.45,19829258062529.47
23,2021-12-03,499.2,510.0,510.0,484.0,303701.0,153699000.01,7.5,0.08,3967.88,3913.06,3977.16,3905.38,83004665197.55,19656030951809.984
24,2021-12-06,510.0,512.0,512.0,498.0,59111.0,29988635.35,7.5,0.08,3937.15,3810.1,3938.1,3800.76,99104081043.4,19138885560423.41
25,2021-12-07,512.0,503.0,519.72,500.5,38712.0,19843955.72,7.5,0.08,3860.83,3873.2,3880.84,3810.03,127513848136.15,19455841621883.023
26,2021-12-08,512.99,500.39,517.0,481.2,43055.0,21526450.41,7.5,0.08,3904.84,3773.61,3915.65,3773.61,161711900096.09,18955548306582.867
27,2021-12-09,500.39,500.74,510.0,491.34,18773.0,9418491.8,7.5,0.08,3801.67,3813.29,3847.76,3780.3,110500027110.1,19154895882686.727
28,2021-12-10,503.65,484.5,503.85,482.16,22760.0,11256478.14,7.5,0.08,3806.97,3760.23,3814.06,3760.23,81426178559.85,18888377868248.355
29,2021-12-13,493.9,485.2,505.0,480.0,57174.0,27832593.05,7.5,0.08,3790.1,3618.31,3794.52,3613.88,147936433936.1,18175484947590.023
30,2021-12-14,499.99,473.35,499.99,471.55,14777.0,7072210.6,7.5,0.08,3533.82,3619.39,3638.49,3532.29,155519049894.1,18180875609831.43
31,2021-12-15,498.9,465.1,498.9,460.11,22314.0,10395783.03,7.5,0.08,3653.16,3621.82,3666.53,3608.6,104327497276.3,18193073486661.94
32,2021-12-16,480.0,472.22,499.0,470.0,30310.0,14386172.33,7.5,0.08,3705.57,3750.36,3755.07,3701.35,143081351990.0,18838787178680.85
33,2021-12-17,472.22,464.9,488.99,454.75,22378.0,10529380.6,7.5,0.08,3725.04,3723.27,3739.59,3696.5,127229717373.7,18411003749381.96
34,2021-12-20,488.0,454.85,488.0,450.0,30559.0,14159251.6,8.5,0.08,3657.65,3669.05,3674.71,3629.61,90298936540.65,18142880402699.91
35,2021-12-21,466.2,461.6,468.23,454.86,16520.0,7632787.73,8.5,0.08,3705.33,3693.02,3713.68,3670.16,82117461532.05,18261431084338.22
36,2021-12-22,477.0,465.78,477.0,461.01,35204.0,16435998.24,8.5,0.08,3715.2,3746.75,3759.67,3699.06,87418363756.15,18527119290565.16
37,2021-12-23,474.4,473.05,475.0,453.02,38061.0,17871304.3,8.5,0.08,3745.52,3704.6,3751.37,3691.04,74775470568.25,18318705110254.77
38,2021-12-24,473.01,478.6,494.96,470.0,43752.0,20772651.25,8.5,0.08,3700.34,3702.72,3703.72,3653.63,44756758749.6,18309366936572.17
39,2021-12-27,478.6,479.4,492.0,471.0,63036.0,30173197.2,8.5,0.08,3711.77,3740.63,3742.12,3709.19,49142530172.25,18496864679239.1
40,2021-12-28,479.41,489.44,491.99,478.5,50688.0,24453626.75,8.5,0.08,3766.5,3777.56,3790.44,3751.0,64031615578.35,18679480078543.668
41,2021-12-29,489.99,513.99,515.0,485.95,73017.0,36759890.66,8.5,0.08,3756.54,3741.07,3770.09,3727.35,60359168519.7,18499033329888.457
42,2021-12-30,509.55,516.51,519.0,508.0,73353.0,37727905.19,8.5,0.08,3753.92,3787.26,3789.61,3740.93,61497152069.0,18727411862063.33
43,2022-01-03,516.7,514.88,519.49,505.1,21655.0,11087023.51,8.5,0.08,3825.3,3852.5,3866.15,3823.5,52472868137.9,19050000386308.637
44,2022-01-04,514.0,504.49,515.0,497.0,13367.0,6752815.96,8.5,0.08,3880.2,3873.49,3892.33,3846.81,62624414462.0,19153798451398.637
45,2022-01-05,504.3,501.67,505.67,497.0,9699.0,4870864.7,8.5,0.08,3857.9,3815.05,3875.25,3805.06,59842279698.45,18864822163313.258
46,2022-01-06,500.1,508.97,515.0,492.0,24502.0,12383902.49,8.5,0.08,3758.68,3753.29,3784.17,3720.17,83469097491.95,18559424880874.74
47,2022-01-10,513.82,486.0,524.3,476.0,218716.0,110842628.98,8.5,0.08,3798.43,3738.68,3806.84,3726.73,85302196824.3,18487190627063.824
48,2022-01-11,488.33,485.0,499.49,485.0,22321.0,10980626.28,8.5,0.08,3764.56,3785.29,3800.91,3751.45,81053376709.85,18717680108245.777
49,2022-01-12,485.01,488.84,498.95,480.0,70273.0,34335300.01,8.5,0.08,3797.31,3829.95,3841.72,3783.92,100865330719.7,18938495939185.15
50,2022-01-13,496.0,487.56,496.0,482.15,49401.0,24223264.88,8.5,0.08,3814.98,3674.73,3818.97,3664.48,178770807642.9,18170960657063.582
51,2022-01-14,499.95,463.59,504.9,455.51,80479.0,38192391.15,8.5,0.08,3703.9,3596.98,3723.62,3512.03,253410592849.3,17786510970653.58
