,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2021-04-28,8.1,7.968,8.1,7.801,193813200.0,1543283700.8,5.0,0.07,3608.89,3578.12,3613.11,3558.24,104536766334.35,18167303742914.414
1,2021-04-29,8.0,7.9,8.0,7.88,83221800.0,660017517.7,5.0,0.06,3609.38,3571.05,3616.95,3565.58,103591831131.4,18131434676513.99
2,2021-04-30,7.901,7.88,7.965,7.651,81990900.0,643659631.6,5.0,0.05,3574.03,3544.0,3584.64,3536.53,85610442460.3,17994084278023.562
3,2021-05-04,7.88,7.91,7.948,7.88,89185600.0,705215228.9,5.0,0.06,3557.62,3577.21,3594.69,3556.08,92399468587.55,18162691928647.234
4,2021-05-05,7.882,8.0,8.013,7.882,43793000.0,349100371.3,5.0,0.06,3602.17,3643.56,3644.15,3600.88,79158885767.15,18499593352569.984
5,2021-05-06,8.0,8.0,8.0,7.9,28732500.0,229360893.9,5.0,0.06,3636.71,3658.27,3661.28,3634.45,87557178773.2,18574254775614.12
6,2021-05-07,8.0,8.0,8.02,7.924,15066500.0,120316494.2,5.0,0.06,3678.19,3682.69,3688.81,3667.77,81211592973.25,18698236251276.99
7,2021-05-10,8.003,7.981,8.003,7.947,10029400.0,80054032.9,5.0,0.06,3684.18,3694.78,3713.49,3675.13,82376330598.75,18759637034621.406
8,2021-05-11,7.981,7.994,8.0,7.89,35602500.0,283849279.6,5.0,0.06,3644.29,3652.05,3658.81,3625.97,96626017118.3,18542673144628.54
9,2021-05-12,8.0,7.965,8.0,7.92,18815300.0,150058728.7,5.0,0.06,3659.63,3654.14,3674.35,3643.22,91299269616.25,18553311603944.004
10,2021-05-13,7.965,7.97,7.986,7.91,26952800.0,214188425.0,5.0,0.06,3634.18,3637.38,3647.27,3600.8,97135563996.8,18468192408855.773
11,2021-05-14,7.97,7.951,7.975,7.92,12328200.0,98013876.5,5.0,0.06,3654.73,3637.6,3659.34,3623.72,61184374380.15,18469301364619.18
12,2021-05-17,7.98,7.95,7.98,7.918,12625800.0,100343085.9,5.0,0.06,3645.13,3639.61,3658.78,3618.75,76187518664.8,18479526602977.8
13,2021-05-18,7.963,7.926,7.98,7.905,30066100.0,238996558.6,5.0,0.06,3670.16,3687.96,3700.19,3670.1,108329703633.3,18725021614087.418
14,2021-05-19,7.96,7.95,7.971,7.909,24439200.0,193749073.4,5.0,0.06,3693.82,3634.76,3693.82,3619.54,136953231883.7,18454905899687.86
15,2021-05-20,7.935,7.994,8.015,7.6,56073500.0,446020901.4,5.0,0.06,3650.07,3636.16,3658.27,3603.4,93250803157.4,18462006593314.125
16,2021-05-21,7.996,7.96,7.996,7.92,24606500.0,195796935.7,5.0,0.06,3637.5,3660.48,3667.87,3620.6,78300215907.05,18585494631183.027
17,2021-05-24,7.921,7.99,7.997,7.921,58127800.0,463589017.4,5.0,0.06,3665.96,3662.51,3674.77,3651.09,55329425687.25,18595799162964.945
18,2021-05-25,7.997,7.97,7.997,7.935,25357000.0,202305091.3,5.0,0.06,3682.42,3686.76,3693.39,3672.27,69629173695.65,18718905410270.316
19,2021-05-26,7.97,7.97,7.98,7.935,17751900.0,141301060.9,5.0,0.06,3695.29,3711.05,3717.33,3694.13,86562266732.3,18842241465431.746
20,2021-05-27,7.97,8.0,8.0,7.935,40490300.0,323122764.1,5.0,0.06,3708.77,3738.68,3738.68,3694.59,163439271814.9,18982516389778.266
21,2021-05-28,7.99,7.8,7.99,7.745,24166000.0,190144899.9,5.0,0.05,3750.46,3730.55,3752.8,3724.52,75179161010.4,18941264118686.35
22,2021-05-31,7.848,7.824,7.92,7.806,8569500.0,67562726.8,5.0,0.05,3713.99,3721.63,3731.27,3713.99,54892962210.6,18895984364177.113
23,2021-06-01,7.84,7.86,7.906,7.84,5604700.0,44171482.8,5.0,0.06,3739.57,3764.59,3784.59,3739.57,93618698281.65,19114073244673.2
24,2021-06-02,7.879,7.8,7.879,7.8,8139000.0,63579628.2,5.0,0.06,3771.32,3817.68,3817.68,3769.47,92406033662.0,19383624814770.164
25,2021-06-03,7.805,7.767,7.875,7.72,7463000.0,58138122.9,5.0,0.06,3833.77,3805.45,3837.73,3777.98,97293581463.4,19321551832362.402
26,2021-06-04,7.784,7.659,7.796,7.63,10149600.0,78009128.0,5.0,0.06,3805.94,3807.43,3816.24,3766.62,89195021288.45,19331617045210.68
27,2021-06-07,7.659,7.6,7.748,7.6,8932300.0,68368342.9,5.0,0.06,3807.96,3822.21,3827.66,3793.96,66545410342.25,19406636155560.47
28,2021-06-08,7.64,7.612,7.718,7.56,16280700.0,124091939.6,5.0,0.06,3819.52,3807.43,3833.17,3799.07,84461841172.6,19331620071951.805
29,2021-06-09,7.616,7.894,7.899,7.571,12820900.0,100175538.7,5.0,0.06,3821.8,3843.28,3843.41,3805.82,75567172511.75,19513642834536.508
30,2021-06-10,7.89,7.931,7.944,7.822,21791600.0,172125931.2,5.0,0.06,3835.21,3827.71,3847.89,3822.01,84251605901.3,19434552819692.707
31,2021-06-11,7.931,7.949,7.95,7.926,5666500.0,44991968.1,5.0,0.06,3838.98,3841.53,3849.32,3828.62,73932111762.65,19504742619191.273
32,2021-06-14,7.949,7.965,7.997,7.851,5736000.0,45594844.4,5.0,0.06,3845.81,3860.18,3862.39,3842.75,55256916196.4,19599422835808.38
33,2021-06-15,7.922,7.869,7.967,7.831,13578800.0,107205236.6,5.5,0.06,3864.36,3822.4,3865.2,3819.64,77748676317.75,19407612282514.164
34,2021-06-16,7.892,7.783,7.892,7.772,3808600.0,29718072.2,5.5,0.06,3821.45,3829.67,3836.91,3803.54,87655878896.5,19444518939630.17
35,2021-06-17,7.84,7.774,7.884,7.728,4262200.0,33131193.9,5.5,0.1,3807.32,3819.07,3832.61,3801.98,108572482848.15,19390704187702.875
