,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,148.07,148.92,149.49,145.53,175470.0,26063299.3,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,148.84,149.11,149.7,148.02,52330.0,7794554.1,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,149.01,152.5,154.99,148.9,174280.0,26262369.3,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-16,152.77,153.0,153.25,151.18,164510.0,25120034.5,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
4,2014-06-17,153.0,155.5,156.99,153.0,142370.0,22068718.9,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
5,2014-06-18,155.99,156.69,157.5,154.37,230500.0,35915963.6,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
6,2014-06-19,156.02,153.5,157.5,152.63,356680.0,55176498.7,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
7,2014-06-20,149.03,150.61,151.85,148.21,445940.0,66849819.2,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
8,2014-06-23,149.98,151.59,152.88,148.3,159460.0,23962123.5,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
9,2014-06-24,150.45,151.18,152.25,150.45,80690.0,12218850.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
10,2014-06-25,151.0,149.23,152.99,149.01,98790.0,14885155.7,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
11,2014-06-26,149.95,147.0,150.7,146.02,233450.0,34561090.5,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
12,2014-06-27,146.95,147.75,148.9,146.51,92910.0,13734812.4,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
13,2014-06-30,148.73,150.5,150.5,147.98,193680.0,28970417.9,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
14,2014-07-01,152.5,149.85,152.5,148.53,128770.0,19333719.2,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
15,2014-07-02,150.39,151.41,151.88,149.6,140100.0,21122428.8,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
16,2014-07-03,151.34,148.69,152.34,148.69,182050.0,27411373.9,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
17,2014-07-04,150.79,148.85,150.99,148.8,99410.0,14894744.4,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
18,2014-07-07,150.85,151.6,152.29,149.01,63960.0,9624340.5,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
19,2014-07-08,151.8,151.58,152.8,150.7,75290.0,11420294.8,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
20,2014-07-09,151.25,147.79,151.8,147.05,116760.0,17332361.7,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
21,2014-07-10,147.9,143.15,148.99,142.51,440120.0,64291700.2,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
22,2014-07-11,143.5,144.5,145.69,142.54,65760.0,9445213.5,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
23,2014-07-14,144.97,143.78,145.28,143.0,104130.0,14944450.4,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
24,2014-07-15,144.19,142.75,144.64,142.14,83780.0,12005209.2,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
25,2014-07-16,143.06,142.0,143.24,141.85,184980.0,26328575.9,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
26,2014-07-17,141.74,139.73,141.86,139.03,78850.0,11067234.9,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
27,2014-07-18,138.93,139.7,140.87,138.14,146590.0,20326753.8,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
28,2014-07-21,139.74,138.21,140.58,138.07,227570.0,31819859.5,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
29,2014-07-22,138.33,137.0,139.63,136.51,287340.0,39615603.8,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
30,2014-07-23,137.47,136.46,138.29,136.01,112640.0,15462126.3,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
31,2014-07-24,136.08,136.83,137.25,136.02,39390.0,5384934.7,7.5,0.09,1405.58,1408.8,1410.75,1394.04,25372742027.0,6351783470052.68
32,2014-07-25,136.09,135.0,138.49,134.37,155630.0,21118786.2,7.5,0.09,1408.19,1388.41,1408.19,1386.14,29628586311.0,6259875281029.59
33,2014-07-28,134.95,133.32,135.58,133.06,144970.0,19478048.3,8.0,0.09,1387.12,1361.94,1387.14,1357.03,30461885017.0,6140507803885.11
34,2014-07-29,133.44,132.74,134.18,131.15,160920.0,21297937.2,8.0,0.09,1361.22,1369.83,1380.29,1356.62,35280719684.0,6176106230122.06
35,2014-07-30,132.4,133.55,135.49,131.66,163450.0,21818568.9,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
36,2014-07-31,133.14,133.09,134.68,132.55,129550.0,17329408.4,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
37,2014-08-01,132.62,133.11,133.11,132.0,101710.0,13487299.7,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
38,2014-08-04,133.27,132.54,133.89,131.79,120510.0,16006046.4,8.0,0.09,1375.73,1378.98,1386.43,1365.01,26195753576.0,6217358216917.08
39,2014-08-05,132.97,132.0,133.27,131.5,113560.0,14993894.0,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
40,2014-08-06,133.97,129.23,133.97,129.12,299800.0,38838477.2,8.0,0.09,1357.33,1334.66,1362.22,1333.37,44555802086.0,6017513533119.65
41,2014-08-07,129.08,129.2,131.01,128.05,224290.0,28970459.1,8.0,0.09,1333.39,1333.53,1340.84,1306.8,46389687389.0,6012422895099.08
42,2014-08-08,129.21,129.99,131.48,129.07,143820.0,18769407.6,8.0,0.09,1332.26,1348.21,1360.49,1329.1,34479528820.0,6078629580593.59
43,2014-08-11,130.83,134.76,137.87,130.0,417830.0,55578708.5,8.0,0.09,1350.42,1372.45,1379.22,1350.42,31225367926.0,6187929554027.43
44,2014-08-12,135.38,138.22,141.19,134.55,658760.0,91139825.1,8.0,0.09,1372.94,1374.19,1386.2,1368.1,30027011620.0,6195754643005.9
45,2014-08-13,138.0,140.19,140.5,136.06,145770.0,20397997.4,8.0,0.09,1373.64,1398.85,1402.38,1373.27,33763586053.0,6306941447520.57
46,2014-08-14,140.75,140.28,141.05,138.71,195750.0,27394565.0,8.0,0.09,1399.07,1407.53,1412.88,1391.65,32917275901.0,6346061682927.05
47,2014-08-15,141.1,140.73,141.47,139.5,67410.0,9475792.0,8.0,0.09,1407.57,1417.82,1425.76,1400.7,26772144978.0,6392466871442.37
48,2014-08-18,140.92,140.61,141.14,140.21,87610.0,12329981.4,8.0,0.09,1418.05,1425.18,1427.95,1415.35,18156608193.0,6425664882271.03
49,2014-08-19,140.92,142.4,143.5,140.5,165620.0,23503382.2,8.0,0.09,1425.18,1437.6,1441.42,1425.18,25673186641.0,6481651396810.93
50,2014-08-20,142.4,146.94,147.77,142.4,230920.0,33496947.9,8.0,0.09,1437.58,1447.5,1447.5,1432.63,25728795150.0,6526296901006.62
51,2014-08-21,147.0,146.75,148.99,146.3,271310.0,40057630.3,8.0,0.09,1447.12,1461.75,1469.44,1445.48,28439597629.0,6590528216157.51
52,2014-08-22,146.28,146.46,147.99,145.21,66380.0,9616832.7,8.0,0.09,1461.79,1446.6,1463.71,1434.09,28861993115.0,6522253115433.8
53,2014-08-25,146.48,146.79,146.79,145.54,37980.0,5559323.8,8.0,0.09,1446.86,1454.67,1456.72,1446.09,17577741392.0,6558630723741.41
54,2014-08-26,146.73,146.16,147.99,145.34,64680.0,9470564.3,8.0,0.09,1454.47,1443.32,1460.0,1441.42,19706721633.0,6507455779142.91
55,2014-08-27,146.88,147.18,147.54,146.38,31680.0,4655492.4,8.0,0.09,1444.28,1447.91,1454.96,1444.28,19549941365.0,6528156723375.32
56,2014-08-28,146.1,143.18,149.17,142.13,164160.0,23935112.3,8.0,0.09,1447.54,1423.78,1447.76,1414.18,43849484690.0,6419337314027.56
