,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2017-02-06,50.0,50.0,50.0,50.0,300.0,0.0,10.0,0.66,2228.85,2210.51,2230.86,2202.2,28053268013.0,10360829280503.1
1,2017-02-07,30.0,17.991,30.0,17.991,106100.0,1949257.6,10.0,0.66,2210.87,2218.77,2218.77,2201.22,24378965516.0,10399555834851.7
2,2017-02-08,10.805,10.789,14.0,10.789,57500.0,621915.8,10.0,0.66,2215.34,2189.61,2217.37,2180.21,36147621890.0,10262848128656.45
3,2017-02-09,9.71,7.95,10.45,6.51,240500.0,2024500.6,10.0,0.66,2192.24,2173.98,2196.08,2160.42,37686993129.0,10189590501988.56
4,2017-02-10,7.31,7.579,8.0,7.027,74800.0,552492.8,10.0,0.66,2176.79,2162.19,2182.18,2156.81,32483207075.0,10134324609506.04
5,2017-02-13,7.742,6.85,7.742,6.8,89500.0,623431.7,10.0,0.66,2165.12,2161.49,2174.73,2150.52,30244774907.0,10131061964133.13
6,2017-02-14,6.55,6.25,6.935,6.179,81800.0,518199.1,10.0,0.66,2162.13,2141.5,2162.13,2135.01,29242797430.0,10037365064059.66
7,2017-02-15,6.47,6.313,6.47,6.15,75000.0,0.0,10.0,0.66,2140.2,2137.08,2156.36,2109.93,39741338423.0,10016657726511.89
8,2017-02-16,6.369,6.3,6.585,6.002,167700.0,1062574.2,10.0,0.66,2138.7,2148.48,2148.48,2127.04,28986630294.0,10070072568413.4
9,2017-02-17,6.4,6.151,6.89,6.111,49700.0,0.0,10.0,0.66,2148.58,2128.21,2148.84,2125.45,30610671678.0,9975069296144.15
10,2017-02-20,6.153,6.041,6.245,5.873,20200.0,0.0,10.0,0.66,2132.47,2119.09,2136.8,2113.03,25017968927.0,9932345695550.44
11,2017-02-21,5.947,5.959,6.06,5.872,11900.0,0.0,10.0,0.66,2118.85,2127.72,2135.97,2111.55,25802257924.0,9972798485426.5
12,2017-02-22,5.937,5.678,5.959,5.551,4600.0,0.0,10.0,0.66,2128.98,2106.3,2130.8,2094.85,31743152868.0,9872406480184.59
13,2017-02-24,5.86,5.889,5.898,5.523,2300.0,0.0,10.0,0.66,2106.96,2093.09,2106.96,2081.35,24698036843.0,9810467855240.15
14,2017-02-27,5.898,5.896,5.9,5.83,1200.0,0.0,10.0,0.66,2095.51,2056.46,2097.2,2054.93,33521701224.0,9638799281036.69
15,2017-02-28,5.5,5.693,6.0,5.151,6100.0,0.0,10.0,0.57,2057.74,2035.77,2057.77,2027.05,59230525482.0,9541800100483.56
16,2017-03-01,5.507,5.695,5.697,5.307,9100.0,0.0,10.0,0.66,2034.28,2059.87,2063.67,2030.49,35156360450.0,9654768000061.87
17,2017-03-02,5.698,5.709,5.709,5.69,12700.0,0.0,10.0,0.66,2062.61,2049.0,2076.71,2044.25,39659486462.0,9603797860109.18
18,2017-03-03,5.697,5.815,6.9,5.697,102000.0,601772.7,10.0,0.66,2046.61,2056.89,2056.89,2032.27,31462614291.0,9640780825441.59
19,2017-03-06,5.799,5.807,5.839,5.799,10100.0,0.0,10.0,0.66,2056.63,2047.42,2071.69,2045.28,26840317666.0,9596414164174.6
20,2017-03-07,5.799,5.798,5.799,5.337,11400.0,0.0,10.0,0.66,2047.59,2024.84,2048.98,2009.0,34600927950.0,9490568180963.22
21,2017-03-09,5.798,5.686,5.799,5.274,10600.0,0.0,10.0,0.66,2010.85,1974.24,2020.04,1971.73,56369667357.0,9253401483519.22
22,2017-03-10,5.687,5.687,5.687,5.687,200.0,0.0,10.0,0.66,1977.75,1973.96,1989.06,1965.23,38834557616.0,9252098330867.97
23,2017-03-13,5.77,5.76,5.77,5.76,900.0,0.0,10.0,0.66,1972.66,2000.14,2001.71,1968.61,27317778869.0,9374822171578.54
24,2017-03-14,5.7,5.748,5.749,5.7,2100.0,0.0,10.0,0.66,2001.4,2001.25,2018.42,1990.55,33708845678.0,9380023867454.86
25,2017-03-16,5.798,5.633,5.798,5.316,3000.0,0.0,10.0,0.91,2001.82,2014.37,2021.05,1998.24,49622252909.0,9441486583424.48
