,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2020-10-29,969.0,953.0,1053.0,908.0,210997.0,201748750.0,4.25,0.09,2704.5,2709.04,2728.97,2682.68,74274727007.0,13029709306520.393
1,2020-10-30,955.0,955.0,990.0,951.6,54402.0,52488207.2,4.25,0.09,2698.94,2690.59,2706.34,2664.44,68437052454.5,12940964452238.307
2,2020-11-02,955.0,957.0,958.0,952.0,16599.0,15857360.4,4.25,0.09,2681.19,2737.54,2743.98,2658.49,72875417363.5,13166789830115.883
3,2020-11-03,959.6,952.6,959.6,952.0,8985.0,8569232.6,4.25,0.09,2753.97,2786.42,2791.77,2750.26,78312915395.25,13401879845265.438
4,2020-11-05,959.0,952.8,959.0,944.8,15505.0,14773301.6,4.25,0.09,2824.45,2861.39,2869.91,2812.67,105069609556.45,13762459950320.277
5,2020-11-06,958.2,952.0,958.2,950.6,9682.0,9228375.4,4.25,0.09,2845.74,2895.62,2896.07,2832.98,80259567503.35,13927101352108.924
6,2020-11-09,952.0,942.0,954.2,940.6,14891.0,14100818.0,4.25,0.09,2919.08,2987.75,2988.88,2910.42,186353431932.75,14370213308631.504
7,2020-11-10,940.2,950.0,951.0,935.0,12696.0,11997319.0,4.25,0.09,2965.92,2998.61,3013.57,2943.43,150181333966.75,14422459844777.184
8,2020-11-11,950.8,948.0,950.8,940.2,9998.0,9441366.0,4.25,0.09,3004.63,3015.03,3031.69,3004.2,156869536674.85,14501405482080.545
9,2020-11-12,950.0,947.0,950.6,941.0,3810.0,3596689.4,4.25,0.09,2997.79,3025.83,3028.52,2988.03,111841039072.1,14553375998523.9
10,2020-11-13,947.0,947.0,950.0,941.0,6267.0,5926348.4,4.25,0.09,3007.16,3025.22,3027.45,2995.17,94141286376.05,14550400178003.95
11,2020-11-16,949.8,948.4,951.0,941.2,12746.0,12077021.4,4.25,0.09,3054.35,3079.74,3081.28,3046.77,113029902298.95,14812647230823.322
12,2020-11-17,942.0,947.6,950.8,941.2,5005.0,4739125.0,4.25,0.09,3081.05,3052.22,3087.19,3027.76,97624569190.3,14680281473824.783
13,2020-11-18,948.0,947.0,948.0,940.0,10422.0,9839649.4,4.25,0.09,3046.02,3080.68,3086.77,3035.57,86678712181.65,14817178731020.752
14,2020-11-19,949.6,946.2,949.6,942.8,3687.0,3487561.0,4.25,0.08,3067.06,3046.49,3071.25,3040.66,80639323609.7,14652748966342.686
15,2020-11-20,946.2,943.2,949.6,942.2,3896.0,3680091.4,4.25,0.08,3050.81,3051.04,3060.91,3035.56,57925104990.4,14674599912213.895
16,2020-11-23,949.4,946.2,949.6,941.2,8916.0,8424947.0,4.25,0.08,3066.64,3047.06,3094.06,3042.61,88626521669.9,14655488609623.094
17,2020-11-24,942.4,947.8,948.0,941.2,5497.0,5182374.8,4.25,0.08,3071.8,3095.84,3098.83,3053.16,99168946827.05,14890097020956.656
18,2020-11-25,949.0,949.0,950.0,941.2,14179.0,13448767.4,4.25,0.08,3111.75,3134.52,3134.71,3089.16,130512774776.55,15076116140372.246
19,2020-11-26,948.2,945.0,949.6,941.2,6659.0,6289686.0,4.25,0.08,3141.43,3138.62,3149.9,3119.46,86304340769.8,15095830689942.246
20,2020-11-27,948.8,946.8,948.8,941.8,7648.0,7219531.0,4.25,0.08,3132.55,3142.68,3150.78,3112.44,91361256012.6,15115371238985.213
21,2020-11-30,948.4,944.0,948.4,942.2,2344.0,2211574.0,4.25,0.09,3130.88,3107.58,3134.79,3093.77,171173455598.35,14946548520857.418
22,2020-12-01,942.0,945.0,948.4,940.0,5640.0,5325458.4,4.25,0.09,3113.06,3147.79,3159.03,3113.06,108250777613.4,15139967065408.986
23,2020-12-02,941.4,946.0,946.6,941.2,7150.0,6746587.4,4.25,0.09,3150.66,3189.61,3189.61,3139.92,94931203596.5,15341070214498.816
24,2020-12-03,942.2,942.6,946.0,941.2,6730.0,6343554.6,4.25,0.09,3185.78,3162.67,3192.98,3141.4,95183766034.25,15211520931926.678
25,2020-12-04,941.2,943.8,944.0,941.0,6791.0,6401970.0,4.25,0.09,3171.44,3184.72,3200.23,3171.44,94492237722.65,15317581497964.482
26,2020-12-07,941.6,935.6,944.4,933.0,17152.0,16093114.2,4.25,0.09,3179.14,3195.08,3208.53,3172.29,87818352454.45,15367389959444.236
27,2020-12-08,942.0,935.0,942.0,930.0,5705.0,5329383.6,4.25,0.09,3184.93,3179.61,3198.1,3150.84,93400466060.05,15293014774134.355
28,2020-12-09,940.0,940.8,946.0,931.0,6474.0,6090387.2,4.25,0.09,3184.24,3211.66,3226.48,3182.54,96153321470.95,15447130182429.713
29,2020-12-10,945.0,939.0,945.0,935.0,7900.0,7424360.8,4.25,0.09,3194.03,3258.31,3258.31,3189.04,103055345054.75,15671530544774.752
30,2020-12-11,939.0,936.0,943.8,932.0,2306.0,2159689.6,4.25,0.09,3257.47,3276.58,3278.24,3248.11,108292271648.55,15759412616641.684
31,2020-12-14,940.0,952.2,959.4,934.8,22428.0,21225385.8,4.25,0.09,3293.0,3254.83,3314.2,3249.36,124668491097.3,15654776725400.525
32,2020-12-15,952.0,967.0,970.0,932.0,18436.0,17530557.2,4.25,0.09,3252.68,3248.11,3284.84,3237.87,92705554026.6,15622482644136.672
33,2020-12-16,967.0,959.8,967.0,955.6,18274.0,17573321.6,4.25,0.09,3259.89,3269.95,3275.68,3242.7,94422806431.25,15727493691136.979
34,2020-12-17,963.0,954.0,963.0,952.2,9040.0,8650160.4,4.25,0.09,3277.67,3282.67,3318.39,3274.45,138325093736.4,15788673394840.352
35,2020-12-18,957.6,955.0,957.6,935.0,11896.0,11238688.4,4.25,0.09,3281.59,3273.75,3283.32,3245.25,125970276758.55,16628110245848.285
36,2020-12-21,945.6,944.4,953.0,939.0,19114.0,18080729.4,4.25,0.09,3246.9,3186.38,3246.9,3170.03,135820501896.45,16184339652133.86
37,2020-12-22,941.0,950.2,955.0,936.0,8513.0,8054303.2,4.25,0.09,3179.69,3236.46,3249.19,3175.51,98871608126.9,16438748822592.262
38,2020-12-23,950.4,950.0,960.0,949.0,2543.0,2421499.2,4.25,0.09,3224.02,3252.1,3255.4,3218.19,65478211681.0,16518158528904.373
39,2020-12-24,949.6,950.2,953.4,945.8,2126.0,2019345.8,4.25,0.09,3253.73,3236.88,3264.6,3230.62,50764614102.85,16440882809305.248
40,2020-12-25,947.0,959.2,967.0,947.0,8025.0,7727366.4,4.25,0.09,3236.38,3246.35,3248.63,3228.74,23654550156.85,16488959267869.49
41,2020-12-28,963.6,951.0,963.6,950.0,3280.0,3125782.2,4.25,0.09,3249.41,3258.95,3267.61,3249.41,52140644341.35,16552950763593.443
42,2020-12-29,963.8,959.4,963.8,950.0,3557.0,3408303.6,4.25,0.09,3269.71,3274.67,3282.23,3264.33,62071933973.8,16632815890405.033
43,2020-12-30,960.0,958.0,960.0,949.4,4391.0,4188221.8,4.25,0.09,3276.04,3289.02,3294.62,3267.39,67248342457.8,16705672838292.13
44,2021-01-04,959.4,964.8,965.0,951.4,4049.0,3883986.4,4.25,0.09,3306.12,3350.51,3350.81,3304.17,66875027248.1,17018019126303.139
45,2021-01-05,967.0,965.0,967.0,951.4,5189.0,4992759.8,4.25,0.09,3327.94,3359.15,3365.32,3301.88,71669719442.85,17061893215819.604
46,2021-01-06,962.0,962.0,966.6,957.2,1380.0,1330089.0,4.25,0.09,3373.37,3371.03,3380.63,3344.43,71458087084.95,17122246076319.117
47,2021-01-08,960.4,958.0,964.0,956.2,4322.0,4146738.2,4.25,0.09,3390.23,3454.82,3474.66,3390.23,132105644616.85,17547804162517.74
48,2021-01-11,958.0,961.8,966.4,950.0,6620.0,6358425.6,4.25,0.09,3455.67,3482.48,3516.9,3436.66,143292474381.8,17688316738936.164
49,2021-01-12,962.6,956.8,962.6,951.2,3467.0,3315831.8,4.25,0.09,3494.6,3471.65,3520.66,3451.87,104216481364.4,17633297804465.598
50,2021-01-13,960.4,952.0,962.0,950.2,2556.0,2441658.0,4.25,0.09,3487.92,3470.26,3504.56,3448.94,99616618242.0,17626266188165.09
51,2021-01-14,957.8,951.0,960.4,950.4,1883.0,1796796.4,4.25,0.09,3461.83,3490.85,3507.71,3439.01,108540789766.35,17730857166885.676
52,2021-01-15,951.0,951.0,955.8,940.0,18292.0,17316325.6,4.25,0.09,3486.02,3450.95,3509.24,3448.54,104977695775.4,17528152332620.562
53,2021-01-18,942.6,950.6,958.4,942.2,3044.0,2895371.6,4.25,0.09,3440.56,3471.92,3475.18,3426.11,92072355104.7,17634666165383.184
54,2021-01-19,951.8,957.2,972.8,951.0,10653.0,10258140.8,4.25,0.09,3479.53,3443.23,3491.93,3439.64,86414655412.55,17488969584733.627
55,2021-01-20,957.2,960.0,973.4,957.2,10180.0,9791229.4,4.25,0.09,3453.54,3466.8,3482.03,3447.81,75753159519.2,17608678531082.484
56,2021-01-21,960.0,960.6,969.8,950.2,7198.0,6899647.4,4.25,0.08,3481.74,3422.67,3489.07,3407.22,114924128365.45,17384532464558.1
57,2021-01-22,954.0,951.0,960.8,948.0,8909.0,8472601.6,4.25,0.08,3404.36,3382.92,3404.36,3362.01,110725951850.1,17182640306287.484
58,2021-01-25,950.4,957.2,962.4,950.4,5360.0,5134203.0,4.25,0.08,3399.28,3397.48,3425.78,3385.74,106658319745.9,17256571325329.543
59,2021-01-26,958.0,956.0,962.0,951.0,2074.0,1982182.2,4.25,0.08,3384.99,3390.76,3408.13,3374.1,80262909286.2,17222476228635.475
60,2021-01-27,958.6,955.0,961.0,953.6,3296.0,3147995.8,4.25,0.08,3398.38,3343.62,3408.64,3333.04,105563451141.95,16983021795853.764
61,2021-01-28,954.2,960.0,970.0,948.2,47156.0,45140485.8,4.25,0.07,3319.16,3342.01,3359.1,3307.42,91833874030.7,16974834957181.193
62,2021-01-29,965.0,956.8,969.4,951.8,11075.0,10590110.4,4.25,0.07,3335.13,3277.08,3337.01,3272.53,112862070786.9,16645067691856.492
63,2021-02-01,956.8,958.0,967.6,955.2,5412.0,5201484.0,4.25,0.08,3287.96,3291.14,3305.91,3268.52,86009081257.05,16716477941478.992
64,2021-02-02,955.6,970.0,976.0,955.6,25109.0,24328114.6,4.25,0.08,3324.24,3360.25,3366.13,3321.7,98441733596.85,17067476302938.854
65,2021-02-03,960.0,972.0,976.0,960.0,8587.0,8328168.6,4.25,0.08,3351.99,3343.46,3376.83,3332.5,79650602206.9,16982192674131.148
66,2021-02-04,972.0,981.0,1005.0,947.0,82061.0,80183440.4,4.25,0.08,3356.23,3372.0,3384.48,3351.94,88156146300.1,17127146192940.422
67,2021-02-05,980.2,1005.4,1033.0,979.8,48357.0,48622450.6,4.25,0.08,3396.97,3392.73,3406.22,3368.58,86654101000.55,17232469191485.635
68,2021-02-08,1024.8,1070.0,1132.2,1024.8,111415.0,120904859.4,4.25,0.07,3412.97,3445.9,3448.79,3412.97,79666285042.8,17502502031455.205
69,2021-02-09,1066.2,1098.0,1126.0,1065.8,39343.0,42990444.6,4.25,0.08,3461.15,3426.86,3466.51,3424.39,100583840172.2,17405835878122.59
70,2021-02-10,1100.0,1091.0,1100.0,1064.0,22306.0,24103206.4,4.25,0.08,3437.76,3399.66,3447.05,3393.98,88964246446.15,17267655855080.582
71,2021-02-11,1069.8,1095.0,1100.0,1056.4,26476.0,28968067.2,4.25,0.08,3405.33,3414.32,3416.4,3390.22,56566035051.3,17342128722835.785
72,2021-02-12,1093.4,1072.4,1100.0,1062.2,25090.0,27235024.4,4.25,0.08,3403.07,3427.08,3427.08,3343.82,85053189978.6,17406917676400.686
73,2021-02-15,1060.0,1090.2,1093.6,1059.8,17388.0,18776270.4,4.25,0.08,3461.94,3481.9,3483.34,3455.95,78791006869.65,17685397049628.914
74,2021-02-16,1094.4,1075.0,1099.0,1074.0,14091.0,15228753.0,4.25,0.08,3502.04,3495.26,3510.77,3475.58,88625602257.45,17753250922959.02
75,2021-02-17,1077.4,1070.0,1077.6,1060.8,16863.0,18039036.0,4.25,0.08,3491.81,3436.8,3505.19,3431.83,105793123095.2,17456289719163.738
76,2021-02-18,1062.8,1075.2,1090.0,1061.8,9976.0,10776188.8,4.25,0.07,3451.69,3400.17,3461.15,3395.98,89976816783.6,17270245871655.635
77,2021-02-19,1080.0,1088.8,1090.0,1071.0,17245.0,18585875.2,4.25,0.07,,,,,,
78,2021-02-20,1089.8,1085.8,1098.0,1072.2,12416.0,13577433.8,4.25,0.07,,,,,,
79,2021-02-22,1096.0,1088.2,1100.0,1071.4,10689.0,11641128.8,4.25,0.07,,,,,,
80,2021-02-24,1084.0,1147.6,1147.6,1075.2,33507.0,37612601.4,4.25,0.07,,,,,,
81,2021-02-25,1170.0,1140.0,1201.4,1127.0,37065.0,42714555.2,4.25,0.07,,,,,,
82,2021-02-26,1140.0,1160.0,1179.0,1091.4,23670.0,27016951.8,4.25,0.07,,,,,,
83,2021-03-01,1179.8,1184.8,1200.0,1158.6,21540.0,25520404.8,4.25,0.07,,,,,,
84,2021-03-02,1155.8,1167.8,1195.4,1154.0,22442.0,26167466.0,4.25,0.07,,,,,,
85,2021-03-03,1165.0,1170.0,1194.4,1163.0,35675.0,42009877.2,4.25,0.07,,,,,,
86,2021-03-04,1158.0,1200.0,1200.0,1158.0,19339.0,22895293.2,4.25,0.07,,,,,,
87,2021-03-05,1238.0,1205.0,1238.0,1181.2,32586.0,39264019.8,4.25,0.07,,,,,,
88,2021-03-09,1205.0,1205.0,1230.0,1180.0,43114.0,51890471.2,4.25,0.07,,,,,,
89,2021-03-10,1185.6,1201.0,1201.0,1168.0,17106.0,20216062.8,4.25,0.07,,,,,,
90,2021-03-11,1201.0,1200.8,1201.0,1178.4,14247.0,16928877.0,4.25,0.07,,,,,,
91,2021-03-12,1200.0,1190.0,1205.0,1183.2,3997.0,4767970.8,4.25,0.07,,,,,,
92,2021-03-15,1191.4,1188.2,1205.0,1180.2,15509.0,18529574.8,4.25,0.07,,,,,,
93,2021-03-16,1197.0,1205.0,1205.0,1189.6,11577.0,13834704.4,4.25,0.07,,,,,,
94,2021-03-17,1209.0,1201.4,1209.0,1180.0,15473.0,18397001.4,4.25,0.07,,,,,,
95,2021-03-18,1205.0,1209.6,1214.0,1185.6,20445.0,24651483.4,4.25,0.07,,,,,,
96,2021-03-19,1215.0,1250.0,1270.2,1198.0,36088.0,43881482.2,4.25,0.07,,,,,,
97,2021-03-22,1263.8,1250.0,1298.0,1235.6,22190.0,27810123.0,4.5,0.07,,,,,,
98,2021-03-23,1249.8,1250.0,1250.0,1225.0,15727.0,19458691.4,4.5,0.07,,,,,,
99,2021-03-24,1250.0,1249.8,1250.0,1231.2,8057.0,10015811.0,4.5,0.07,,,,,,
100,2021-03-25,1249.6,1249.0,1250.0,1241.0,10769.0,13450897.8,4.5,0.07,3477.87,3439.3,3479.83,3434.84,69362284154.25,17462477498485.127
101,2021-03-26,1250.0,1260.0,1270.0,1236.0,23474.0,29367255.2,4.5,0.07,3476.01,3489.83,3500.74,3476.01,80526485029.85,17719029824349.508
102,2021-03-29,1264.0,1270.0,1281.8,1250.2,35788.0,45098034.2,4.5,0.07,3500.41,3529.33,3535.21,3498.62,90437290875.35,17919596654460.977
103,2021-03-30,1270.6,1269.0,1284.6,1250.0,24184.0,30423975.2,4.5,0.07,3535.72,3525.23,3549.09,3504.06,76071719412.7,17898754895525.875
104,2021-03-31,1280.0,1251.8,1280.0,1247.0,13112.0,16424270.2,4.5,0.06,3525.56,3541.72,3542.0,3510.4,98893740149.35,17982497097157.43
105,2021-04-01,1260.0,1270.8,1270.8,1250.0,14389.0,18061960.8,4.5,0.07,3556.28,3527.54,3576.79,3526.22,96167061815.7,17910529248611.28
106,2021-04-02,1281.0,1295.6,1310.0,1262.0,11686.0,15122884.8,4.5,0.07,3553.89,3558.22,3564.31,3538.01,32823073971.3,18066291699571.94
107,2021-04-05,1299.8,1296.0,1300.0,1290.4,9573.0,12433010.4,4.5,0.07,3555.24,3524.93,3555.83,3516.22,52488757289.4,17897259188835.477
