,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,27.152,26.942,27.33,26.831,14903900.0,404388751.9,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,27.0,27.394,27.394,26.7,15981600.0,432892121.7,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,27.37,27.559,27.65,27.204,22255600.0,611462906.2,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-16,27.4,27.351,27.635,27.0,68023500.0,1863599903.9,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
4,2014-06-17,28.121,27.792,28.121,27.313,24434500.0,673137637.4,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
5,2014-06-18,27.842,28.184,28.388,27.768,25750100.0,725366015.6,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
6,2014-06-19,28.4,27.248,28.474,27.211,22542500.0,625928798.8,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
7,2014-06-20,27.098,27.186,27.318,26.763,18556500.0,502029798.3,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
8,2014-06-23,27.275,27.275,27.498,27.06,11518100.0,314464890.1,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
9,2014-06-24,27.37,27.8,27.825,27.317,19342600.0,533608014.6,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
10,2014-06-25,27.599,26.717,27.699,26.7,19274200.0,522416910.3,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
11,2014-06-26,26.855,26.5,26.928,26.28,14867200.0,394576009.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
12,2014-06-27,26.703,26.6,26.73,26.257,13404200.0,355608928.8,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
13,2014-06-30,26.641,26.436,26.696,26.111,13080400.0,344214834.9,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
14,2014-07-01,26.968,26.673,26.968,26.12,13177800.0,348525703.7,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
15,2014-07-02,26.627,27.484,27.484,26.627,22251100.0,603583044.0,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
16,2014-07-03,27.629,27.26,27.629,27.169,8955800.0,244912663.0,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
17,2014-07-04,27.728,26.595,27.728,26.301,17264300.0,464202041.8,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
18,2014-07-07,26.647,27.0,27.143,26.584,14342100.0,384985171.4,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
19,2014-07-08,26.94,26.791,27.35,26.752,16403700.0,444996169.1,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
20,2014-07-09,27.271,26.99,27.271,26.417,18315400.0,489902298.7,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
21,2014-07-10,27.724,26.652,27.724,26.3,24425600.0,653496325.4,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
22,2014-07-11,26.704,26.9,27.0,26.471,16061500.0,429718590.9,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
23,2014-07-14,26.99,26.38,27.0,26.299,17191900.0,456916542.1,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
24,2014-07-15,25.596,26.022,26.219,25.596,21366100.0,542981154.3,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
25,2014-07-16,26.0,25.965,26.456,25.551,22742400.0,589817519.7,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
26,2014-07-17,25.55,25.59,25.856,25.379,23377800.0,593887467.2,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
27,2014-07-18,25.3,24.811,25.568,24.778,27543100.0,691142099.3,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
28,2014-07-21,24.93,24.555,24.967,24.452,28105300.0,692834308.2,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
29,2014-07-22,24.6,24.851,25.327,24.6,25969700.0,650086875.4,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
30,2014-07-23,24.995,24.92,25.103,24.577,14905700.0,370533316.9,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
31,2014-07-24,24.7,24.882,25.077,24.653,18261700.0,453316284.2,7.5,0.09,1405.58,1408.8,1410.75,1394.04,25372742027.0,6351783470052.68
32,2014-07-25,24.975,24.86,25.03,24.549,15945600.0,394290420.0,7.5,0.09,1408.19,1388.41,1408.19,1386.14,29628586311.0,6259875281029.59
33,2014-07-28,24.8,24.586,25.0,24.421,19337000.0,476701612.1,8.0,0.09,1387.12,1361.94,1387.14,1357.03,30461885017.0,6140507803885.11
34,2014-07-29,24.608,24.821,24.992,24.577,18467000.0,459050897.6,8.0,0.09,1361.22,1369.83,1380.29,1356.62,35280719684.0,6176106230122.06
35,2014-07-30,24.775,24.792,25.3,24.65,21345500.0,535474371.6,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
36,2014-07-31,24.997,24.86,25.018,24.778,13323300.0,331788501.4,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
37,2014-08-01,25.16,25.511,25.627,24.601,16795300.0,420414140.4,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
38,2014-08-04,25.5,26.435,26.435,25.25,39351200.0,1015696149.9,8.0,0.09,1375.73,1378.98,1386.43,1365.01,26195753576.0,6217358216917.08
39,2014-08-05,26.328,25.365,26.328,25.35,23851900.0,610280537.7,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
40,2014-08-06,25.325,25.108,25.628,25.0,30489400.0,770988969.2,8.0,0.09,1357.33,1334.66,1362.22,1333.37,44555802086.0,6017513533119.65
41,2014-08-07,25.001,25.072,25.446,24.959,26964400.0,679623233.3,8.0,0.09,1333.39,1333.53,1340.84,1306.8,46389687389.0,6012422895099.08
42,2014-08-08,25.15,25.269,25.592,25.065,15607600.0,395748847.6,8.0,0.09,1332.26,1348.21,1360.49,1329.1,34479528820.0,6078629580593.59
43,2014-08-11,25.38,25.47,25.9,25.38,13286700.0,339175661.6,8.0,0.09,1350.42,1372.45,1379.22,1350.42,31225367926.0,6187929554027.43
44,2014-08-12,25.586,25.355,25.663,25.303,10203000.0,259934303.1,8.0,0.09,1372.94,1374.19,1386.2,1368.1,30027011620.0,6195754643005.9
45,2014-08-13,25.363,25.874,25.955,25.355,24108900.0,619971916.2,8.0,0.09,1373.64,1398.85,1402.38,1373.27,33763586053.0,6306941447520.57
46,2014-08-14,25.748,26.25,26.469,25.73,24275800.0,635483259.2,8.0,0.09,1399.07,1407.53,1412.88,1391.65,32917275901.0,6346061682927.05
47,2014-08-15,26.25,26.116,26.377,26.02,16951300.0,443601151.4,8.0,0.09,1407.57,1417.82,1425.76,1400.7,26772144978.0,6392466871442.37
48,2014-08-18,26.052,26.038,26.255,25.778,11620200.0,302086811.1,8.0,0.09,1418.05,1425.18,1427.95,1415.35,18156608193.0,6425664882271.03
49,2014-08-19,26.035,26.59,26.7,25.974,16549700.0,435844445.7,8.0,0.09,1425.18,1437.6,1441.42,1425.18,25673186641.0,6481651396810.93
50,2014-08-20,26.59,26.859,26.915,26.42,14487500.0,387107694.4,8.0,0.09,1437.58,1447.5,1447.5,1432.63,25728795150.0,6526296901006.62
