,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,27.5,27.48,27.59,27.313,12674200.0,348426968.3,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,27.394,27.55,27.58,27.311,14035900.0,385573203.8,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,27.472,28.15,28.15,27.444,27208800.0,760159662.6,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-16,28.3,28.27,28.3,27.87,68059900.0,1912792372.0,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
4,2014-06-17,28.986,28.2,28.986,28.2,22101600.0,629278576.1,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
5,2014-06-18,28.2,29.1,29.1,28.2,37906800.0,1091236391.6,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
6,2014-06-19,29.475,28.411,29.475,28.364,29664000.0,853783709.3,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
7,2014-06-20,28.551,27.859,28.551,27.859,21161600.0,594855533.9,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
8,2014-06-23,28.001,28.25,28.489,27.998,20111600.0,568321502.8,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
9,2014-06-24,26.994,28.75,28.979,26.994,28189100.0,808671595.4,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
10,2014-06-25,28.502,28.16,29.099,28.126,18307800.0,523118687.4,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
11,2014-06-26,28.381,28.185,28.59,27.962,19616400.0,554109166.1,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
