,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2021-11-19,1005.1,936.4,1104.3,875.6,1061849.0,940412335.4,7.5,0.08,4121.74,4016.47,4127.0,4000.26,151877521547.5,20175490567033.184
1,2021-11-22,938.0,969.4,969.8,910.0,412446.0,354623856.1,7.5,0.08,4008.13,3872.77,4017.02,3872.77,202719304083.35,19453676252643.8
2,2021-11-23,960.0,958.0,962.5,945.3,98786.0,90509187.0,7.5,0.08,3832.33,3960.33,3974.76,3776.61,203663613102.15,19893503329634.793
3,2021-11-24,959.8,1007.8,1008.7,938.0,224679.0,201704949.4,7.5,0.08,4001.89,3950.56,4021.25,3913.39,134549985501.15,19844440127165.414
4,2021-11-25,990.0,1040.5,1050.1,980.0,107351.0,78259324.4,7.5,0.08,3964.25,3947.82,3990.95,3932.55,73912725789.35,19830652976763.18
5,2021-11-26,1035.0,1036.0,1070.0,991.4,435589.0,436398649.6,7.5,0.08,3852.99,3810.98,3876.13,3810.75,144744409541.75,19143272989741.89
6,2021-11-29,1036.0,1026.7,1036.0,997.8,301776.0,286175450.4,7.5,0.08,3872.19,3879.54,3928.52,3846.12,130890429846.7,19487662774355.957
7,2021-11-30,1019.9,997.0,1029.4,979.9,186565.0,177621043.4,7.5,0.07,3828.25,3890.59,3902.72,3827.55,199778277587.25,19543160338135.03
8,2021-12-01,999.9,1008.3,1015.0,975.0,129165.0,123418747.8,7.5,0.08,3907.17,3959.29,3962.22,3900.16,119719006789.15,19888252673389.297
9,2021-12-02,1009.9,983.5,1009.9,976.6,167633.0,151354885.7,7.5,0.08,3940.09,3947.54,3972.85,3914.43,109953629846.45,19829258062529.47
10,2021-12-03,983.2,975.0,993.0,952.0,172654.0,164045443.1,7.5,0.08,3967.88,3913.06,3977.16,3905.38,83004665197.55,19656030951809.984
11,2021-12-06,974.8,973.1,974.8,940.4,70557.0,39676378.0,7.5,0.08,3937.15,3810.1,3938.1,3800.76,99104081043.4,19138885560423.41
12,2021-12-07,975.0,1000.0,1004.5,960.7,96032.0,89616243.5,7.5,0.08,3860.83,3873.2,3880.84,3810.03,127513848136.15,19455841621883.023
