,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2021-12-15,73.7,76.05,81.8,73.1,13885.0,1085835.45,7.5,0.08,3653.16,3621.82,3666.53,3608.6,104327497276.3,18193073486661.94
1,2021-12-16,78.0,77.1,81.0,76.6,5670.0,0.0,7.5,0.08,3705.57,3750.36,3755.07,3701.35,143081351990.0,18838787178680.85
2,2021-12-17,77.1,78.5,81.8,77.1,4734.0,0.0,7.5,0.08,3725.04,3723.27,3739.59,3696.5,127229717373.7,18411003749381.96
3,2021-12-20,78.5,77.5,79.45,76.0,1329.0,0.0,8.5,0.08,3657.65,3669.05,3674.71,3629.61,90298936540.65,18142880402699.91
4,2021-12-21,79.9,77.4,79.9,77.4,896.0,0.0,8.5,0.08,3705.33,3693.02,3713.68,3670.16,82117461532.05,18261431084338.22
5,2021-12-22,77.5,78.0,79.45,72.0,3532.0,0.0,8.5,0.08,3715.2,3746.75,3759.67,3699.06,87418363756.15,18527119290565.16
6,2021-12-23,78.0,77.4,78.15,75.25,1899.0,0.0,8.5,0.08,3745.52,3704.6,3751.37,3691.04,74775470568.25,18318705110254.77
7,2021-12-24,75.05,77.15,77.8,75.05,1247.0,0.0,8.5,0.08,3700.34,3702.72,3703.72,3653.63,44756758749.6,18309366936572.17
8,2021-12-27,77.2,77.25,79.0,75.0,2708.0,0.0,8.5,0.08,3711.77,3740.63,3742.12,3709.19,49142530172.25,18496864679239.1
9,2021-12-28,77.25,76.1,77.25,75.35,1906.0,0.0,8.5,0.08,3766.5,3777.56,3790.44,3751.0,64031615578.35,18679480078543.668
10,2021-12-29,77.05,77.65,79.95,77.0,7125.0,562453.4,8.5,0.08,3756.54,3741.07,3770.09,3727.35,60359168519.7,18499033329888.457
11,2021-12-30,78.0,78.45,78.5,76.0,1559.0,0.0,8.5,0.08,3753.92,3787.26,3789.61,3740.93,61497152069.0,18727411862063.33
12,2022-01-03,76.8,78.0,78.5,76.8,1121.0,0.0,8.5,0.08,3825.3,3852.5,3866.15,3823.5,52472868137.9,19050000386308.637
13,2022-01-04,78.0,78.45,78.55,77.3,1280.0,0.0,8.5,0.08,3880.2,3873.49,3892.33,3846.81,62624414462.0,19153798451398.637
14,2022-01-05,77.3,77.7,77.85,77.3,858.0,0.0,8.5,0.08,3857.9,3815.05,3875.25,3805.06,59842279698.45,18864822163313.258
15,2022-01-06,77.65,76.8,78.5,76.8,1276.0,0.0,8.5,0.08,3758.68,3753.29,3784.17,3720.17,83469097491.95,18559424880874.74
16,2022-01-10,76.8,77.7,78.55,76.7,1952.0,0.0,8.5,0.08,3798.43,3738.68,3806.84,3726.73,85302196824.3,18487190627063.824
17,2022-01-11,78.0,78.5,78.55,77.35,2137.0,0.0,8.5,0.08,3764.56,3785.29,3800.91,3751.45,81053376709.85,18717680108245.777
18,2022-01-12,78.5,78.25,78.5,77.25,866.0,0.0,8.5,0.08,3797.31,3829.95,3841.72,3783.92,100865330719.7,18938495939185.15
19,2022-01-13,78.25,77.1,78.4,76.5,2168.0,0.0,8.5,0.08,3814.98,3674.73,3818.97,3664.48,178770807642.9,18170960657063.582
20,2022-01-14,78.1,77.25,78.1,76.4,3410.0,0.0,8.5,0.08,3703.9,3596.98,3723.62,3512.03,253410592849.3,17786510970653.58
21,2022-01-17,78.0,77.2,78.7,76.6,1085.0,0.0,8.5,0.08,3633.01,3560.35,3651.36,3501.94,156354454242.75,17605381085684.953
22,2022-01-18,78.05,77.55,78.8,76.7,2289.0,0.0,8.5,0.08,3527.77,3328.94,3534.56,3297.12,302733934140.55,16461095067551.904
23,2022-01-19,77.55,76.95,78.6,76.7,1500.0,0.0,8.5,0.08,3290.31,3436.82,3500.27,3256.6,257223110460.45,16994531502920.621
