,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,0.06,0.06,0.06,0.06,10000.0,0.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,0.0612,0.0612,0.0612,0.0612,10000.0,0.0,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,0.062,0.062,0.062,0.062,50000.0,0.0,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-23,0.0605,0.06988,0.06988,0.0605,20000.0,0.0,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
4,2014-07-10,0.06996,0.06996,0.06996,0.06996,30000.0,0.0,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
5,2014-09-08,0.0686,0.0686,0.0686,0.0686,10000.0,0.0,8.0,0.09,1474.38,1464.76,1478.26,1460.85,26433491805.0,6604117625006.14
6,2014-09-19,0.07,0.07,0.07,0.07,10000.0,0.0,8.0,0.09,1448.19,1431.58,1454.16,1423.44,41661321148.0,6818524090027.49
7,2014-09-30,0.0685,0.07,0.07,0.0685,40000.0,0.0,8.0,0.07,,,,,,
8,2014-10-01,0.076,0.076,0.076,0.076,10000.0,0.0,8.0,0.09,,,,,,
9,2014-10-03,0.0528,0.07,0.07,0.052,200000.0,0.0,8.0,0.09,,,,,,
10,2014-10-16,0.053,0.053,0.053,0.053,30000.0,0.0,8.0,0.09,,,,,,
11,2014-10-23,0.053,0.045,0.053,0.0373,2020000.0,0.0,8.0,0.09,,,,,,
12,2014-10-24,0.045,0.045,0.045,0.045,40000.0,0.0,8.0,0.09,,,,,,
13,2014-10-27,0.045,0.045,0.045,0.045,10000.0,0.0,8.0,0.09,,,,,,
14,2014-10-28,0.049,0.048,0.049,0.043,180000.0,0.0,8.0,0.09,,,,,,
15,2014-10-30,0.05,0.0555,0.0597,0.05,240000.0,0.0,8.0,0.09,1438.8,1452.89,1456.88,1428.36,49073324158.0,6920053939430.49
16,2014-11-03,0.0549,0.0598,0.0598,0.0549,70000.0,0.0,8.0,0.09,1488.15,1491.19,1495.86,1477.06,17481520523.0,7102462053889.69
17,2014-11-06,0.0662,0.0615,0.0674,0.0615,190000.0,0.0,9.5,0.09,1495.47,1497.46,1521.14,1490.66,40485840607.0,7132315424108.46
18,2014-11-07,0.051,0.051,0.051,0.051,10000.0,0.0,9.5,0.09,1496.51,1497.11,1526.08,1486.37,62435787319.0,7130652967630.07
19,2014-11-19,0.0599,0.0599,0.0599,0.0599,20000.0,0.0,9.5,0.1,1519.69,1517.97,1524.1,1513.68,31482266937.0,7230003229613.9
20,2014-11-20,0.0599,0.0599,0.0599,0.0599,10000.0,0.0,9.5,0.1,1518.1,1530.4,1535.97,1517.28,34907988979.0,7289202234493.41
21,2014-11-21,0.06,0.06,0.06,0.06,80000.0,0.0,9.5,0.1,1530.46,1538.93,1541.52,1515.01,36353481324.0,7329822620329.37
22,2014-11-26,0.06,0.0611,0.065,0.06,60000.0,0.0,9.5,0.1,1528.83,1537.43,1537.43,1522.5,30877259958.0,7322717397660.45
23,2014-11-27,0.0667,0.0668,0.0668,0.0667,40000.0,0.0,9.5,0.1,1537.0,1531.69,1548.17,1528.06,39939357345.0,7295336331196.54
