,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-07-10,199.18,199.18,199.18,199.18,10.0,200736223.44,5.5,0.09,1345.48,1333.71,1349.64,1330.73,17995800679.0,5945645145878.68
1,2013-07-11,198.18,199.17,199.17,198.18,190.0,333828498.42,5.5,0.09,1333.12,1368.11,1370.07,1332.26,32510267533.0,6099018947194.47
2,2013-07-12,201.29,201.29,201.29,201.29,100.0,445656400.4,5.5,0.09,1368.11,1398.22,1398.48,1366.54,36828503914.0,6233265737451.09
3,2013-07-17,207.3,210.0,210.0,206.0,800.0,335788687.5,5.5,0.09,1409.21,1431.8,1432.35,1407.15,35722012697.0,6382943059723.18
4,2013-07-18,208.0,209.99,209.99,208.0,400.0,241153749.0,5.5,0.09,1431.3,1416.63,1439.6,1408.66,39832504472.0,6315313766702.67
5,2013-07-19,210.59,211.0,214.7,210.0,2180.0,195527014.3,5.5,0.09,1417.47,1421.67,1436.15,1408.9,29610094265.0,6337788617604.29
6,2013-07-22,215.0,213.0,215.0,213.0,400.0,230565438.7,5.5,0.09,1421.67,1415.52,1429.36,1408.83,21827732138.0,6310356363185.49
7,2013-07-23,211.2,210.0,211.2,210.0,400.0,226412731.2,5.5,0.09,1415.48,1417.34,1432.3,1415.48,26448101070.0,6318501986272.09
8,2013-07-24,207.0,207.0,207.0,207.0,400.0,285112314.7,5.5,0.09,1418.33,1407.41,1419.31,1402.78,26568233042.0,6274216543929.62
9,2013-07-25,206.0,206.0,206.0,206.0,200.0,199496510.6,5.5,0.09,1408.42,1401.88,1409.56,1396.11,23113129369.0,6249572713109.65
10,2013-07-26,209.0,204.0,209.0,203.0,800.0,176922331.9,5.5,0.09,1401.94,1403.14,1410.44,1400.7,20498673653.0,0.0
11,2013-07-30,205.0,205.5,205.5,205.0,400.0,261982839.5,5.5,0.09,1398.24,1387.31,1409.21,1386.21,31777795211.0,6184591132308.99
12,2013-08-01,206.0,206.0,206.0,206.0,200.0,275285300.1,5.5,0.08,1376.31,1398.46,1400.15,1375.93,23315082531.0,6234319606068.29
13,2013-08-05,209.0,209.0,209.0,209.0,200.0,197282331.65,5.5,0.08,1391.79,1391.75,1400.24,1388.26,15713577296.0,6204414868488.97
14,2013-08-06,205.7,201.13,209.0,201.0,1240.0,311256566.0,5.5,0.09,1391.54,1364.65,1391.54,1363.51,18369408430.0,6083591948826.38
15,2013-08-07,189.09,203.0,203.0,189.09,320.0,222418866.3,5.5,0.09,1364.31,1362.91,1375.09,1356.24,20605845443.0,6075843339058.16
16,2013-08-08,201.5,201.5,201.5,201.5,200.0,192181050.3,5.5,0.09,1364.4,1362.38,1370.81,1353.71,23986978343.0,6073457608533.86
17,2013-08-09,205.0,205.0,205.0,203.5,600.0,163921209.5,5.5,0.08,1360.82,1382.72,1384.93,1359.98,23753024883.0,6164139497388.76
18,2013-08-13,208.0,209.0,209.8,208.0,900.0,275762101.5,5.5,0.08,1387.9,1407.86,1409.91,1387.43,25248767872.0,6276208742460.25
19,2013-08-14,210.0,212.6,212.6,210.0,450.0,268858980.7,5.5,0.09,1408.73,1423.87,1425.1,1407.0,23876160396.0,6347592194221.77
20,2013-08-15,207.6,204.0,207.6,204.0,700.0,327920754.1,5.5,0.08,1424.17,1391.37,1424.17,1388.81,24982813091.0,6202731244029.29
