,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-07-19,98.95,98.95,98.95,98.95,10.0,13217435.0,5.5,0.09,1417.47,1421.67,1436.15,1408.9,29610094265.0,6337788617604.29
1,2013-09-02,104.25,104.24,105.48,103.1,259010.0,27179512.1,5.5,0.07,1364.75,1367.53,1373.73,1364.27,12744074194.0,6096416686856.09
2,2013-09-03,104.87,105.3,105.49,103.5,327960.0,34437498.7,5.5,0.09,1366.99,1373.82,1384.18,1366.99,22164253799.0,6124460997187.43
3,2013-09-04,105.3,105.51,105.75,103.58,62670.0,6565504.5,5.5,0.08,1372.98,1375.66,1376.42,1365.21,16929685929.0,6132675228404.21
4,2013-09-05,105.73,107.99,108.23,104.02,364890.0,38641853.2,5.5,0.08,1375.66,1422.4,1422.4,1373.29,37635586932.0,6341025156353.93
5,2013-09-06,107.0,107.8,109.5,106.51,162810.0,17615259.6,5.5,0.08,1421.86,1423.4,1448.75,1418.8,52189115910.0,6345500055740.21
6,2013-09-09,108.5,109.5,109.99,107.11,104040.0,11326350.1,5.5,0.08,1423.4,1451.54,1455.28,1421.45,45793220661.0,6470954296346.45
7,2013-09-10,109.74,109.0,109.74,107.92,297680.0,32389432.2,5.5,0.08,1451.54,1453.57,1464.2,1446.97,48929041065.0,6480000608741.71
8,2013-09-11,109.0,108.89,109.0,107.8,139240.0,15153416.7,5.5,0.08,1452.52,1454.12,1459.68,1449.58,30684670193.0,6482453521611.17
9,2013-09-12,108.35,109.14,109.15,105.02,335020.0,36502453.7,5.5,0.08,1454.21,1450.23,1461.2,1441.58,32739117665.0,6465093271603.79
10,2013-09-13,109.13,109.0,109.49,108.55,278970.0,30420410.0,5.5,0.08,1450.66,1440.74,1451.89,1434.74,24692731039.0,6422780705485.45
11,2013-09-16,109.0,109.09,109.87,108.11,745250.0,81320643.3,5.5,0.08,1441.06,1470.48,1470.65,1438.79,44309429172.0,6555391575249.64
12,2013-09-17,108.8,109.0,109.05,108.38,1203930.0,131201122.1,5.5,0.08,1470.71,1473.03,1474.02,1461.86,23620116573.0,6916585966907.95
13,2013-09-18,109.79,108.51,109.79,107.22,587200.0,64045054.8,5.5,0.08,1472.17,1464.95,1482.59,1462.18,35222582334.0,6878658435503.36
14,2013-09-19,125.95,111.01,125.95,108.52,786340.0,86569222.7,5.5,0.09,1464.35,1487.19,1501.32,1463.8,53895959163.0,6983113967163.46
15,2013-09-20,112.58,111.4,112.58,110.7,119840.0,13345810.8,5.5,0.08,1486.49,1476.73,1488.5,1476.07,31552058986.0,6933962169638.04
16,2013-09-23,112.84,110.4,112.84,109.51,262580.0,29108231.4,5.5,0.09,1476.69,1467.62,1478.61,1463.61,26313729744.0,6891218287996.88
17,2013-09-24,109.78,110.1,110.98,109.22,123850.0,13621945.0,5.5,0.09,1466.41,1464.72,1472.11,1459.21,27919329025.0,6877568322623.03
18,2013-09-25,109.67,110.5,110.7,109.67,347390.0,38372085.5,5.5,0.08,,,,,,
19,2013-09-26,110.93,111.47,111.97,110.19,153070.0,17006582.8,5.5,0.08,,,,,,
20,2013-09-27,111.08,111.25,111.49,110.51,36250.0,4025310.6,5.5,0.08,,,,,,
21,2013-09-30,110.99,110.64,112.0,110.4,200690.0,22386505.8,5.5,0.06,,,,,,
22,2013-10-01,110.83,110.79,111.96,110.7,63830.0,7086122.1,5.5,0.08,,,,,,
23,2013-10-02,111.88,110.27,111.9,109.99,271260.0,29970748.1,5.5,0.07,,,,,,
24,2013-10-03,110.01,112.51,114.0,110.0,657190.0,72990916.4,5.5,0.08,,,,,,
25,2013-10-04,112.01,113.0,113.2,111.78,152080.0,17160514.5,5.5,0.08,,,,,,
26,2013-10-07,112.9,113.26,113.75,112.71,145440.0,16519605.0,5.5,0.08,,,,,,
27,2013-10-08,113.79,114.0,114.0,79.5,178240.0,19881332.8,5.5,0.08,,,,,,
28,2013-10-09,114.57,114.3,114.57,112.97,71760.0,8138470.6,5.5,0.09,,,,,,
29,2013-10-10,114.23,114.5,114.67,113.59,91610.0,10445145.9,5.5,0.09,,,,,,
30,2013-10-11,114.77,114.55,114.94,113.99,104640.0,11980632.9,5.5,0.1,,,,,,
31,2013-10-14,114.7,114.51,114.9,113.0,161710.0,18446317.4,5.5,0.1,,,,,,
32,2013-10-15,115.0,119.25,119.25,115.0,147710.0,17240337.6,5.5,0.1,,,,,,
33,2013-10-16,117.99,116.6,118.49,115.1,67330.0,7914260.5,5.5,0.11,,,,,,
34,2013-10-17,117.8,115.51,117.8,115.33,39520.0,4591127.9,5.5,0.1,,,,,,
35,2013-10-18,115.51,117.2,117.97,114.66,82850.0,9585557.8,5.5,0.1,,,,,,
36,2013-10-21,134.34,116.46,134.34,115.99,32690.0,3818114.7,5.5,0.09,,,,,,
37,2013-10-22,116.24,117.21,117.65,116.0,130150.0,15267529.2,5.5,0.08,,,,,,
38,2013-10-23,117.51,115.3,117.63,115.23,91980.0,10666218.4,5.5,0.08,,,,,,
39,2013-10-24,115.48,115.4,116.55,115.0,39370.0,4542118.6,5.5,0.08,,,,,,
40,2013-10-25,115.4,115.41,116.2,115.25,90450.0,10458107.3,5.5,0.08,,,,,,
41,2013-10-28,116.0,116.51,117.0,115.55,347450.0,40313896.8,5.5,0.08,,,,,,
42,2013-10-29,115.47,116.5,117.68,115.45,150090.0,17453159.8,5.5,0.08,,,,,,
43,2013-10-30,116.99,117.5,118.0,116.07,145710.0,17076860.2,5.5,0.08,,,,,,
44,2013-10-31,116.51,118.0,118.32,116.41,110660.0,13046253.5,5.5,0.07,,,,,,
45,2013-11-01,118.44,118.87,119.25,118.0,164500.0,19500624.2,5.5,0.08,,,,,,
46,2013-11-05,118.01,118.57,118.57,117.12,52130.0,6161780.2,5.5,0.08,,,,,,
47,2013-11-06,117.73,118.31,119.02,117.55,279200.0,33038573.4,5.5,0.08,,,,,,
48,2013-11-07,117.57,118.8,119.73,117.51,85700.0,10177191.3,5.5,0.08,,,,,,
49,2013-11-08,119.5,117.8,119.5,117.06,237600.0,28048167.9,5.5,0.08,,,,,,
50,2013-11-11,118.06,117.12,118.5,116.99,101100.0,11874085.4,5.5,0.08,,,,,,
51,2013-11-12,117.07,118.17,118.17,116.93,49600.0,5828553.0,5.5,0.08,,,,,,
52,2013-11-13,117.0,114.8,118.11,114.51,180940.0,21082882.4,5.5,0.08,,,,,,
53,2013-11-14,114.9,115.65,116.72,114.9,295060.0,34165056.2,5.5,0.09,,,,,,
54,2013-11-15,116.01,115.94,116.52,115.45,31720.0,3676392.2,5.5,0.09,,,,,,
55,2013-11-18,115.42,117.31,117.66,115.19,429460.0,50380785.8,5.5,0.09,,,,,,
56,2013-11-19,117.68,119.38,119.38,117.13,90050.0,10638124.4,5.5,0.09,,,,,,
57,2013-11-20,119.0,118.25,119.4,117.16,59410.0,7057404.6,5.5,0.09,,,,,,
58,2013-11-21,118.3,119.49,119.7,117.47,227120.0,27024063.1,5.5,0.09,,,,,,
59,2013-11-22,119.79,119.32,120.5,118.32,69610.0,8347974.4,5.5,0.09,,,,,,
60,2013-11-25,120.0,119.53,122.7,119.5,160260.0,19459034.1,5.5,0.09,,,,,,
61,2013-11-26,120.75,119.21,120.97,117.9,143550.0,17143856.0,5.5,0.09,1502.89,1484.37,1503.7,1480.39,48229948205.0,6969845523930.55
62,2013-11-27,118.56,119.0,120.27,118.0,597780.0,71364155.0,5.5,0.09,1484.6,1475.42,1489.49,1473.23,41550434835.0,6927804014788.67
63,2013-11-28,119.16,118.7,119.5,118.7,16840.0,2004648.6,5.5,0.09,1475.16,1479.46,1487.5,1475.16,24668741069.0,6946793859819.43
64,2013-11-29,118.11,117.39,119.33,115.59,95160.0,11195506.9,5.5,0.07,1480.08,1479.35,1484.02,1467.32,31291760745.0,6946263649103.18
65,2013-12-02,89.13,115.32,117.99,89.13,199420.0,20858201.7,5.5,0.09,1479.32,1473.26,1488.97,1472.55,24196675363.0,6917684865750.2
66,2013-12-03,115.02,115.0,116.48,112.15,272630.0,31013310.3,5.5,0.09,1473.56,1448.84,1473.56,1441.36,47456307434.0,6803018523449.25
67,2013-12-04,114.52,114.3,115.81,113.58,893810.0,103354515.5,5.5,0.09,1450.22,1439.26,1455.82,1436.32,43484660557.0,6758022220391.5
68,2013-12-05,114.99,112.29,115.69,111.25,360720.0,41298370.4,5.5,0.09,1437.77,1429.25,1447.44,1427.88,41406299250.0,6711012916339.87
69,2013-12-06,112.75,114.95,114.95,111.89,137550.0,15613358.7,5.5,0.09,1429.25,1448.67,1451.05,1425.31,38501119521.0,6802220391429.27
70,2013-12-09,114.26,116.2,116.2,114.02,103250.0,11963928.7,5.5,0.09,1448.67,1465.7,1467.2,1444.94,37250903478.0,6882186129056.72
71,2013-12-10,116.25,116.39,116.51,114.49,131860.0,15321805.8,5.5,0.09,1465.7,1464.14,1471.29,1459.02,34812026533.0,6874866511027.26
72,2013-12-11,116.3,116.75,116.8,115.0,88750.0,10280795.8,5.5,0.08,1464.14,1464.67,1470.0,1451.0,28795646065.0,6877366183674.53
73,2013-12-12,115.49,116.0,116.75,115.01,241660.0,28019156.0,5.5,0.09,1465.25,1449.74,1465.25,1444.62,36017750107.0,6807223603878.11
74,2013-12-13,116.75,115.9,116.79,115.29,95320.0,11034991.0,5.5,0.08,1449.74,1452.76,1457.88,1449.21,32285420251.0,6821404463826.86
75,2013-12-16,115.88,116.0,116.9,115.51,647090.0,75003846.2,5.5,0.09,1452.63,1470.22,1470.62,1445.0,40098483167.0,6903430451647.21
76,2013-12-17,116.0,116.0,116.9,115.25,919190.0,106772616.5,5.5,0.09,1469.57,1479.39,1483.08,1468.22,35648912988.0,6685012538785.19
77,2013-12-18,116.5,117.2,118.29,115.42,267370.0,31202455.0,5.5,0.09,1480.09,1486.91,1488.27,1478.45,31633527060.0,6719006675908.59
78,2013-12-19,118.29,116.99,118.29,115.84,722430.0,84492109.1,5.5,0.09,1488.21,1497.99,1509.2,1485.48,45080626868.0,6769074641636.64
79,2013-12-20,117.09,116.67,117.75,116.0,280850.0,32799295.2,5.5,0.09,1499.17,1497.23,1502.86,1490.98,36565395553.0,6765643643953.46
80,2013-12-23,117.75,119.49,119.75,116.5,146910.0,17498327.9,5.5,0.09,1497.31,1507.49,1510.09,1495.22,28684771864.0,6811968678502.1
81,2013-12-24,119.04,117.97,119.44,117.97,116840.0,13823072.5,5.5,0.08,1506.89,1506.41,1510.9,1500.66,17528642060.0,6807119355340.79
82,2013-12-25,118.46,119.0,119.17,118.0,37190.0,4414706.7,5.5,0.08,1506.41,1501.12,1510.28,1500.49,12007223777.0,6783195605596.29
83,2013-12-26,117.96,119.19,119.55,117.95,413070.0,49192294.2,5.5,0.08,1501.1,1501.47,1506.74,1499.17,12027701517.0,6784786482365.16
84,2013-12-27,118.29,120.89,121.16,118.29,72380.0,8695663.4,5.5,0.08,1501.83,1494.83,1504.99,1494.33,16645779757.0,6754782477264.45
85,2013-12-30,119.49,121.7,122.0,119.11,57780.0,6992955.5,5.5,0.08,1496.27,1504.08,1504.85,1492.08,18692424302.0,6796555430941.05
86,2014-01-06,122.25,116.75,122.9,116.75,147610.0,17555656.8,5.5,0.08,1504.14,1466.15,1504.33,1464.97,16900288729.0,6625173892374.47
87,2014-01-08,117.23,116.03,117.99,116.01,56800.0,6638708.0,5.5,0.07,1465.99,1462.67,1470.25,1460.41,16027383642.0,6609448818656.81
88,2014-01-09,116.4,117.21,117.47,116.0,336820.0,39305295.1,5.5,0.07,1462.67,1465.14,1470.65,1460.81,20056121954.0,6620605693214.79
89,2014-01-10,117.21,120.0,121.27,115.75,281200.0,33578072.3,5.5,0.07,1465.74,1469.19,1470.73,1454.75,29274890126.0,6638937730227.75
90,2014-01-13,119.59,124.7,126.69,119.44,784380.0,98055891.7,5.5,0.07,1469.19,1477.56,1482.45,1466.51,29596729994.0,6676748095453.91
91,2014-01-14,123.9,125.65,127.75,122.99,593050.0,74560278.4,5.5,0.07,1477.59,1469.64,1477.59,1453.85,31230659415.0,6640929567516.84
92,2014-01-15,126.33,126.74,127.34,125.5,529250.0,66758905.8,5.5,0.07,1469.76,1486.51,1487.83,1469.76,34589305532.0,6717172857420.66
93,2014-01-16,126.1,121.32,126.61,120.45,195180.0,24088497.6,5.5,0.07,1486.37,1480.73,1492.58,1478.45,30825694232.0,6691061771394.78
94,2014-01-17,121.01,122.03,125.93,120.71,99060.0,12114460.7,5.5,0.07,1480.63,1486.88,1495.05,1475.23,31481520592.0,6718875897162.79
95,2014-01-20,121.9,123.37,123.9,121.5,75690.0,9277736.7,5.5,0.07,1485.75,1495.36,1498.37,1483.25,23823923486.0,6757186472436.97
96,2014-01-21,123.01,122.88,124.0,122.5,110200.0,13610817.9,5.5,0.07,1495.92,1504.68,1507.16,1495.92,32920294237.0,6799284158226.5
97,2014-01-22,122.54,122.5,122.96,121.0,114450.0,13960025.2,5.5,0.07,1503.6,1498.73,1505.31,1490.29,42599578316.0,6772398576733.01
98,2014-01-23,122.5,124.18,125.0,122.0,184730.0,22850390.8,5.5,0.07,1498.73,1496.9,1511.7,1495.9,36924425267.0,6764117371006.31
99,2014-01-24,122.97,125.0,125.0,121.35,101640.0,12625286.1,5.5,0.07,1496.9,1494.58,1497.76,1483.66,50458895946.0,6753656897584.12
100,2014-01-27,123.84,124.5,126.0,123.0,157220.0,19590150.9,5.5,0.07,1494.18,1478.23,1495.27,1476.06,46236717540.0,6679778985162.68
101,2014-01-28,123.26,123.0,124.77,122.47,151780.0,18731986.8,5.5,0.07,1477.91,1469.57,1486.09,1467.97,39833254664.0,6640641112572.32
102,2014-01-29,123.0,122.53,124.7,122.43,190560.0,23593363.7,5.5,0.07,1468.35,1462.99,1494.47,1459.87,51738292137.0,6610895814959.34
103,2014-01-30,122.98,123.0,123.98,121.52,107030.0,13155299.3,5.5,0.07,1463.05,1463.2,1473.45,1444.39,52406677076.0,6611867456585.14
104,2014-01-31,122.49,122.5,124.0,122.01,565900.0,69316156.6,5.5,0.07,1463.6,1454.45,1470.6,1448.36,42264412210.0,6572288145619.16
105,2014-02-03,123.75,122.43,124.33,122.0,73600.0,9014312.2,5.5,0.07,1453.55,1442.84,1463.54,1442.06,32778141805.0,6519832488467.28
106,2014-02-04,122.43,121.0,122.95,120.02,84030.0,10210965.7,5.5,0.07,1442.52,1441.16,1442.62,1426.29,35953638357.0,6512272054606.52
107,2014-02-05,120.75,120.0,121.64,119.1,320530.0,38470482.9,5.5,0.07,1442.02,1456.0,1460.75,1437.54,32228865284.0,6579331312028.14
108,2014-02-06,120.48,121.97,122.0,119.38,435790.0,52467859.6,5.5,0.07,1456.0,1466.7,1469.18,1454.43,28543620476.0,6627643963674.28
109,2014-02-07,122.0,120.35,123.12,120.35,262310.0,31931481.3,5.5,0.06,1465.18,1478.48,1480.6,1463.96,30965604738.0,6680912015993.77
110,2014-02-10,121.29,121.76,122.0,120.55,257000.0,31162633.3,5.5,0.07,1478.22,1476.28,1485.32,1475.63,23411705634.0,6670964389448.68
111,2014-02-11,121.34,121.73,122.62,121.13,44020.0,5369828.0,5.5,0.06,1475.83,1483.57,1488.95,1473.3,26102602445.0,6703911304195.46
112,2014-02-12,122.73,124.2,124.39,121.85,65750.0,8112219.6,5.5,0.07,1484.42,1496.03,1498.62,1484.42,28049253757.0,6760181248195.49
113,2014-02-13,123.55,125.02,125.94,122.25,221400.0,27477595.3,5.5,0.06,1496.07,1478.62,1498.08,1475.41,28254359873.0,6681522380349.98
114,2014-02-14,124.99,126.6,127.24,124.99,346290.0,43830855.0,5.5,0.06,1478.77,1496.18,1497.94,1478.77,30474527752.0,6760860627364.86
115,2014-02-17,127.25,123.48,128.0,123.02,990690.0,123127849.2,5.5,0.06,1494.38,1507.49,1515.3,1494.32,28079463718.0,6811974669465.99
116,2014-02-18,123.5,123.11,125.49,123.03,328820.0,40822507.7,5.5,0.07,1507.81,1504.24,1518.13,1500.39,29676093042.0,6797294103702.05
117,2014-02-19,123.0,122.5,123.98,121.3,1375000.0,168164000.3,5.5,0.07,1504.02,1485.6,1507.97,1482.02,42334867727.0,6713049431458.63
118,2014-02-20,121.59,123.11,123.51,121.5,66140.0,8091140.7,5.5,0.07,1485.48,1480.99,1485.48,1467.52,33694582444.0,6692226645209.17
119,2014-02-21,123.75,124.85,125.29,122.56,1535900.0,190467816.6,5.5,0.07,1481.85,1487.64,1492.45,1481.85,23318948666.0,6722299765206.86
120,2014-02-24,124.0,125.4,125.75,124.0,56730.0,7091274.8,5.5,0.07,1487.51,1489.01,1491.78,1480.03,19772900486.0,6728494318967.82
121,2014-02-25,125.77,125.2,125.79,124.5,153160.0,19174711.8,5.5,0.07,1489.59,1478.64,1495.13,1472.43,28414020573.0,6681627919553.17
