,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,0.5,0.5,0.5,0.5,10000.0,0.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-10,0.5,0.5,0.5,0.5,190000.0,0.0,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
2,2014-06-11,0.5,0.51,0.51,0.5,320000.0,0.0,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
3,2014-06-16,0.5,0.5,0.5,0.5,100000.0,560100.0,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
4,2014-06-26,0.5,0.5,0.5,0.5,50000.0,0.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
5,2014-06-30,0.5,0.5,0.5,0.5,10000.0,0.0,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
6,2014-07-07,0.5,0.5,0.5,0.5,50000.0,0.0,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
7,2014-07-11,0.5,0.502,0.502,0.5,60000.0,0.0,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
8,2014-09-01,0.3551,0.336,0.3551,0.3,1930000.0,603738.0,8.0,0.07,1401.34,1392.4,1419.9,1389.77,34518068575.0,6277859256745.77
9,2014-09-02,0.3496,0.3499,0.3499,0.3496,80000.0,631718.0,8.0,0.09,1392.27,1400.35,1401.68,1386.31,20818865093.0,6313723045613.47
10,2014-09-04,0.3014,0.3,0.33,0.3,100000.0,0.0,8.0,0.09,1449.51,1457.34,1462.03,1439.38,34234449476.0,6570639817053.64
11,2014-09-16,0.31,0.31,0.31,0.31,10000.0,0.0,8.0,0.09,1454.13,1477.31,1483.66,1451.21,34534659889.0,7036330612381.47
12,2014-09-22,0.3488,0.3488,0.3488,0.3488,10000.0,0.0,8.0,0.09,1431.12,1412.83,1436.21,1412.83,24222806047.0,6729253251808.7
13,2014-09-26,0.32,0.345,0.345,0.32,20000.0,0.0,8.0,0.09,,,,,,
14,2014-09-29,0.35,0.35,0.35,0.35,10000.0,0.0,8.0,0.08,,,,,,
15,2014-10-01,0.301,0.35,0.35,0.301,40000.0,0.0,8.0,0.09,,,,,,
16,2014-10-21,0.3,0.33,0.34,0.255,100000.0,0.0,8.0,0.09,,,,,,
