,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-10,0.2598,0.255,0.26,0.255,2420000.0,624571.0,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
1,2014-06-11,0.2501,0.257,0.262,0.25,3840000.0,986945.0,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
2,2014-06-16,0.2582,0.26,0.26,0.2522,600000.0,1142226.0,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
3,2014-06-17,0.2648,0.26,0.2648,0.26,120000.0,0.0,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
4,2014-06-18,0.2598,0.2598,0.2598,0.2598,20000.0,0.0,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
5,2014-06-19,0.2523,0.2599,0.2599,0.2523,20000.0,1183792.0,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
6,2014-06-20,0.2555,0.26,0.27,0.2555,3540000.0,913696.0,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
7,2014-06-23,0.2602,0.26,0.2602,0.2599,1150000.0,0.0,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
8,2014-06-25,0.2699,0.275,0.277,0.2699,400000.0,0.0,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
9,2014-06-26,0.2603,0.26,0.2603,0.2599,1600000.0,0.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
10,2014-06-30,0.265,0.2563,0.265,0.2563,80000.0,0.0,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
11,2014-07-01,0.2564,0.2596,0.2599,0.255,290000.0,0.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
12,2014-07-02,0.2501,0.25,0.2588,0.2499,3080000.0,770682.0,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
13,2014-07-03,0.2551,0.244,0.2551,0.2357,780000.0,0.0,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
14,2014-07-04,0.2352,0.2321,0.2401,0.228,7250000.0,1679824.0,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
15,2014-07-07,0.2397,0.2397,0.2397,0.2397,10000.0,1682221.0,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
16,2014-07-08,0.2397,0.2397,0.2397,0.2397,20000.0,1687015.0,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
17,2014-07-11,0.2365,0.2388,0.2388,0.2317,160000.0,0.0,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
18,2014-07-14,0.2345,0.2345,0.2345,0.2345,100000.0,0.0,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
19,2014-07-15,0.2355,0.235,0.2355,0.235,210000.0,0.0,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
20,2014-07-16,0.2636,0.2638,0.2638,0.2636,40000.0,0.0,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
21,2014-07-17,0.2596,0.25,0.2596,0.25,4130000.0,1043144.0,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
22,2014-07-18,0.2495,0.242,0.2495,0.242,420000.0,1134416.0,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
23,2014-07-22,0.248,0.248,0.25,0.247,80000.0,0.0,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
24,2014-07-23,0.2488,0.2488,0.2488,0.2488,20000.0,0.0,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
25,2014-07-28,0.25,0.25,0.25,0.25,90000.0,0.0,8.0,0.09,1387.12,1361.94,1387.14,1357.03,30461885017.0,6140507803885.11
26,2014-07-30,0.25,0.2501,0.2597,0.25,160000.0,0.0,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
27,2014-07-31,0.25,0.25,0.255,0.25,440000.0,0.0,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
28,2014-08-01,0.2408,0.2552,0.259,0.2408,160000.0,0.0,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
29,2014-08-04,0.2588,0.2649,0.2649,0.2499,8720000.0,2209931.0,8.0,0.09,1375.73,1378.98,1386.43,1365.01,26195753576.0,6217358216917.08
30,2014-08-05,0.2598,0.2599,0.2599,0.2598,20000.0,2215128.0,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
31,2014-08-06,0.2698,0.2698,0.2698,0.2698,10000.0,2217826.0,8.0,0.09,1357.33,1334.66,1362.22,1333.37,44555802086.0,6017513533119.65
32,2014-08-07,0.2697,0.26,0.2697,0.2526,90000.0,2282277.0,8.0,0.09,1333.39,1333.53,1340.84,1306.8,46389687389.0,6012422895099.08
33,2014-08-08,0.2644,0.261,0.2644,0.25,5450000.0,1383118.0,8.0,0.09,1332.26,1348.21,1360.49,1329.1,34479528820.0,6078629580593.59
34,2014-08-11,0.2519,0.2687,0.2687,0.2517,60000.0,1398392.0,8.0,0.09,1350.42,1372.45,1379.22,1350.42,31225367926.0,6187929554027.43
35,2014-08-13,0.27,0.2729,0.2729,0.27,70000.0,1441108.0,8.0,0.09,1373.64,1398.85,1402.38,1373.27,33763586053.0,6306941447520.57
36,2014-08-15,0.2729,0.265,0.2772,0.2649,920000.0,0.0,8.0,0.09,1407.57,1417.82,1425.76,1400.7,26772144978.0,6392466871442.37
37,2014-08-18,0.27,0.265,0.27,0.265,30000.0,0.0,8.0,0.09,1418.05,1425.18,1427.95,1415.35,18156608193.0,6425664882271.03
38,2014-08-19,0.27,0.27,0.27,0.27,20000.0,0.0,8.0,0.09,1425.18,1437.6,1441.42,1425.18,25673186641.0,6481651396810.93
39,2014-08-20,0.27,0.261,0.27,0.261,570000.0,0.0,8.0,0.09,1437.58,1447.5,1447.5,1432.63,25728795150.0,6526296901006.62
40,2014-08-22,0.2612,0.26,0.2612,0.26,270000.0,0.0,8.0,0.09,1461.79,1446.6,1463.71,1434.09,28861993115.0,6522253115433.8
41,2014-08-26,0.26,0.2628,0.2629,0.257,270000.0,0.0,8.0,0.09,1454.47,1443.32,1460.0,1441.42,19706721633.0,6507455779142.91
42,2014-08-27,0.263,0.263,0.263,0.263,10000.0,0.0,8.0,0.09,1444.28,1447.91,1454.96,1444.28,19549941365.0,6528156723375.32
43,2014-09-01,0.2525,0.2524,0.2525,0.2452,810000.0,0.0,8.0,0.07,1401.34,1392.4,1419.9,1389.77,34518068575.0,6277859256745.77
44,2014-09-02,0.2477,0.2477,0.2477,0.2477,620000.0,0.0,8.0,0.09,1392.27,1400.35,1401.68,1386.31,20818865093.0,6313723045613.47
45,2014-09-03,0.2505,0.25,0.2597,0.25,290000.0,0.0,8.0,0.09,1400.44,1449.29,1452.92,1400.44,56947742576.0,6534374903303.01
46,2014-09-08,0.2649,0.265,0.265,0.2649,100000.0,0.0,8.0,0.09,1474.38,1464.76,1478.26,1460.85,26433491805.0,6604117625006.14
47,2014-09-12,0.2639,0.2639,0.2639,0.2639,10000.0,0.0,8.0,0.09,1449.4,1458.52,1470.49,1440.23,30540111711.0,6575983608620.8
48,2014-09-15,0.26,0.26,0.265,0.26,510000.0,0.0,8.0,0.09,1457.87,1454.19,1466.43,1441.26,36468665661.0,6556462216365.1
49,2014-09-16,0.259,0.2555,0.26,0.2555,490000.0,0.0,8.0,0.09,1454.13,1477.31,1483.66,1451.21,34534659889.0,7036330612381.47
50,2014-09-17,0.2555,0.2591,0.26,0.25,540000.0,0.0,8.0,0.09,1477.09,1449.37,1477.09,1437.73,43639537600.0,6903283783164.72
51,2014-09-18,0.2597,0.2595,0.2597,0.254,110000.0,0.0,8.0,0.09,1449.37,1448.63,1460.13,1443.75,26613627505.0,6899755307298.78
52,2014-09-19,0.2512,0.2627,0.2627,0.2512,90000.0,0.0,8.0,0.09,1448.19,1431.58,1454.16,1423.44,41661321148.0,6818524090027.49
53,2014-09-22,0.2517,0.255,0.2633,0.25,520000.0,0.0,8.0,0.09,1431.12,1412.83,1436.21,1412.83,24222806047.0,6729253251808.7
54,2014-09-23,0.2559,0.26,0.2643,0.255,440000.0,0.0,8.0,0.09,1413.57,1429.45,1432.37,1413.49,25653683539.0,6808383919755.99
55,2014-09-26,0.2552,0.26,0.26,0.2506,1610000.0,0.0,8.0,0.09,,,,,,
56,2014-09-29,0.2505,0.2599,0.2599,0.2501,600000.0,0.0,8.0,0.08,,,,,,
57,2014-09-30,0.2491,0.25,0.2585,0.2483,1810000.0,0.0,8.0,0.07,,,,,,
58,2014-10-01,0.2495,0.251,0.253,0.247,950000.0,0.0,8.0,0.09,,,,,,
59,2014-10-02,0.25,0.2485,0.255,0.248,440000.0,0.0,8.0,0.09,,,,,,
60,2014-10-06,0.248,0.248,0.248,0.248,30000.0,0.0,8.0,0.09,,,,,,
61,2014-10-08,0.248,0.254,0.254,0.238,1070000.0,0.0,8.0,0.09,,,,,,
62,2014-10-09,0.2535,0.2535,0.2535,0.2535,10000.0,0.0,8.0,0.08,,,,,,
63,2014-10-10,0.24,0.2495,0.2495,0.238,900000.0,0.0,8.0,0.09,,,,,,
64,2014-10-13,0.245,0.245,0.245,0.245,40000.0,0.0,8.0,0.09,,,,,,
65,2014-10-14,0.2415,0.24,0.2455,0.2385,1290000.0,0.0,8.0,0.09,,,,,,
66,2014-10-15,0.248,0.2445,0.248,0.2395,230000.0,0.0,8.0,0.09,,,,,,
67,2014-10-16,0.245,0.2455,0.2455,0.245,30000.0,0.0,8.0,0.09,,,,,,
68,2014-10-17,0.245,0.239,0.245,0.239,280000.0,0.0,8.0,0.09,,,,,,
69,2014-10-20,0.244,0.2455,0.247,0.239,390000.0,0.0,8.0,0.09,,,,,,
70,2014-10-21,0.2445,0.25,0.25,0.241,490000.0,0.0,8.0,0.09,,,,,,
71,2014-10-22,0.25,0.245,0.25,0.245,370000.0,0.0,8.0,0.09,,,,,,
72,2014-10-23,0.243,0.245,0.245,0.2395,730000.0,0.0,8.0,0.09,,,,,,
73,2014-10-24,0.2395,0.24,0.2465,0.22,860000.0,0.0,8.0,0.09,,,,,,
74,2014-10-27,0.24,0.249,0.2495,0.23,1140000.0,0.0,8.0,0.09,,,,,,
75,2014-10-28,0.244,0.249,0.249,0.242,940000.0,0.0,8.0,0.09,,,,,,
76,2014-10-29,0.245,0.25,0.253,0.22,1290000.0,0.0,8.0,0.09,1415.53,1439.58,1441.98,1411.0,36586717584.0,6856662513241.23
77,2014-10-30,0.25,0.255,0.255,0.25,200000.0,0.0,8.0,0.09,1438.8,1452.89,1456.88,1428.36,49073324158.0,6920053939430.49
78,2014-10-31,0.259,0.2585,0.259,0.2585,70000.0,0.0,8.0,0.07,1453.89,1488.47,1488.47,1453.89,51863127433.0,7089520800994.4
79,2014-11-03,0.215,0.248,0.2595,0.215,1310000.0,0.0,8.0,0.09,1488.15,1491.19,1495.86,1477.06,17481520523.0,7102462053889.69
80,2014-11-05,0.2585,0.2535,0.2595,0.2535,1860000.0,804400.0,9.5,0.09,1490.66,1495.26,1496.19,1471.25,35993706175.0,7121819234260.93
81,2014-11-06,0.25,0.25,0.25,0.25,90000.0,501265.0,9.5,0.09,1495.47,1497.46,1521.14,1490.66,40485840607.0,7132315424108.46
82,2014-11-07,0.259,0.2505,0.259,0.2505,40000.0,511440.0,9.5,0.09,1496.51,1497.11,1526.08,1486.37,62435787319.0,7130652967630.07
83,2014-11-11,0.259,0.259,0.259,0.259,30000.0,519210.0,9.5,0.09,1515.08,1514.78,1531.92,1511.53,38459111229.0,7214829498289.61
84,2014-11-12,0.2595,0.2635,0.264,0.2595,450000.0,0.0,9.5,0.09,1514.85,1513.83,1524.72,1507.45,34100235041.0,7210271305547.86
85,2014-11-13,0.262,0.2635,0.2635,0.238,960000.0,0.0,9.5,0.09,1514.19,1492.27,1522.87,1492.27,39369641894.0,7107618216442.59
86,2014-11-14,0.264,0.27,0.27,0.264,210000.0,0.0,9.5,0.09,1491.75,1500.76,1507.93,1481.97,34296102848.0,7148016471313.82
87,2014-11-17,0.271,0.2695,0.271,0.26,430000.0,0.0,9.5,0.1,1500.69,1507.1,1512.61,1494.81,25778674454.0,7178242599235.5
88,2014-11-18,0.264,0.2605,0.271,0.2605,370000.0,0.0,9.5,0.11,1506.78,1519.61,1524.8,1495.09,37626778528.0,7237803241252.88
89,2014-11-19,0.2685,0.2685,0.2685,0.2685,40000.0,0.0,9.5,0.1,1519.69,1517.97,1524.1,1513.68,31482266937.0,7230003229613.9
90,2014-11-20,0.275,0.2795,0.284,0.271,810000.0,0.0,9.5,0.1,1518.1,1530.4,1535.97,1517.28,34907988979.0,7289202234493.41
91,2014-11-21,0.2705,0.2795,0.2795,0.27,510000.0,0.0,9.5,0.1,1530.46,1538.93,1541.52,1515.01,36353481324.0,7329822620329.37
92,2014-11-25,0.289,0.289,0.289,0.289,10000.0,0.0,9.5,0.1,1529.62,1529.57,1537.65,1516.18,27545836432.0,7285244990377.67
93,2014-12-01,0.262,0.295,0.295,0.262,110000.0,505125.0,9.5,0.13,1532.89,1578.38,1598.19,1525.35,62166248251.0,7517749945811.61
94,2014-12-02,0.271,0.2895,0.2895,0.2705,110000.0,0.0,9.5,0.12,1578.4,1583.12,1596.96,1555.89,46843420167.0,7540317495902.56
95,2014-12-04,0.293,0.295,0.295,0.293,30000.0,0.0,9.5,0.12,1606.75,1582.08,1623.02,1577.7,59378086980.0,7535377974526.13
96,2014-12-08,0.27,0.2875,0.2925,0.2665,120000.0,0.0,9.5,0.12,1529.73,1481.27,1551.66,1476.02,46772419082.0,7055222590397.55
97,2014-12-10,0.2895,0.285,0.2895,0.275,80000.0,0.0,9.5,0.12,1475.93,1486.85,1514.63,1475.93,42337397882.0,7081796065851.96
98,2014-12-15,0.265,0.2695,0.27,0.254,1160000.0,0.0,10.5,0.11,1459.25,1424.99,1483.38,1402.83,68027939909.0,6787127409924.95
99,2014-12-16,0.254,0.235,0.254,0.2205,2440000.0,576920.0,17.0,0.12,1424.72,1444.32,1484.06,1309.6,100830509677.0,6695173218130.9
100,2014-12-17,0.249,0.2495,0.25,0.24,1170000.0,859385.0,17.0,0.13,1445.53,1413.79,1476.19,1389.63,81076784417.0,6553645114861.3
101,2014-12-18,0.27,0.2695,0.27,0.2405,50000.0,0.0,17.0,0.13,1417.41,1477.27,1506.13,1417.41,78761569805.0,6847878823692.59
102,2014-12-19,0.244,0.245,0.2455,0.2415,570000.0,0.0,17.0,0.13,1477.36,1449.13,1488.34,1417.68,44856913714.0,6717440284468.56
103,2014-12-22,0.269,0.248,0.269,0.248,50000.0,0.0,17.0,0.13,1452.95,1437.08,1466.34,1421.39,50209370839.0,6661583735341.69
104,2014-12-23,0.252,0.2595,0.2595,0.2485,230000.0,0.0,17.0,0.13,1437.08,1398.2,1446.31,1391.38,42501810335.0,6481362092230.03
105,2014-12-24,0.2485,0.2495,0.2495,0.2305,1010000.0,0.0,17.0,0.13,1398.2,1401.5,1411.56,1383.61,28015719243.0,6496652700159.9
