,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-08-28,84.0,84.0,84.0,84.0,20.0,7429423.3,5.5,0.07,1374.27,1369.64,1375.39,1355.7,27177077921.0,6105859421428.65
1,2013-08-30,109.99,109.99,109.99,109.99,10.0,13132001.0,5.5,0.07,1372.02,1364.65,1373.1,1357.93,21743602697.0,6083607084395.46
2,2013-09-02,80.5,84.0,84.68,80.5,201080.0,16739757.2,5.5,0.07,1364.75,1367.53,1373.73,1364.27,12744074194.0,6096416686856.09
3,2013-09-03,84.41,81.6,84.48,80.1,128230.0,10464428.3,5.5,0.09,1366.99,1373.82,1384.18,1366.99,22164253799.0,6124460997187.43
4,2013-09-04,80.82,82.52,83.4,80.16,41840.0,3454453.3,5.5,0.08,1372.98,1375.66,1376.42,1365.21,16929685929.0,6132675228404.21
5,2013-09-05,82.98,84.5,84.53,81.03,80180.0,6702473.0,5.5,0.08,1375.66,1422.4,1422.4,1373.29,37635586932.0,6341025156353.93
6,2013-09-06,83.13,84.55,86.68,83.13,103470.0,8825143.1,5.5,0.08,1421.86,1423.4,1448.75,1418.8,52189115910.0,6345500055740.21
7,2013-09-09,84.9,84.03,86.25,83.26,145350.0,12343353.4,5.5,0.08,1423.4,1451.54,1455.28,1421.45,45793220661.0,6470954296346.45
8,2013-09-10,84.84,85.0,85.8,84.05,215280.0,18328363.1,5.5,0.08,1451.54,1453.57,1464.2,1446.97,48929041065.0,6480000608741.71
9,2013-09-11,85.17,85.0,86.37,83.93,51820.0,4396636.2,5.5,0.08,1452.52,1454.12,1459.68,1449.58,30684670193.0,6482453521611.17
10,2013-09-12,84.54,84.76,85.15,84.03,47460.0,4024755.9,5.5,0.08,1454.21,1450.23,1461.2,1441.58,32739117665.0,6465093271603.79
11,2013-09-13,85.48,83.0,85.89,82.27,30200.0,2525529.0,5.5,0.08,1450.66,1440.74,1451.89,1434.74,24692731039.0,6422780705485.45
12,2013-09-16,84.24,87.99,88.63,84.0,335230.0,29196752.8,5.5,0.08,1441.06,1470.48,1470.65,1438.79,44309429172.0,6555391575249.64
13,2013-09-17,89.0,87.33,89.0,85.85,107580.0,9255660.3,5.5,0.08,1470.71,1473.03,1474.02,1461.86,23620116573.0,6916585966907.95
14,2013-09-18,86.52,85.98,87.45,85.98,75080.0,6507723.2,5.5,0.08,1472.17,1464.95,1482.59,1462.18,35222582334.0,6878658435503.36
15,2013-09-19,86.47,86.0,89.98,86.0,95230.0,8267638.0,5.5,0.09,1464.35,1487.19,1501.32,1463.8,53895959163.0,6983113967163.46
16,2013-09-20,86.45,85.84,87.8,85.56,51570.0,4464716.0,5.5,0.08,1486.49,1476.73,1488.5,1476.07,31552058986.0,6933962169638.04
17,2013-09-23,84.93,84.26,86.97,84.23,31770.0,2701775.5,5.5,0.09,1476.69,1467.62,1478.61,1463.61,26313729744.0,6891218287996.88
18,2013-09-24,84.5,85.03,85.03,84.0,30600.0,2596949.4,5.5,0.09,1466.41,1464.72,1472.11,1459.21,27919329025.0,6877568322623.03
19,2013-09-25,80.6,84.4,84.51,80.6,91760.0,7699759.5,5.5,0.08,,,,,,
20,2013-09-26,83.86,85.0,85.45,83.86,33790.0,2870487.4,5.5,0.08,,,,,,
21,2013-09-27,84.79,83.0,85.08,81.22,501660.0,42069198.4,5.5,0.08,,,,,,
22,2013-09-30,82.56,83.66,83.81,81.51,74420.0,6182372.4,5.5,0.06,,,,,,
23,2013-10-01,86.87,83.2,86.87,82.94,78930.0,6618953.5,5.5,0.08,,,,,,
24,2013-10-02,84.18,83.56,84.49,83.56,32880.0,2763645.3,5.5,0.07,,,,,,
25,2013-10-03,83.52,84.7,84.9,83.1,261200.0,21979028.2,5.5,0.08,,,,,,
26,2013-10-04,84.23,84.89,85.5,84.04,82170.0,6974974.5,5.5,0.08,,,,,,
27,2013-10-07,84.93,85.48,85.89,84.11,132430.0,11293979.6,5.5,0.08,,,,,,
28,2013-10-08,86.55,86.0,86.59,84.71,40760.0,3488607.4,5.5,0.08,,,,,,
29,2013-10-09,85.99,85.4,86.0,84.75,53740.0,4590918.6,5.5,0.09,,,,,,
30,2013-10-10,85.78,85.44,86.37,84.71,158450.0,13609394.0,5.5,0.09,,,,,,
31,2013-10-11,84.7,84.35,86.0,83.3,177290.0,15112175.9,5.5,0.1,,,,,,
32,2013-10-14,85.13,84.1,85.13,83.5,414690.0,34932238.7,5.5,0.1,,,,,,
33,2013-10-15,84.45,85.0,86.5,83.43,557440.0,47689557.9,5.5,0.1,,,,,,
34,2013-10-16,84.55,86.69,87.04,84.4,559660.0,48133546.9,5.5,0.11,,,,,,
35,2013-10-17,86.5,87.49,87.63,85.18,76010.0,6582158.2,5.5,0.1,,,,,,
36,2013-10-18,87.99,87.6,89.43,85.36,298020.0,26026970.7,5.5,0.1,,,,,,
