,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2016-07-01,2.598,2.604,2.619,2.51,26293000.0,67898436.0,10.5,0.41,1891.03,1896.62,1900.41,1880.63,21687427919.0,8725259797675.25
1,2016-07-04,2.604,2.608,2.619,2.6,11478000.0,29922945.0,10.5,0.41,1899.35,1907.48,1913.48,1896.4,21216107420.0,8775211776254.44
2,2016-07-05,2.605,2.598,2.61,2.582,14489000.0,37685637.0,10.5,0.4,1904.03,1895.64,1904.06,1887.05,21567078577.0,8720777704889.64
3,2016-07-06,2.596,2.65,2.66,2.596,25264000.0,66418134.0,10.5,0.4,1892.26,1879.42,1896.71,1871.47,26739811593.0,8646128292166.21
4,2016-07-07,2.65,2.65,2.679,2.637,14296000.0,38070243.0,10.5,0.4,1887.12,1882.41,1901.57,1878.47,31628682372.0,8659895501341.24
5,2016-07-08,2.643,2.638,2.65,2.61,9133000.0,24025705.0,10.5,0.4,1873.49,1894.35,1896.82,1860.55,35441247831.0,8714802277592.61
6,2016-07-11,2.641,2.65,2.655,2.629,19562000.0,51815931.0,10.5,0.4,1891.05,1913.12,1914.31,1887.1,28424172954.0,8801167777292.67
7,2016-07-12,2.65,2.663,2.67,2.64,18258000.0,48520423.0,10.5,0.4,1913.84,1938.36,1942.69,1911.91,33035090032.0,8917293117519.42
8,2016-07-13,2.658,2.654,2.671,2.654,13632000.0,36262870.0,10.5,0.4,1937.35,1935.88,1945.76,1928.5,38363975761.0,8905874962433.33
9,2016-07-14,2.655,2.666,2.673,2.639,16331000.0,43423696.0,10.5,0.4,1938.54,1942.46,1944.85,1921.75,33861336650.0,8936155396105.96
10,2016-07-15,2.673,2.723,2.743,2.665,28978000.0,78376945.0,10.5,0.4,1931.66,1940.85,1943.63,1928.57,36466881812.0,8928722471672.54
11,2016-07-18,2.727,2.773,2.777,2.72,22772000.0,62703259.0,10.5,0.4,1937.77,1936.07,1948.54,1920.18,30425666764.0,8906730682781.37
12,2016-07-19,2.774,2.76,2.774,2.743,7558000.0,20892082.0,10.5,0.4,1921.12,1915.89,1929.11,1903.1,32775563013.0,8813895138898.98
13,2016-07-20,2.76,2.76,2.77,2.741,13634000.0,37599921.0,10.5,0.4,1915.49,1915.09,1921.23,1896.0,27902451635.0,8810217186587.95
14,2016-07-21,2.76,2.803,2.805,2.76,13737000.0,38231025.0,10.5,0.4,1920.01,1927.7,1930.79,1911.87,20274446289.0,8868233836671.76
15,2016-07-22,2.801,2.812,2.925,2.703,34681000.0,97287414.0,10.5,0.4,1923.8,1926.9,1933.76,1922.85,17663520714.0,8864564197193.92
