,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-09-02,22.4,22.4,22.4,22.4,100.0,3535031.7,5.5,0.07,1364.75,1367.53,1373.73,1364.27,12744074194.0,6096416686856.09
1,2013-09-03,22.4,22.4,22.4,22.4,100.0,3537271.7,5.5,0.09,1366.99,1373.82,1384.18,1366.99,22164253799.0,6124460997187.43
2,2013-09-04,23.0,22.351,23.0,22.35,500.0,3595491.5,5.5,0.08,1372.98,1375.66,1376.42,1365.21,16929685929.0,6132675228404.21
3,2013-09-05,22.729,22.729,22.729,22.729,100.0,3550817.7,5.5,0.08,1375.66,1422.4,1422.4,1373.29,37635586932.0,6341025156353.93
4,2013-09-06,22.3,22.63,22.63,22.3,2000.0,0.0,5.5,0.08,1421.86,1423.4,1448.75,1418.8,52189115910.0,6345500055740.21
5,2013-09-09,22.928,22.928,22.928,22.928,100.0,0.0,5.5,0.08,1423.4,1451.54,1455.28,1421.45,45793220661.0,6470954296346.45
6,2013-09-10,22.3,22.3,22.3,22.3,300.0,0.0,5.5,0.08,1451.54,1453.57,1464.2,1446.97,48929041065.0,6480000608741.71
7,2013-09-11,22.5,22.5,22.5,22.5,200.0,3656177.1,5.5,0.08,1452.52,1454.12,1459.68,1449.58,30684670193.0,6482453521611.17
8,2013-09-12,22.5,22.5,22.5,22.5,400.0,3618230.4,5.5,0.08,1454.21,1450.23,1461.2,1441.58,32739117665.0,6465093271603.79
9,2013-09-16,22.7,22.7,22.7,22.7,21000.0,559898.7,5.5,0.08,1441.06,1470.48,1470.65,1438.79,44309429172.0,6555391575249.64
10,2013-09-18,22.301,22.2,22.301,22.2,27000.0,1077230.3,5.5,0.08,1472.17,1464.95,1482.59,1462.18,35222582334.0,6878658435503.36
11,2013-09-19,22.696,22.5,22.696,22.5,1100.0,625300.0,5.5,0.09,1464.35,1487.19,1501.32,1463.8,53895959163.0,6983113967163.46
12,2013-09-20,22.499,22.5,22.5,22.499,1500.0,659049.2,5.5,0.08,1486.49,1476.73,1488.5,1476.07,31552058986.0,6933962169638.04
13,2013-09-23,22.55,22.5,22.551,22.499,43600.0,982165.6,5.5,0.09,1476.69,1467.62,1478.61,1463.61,26313729744.0,6891218287996.88
14,2013-09-25,22.499,22.5,22.5,22.499,12200.0,1256663.5,5.5,0.08,1464.72,1479.59,1480.33,1459.13,26805611981.0,6947387045039.35
15,2013-09-26,23.3,23.0,23.6,22.5,87500.0,1934225.6,5.5,0.08,1479.59,1485.14,1490.02,1475.35,27797509828.0,6973488765178.55
16,2013-09-27,23.0,23.0,23.0,23.0,25100.0,2511525.6,5.5,0.08,1483.99,1471.89,1486.59,1468.35,27963985931.0,6911259978762.6
17,2013-09-30,23.299,23.35,23.45,23.299,17700.0,991324.1,5.5,0.06,1472.23,1462.82,1474.57,1453.65,25872462007.0,6868671368141.78
18,2013-10-02,23.001,23.001,23.001,23.001,1100.0,0.0,5.5,0.07,1472.45,1454.29,1474.9,1450.52,27495476013.0,6828626046243.09
19,2013-10-03,23.001,23.0,23.001,23.0,2300.0,1069526.6,5.5,0.08,1454.53,1456.49,1466.23,1452.25,25770973324.0,6838929631297.44
20,2013-10-04,23.001,23.0,23.001,23.0,3900.0,0.0,5.5,0.08,1456.51,1474.21,1474.42,1449.76,26311777713.0,6922161885652.6
21,2013-10-07,22.9,22.9,22.9,22.9,1000.0,0.0,5.5,0.08,1474.45,1480.2,1481.55,1462.85,26517483690.0,6950268840588.7
22,2013-10-08,23.0,22.9,23.0,22.9,2600.0,0.0,5.5,0.08,1480.2,1505.14,1505.73,1479.34,42946368599.0,7067391229987.44
23,2013-10-09,23.11,22.998,23.11,22.9,13800.0,0.0,5.5,0.09,1503.44,1501.01,1511.79,1495.13,35959606572.0,7048006070532.76
24,2013-10-10,22.9,22.8,22.9,22.8,19800.0,771140.7,5.5,0.09,1499.22,1516.73,1523.22,1499.22,38845457572.0,7121807304825.37
25,2013-10-11,22.801,22.8,22.9,22.8,13100.0,0.0,5.5,0.1,1516.8,1513.03,1524.35,1507.06,31257984815.0,7104400846068.48
26,2013-10-14,22.75,22.75,22.75,22.75,18000.0,708291.4,5.5,0.1,1511.81,1510.2,1511.81,1501.48,22248219088.0,7091121823896.66
27,2013-10-16,22.7,22.7,22.7,22.7,1000.0,1183564.9,5.5,0.11,1530.17,1531.57,1537.08,1522.75,35961721949.0,7191456653973.15
28,2013-10-17,22.999,22.909,22.999,22.801,900.0,751661.7,5.5,0.1,1531.57,1512.32,1536.39,1505.89,38147436617.0,7101109946052.53
29,2013-10-18,22.701,22.701,22.701,22.7,6900.0,0.0,5.5,0.1,1512.32,1533.35,1537.28,1512.32,35209295483.0,7199820321836.26
30,2013-10-22,22.71,22.899,22.899,22.71,1100.0,0.0,5.5,0.08,1535.27,1528.76,1535.99,1523.36,31272221637.0,7178295724980.91
31,2013-10-23,22.704,22.7,22.704,22.7,20400.0,0.0,5.5,0.08,1526.4,1507.26,1527.1,1503.88,37342903626.0,7077311832105.28
32,2013-10-24,22.0,22.8,22.8,22.0,21600.0,946929.3,5.5,0.08,1506.87,1502.46,1510.38,1497.35,32615092636.0,7054769977064.98
33,2013-10-31,22.8,22.8,22.8,22.8,400.0,1137844.8,5.5,0.07,1516.0,1510.21,1516.0,1498.39,34268139460.0,7091181752360.55
34,2013-11-01,22.8,22.7,22.8,22.7,22300.0,1489524.5,5.5,0.08,1509.58,1515.15,1517.25,1507.58,25849455323.0,7114378906088.12
35,2013-11-05,22.7,22.7,22.7,22.7,5000.0,630930.0,5.5,0.08,1515.15,1505.94,1521.02,1505.22,25909075265.0,7071135625659.33
36,2013-11-07,23.039,22.7,23.039,22.7,1600.0,667419.5,5.5,0.08,1499.95,1509.25,1515.77,1495.98,35131179147.0,7086683449107.27
37,2013-11-08,22.7,22.6,22.7,22.6,19200.0,1093319.5,5.5,0.08,1508.61,1489.55,1508.61,1486.51,33717266105.0,6994179135254.75
38,2013-11-11,22.51,22.51,22.51,22.51,100.0,1104690.5,5.5,0.08,1488.89,1483.46,1496.47,1482.84,24751960100.0,6965589124244.62
39,2013-11-12,22.3,22.3,22.3,22.3,200.0,1109150.5,5.5,0.08,1485.45,1500.41,1500.84,1481.29,36212433120.0,7045144421607.62
40,2013-11-13,22.35,21.85,22.35,21.85,1100.0,502585.5,5.5,0.08,1499.0,1466.82,1499.0,1464.59,45368983051.0,6887445739817.1
41,2013-11-14,22.2,22.102,22.2,22.102,300.0,0.0,5.5,0.09,1466.82,1490.89,1494.74,1466.82,38372492221.0,7000460687710.77
42,2013-11-15,22.2,21.908,22.2,21.908,2800.0,0.0,5.5,0.09,1489.4,1493.79,1503.45,1488.56,36407934415.0,7014098393891.63
43,2013-11-18,21.7,21.703,21.82,21.7,12600.0,0.0,5.5,0.09,1494.53,1510.61,1511.2,1494.53,31536775427.0,7093061218246.51
44,2013-11-19,21.75,21.302,21.799,21.302,12700.0,0.0,5.5,0.09,1510.72,1511.19,1517.64,1505.52,32913517098.0,7095790844839.2
45,2013-11-20,21.3,21.001,21.3,21.001,200.0,0.0,5.5,0.09,1511.16,1508.52,1511.16,1495.03,32676820398.0,7083234997056.38
46,2013-11-21,20.8,20.802,21.0,20.8,2600.0,0.0,5.5,0.09,1506.62,1494.07,1506.62,1489.98,28080499700.0,7015411619838.17
47,2013-11-22,20.9,20.601,20.9,20.601,13600.0,0.0,5.5,0.09,1494.1,1504.1,1506.11,1492.23,29655219213.0,7062492413571.93
48,2013-11-25,19.796,20.599,20.599,19.7,1000.0,0.0,5.5,0.09,1504.21,1502.41,1513.33,1501.58,31967064018.0,7054556198056.99
49,2013-11-26,19.591,20.499,20.499,19.591,5700.0,0.0,5.5,0.09,1502.89,1484.37,1503.7,1480.39,48229948205.0,6969845523930.55
50,2013-11-27,20.205,20.497,20.497,20.2,800.0,0.0,5.5,0.09,1484.6,1475.42,1489.49,1473.23,41550434835.0,6927804014788.67
51,2013-11-28,20.5,20.599,20.599,20.301,8000.0,0.0,5.5,0.09,1475.16,1479.46,1487.5,1475.16,24668741069.0,6946793859819.43
52,2013-12-02,20.0,20.95,20.95,20.0,408300.0,8292789.0,5.5,0.09,1479.32,1473.26,1488.97,1472.55,24196675363.0,6917684865750.2
53,2013-12-03,20.85,20.899,20.9,20.6,20200.0,8711214.6,5.5,0.09,1473.56,1448.84,1473.56,1441.36,47456307434.0,6803018523449.25
54,2013-12-04,20.9,20.998,20.999,20.9,7400.0,573115.2,5.5,0.09,1450.22,1439.26,1455.82,1436.32,43484660557.0,6758022220391.5
55,2013-12-05,20.999,21.2,21.2,20.302,499700.0,10157129.9,5.5,0.09,1437.77,1429.25,1447.44,1427.88,41406299250.0,6711012916339.87
56,2013-12-06,21.499,21.68,21.75,21.499,13700.0,10451721.5,5.5,0.09,1429.25,1448.67,1451.05,1425.31,38501119521.0,6802220391429.27
57,2013-12-09,21.661,22.1,22.1,21.661,1900.0,0.0,5.5,0.09,1448.67,1465.7,1467.2,1444.94,37250903478.0,6882186129056.72
58,2013-12-10,22.25,22.63,22.63,22.1,28700.0,635771.0,5.5,0.09,1465.7,1464.14,1471.29,1459.02,34812026533.0,6874866511027.26
59,2013-12-11,22.6,22.3,22.6,22.3,68500.0,1541740.0,5.5,0.08,1464.14,1464.67,1470.0,1451.0,28795646065.0,6877366183674.53
60,2013-12-12,22.5,22.5,22.5,22.5,16100.0,1903990.0,5.5,0.09,1465.25,1449.74,1465.25,1444.62,36017750107.0,6807223603878.11
61,2013-12-13,22.7,23.158,23.158,22.7,57400.0,1305497.4,5.5,0.08,1449.74,1452.76,1457.88,1449.21,32285420251.0,6821404463826.86
62,2013-12-16,23.15,23.45,23.45,23.15,32400.0,2056168.6,5.5,0.09,1452.63,1470.22,1470.62,1445.0,40098483167.0,6903430451647.21
63,2013-12-17,23.4,23.4,23.4,23.4,21400.0,1251431.2,5.5,0.09,1469.57,1479.39,1483.08,1468.22,35648912988.0,6685012538785.19
64,2013-12-18,23.4,23.65,23.65,23.4,28700.0,1172980.0,5.5,0.09,1480.09,1486.91,1488.27,1478.45,31633527060.0,6719006675908.59
65,2013-12-19,23.4,23.99,23.998,22.9,972200.0,23282520.4,5.5,0.09,1488.21,1497.99,1509.2,1485.48,45080626868.0,6769074641636.64
66,2013-12-20,23.65,23.85,23.85,23.65,2200.0,23334570.4,5.5,0.09,1499.17,1497.23,1502.86,1490.98,36565395553.0,6765643643953.46
67,2013-12-23,23.85,23.85,23.92,23.85,54500.0,1299832.0,5.5,0.09,1497.31,1507.49,1510.09,1495.22,28684771864.0,6811968678502.1
68,2013-12-24,23.85,24.0,24.0,23.8,151600.0,3633279.9,5.5,0.08,,,,,,
69,2013-12-25,24.0,24.1,24.1,23.8,22800.0,548645.0,5.5,0.08,,,,,,
70,2013-12-26,24.285,23.95,24.285,23.95,97100.0,2329806.0,5.5,0.08,,,,,,
71,2013-12-27,24.0,23.8,24.0,23.49,180900.0,4317396.6,5.5,0.08,,,,,,
72,2013-12-30,24.0,24.0,24.9,21.146,1670200.0,40150638.3,5.5,0.08,,,,,,
73,2014-01-06,24.247,24.35,24.35,24.247,1500.0,40187142.7,5.5,0.08,,,,,,
74,2014-01-08,24.0,24.35,24.35,24.0,1700.0,40228465.9,5.5,0.07,,,,,,
75,2014-01-10,24.068,24.333,24.333,24.0,2100.0,40278911.3,5.5,0.07,,,,,,
76,2014-01-13,24.048,23.99,24.048,23.99,43600.0,1096838.5,5.5,0.07,,,,,,
77,2014-01-14,23.98,23.97,23.98,23.97,31000.0,1789663.1,5.5,0.07,,,,,,
78,2014-01-15,24.144,23.899,24.15,23.899,38900.0,932745.8,5.5,0.07,,,,,,
79,2014-01-16,23.952,23.8,23.952,23.8,36300.0,865384.6,5.5,0.07,,,,,,
80,2014-01-17,24.104,24.14,24.14,24.104,4400.0,971597.0,5.5,0.07,,,,,,
81,2014-01-20,23.94,23.94,23.94,23.94,2400.0,1029053.0,5.5,0.07,,,,,,
82,2014-01-21,23.9,23.9,23.9,23.9,100.0,1964188.8,5.5,0.07,,,,,,
83,2014-01-22,23.952,24.01,24.01,23.9,9900.0,1268069.2,5.5,0.07,,,,,,
84,2014-01-27,23.9,23.9,23.9,23.9,10600.0,3197425.0,5.5,0.07,,,,,,
85,2014-01-28,24.0,23.999,24.0,23.999,600.0,2468554.9,5.5,0.07,1477.91,1469.57,1486.09,1467.97,39833254664.0,6640641112572.32
86,2014-01-29,23.901,23.901,23.901,23.901,100.0,1538199.2,5.5,0.07,1468.35,1462.99,1494.47,1459.87,51738292137.0,6610895814959.34
87,2014-01-30,23.9,23.9,23.9,23.9,100.0,675204.6,5.5,0.07,1463.05,1463.2,1473.45,1444.39,52406677076.0,6611867456585.14
88,2014-01-31,23.9,23.9,23.9,23.9,13000.0,879692.2,5.5,0.07,1463.6,1454.45,1470.6,1448.36,42264412210.0,6572288145619.16
89,2014-02-03,23.9,23.851,23.997,23.85,35200.0,1170979.5,5.5,0.07,1453.55,1442.84,1463.54,1442.06,32778141805.0,6519832488467.28
90,2014-02-04,23.85,23.8,23.85,23.6,88400.0,2099491.8,5.5,0.07,1442.52,1441.16,1442.62,1426.29,35953638357.0,6512272054606.52
91,2014-02-05,23.89,24.029,24.047,23.89,42200.0,3107999.4,5.5,0.07,1442.02,1456.0,1460.75,1437.54,32228865284.0,6579331312028.14
92,2014-02-06,24.049,24.049,24.049,24.049,100.0,3110404.3,5.5,0.07,1456.0,1466.7,1469.18,1454.43,28543620476.0,6627643963674.28
93,2014-02-07,24.289,24.049,24.289,24.049,700.0,1027770.8,5.5,0.06,1465.18,1478.48,1480.6,1463.96,30965604738.0,6680912015993.77
94,2014-02-10,23.901,23.901,23.998,23.9,5400.0,0.0,5.5,0.07,1478.22,1476.28,1485.32,1475.63,23411705634.0,6670964389448.68
95,2014-02-11,23.988,23.85,23.988,23.85,33200.0,922453.9,5.5,0.06,1475.83,1483.57,1488.95,1473.3,26102602445.0,6703911304195.46
96,2014-02-12,23.85,23.9,23.9,23.85,11100.0,1187193.9,5.5,0.07,1484.42,1496.03,1498.62,1484.42,28049253757.0,6760181248195.49
97,2014-02-13,23.7,23.7,23.7,23.7,100.0,1206422.2,5.5,0.06,1496.07,1478.62,1498.08,1475.41,28254359873.0,6681522380349.98
98,2014-02-14,23.6,23.4,23.6,23.4,32300.0,1949953.9,5.5,0.06,1478.77,1496.18,1497.94,1478.77,30474527752.0,6760860627364.86
99,2014-02-17,23.6,23.8,23.8,23.5,15000.0,1113059.7,5.5,0.06,1494.38,1507.49,1515.3,1494.32,28079463718.0,6811974669465.99
100,2014-02-18,23.749,23.747,23.749,23.4,10400.0,596170.0,5.5,0.07,1507.81,1504.24,1518.13,1500.39,29676093042.0,6797294103702.05
101,2014-02-24,23.4,23.4,23.4,23.4,400.0,2426413.8,5.5,0.07,1487.51,1489.01,1491.78,1480.03,19772900486.0,6728494318967.82
102,2014-02-25,23.538,23.2,23.538,23.2,31700.0,2368525.0,5.5,0.07,1489.59,1478.64,1495.13,1472.43,28414020573.0,6681627919553.17
103,2014-02-26,23.05,23.0,23.05,23.0,30400.0,2803985.0,5.5,0.07,1478.9,1469.51,1486.11,1465.16,35931158697.0,6640375119834.58
104,2014-02-27,22.97,22.95,22.97,22.95,19400.0,1881165.2,5.5,0.07,1469.93,1448.7,1476.26,1431.6,52734826934.0,6546315754008.96
105,2014-02-28,22.99,23.0,23.0,22.99,300.0,1897423.2,5.5,0.06,1448.78,1444.71,1456.45,1429.25,49924435497.0,6528292455906.17
106,2014-03-03,20.609,22.529,23.4,20.002,119800.0,2417707.4,7.0,0.07,1438.02,1288.81,1438.02,1261.76,114796601349.0,5823828463583.0
107,2014-03-04,22.507,22.505,22.507,22.505,5000.0,2530232.6,7.0,0.07,1288.78,1356.54,1365.23,1288.78,93980994812.0,6129884003505.98
108,2014-03-06,22.799,22.9,22.9,22.605,55000.0,1253986.0,7.0,0.08,1351.5,1337.98,1370.56,1301.96,73730707234.0,6046009340205.84
109,2014-03-11,23.0,23.2,23.2,23.0,25400.0,1838206.0,7.0,0.08,1338.5,1308.7,1338.5,1304.35,43995018689.0,5913717763875.92
110,2014-03-12,23.0,23.23,23.23,23.0,98500.0,2275203.0,7.0,0.08,1307.08,1274.21,1307.08,1271.74,51965497616.0,5757844999526.41
111,2014-03-13,23.478,23.15,23.68,23.051,51600.0,3472210.5,7.0,0.08,1274.24,1248.56,1285.93,1247.7,57982552741.0,5641928130119.77
112,2014-03-14,23.0,23.0,23.001,23.0,52800.0,2411407.7,7.0,0.08,1248.29,1237.43,1248.29,1182.86,82550968523.0,5591642348039.34
113,2014-03-17,23.899,23.299,24.377,23.102,180800.0,4337107.4,7.0,0.08,1237.52,1283.7,1288.34,1237.52,92131298659.0,5800723220087.94
