,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2021-11-26,138.82,139.0,165.0,133.02,111700.0,14726967.6,7.5,0.08,3852.99,3810.98,3876.13,3810.75,144744409541.75,19143272989741.89
1,2021-11-29,135.78,136.6,149.0,130.0,87670.0,11417388.6,7.5,0.08,3872.19,3879.54,3928.52,3846.12,130890429846.7,19487662774355.957
2,2021-11-30,136.32,130.0,136.32,128.0,30670.0,3766677.2,7.5,0.07,3828.25,3890.59,3902.72,3827.55,199778277587.25,19543160338135.03
3,2021-12-01,130.02,138.6,138.62,130.0,112090.0,10753086.6,7.5,0.08,3907.17,3959.29,3962.22,3900.16,119719006789.15,19888252673389.297
4,2021-12-02,138.6,137.56,138.6,134.78,109070.0,12507748.0,7.5,0.08,3940.09,3947.54,3972.85,3914.43,109953629846.45,19829258062529.47
5,2021-12-03,137.58,135.48,138.06,134.62,32870.0,4466049.2,7.5,0.08,3967.88,3913.06,3977.16,3905.38,83004665197.55,19656030951809.984
6,2021-12-06,135.48,134.44,135.48,132.7,73090.0,9742641.2,7.5,0.08,3937.15,3810.1,3938.1,3800.76,99104081043.4,19138885560423.41
7,2021-12-07,133.62,135.46,136.74,133.24,199970.0,21149890.8,7.5,0.08,3860.83,3873.2,3880.84,3810.03,127513848136.15,19455841621883.023
8,2021-12-08,135.48,135.38,136.32,132.82,97670.0,11578861.6,7.5,0.08,3904.84,3773.61,3915.65,3773.61,161711900096.09,18955548306582.867
9,2021-12-09,135.4,134.74,135.56,133.7,77230.0,9494641.8,7.5,0.08,3801.67,3813.29,3847.76,3780.3,110500027110.1,19154895882686.727
10,2021-12-10,134.78,133.26,134.92,133.14,91790.0,8209924.8,7.5,0.08,3806.97,3760.23,3814.06,3760.23,81426178559.85,18888377868248.355
11,2021-12-13,133.5,128.52,133.82,128.52,129800.0,13480567.6,7.5,0.08,3790.1,3618.31,3794.52,3613.88,147936433936.1,18175484947590.023
12,2021-12-14,128.84,128.84,129.3,127.74,237710.0,28167039.6,7.5,0.08,3533.82,3619.39,3638.49,3532.29,155519049894.1,18180875609831.43
13,2021-12-15,129.18,129.3,129.54,127.9,86570.0,8359782.6,7.5,0.08,3653.16,3621.82,3666.53,3608.6,104327497276.3,18193073486661.94
14,2021-12-16,128.92,131.3,131.4,128.92,69130.0,8220016.8,7.5,0.08,3705.57,3750.36,3755.07,3701.35,143081351990.0,18838787178680.85
15,2021-12-17,131.4,130.7,131.5,130.18,98780.0,12006228.6,7.5,0.08,3725.04,3723.27,3739.59,3696.5,127229717373.7,18411003749381.96
16,2021-12-20,130.68,122.96,130.7,120.0,421040.0,42819237.0,8.5,0.08,3657.65,3669.05,3674.71,3629.61,90298936540.65,18142880402699.91
17,2021-12-21,123.2,126.04,127.0,123.2,253800.0,25077605.8,8.5,0.08,3705.33,3693.02,3713.68,3670.16,82117461532.05,18261431084338.22
18,2021-12-22,126.0,125.64,126.74,125.0,232720.0,26112535.4,8.5,0.08,3715.2,3746.75,3759.67,3699.06,87418363756.15,18527119290565.16
19,2021-12-23,125.36,125.48,126.88,125.0,96390.0,11054104.4,8.5,0.08,3745.52,3704.6,3751.37,3691.04,74775470568.25,18318705110254.77
20,2021-12-24,125.48,124.98,126.1,124.68,46870.0,5120836.0,8.5,0.08,3700.34,3702.72,3703.72,3653.63,44756758749.6,18309366936572.17
21,2021-12-27,124.74,128.04,128.04,124.7,121380.0,6289064.6,8.5,0.08,3711.77,3740.63,3742.12,3709.19,49142530172.25,18496864679239.1
22,2021-12-28,128.14,127.98,130.0,127.8,113810.0,10984597.6,8.5,0.08,3766.5,3777.56,3790.44,3751.0,64031615578.35,18679480078543.668
23,2021-12-29,127.76,127.44,128.0,126.96,51680.0,5876885.4,8.5,0.08,3756.54,3741.07,3770.09,3727.35,60359168519.7,18499033329888.457
24,2021-12-30,127.46,129.1,129.14,127.22,49870.0,3762989.6,8.5,0.08,3753.92,3787.26,3789.61,3740.93,61497152069.0,18727411862063.33
25,2022-01-03,129.16,130.7,131.42,125.0,161240.0,16882499.0,8.5,0.08,3825.3,3852.5,3866.15,3823.5,52472868137.9,19050000386308.637
26,2022-01-04,130.62,131.26,131.76,130.62,52560.0,6186202.8,8.5,0.08,3880.2,3873.49,3892.33,3846.81,62624414462.0,19153798451398.637
27,2022-01-05,131.26,130.22,131.42,129.76,128240.0,7882150.0,8.5,0.08,3857.9,3815.05,3875.25,3805.06,59842279698.45,18864822163313.258
28,2022-01-06,130.2,130.44,130.82,129.74,151280.0,18995565.4,8.5,0.08,3758.68,3753.29,3784.17,3720.17,83469097491.95,18559424880874.74
29,2022-01-10,130.16,129.6,130.6,129.6,54840.0,6963599.6,8.5,0.08,3798.43,3738.68,3806.84,3726.73,85302196824.3,18487190627063.824
30,2022-01-11,129.58,129.5,130.32,128.74,43100.0,3401386.6,8.5,0.08,3764.56,3785.29,3800.91,3751.45,81053376709.85,18717680108245.777
31,2022-01-12,129.34,130.4,130.48,128.68,35860.0,4273963.6,8.5,0.08,3797.31,3829.95,3841.72,3783.92,100865330719.7,18938495939185.15
32,2022-01-13,130.04,126.96,130.56,126.64,277370.0,23131751.6,8.5,0.08,3814.98,3674.73,3818.97,3664.48,178770807642.9,18170960657063.582
33,2022-01-14,126.98,124.52,127.52,124.46,319860.0,38500907.6,8.5,0.08,3703.9,3596.98,3723.62,3512.03,253410592849.3,17786510970653.58
34,2022-01-17,124.86,124.9,125.08,124.4,13130.0,1585631.2,8.5,0.08,3633.01,3560.35,3651.36,3501.94,156354454242.75,17605381085684.953
35,2022-01-18,124.56,118.26,124.58,117.58,221590.0,16443017.6,8.5,0.08,3527.77,3328.94,3534.56,3297.12,302733934140.55,16461095067551.904
36,2022-01-19,118.54,120.26,122.7,116.46,263480.0,27565988.8,8.5,0.08,3290.31,3436.82,3500.27,3256.6,257223110460.45,16994531502920.621
37,2022-01-20,120.26,118.3,121.0,118.3,82770.0,7984693.6,8.5,0.08,3519.02,3516.02,3533.61,3403.74,191687148184.9,17386203721894.97
38,2022-01-21,114.02,117.36,119.78,114.0,74740.0,7382616.4,8.5,0.08,3420.12,3439.25,3503.84,3407.27,180588337458.0,17006575540684.14
39,2022-01-24,117.32,112.2,117.52,111.92,362360.0,37716654.0,8.5,0.08,3426.19,3235.28,3426.47,3158.46,262889650990.6,15997967950133.695
40,2022-01-25,112.22,110.42,112.22,109.38,229560.0,19169917.4,8.5,0.08,3316.98,3258.74,3330.9,3229.45,157537334538.2,16113969875965.834
41,2022-01-26,110.46,109.42,116.08,106.24,598070.0,56468360.4,8.5,0.08,3341.71,3357.66,3412.15,3276.06,160814042402.85,16603125470284.545
42,2022-01-27,109.3,112.4,115.3,108.36,219590.0,17942977.2,8.5,0.08,3296.47,3455.93,3525.94,3284.49,237136967964.7,17089047450506.557
43,2022-01-28,111.76,112.42,114.32,111.44,164770.0,18390767.6,8.5,0.08,3508.57,3488.6,3534.4,3446.01,143424640143.0,17250576968075.86
44,2022-01-31,112.42,114.6,115.54,112.42,130940.0,13921481.6,8.5,0.08,3524.11,3530.38,3566.05,3518.55,117693256585.8,17457205741984.42
45,2022-02-01,114.6,111.45,114.6,110.65,101740.0,5282946.0,8.5,0.08,3564.55,3548.17,3584.71,3531.35,110134440838.2,17545177826965.012
46,2022-02-02,111.45,109.3,112.0,108.2,166140.0,14539083.0,8.5,0.08,3574.87,3543.8,3580.22,3516.17,110896294130.6,17523556285749.535
47,2022-02-03,109.3,109.9,112.45,109.3,219470.0,24016981.0,8.5,0.08,3498.76,3471.18,3519.23,3446.65,102906904754.15,17164460711855.559
48,2022-02-04,109.9,109.65,111.35,108.6,218710.0,22753343.5,8.5,0.08,3499.32,3471.01,3556.32,3464.14,124982530504.55,17163608222869.805
49,2022-02-07,109.7,106.5,110.15,106.35,258380.0,26692135.5,8.5,0.08,3511.39,3470.78,3521.26,3437.93,74559343723.85,17162469377249.54
50,2022-02-08,106.6,108.8,109.8,106.5,231420.0,20858836.5,8.5,0.08,3497.18,3551.65,3551.65,3487.64,121464922915.6,17562382627360.762
51,2022-02-09,109.0,114.75,115.05,109.0,343150.0,23943467.5,8.5,0.08,3593.0,3638.93,3638.93,3580.45,137282606163.35,17993968936021.91
52,2022-02-10,115.05,115.9,117.1,114.75,452020.0,49544809.0,8.5,0.08,,,,,,
53,2022-02-11,115.9,110.0,115.95,109.95,402120.0,25220645.5,8.5,0.08,,,,,,
54,2022-02-14,110.0,112.3,114.2,108.15,288190.0,32290855.0,9.5,0.08,,,,,,
55,2022-02-15,112.3,116.65,116.8,112.3,413450.0,44743847.5,9.5,0.08,,,,,,
56,2022-02-16,116.55,115.7,118.45,115.1,293740.0,28337939.0,9.5,0.08,,,,,,
57,2022-02-17,115.45,112.15,115.45,112.15,229020.0,22856436.5,9.5,0.08,,,,,,
58,2022-02-18,112.15,105.5,112.4,103.95,285300.0,18580228.0,9.5,0.08,,,,,,
59,2022-02-21,108.0,83.0,111.05,80.0,108440.0,10505202.0,9.5,0.08,,,,,,
60,2022-02-22,86.25,108.0,112.0,84.15,177650.0,15776169.0,9.5,0.08,,,,,,
61,2022-02-24,108.0,80.55,108.0,65.5,135610.0,7233201.0,9.5,0.08,,,,,,
62,2022-02-25,90.0,79.0,95.0,79.0,38300.0,2706173.5,9.5,0.08,,,,,,
63,2022-03-30,87.5,93.5,117.0,86.0,154600.0,15577039.0,20.0,0.33,,,,,,
64,2022-03-31,98.0,97.15,99.8,92.0,63350.0,6110146.5,20.0,0.33,,,,,,
65,2022-04-01,99.9,94.15,99.9,92.05,68620.0,6515814.5,20.0,0.33,,,,,,
66,2022-04-04,92.65,92.0,96.05,91.0,66930.0,6181308.5,20.0,0.33,,,,,,
67,2022-04-05,92.5,89.9,92.5,87.0,27480.0,2464172.0,20.0,0.33,,,,,,
68,2022-04-06,90.1,88.4,90.1,84.0,7920.0,700405.0,20.0,0.33,,,,,,
69,2022-04-07,88.4,83.6,90.0,83.0,21190.0,1862349.0,20.0,0.33,,,,,,
70,2022-04-08,89.9,82.55,91.0,77.0,84350.0,7189176.5,20.0,0.33,,,,,,
71,2022-04-11,83.5,82.5,84.15,81.35,20720.0,1716937.5,17.0,0.33,,,,,,
72,2022-04-12,82.75,80.8,82.75,77.0,15350.0,1217593.5,17.0,0.33,,,,,,
73,2022-04-13,79.1,75.0,81.5,73.5,40610.0,3131876.5,17.0,0.33,,,,,,
74,2022-04-14,75.25,71.4,76.5,68.25,57400.0,4146860.0,17.0,0.33,,,,,,
75,2022-04-15,71.0,69.7,73.35,66.05,27070.0,1839897.0,17.0,0.33,,,,,,
76,2022-04-18,69.95,67.85,72.95,65.8,26490.0,1820575.0,17.0,0.33,,,,,,
77,2022-04-19,67.0,66.05,68.45,65.0,26570.0,1746181.0,17.0,0.33,,,,,,
78,2022-04-20,67.5,66.1,68.8,65.0,19640.0,1304281.0,17.0,0.33,2326.03,2330.73,2374.87,2271.72,34640809161.75,11525106305642.87
79,2022-04-21,67.0,67.55,68.0,66.15,11250.0,753038.0,17.0,0.33,2334.97,2271.05,2341.21,2260.68,28368978164.55,11230016424577.682
80,2022-04-22,67.0,67.0,70.75,65.0,14170.0,945175.5,17.0,0.33,2271.18,2232.23,2290.04,2223.73,32280692497.9,11038038093586.484
81,2022-04-25,64.95,63.75,67.3,60.55,30300.0,1900487.0,17.0,0.33,2236.32,2186.22,2237.45,2168.18,22521850031.3,10810506895208.82
82,2022-04-26,61.85,63.65,68.0,61.85,15880.0,1023756.0,17.0,0.33,2190.97,2318.46,2347.92,2190.97,42976151804.4,11464407596721.021
83,2022-04-27,65.95,63.85,67.3,62.65,8760.0,569666.0,17.0,0.33,2326.27,2424.28,2427.47,2305.47,48952158762.7,11987696534093.428
84,2022-04-28,66.0,67.2,80.0,65.5,207520.0,14784191.5,17.0,0.33,2434.86,2383.66,2505.94,2379.12,60911768321.75,11786815412336.617
85,2022-04-29,69.3,63.8,71.0,62.8,47590.0,3186045.0,17.0,0.33,2390.83,2445.17,2448.52,2390.83,41353794398.65,12091010455283.03
86,2022-05-04,67.0,64.3,67.5,61.25,22340.0,1456742.0,14.0,0.33,2444.25,2373.16,2464.6,2373.16,25945992882.25,11734894431984.242
87,2022-05-05,63.45,63.1,66.0,62.05,14660.0,927309.0,14.0,0.83,2379.04,2404.8,2412.81,2379.04,17342318812.95,11891371345164.453
88,2022-05-06,64.0,60.9,64.0,60.85,19530.0,1197225.0,14.0,0.83,2405.17,2393.03,2406.78,2372.52,18005651254.65,11833191995912.586
89,2022-05-11,58.2,57.5,61.25,57.1,21540.0,1271866.0,14.0,0.83,2391.91,2387.14,2414.87,2367.48,18772686042.2,11804044671008.12
